rank	word	wordlength	count	frequenz(count*100/880)	sum frequenz	zipf(rank*count)	zipf(max/rank)
1	pater	5	21	2.3864	2.3864	21	21
1	quid	4	21	2.3864	4.7727	21	21
2	me	2	17	1.9318	6.7045	34	10.5
3	non	3	13	1.4773	8.1818	39	7
4	ut	2	12	1.3636	9.5455	48	5.3
5	mi	2	10	1.1364	10.6818	50	4.2
5	hoc	3	10	1.1364	11.8182	50	4.2
5	est	3	10	1.1364	12.9545	50	4.2
6	ad	2	9	1.0227	13.9773	54	3.5
6	si	2	9	1.0227	15	54	3.5
6	ego	3	9	1.0227	16.0227	54	3.5
7	nunc	4	8	0.9091	16.9318	56	3
7	te	2	8	0.9091	17.8409	56	3
8	illam	5	7	0.7955	18.6364	56	2.6
8	in	2	7	0.7955	19.4318	56	2.6
8	iam	3	7	0.7955	20.2273	56	2.6
8	hic	3	7	0.7955	21.0227	56	2.6
9	nil	3	6	0.6818	21.7045	54	2.3
9	id	2	6	0.6818	22.3864	54	2.3
9	tibi	4	6	0.6818	23.0682	54	2.3
10	obsecro	7	5	0.5682	23.6364	50	2.1
10	nam	3	5	0.5682	24.2045	50	2.1
10	mihi	4	5	0.5682	24.7727	50	2.1
10	nunciam	7	5	0.5682	25.3409	50	2.1
10	et	2	5	0.5682	25.9091	50	2.1
10	esse	4	5	0.5682	26.4773	50	2.1
10	tu	2	5	0.5682	27.0455	50	2.1
10	dum	3	5	0.5682	27.6136	50	2.1
11	an	2	4	0.4545	28.0682	44	1.9
11	hanc	4	4	0.4545	28.5227	44	1.9
11	ne	2	4	0.4545	28.9773	44	1.9
11	de	2	4	0.4545	29.4318	44	1.9
11	quod	4	4	0.4545	29.8864	44	1.9
11	qui	3	4	0.4545	30.3409	44	1.9
11	hem	3	4	0.4545	30.7955	44	1.9
11	abi	3	4	0.4545	31.25	44	1.9
11	nos	3	4	0.4545	31.7045	44	1.9
11	intro	5	4	0.4545	32.1591	44	1.9
12	paene	5	3	0.3409	32.5	36	1.8
12	magis	5	3	0.3409	32.8409	36	1.8
12	scio	4	3	0.3409	33.1818	36	1.8
12	sed	3	3	0.3409	33.5227	36	1.8
12	perii	5	3	0.3409	33.8636	36	1.8
12	egomet	6	3	0.3409	34.2045	36	1.8
12	tam	3	3	0.3409	34.5455	36	1.8
12	quae	4	3	0.3409	34.8864	36	1.8
12	rem	3	3	0.3409	35.2273	36	1.8
12	vis	3	3	0.3409	35.5682	36	1.8
12	ac	2	3	0.3409	35.9091	36	1.8
12	leno	4	3	0.3409	36.25	36	1.8
12	verum	5	3	0.3409	36.5909	36	1.8
12	sic	3	3	0.3409	36.9318	36	1.8
12	atque	5	3	0.3409	37.2727	36	1.8
12	cupio	5	3	0.3409	37.6136	36	1.8
12	neque	5	3	0.3409	37.9545	36	1.8
12	ilico	5	3	0.3409	38.2955	36	1.8
12	haec	4	3	0.3409	38.6364	36	1.8
12	usque	5	3	0.3409	38.9773	36	1.8
12	ctesipho	8	3	0.3409	39.3182	36	1.8
12	faciam	6	3	0.3409	39.6591	36	1.8
13	dolet	5	2	0.2273	39.8864	26	1.6
13	vah	3	2	0.2273	40.1136	26	1.6
13	misere	6	2	0.2273	40.3409	26	1.6
13	istaec	6	2	0.2273	40.5682	26	1.6
13	dicere	6	2	0.2273	40.7955	26	1.6
13	amo	3	2	0.2273	41.0227	26	1.6
13	huc	3	2	0.2273	41.25	26	1.6
13	quaeso	6	2	0.2273	41.4773	26	1.6
13	es	2	2	0.2273	41.7045	26	1.6
13	sati	4	2	0.2273	41.9318	26	1.6
13	animi	5	2	0.2273	42.1591	26	1.6
13	hercle	6	2	0.2273	42.3864	26	1.6
13	virginem	8	2	0.2273	42.6136	26	1.6
13	ehem	4	2	0.2273	42.8409	26	1.6
13	ipsum	5	2	0.2273	43.0682	26	1.6
13	ita	3	2	0.2273	43.2955	26	1.6
13	tuam	4	2	0.2273	43.5227	26	1.6
13	argentum	8	2	0.2273	43.75	26	1.6
13	ibo	3	2	0.2273	43.9773	26	1.6
13	siem	4	2	0.2273	44.2045	26	1.6
13	tantum	6	2	0.2273	44.4318	26	1.6
13	vero	4	2	0.2273	44.6591	26	1.6
13	etiam	5	2	0.2273	44.8864	26	1.6
13	deos	4	2	0.2273	45.1136	26	1.6
13	perge	5	2	0.2273	45.3409	26	1.6
13	age	3	2	0.2273	45.5682	26	1.6
13	res	3	2	0.2273	45.7955	26	1.6
13	postea	6	2	0.2273	46.0227	26	1.6
13	omnes	5	2	0.2273	46.25	26	1.6
13	quo	3	2	0.2273	46.4773	26	1.6
13	mage	4	2	0.2273	46.7045	26	1.6
13	quam	4	2	0.2273	46.9318	26	1.6
13	tandem	6	2	0.2273	47.1591	26	1.6
13	vidi	4	2	0.2273	47.3864	26	1.6
13	em	2	2	0.2273	47.6136	26	1.6
13	adhuc	5	2	0.2273	47.8409	26	1.6
13	heus	4	2	0.2273	48.0682	26	1.6
13	exorem	6	2	0.2273	48.2955	26	1.6
13	fores	5	2	0.2273	48.5227	26	1.6
13	nisi	4	2	0.2273	48.75	26	1.6
13	aeschine	8	2	0.2273	48.9773	26	1.6
13	i	1	2	0.2273	49.2045	26	1.6
13	fratre	6	2	0.2273	49.4318	26	1.6
13	illas	5	2	0.2273	49.6591	26	1.6
13	adeo	4	2	0.2273	49.8864	26	1.6
13	oculis	6	2	0.2273	50.1136	26	1.6
13	meis	4	2	0.2273	50.3409	26	1.6
13	aut	3	2	0.2273	50.5682	26	1.6
13	hunc	4	2	0.2273	50.7955	26	1.6
13	placet	6	2	0.2273	51.0227	26	1.6
13	a	1	2	0.2273	51.25	26	1.6
13	oculos	6	2	0.2273	51.4773	26	1.6
13	tamen	5	2	0.2273	51.7045	26	1.6
13	illi	4	2	0.2273	51.9318	26	1.6
13	erat	4	2	0.2273	52.1591	26	1.6
13	forte	5	2	0.2273	52.3864	26	1.6
13	fieri	5	2	0.2273	52.6136	26	1.6
13	ex	2	2	0.2273	52.8409	26	1.6
13	erit	4	2	0.2273	53.0682	26	1.6
13	ubi	3	2	0.2273	53.2955	26	1.6
13	hinc	4	2	0.2273	53.5227	26	1.6
13	obstetricem	11	2	0.2273	53.75	26	1.6
14	gesta	5	1	0.1136	53.8636	14	1.5
14	vobis	5	1	0.1136	53.9773	14	1.5
14	consuevit	9	1	0.1136	54.0909	14	1.5
14	factum	6	1	0.1136	54.2045	14	1.5
14	indicasse	9	1	0.1136	54.3182	14	1.5
14	patri	5	1	0.1136	54.4318	14	1.5
14	abducet	7	1	0.1136	54.5455	14	1.5
14	prior	5	1	0.1136	54.6591	14	1.5
14	similia	7	1	0.1136	54.7727	14	1.5
14	veri	4	1	0.1136	54.8864	14	1.5
14	videntur	8	1	0.1136	55	14	1.5
14	utut	4	1	0.1136	55.1136	14	1.5
