rank	word	wordlength	count	frequency(count*100/91)	sum frequency	zipf(rank*count)	zipf(max/rank)
1	numquam	7	3	3.2967	3.2967	3	3
2	quid	4	2	2.1978	5.4945	4	1.5
2	mea	3	2	2.1978	7.6923	4	1.5
2	quam	4	2	2.1978	9.8901	4	1.5
2	sostrata	8	2	2.1978	12.0879	4	1.5
2	au	2	2	2.1978	14.2857	4	1.5
2	iam	3	2	2.1978	16.4835	4	1.5
2	mi	2	2	2.1978	18.6813	4	1.5
3	tibi	4	1	1.0989	19.7802	3	1
3	propius	7	1	1.0989	20.8791	3	1
3	ad	2	1	1.0989	21.978	3	1
3	rem	3	1	1.0989	23.0769	3	1
3	illum	5	1	1.0989	24.1758	3	1
3	attinet	7	1	1.0989	25.2747	3	1
3	potissimum	10	1	1.0989	26.3736	3	1
3	talem	5	1	1.0989	27.4725	3	1
3	tali	4	1	1.0989	28.5714	3	1
3	genere	6	1	1.0989	29.6703	3	1
3	atque	5	1	1.0989	30.7692	3	1
3	animo	5	1	1.0989	31.8681	3	1
3	natum	5	1	1.0989	32.967	3	1
3	ex	2	1	1.0989	34.0659	3	1
3	tanta	5	1	1.0989	35.1648	3	1
3	familia	7	1	1.0989	36.2637	3	1
3	obsecro	7	1	1.0989	37.3626	3	1
3	proferendum	11	1	1.0989	38.4615	3	1
3	esse	4	1	1.0989	39.5604	3	1
3	hoc	3	1	1.0989	40.6593	3	1
3	an	2	1	1.0989	41.7582	3	1
3	videtur	7	1	1.0989	42.8571	3	1
3	es	2	1	1.0989	43.956	3	1
3	sanun	5	1	1.0989	45.0549	3	1
3	homo	4	1	1.0989	46.1538	3	1
3	hem	3	1	1.0989	47.2527	3	1
3	accedamu	8	1	1.0989	48.3516	3	1
3	recipe	6	1	1.0989	49.4505	3	1
3	animam	6	1	1.0989	50.5495	3	1
3	geta	4	1	1.0989	51.6484	3	1
3	oblatumst	9	1	1.0989	52.7473	3	1
3	festinas	8	1	1.0989	53.8462	3	1
3	vide	4	1	1.0989	54.9451	3	1
3	quod	4	1	1.0989	56.044	3	1
3	era	3	1	1.0989	57.1429	3	1
3	vitium	6	1	1.0989	58.2418	3	1
3	primulum	8	1	1.0989	59.3407	3	1
3	pol	3	1	1.0989	60.4396	3	1
3	pepereris	9	1	1.0989	61.5385	3	1
3	tute	4	1	1.0989	62.6374	3	1
3	adfueris	8	1	1.0989	63.7363	3	1
3	quasi	5	1	1.0989	64.8352	3	1
3	times	5	1	1.0989	65.9341	3	1
3	nunc	4	1	1.0989	67.033	3	1
3	occipiunt	9	1	1.0989	68.1319	3	1
3	quidem	6	1	1.0989	69.2308	3	1
3	tu	2	1	1.0989	70.3297	3	1
3	dolores	7	1	1.0989	71.4286	3	1
3	modo	4	1	1.0989	72.5275	3	1
3	spero	5	1	1.0989	73.6264	3	1
3	edepol	6	1	1.0989	74.7253	3	1
3	recte	5	1	1.0989	75.8242	3	1
3	rogas	5	1	1.0989	76.9231	3	1
3	is	2	1	1.0989	78.022	3	1
3	hic	3	1	1.0989	79.1209	3	1
3	quando	6	1	1.0989	80.2198	3	1
3	re	2	1	1.0989	81.3187	3	1
3	fiet	4	1	1.0989	82.4176	3	1
3	factumst	8	1	1.0989	83.5165	3	1
3	potuit	6	1	1.0989	84.6154	3	1
3	haud	4	1	1.0989	85.7143	3	1
3	fieri	5	1	1.0989	86.8132	3	1
3	meliu	5	1	1.0989	87.9121	3	1
3	nata	4	1	1.0989	89.011	3	1
3	e	1	1	1.0989	90.1099	3	1
3	aderit	6	1	1.0989	91.2088	3	1
3	veniat	6	1	1.0989	92.3077	3	1
3	semper	6	1	1.0989	93.4066	3	1
3	quin	4	1	1.0989	94.5055	3	1
3	diem	4	1	1.0989	95.6044	3	1
3	intermittit	11	1	1.0989	96.7033	3	1
3	unum	4	1	1.0989	97.8022	3	1
3	nam	3	1	1.0989	98.9011	3	1
3	agis	4	1	1.0989	100	3	1
