rank	word	wordlength	count	frequenz(count*100/324)	sum frequenz	zipf(rank*count)	zipf(max/rank)
1	syre	4	7	2.1605	2.1605	7	7
2	quid	4	6	1.8519	4.0123	12	3.5
3	ego	3	5	1.5432	5.5556	15	2.3
3	me	2	5	1.5432	7.0988	15	2.3
4	si	2	4	1.2346	8.3333	16	1.8
4	te	2	4	1.2346	9.5679	16	1.8
4	id	2	4	1.2346	10.8025	16	1.8
4	non	3	4	1.2346	12.037	16	1.8
4	in	2	4	1.2346	13.2716	16	1.8
4	ita	3	4	1.2346	14.5062	16	1.8
4	o	1	4	1.2346	15.7407	16	1.8
5	ne	2	3	0.9259	16.6667	15	1.4
5	hercle	6	3	0.9259	17.5926	15	1.4
5	quam	4	3	0.9259	18.5185	15	1.4
5	numquam	7	3	0.9259	19.4444	15	1.4
5	hoc	3	3	0.9259	20.3704	15	1.4
5	nunc	4	3	0.9259	21.2963	15	1.4
5	dicam	5	3	0.9259	22.2222	15	1.4
5	huc	3	3	0.9259	23.1481	15	1.4
5	se	2	3	0.9259	24.0741	15	1.4
6	obsecro	7	2	0.6173	24.6914	12	1.2
6	heus	4	2	0.6173	25.3086	12	1.2
6	habeam	6	2	0.6173	25.9259	12	1.2
6	iam	3	2	0.6173	26.5432	12	1.2
6	diem	4	2	0.6173	27.1605	12	1.2
6	nam	3	2	0.6173	27.7778	12	1.2
6	mi	2	2	0.6173	28.3951	12	1.2
6	fratrem	7	2	0.6173	29.0123	12	1.2
6	hominem	7	2	0.6173	29.6296	12	1.2
6	esse	4	2	0.6173	30.2469	12	1.2
6	hodie	5	2	0.6173	30.8642	12	1.2
6	mage	4	2	0.6173	31.4815	12	1.2
6	sit	3	2	0.6173	32.0988	12	1.2
6	quin	4	2	0.6173	32.716	12	1.2
6	ubi	3	2	0.6173	33.3333	12	1.2
6	quicquam	8	2	0.6173	33.9506	12	1.2
6	facere	6	2	0.6173	34.5679	12	1.2
6	hunc	4	2	0.6173	35.1852	12	1.2
6	est	3	2	0.6173	35.8025	12	1.2
6	rus	3	2	0.6173	36.4198	12	1.2
6	et	2	2	0.6173	37.037	12	1.2
6	perpetuo	8	2	0.6173	37.6543	12	1.2
6	quod	4	2	0.6173	38.2716	12	1.2
6	patrem	6	2	0.6173	38.8889	12	1.2
6	cum	3	2	0.6173	39.5062	12	1.2
6	bene	4	2	0.6173	40.1235	12	1.2
6	frater	6	2	0.6173	40.7407	12	1.2
6	scio	4	2	0.6173	41.358	12	1.2
6	ut	2	2	0.6173	41.9753	12	1.2
7	odi	3	1	0.3086	42.284	7	1
7	tam	3	1	0.3086	42.5926	7	1
7	alia	4	1	0.3086	42.9012	7	1
7	nisi	4	1	0.3086	43.2099	7	1
7	male	4	1	0.3086	43.5185	7	1
7	illud	5	1	0.3086	43.8272	7	1
7	quia	4	1	0.3086	44.1358	7	1
7	causa	5	1	0.3086	44.4444	7	1
7	nulla	5	1	0.3086	44.7531	7	1
7	abs	3	1	0.3086	45.0617	7	1
7	lecto	5	1	0.3086	45.3704	7	1
7	degere	6	1	0.3086	45.679	7	1
7	velim	5	1	0.3086	45.9877	7	1
7	abisse	6	1	0.3086	46.2963	7	1
7	dic	3	1	0.3086	46.6049	7	1
7	sodes	5	1	0.3086	46.9136	7	1
7	utinam	6	1	0.3086	47.2222	7	1
7	quidem	6	1	0.3086	47.5309	7	1
7	salute	6	1	0.3086	47.8395	7	1
7	eius	4	1	0.3086	48.1481	7	1
7	fiat	4	1	0.3086	48.4568	7	1
7	defetigarit	11	1	0.3086	48.7654	7	1
7	triduo	6	1	0.3086	49.0741	7	1
7	laetitia	8	1	0.3086	49.3827	7	1
7	prorsum	7	1	0.3086	49.6914	7	1
7	e	1	1	0.3086	50	7	1
7	abesset	7	1	0.3086	50.3086	7	1
7	nequeat	7	1	0.3086	50.6173	7	1
7	surgere	7	1	0.3086	50.9259	7	1
7	misere	6	1	0.3086	51.2346	7	1
7	nimi	4	1	0.3086	51.5432	7	1
7	cupio	5	1	0.3086	51.8519	7	1
7	coepi	5	1	0.3086	52.1605	7	1
7	perpetuom	9	1	0.3086	52.4691	7	1
7	propest	7	1	0.3086	52.7778	7	1
7	recurret	8	1	0.3086	53.0864	7	1
7	longius	7	1	0.3086	53.3951	7	1
7	perii	5	1	0.3086	53.7037	7	1
7	quidnamst	9	1	0.3086	54.0123	7	1
7	pater	5	1	0.3086	54.321	7	1
7	agimu	5	1	0.3086	54.6296	7	1
7	siquid	6	1	0.3086	54.9383	7	1
7	rogabit	7	1	0.3086	55.2469	7	1
7	nusquam	7	1	0.3086	55.5556	7	1
7	tu	2	1	0.3086	55.8642	7	1
7	audistin	8	1	0.3086	56.1728	7	1
7	men	3	1	0.3086	56.4815	7	1
7	quaerit	7	1	0.3086	56.7901	7	1
7	vide	4	1	0.3086	57.0988	7	1
7	quomodo	7	1	0.3086	57.4074	7	1
7	ille	4	1	0.3086	57.716	7	1
7	prorsu	6	1	0.3086	58.0247	7	1
