rank	word	wordlength	count	frequency(count*100/2078)	sum frequency	zipf(rank*count)	zipf(max/rank)
1	quid	4	40	1.9249	1.9249	40	40
2	et	2	35	1.6843	3.6092	70	20
3	non	3	28	1.3474	4.9567	84	13.3
4	in	2	22	1.0587	6.0154	88	10
5	ego	3	20	0.9625	6.9779	100	8
5	te	2	20	0.9625	7.9403	100	8
5	est	3	20	0.9625	8.9028	100	8
6	me	2	18	0.8662	9.769	108	6.7
6	si	2	18	0.8662	10.6352	108	6.7
7	hic	3	15	0.7218	11.3571	105	5.7
7	ut	2	15	0.7218	12.0789	105	5.7
8	nunc	4	14	0.6737	12.7526	112	5
8	haec	4	14	0.6737	13.4264	112	5
8	tu	2	14	0.6737	14.1001	112	5
8	id	2	14	0.6737	14.7738	112	5
8	esse	4	14	0.6737	15.4475	112	5
8	iam	3	14	0.6737	16.1213	112	5
9	atque	5	13	0.6256	16.7469	117	4.4
9	tibi	4	13	0.6256	17.3725	117	4.4
9	illum	5	13	0.6256	17.9981	117	4.4
9	hoc	3	13	0.6256	18.6237	117	4.4
9	quam	4	13	0.6256	19.2493	117	4.4
10	ad	2	12	0.5775	19.8268	120	4
10	micio	5	12	0.5775	20.4042	120	4
11	mihi	4	11	0.5294	20.9336	121	3.6
12	sed	3	10	0.4812	21.4148	120	3.3
12	qui	3	10	0.4812	21.8961	120	3.3
12	quod	4	10	0.4812	22.3773	120	3.3
13	o	1	9	0.4331	22.8104	117	3.1
13	bene	4	9	0.4331	23.2435	117	3.1
14	rem	3	8	0.385	23.6285	112	2.9
14	huic	4	8	0.385	24.0135	112	2.9
14	ille	4	8	0.385	24.3985	112	2.9
14	ex	2	8	0.385	24.7834	112	2.9
14	ita	3	8	0.385	25.1684	112	2.9
15	homo	4	7	0.3369	25.5053	105	2.7
15	re	2	7	0.3369	25.8422	105	2.7
15	fieri	5	7	0.3369	26.179	105	2.7
15	pro	3	7	0.3369	26.5159	105	2.7
16	vero	4	6	0.2887	26.8046	96	2.5
16	ne	2	6	0.2887	27.0934	96	2.5
16	hinc	4	6	0.2887	27.3821	96	2.5
16	de	2	6	0.2887	27.6708	96	2.5
16	quidem	6	6	0.2887	27.9596	96	2.5
16	eum	3	6	0.2887	28.2483	96	2.5
16	neque	5	6	0.2887	28.5371	96	2.5
16	potest	6	6	0.2887	28.8258	96	2.5
16	sum	3	6	0.2887	29.1145	96	2.5
16	illi	4	6	0.2887	29.4033	96	2.5
16	hac	3	6	0.2887	29.692	96	2.5
16	nos	3	6	0.2887	29.9808	96	2.5
16	hanc	4	6	0.2887	30.2695	96	2.5
16	ob	2	6	0.2887	30.5582	96	2.5
16	ubi	3	6	0.2887	30.847	96	2.5
16	autem	5	6	0.2887	31.1357	96	2.5
16	ipsa	4	6	0.2887	31.4244	96	2.5
16	quae	4	6	0.2887	31.7132	96	2.5
16	is	2	6	0.2887	32.0019	96	2.5
17	ac	2	5	0.2406	32.2425	85	2.4
17	fratrem	7	5	0.2406	32.4832	85	2.4
17	eccum	5	5	0.2406	32.7238	85	2.4
17	syre	4	5	0.2406	32.9644	85	2.4
17	omnia	5	5	0.2406	33.205	85	2.4
17	nil	3	5	0.2406	33.4456	85	2.4
17	age	3	5	0.2406	33.6862	85	2.4
17	nec	3	5	0.2406	33.9269	85	2.4
17	iuppiter	8	5	0.2406	34.1675	85	2.4
17	istuc	5	5	0.2406	34.4081	85	2.4
17	facere	6	5	0.2406	34.6487	85	2.4
17	cum	3	5	0.2406	34.8893	85	2.4
17	nobis	5	5	0.2406	35.1299	85	2.4
17	sit	3	5	0.2406	35.3705	85	2.4
17	quor	4	5	0.2406	35.6112	85	2.4
17	fit	3	5	0.2406	35.8518	85	2.4
17	modo	4	5	0.2406	36.0924	85	2.4
17	vitam	5	5	0.2406	36.333	85	2.4
17	sibi	4	5	0.2406	36.5736	85	2.4
17	an	2	5	0.2406	36.8142	85	2.4
18	usque	5	4	0.1925	37.0067	72	2.2
18	animo	5	4	0.1925	37.1992	72	2.2
18	familiam	8	4	0.1925	37.3917	72	2.2
18	siquid	6	4	0.1925	37.5842	72	2.2
18	eam	3	4	0.1925	37.7767	72	2.2
18	siet	4	4	0.1925	37.9692	72	2.2
18	quando	6	4	0.1925	38.1617	72	2.2
18	vobis	5	4	0.1925	38.3542	72	2.2
18	porro	5	4	0.1925	38.5467	72	2.2
18	ei	2	4	0.1925	38.7392	72	2.2
18	aequomst	8	4	0.1925	38.9317	72	2.2
18	mea	3	4	0.1925	39.1242	72	2.2
18	meum	4	4	0.1925	39.3167	72	2.2
18	hercle	6	4	0.1925	39.5091	72	2.2
18	aliquid	7	4	0.1925	39.7016	72	2.2
18	quom	4	4	0.1925	39.8941	72	2.2
18	video	5	4	0.1925	40.0866	72	2.2
18	noster	6	4	0.1925	40.2791	72	2.2
18	ibi	3	4	0.1925	40.4716	72	2.2
18	psaltria	8	4	0.1925	40.6641	72	2.2
18	etiam	5	4	0.1925	40.8566	72	2.2
18	a	1	4	0.1925	41.0491	72	2.2
18	frater	6	4	0.1925	41.2416	72	2.2
18	scio	4	4	0.1925	41.4341	72	2.2
18	hodie	5	4	0.1925	41.6266	72	2.2
19	di	2	3	0.1444	41.7709	57	2.1
19	eho	3	3	0.1444	41.9153	57	2.1
19	decet	5	3	0.1444	42.0597	57	2.1
19	postremo	8	3	0.1444	42.204	57	2.1
19	verum	5	3	0.1444	42.3484	57	2.1
19	primu	5	3	0.1444	42.4928	57	2.1
19	curo	4	3	0.1444	42.6372	57	2.1
19	primum	6	3	0.1444	42.7815	57	2.1
19	syrum	5	3	0.1444	42.9259	57	2.1
19	domum	5	3	0.1444	43.0703	57	2.1
19	tuos	4	3	0.1444	43.2146	57	2.1
19	iubeo	5	3	0.1444	43.359	57	2.1
19	facio	5	3	0.1444	43.5034	57	2.1
19	agam	4	3	0.1444	43.6477	57	2.1
19	satis	5	3	0.1444	43.7921	57	2.1
19	hem	3	3	0.1444	43.9365	57	2.1
19	una	3	3	0.1444	44.0808	57	2.1
19	istaec	6	3	0.1444	44.2252	57	2.1
19	rus	3	3	0.1444	44.3696	57	2.1
19	volt	4	3	0.1444	44.514	57	2.1
19	vos	3	3	0.1444	44.6583	57	2.1
19	credo	5	3	0.1444	44.8027	57	2.1
19	aliquo	6	3	0.1444	44.9471	57	2.1
19	haud	4	3	0.1444	45.0914	57	2.1
19	hegio	5	3	0.1444	45.2358	57	2.1
19	fero	4	3	0.1444	45.3802	57	2.1
19	unum	4	3	0.1444	45.5245	57	2.1
19	sunt	4	3	0.1444	45.6689	57	2.1
19	labore	6	3	0.1444	45.8133	57	2.1
19	quisquam	8	3	0.1444	45.9577	57	2.1
19	meam	4	3	0.1444	46.102	57	2.1
19	rei	3	3	0.1444	46.2464	57	2.1
19	denique	7	3	0.1444	46.3908	57	2.1
19	factum	6	3	0.1444	46.5351	57	2.1
19	omnem	5	3	0.1444	46.6795	57	2.1
19	omnibus	7	3	0.1444	46.8239	57	2.1
19	faciam	6	3	0.1444	46.9682	57	2.1
19	aliis	5	3	0.1444	47.1126	57	2.1
19	nam	3	3	0.1444	47.257	57	2.1
19	fuit	4	3	0.1444	47.4013	57	2.1
19	quicquam	8	3	0.1444	47.5457	57	2.1
19	pudet	5	3	0.1444	47.6901	57	2.1
19	quem	4	3	0.1444	47.8345	57	2.1
19	adeo	4	3	0.1444	47.9788	57	2.1
19	tuom	4	3	0.1444	48.1232	57	2.1
19	ipsum	5	3	0.1444	48.2676	57	2.1
19	pater	5	3	0.1444	48.4119	57	2.1
19	aut	3	3	0.1444	48.5563	57	2.1
19	ah	2	3	0.1444	48.7007	57	2.1
19	agitur	6	3	0.1444	48.845	57	2.1
19	intu	4	3	0.1444	48.9894	57	2.1
19	ais	3	3	0.1444	49.1338	57	2.1
20	esses	5	2	0.0962	49.23	40	2
20	filio	5	2	0.0962	49.3263	40	2
20	ibo	3	2	0.0962	49.4225	40	2
20	foras	5	2	0.0962	49.5188	40	2
20	maxumo	6	2	0.0962	49.615	40	2
20	exemplum	8	2	0.0962	49.7113	40	2
20	datur	5	2	0.0962	49.8075	40	2
20	malum	5	2	0.0962	49.9038	40	2
20	per	3	2	0.0962	50	40	2
20	fient	5	2	0.0962	50.0962	40	2
20	praeter	7	2	0.0962	50.1925	40	2
