rank	word	wordlength	count	frequency(count*100/369)	sum frequency	zipf(rank*count)	zipf(max/rank)
1	est	3	7	1.897	1.897	7	7
2	neque	5	6	1.626	3.523	12	3.5
3	quod	4	4	1.084	4.607	12	2.3
3	in	2	4	1.084	5.6911	12	2.3
3	quom	4	4	1.084	6.7751	12	2.3
3	si	2	4	1.084	7.8591	12	2.3
3	non	3	4	1.084	8.9431	12	2.3
3	te	2	4	1.084	10.0271	12	2.3
4	ut	2	3	0.813	10.8401	12	1.8
4	haec	4	3	0.813	11.6531	12	1.8
4	mihi	4	3	0.813	12.4661	12	1.8
4	et	2	3	0.813	13.2791	12	1.8
4	o	1	3	0.813	14.0921	12	1.8
4	primum	6	3	0.813	14.9051	12	1.8
4	tu	2	3	0.813	15.7182	12	1.8
4	illum	5	3	0.813	16.5312	12	1.8
4	era	3	3	0.813	17.3442	12	1.8
4	hanc	4	3	0.813	18.1572	12	1.8
5	periimus	8	2	0.542	18.6992	10	1.4
5	nunc	4	2	0.542	19.2412	10	1.4
5	quam	4	2	0.542	19.7832	10	1.4
5	quid	4	2	0.542	20.3252	10	1.4
5	ita	3	2	0.542	20.8672	10	1.4
5	cedo	4	2	0.542	21.4092	10	1.4
5	me	2	2	0.542	21.9512	10	1.4
5	hercle	6	2	0.542	22.4932	10	1.4
5	nos	3	2	0.542	23.0352	10	1.4
5	factum	6	2	0.542	23.5772	10	1.4
5	hegio	5	2	0.542	24.1192	10	1.4
5	dari	4	2	0.542	24.6612	10	1.4
5	id	2	2	0.542	25.2033	10	1.4
5	ego	3	2	0.542	25.7453	10	1.4
5	dum	3	2	0.542	26.2873	10	1.4
5	ille	4	2	0.542	26.8293	10	1.4
5	ipsi	4	2	0.542	27.3713	10	1.4
5	tum	3	2	0.542	27.9133	10	1.4
5	nobis	5	2	0.542	28.4553	10	1.4
5	animo	5	2	0.542	28.9973	10	1.4
5	opus	4	2	0.542	29.5393	10	1.4
5	ad	2	2	0.542	30.0813	10	1.4
5	palam	5	2	0.542	30.6233	10	1.4
5	sed	3	2	0.542	31.1653	10	1.4
5	illud	5	2	0.542	31.7073	10	1.4
5	hoc	3	2	0.542	32.2493	10	1.4
5	aliam	5	2	0.542	32.7913	10	1.4
5	ab	2	2	0.542	33.3333	10	1.4
5	es	2	2	0.542	33.8753	10	1.4
5	iam	3	2	0.542	34.4173	10	1.4
5	tibi	4	2	0.542	34.9593	10	1.4
5	demea	5	2	0.542	35.5014	10	1.4
5	malo	4	2	0.542	36.0434	10	1.4
5	nil	3	2	0.542	36.5854	10	1.4
5	res	3	2	0.542	37.1274	10	1.4
6	narremu	7	1	0.271	37.3984	6	1.2
6	di	2	1	0.271	37.6694	6	1.2
6	rem	3	1	0.271	37.9404	6	1.2
6	existumas	9	1	0.271	38.2114	6	1.2
6	porro	5	1	0.271	38.4824	6	1.2
6	prospice	8	1	0.271	38.7534	6	1.2
6	bonus	5	1	0.271	39.0244	6	1.2
6	patiamurne	10	1	0.271	39.2954	6	1.2
6	an	2	1	0.271	39.5664	6	1.2
6	quoipiam	8	1	0.271	39.8374	6	1.2
6	ac	2	1	0.271	40.1084	6	1.2
6	miquidem	8	1	0.271	40.3794	6	1.2
6	placet	6	1	0.271	40.6504	6	1.2
6	alieno	6	1	0.271	40.9214	6	1.2
6	a	1	1	0.271	41.1924	6	1.2
6	geta	4	1	0.271	41.4634	6	1.2
6	sies	4	1	0.271	41.7344	6	1.2
6	esse	4	1	0.271	42.0054	6	1.2
6	ipsa	4	1	0.271	42.2764	6	1.2
6	indicat	7	1	0.271	42.5474	6	1.2
6	salvos	6	1	0.271	42.8184	6	1.2
6	proferimus	10	1	0.271	43.0894	6	1.2
6	potiu	5	1	0.271	43.3604	6	1.2
6	pater	5	1	0.271	43.6314	6	1.2
6	mitte	5	1	0.271	43.9024	6	1.2
6	fert	4	1	0.271	44.1734	6	1.2
6	aeschinus	9	1	0.271	44.4444	6	1.2
6	ex	2	1	0.271	44.7154	6	1.2
6	alienus	7	1	0.271	44.9864	6	1.2
6	tam	3	1	0.271	45.2575	6	1.2
6	familiae	8	1	0.271	45.5285	6	1.2
6	nostra	6	1	0.271	45.7995	6	1.2
6	familia	7	1	0.271	46.0705	6	1.2
6	amare	5	1	0.271	46.3415	6	1.2
6	occepit	7	1	0.271	46.6125	6	1.2
6	nostrae	7	1	0.271	46.8835	6	1.2
6	occulte	7	1	0.271	47.1545	6	1.2
6	video	5	1	0.271	47.4255	6	1.2
6	demeam	6	1	0.271	47.6965	6	1.2
6	lenone	6	1	0.271	47.9675	6	1.2
