rank	word	wordlength	count	frequency(count*100/434)	sum frequency	zipf(rank*count)	zipf(max/rank)
1	ut	2	7	1.6129	1.6129	7	7
2	est	3	6	1.3825	2.9954	12	3.5
3	neque	5	5	1.1521	4.1475	15	2.3
3	demea	5	5	1.1521	5.2995	15	2.3
3	et	2	5	1.1521	6.4516	15	2.3
3	si	2	5	1.1521	7.6037	15	2.3
3	atque	5	5	1.1521	8.7558	15	2.3
4	ad	2	4	0.9217	9.6774	16	1.8
4	una	3	4	0.9217	10.5991	16	1.8
4	quae	4	4	0.9217	11.5207	16	1.8
4	aliter	6	4	0.9217	12.4424	16	1.8
4	vos	3	4	0.9217	13.3641	16	1.8
4	te	2	4	0.9217	14.2857	16	1.8
4	quam	4	4	0.9217	15.2074	16	1.8
4	mihi	4	4	0.9217	16.129	16	1.8
5	animo	5	3	0.6912	16.8203	15	1.4
5	illam	5	3	0.6912	17.5115	15	1.4
5	res	3	3	0.6912	18.2028	15	1.4
5	eius	4	3	0.6912	18.894	15	1.4
5	sed	3	3	0.6912	19.5853	15	1.4
5	quid	4	3	0.6912	20.2765	15	1.4
5	geta	4	3	0.6912	20.9677	15	1.4
5	quod	4	3	0.6912	21.659	15	1.4
5	virginis	8	3	0.6912	22.3502	15	1.4
5	quaeso	6	3	0.6912	23.0415	15	1.4
5	me	2	3	0.6912	23.7327	15	1.4
6	bene	4	2	0.4608	24.1935	12	1.2
6	virgo	5	2	0.4608	24.6544	12	1.2
6	maxume	6	2	0.4608	25.1152	12	1.2
6	illas	5	2	0.4608	25.576	12	1.2
6	propter	7	2	0.4608	26.0369	12	1.2
6	dixti	5	2	0.4608	26.4977	12	1.2
6	hoc	3	2	0.4608	26.9585	12	1.2
6	animum	6	2	0.4608	27.4194	12	1.2
6	nam	3	2	0.4608	27.8802	12	1.2
6	ipsa	4	2	0.4608	28.341	12	1.2
6	in	2	2	0.4608	28.8018	12	1.2
6	hac	3	2	0.4608	29.2627	12	1.2
6	hanc	4	2	0.4608	29.7235	12	1.2
6	psaltriam	9	2	0.4608	30.1843	12	1.2
6	narrabo	7	2	0.4608	30.6452	12	1.2
6	fidem	5	2	0.4608	31.106	12	1.2
6	intro	5	2	0.4608	31.5668	12	1.2
6	hic	3	2	0.4608	32.0276	12	1.2
6	se	2	2	0.4608	32.4885	12	1.2
6	fac	3	2	0.4608	32.9493	12	1.2
6	facis	5	2	0.4608	33.4101	12	1.2
6	matrem	6	2	0.4608	33.871	12	1.2
