rank	word	wordlength	count	frequenz(count*100/1779)	sum frequenz	zipf(rank*count)	zipf(max/rank)
1	non	3	33	1.855	1.855	33	33
2	et	2	29	1.6301	3.4851	58	16.5
2	est	3	29	1.6301	5.1152	58	16.5
3	si	2	24	1.3491	6.4643	72	11
4	quid	4	21	1.1804	7.6447	84	8.3
5	te	2	20	1.1242	8.769	100	6.6
6	aut	3	18	1.0118	9.7808	108	5.5
7	mihi	4	17	0.9556	10.7364	119	4.7
7	ego	3	17	0.9556	11.692	119	4.7
8	quod	4	16	0.8994	12.5913	128	4.1
8	me	2	16	0.8994	13.4907	128	4.1
8	quam	4	16	0.8994	14.3901	128	4.1
8	in	2	16	0.8994	15.2895	128	4.1
9	hoc	3	15	0.8432	16.1327	135	3.7
9	ut	2	15	0.8432	16.9758	135	3.7
10	id	2	14	0.787	17.7628	140	3.3
10	tu	2	14	0.787	18.5497	140	3.3
10	haec	4	14	0.787	19.3367	140	3.3
11	quae	4	13	0.7307	20.0675	143	3
12	iam	3	11	0.6183	20.6858	132	2.8
12	ita	3	11	0.6183	21.3041	132	2.8
12	neque	5	11	0.6183	21.9224	132	2.8
12	demea	5	11	0.6183	22.5408	132	2.8
13	atque	5	10	0.5621	23.1029	130	2.5
14	quor	4	9	0.5059	23.6088	126	2.4
14	nam	3	9	0.5059	24.1147	126	2.4
14	a	1	9	0.5059	24.6206	126	2.4
14	esse	4	9	0.5059	25.1265	126	2.4
14	hic	3	9	0.5059	25.6324	126	2.4
14	de	2	9	0.5059	26.1383	126	2.4
15	animo	5	8	0.4497	26.588	120	2.2
15	sed	3	8	0.4497	27.0377	120	2.2
15	sunt	4	8	0.4497	27.4874	120	2.2
15	qui	3	8	0.4497	27.937	120	2.2
15	nil	3	8	0.4497	28.3867	120	2.2
15	tibi	4	8	0.4497	28.8364	120	2.2
16	nunc	4	7	0.3935	29.2299	112	2.1
16	quidem	6	7	0.3935	29.6234	112	2.1
16	rem	3	7	0.3935	30.0169	112	2.1
16	illam	5	7	0.3935	30.4103	112	2.1
16	re	2	7	0.3935	30.8038	112	2.1
17	omnia	5	6	0.3373	31.1411	102	1.9
17	nobis	5	6	0.3373	31.4784	102	1.9
17	scio	4	6	0.3373	31.8156	102	1.9
17	es	2	6	0.3373	32.1529	102	1.9
17	is	2	6	0.3373	32.4902	102	1.9
17	uxorem	6	6	0.3373	32.8274	102	1.9
17	ad	2	6	0.3373	33.1647	102	1.9
17	illi	4	6	0.3373	33.502	102	1.9
18	huc	3	5	0.2811	33.783	90	1.8
18	tamen	5	5	0.2811	34.0641	90	1.8
18	res	3	5	0.2811	34.3451	90	1.8
18	illis	5	5	0.2811	34.6262	90	1.8
18	hac	3	5	0.2811	34.9073	90	1.8
18	ne	2	5	0.2811	35.1883	90	1.8
18	ob	2	5	0.2811	35.4694	90	1.8
18	facere	6	5	0.2811	35.7504	90	1.8
18	ex	2	5	0.2811	36.0315	90	1.8
18	istuc	5	5	0.2811	36.3125	90	1.8
18	filium	6	5	0.2811	36.5936	90	1.8
18	autem	5	5	0.2811	36.8746	90	1.8
18	sit	3	5	0.2811	37.1557	90	1.8
18	quom	4	5	0.2811	37.4368	90	1.8
19	quo	3	4	0.2248	37.6616	76	1.7
19	fores	5	4	0.2248	37.8865	76	1.7
19	quoi	4	4	0.2248	38.1113	76	1.7
19	cum	3	4	0.2248	38.3361	76	1.7
19	ac	2	4	0.2248	38.561	76	1.7
19	credo	5	4	0.2248	38.7858	76	1.7
19	fore	4	4	0.2248	39.0107	76	1.7
19	nisi	4	4	0.2248	39.2355	76	1.7
19	modo	4	4	0.2248	39.4604	76	1.7
19	ubi	3	4	0.2248	39.6852	76	1.7
19	huic	4	4	0.2248	39.9101	76	1.7
19	facit	5	4	0.2248	40.1349	76	1.7
19	quis	4	4	0.2248	40.3598	76	1.7
19	dum	3	4	0.2248	40.5846	76	1.7
19	sibi	4	4	0.2248	40.8094	76	1.7
19	sic	3	4	0.2248	41.0343	76	1.7
19	qua	3	4	0.2248	41.2591	76	1.7
19	mea	3	4	0.2248	41.484	76	1.7
19	erit	4	4	0.2248	41.7088	76	1.7
19	enim	4	4	0.2248	41.9337	76	1.7
20	ah	2	3	0.1686	42.1023	60	1.7
20	post	4	3	0.1686	42.2709	60	1.7
20	hodie	5	3	0.1686	42.4396	60	1.7
20	item	4	3	0.1686	42.6082	60	1.7
20	se	2	3	0.1686	42.7768	60	1.7
20	tanto	5	3	0.1686	42.9455	60	1.7
20	faciunt	7	3	0.1686	43.1141	60	1.7
20	eo	2	3	0.1686	43.2827	60	1.7
20	fieret	6	3	0.1686	43.4514	60	1.7
20	tum	3	3	0.1686	43.62	60	1.7
20	pro	3	3	0.1686	43.7886	60	1.7
20	tuom	4	3	0.1686	43.9573	60	1.7
20	illum	5	3	0.1686	44.1259	60	1.7
20	verum	5	3	0.1686	44.2945	60	1.7
20	hunc	4	3	0.1686	44.4632	60	1.7
20	duo	3	3	0.1686	44.6318	60	1.7
20	hilarum	7	3	0.1686	44.8004	60	1.7
20	meo	3	3	0.1686	44.9691	60	1.7
20	numquam	7	3	0.1686	45.1377	60	1.7
20	postremo	8	3	0.1686	45.3064	60	1.7
20	fac	3	3	0.1686	45.475	60	1.7
20	illud	5	3	0.1686	45.6436	60	1.7
20	at	2	3	0.1686	45.8123	60	1.7
20	virgo	5	3	0.1686	45.9809	60	1.7
20	ipse	4	3	0.1686	46.1495	60	1.7
20	tua	3	3	0.1686	46.3182	60	1.7
20	nimium	6	3	0.1686	46.4868	60	1.7
20	aeschine	8	3	0.1686	46.6554	60	1.7
20	dixi	4	3	0.1686	46.8241	60	1.7
20	ingenium	8	3	0.1686	46.9927	60	1.7
20	quem	4	3	0.1686	47.1613	60	1.7
20	ille	4	3	0.1686	47.33	60	1.7
20	quia	4	3	0.1686	47.4986	60	1.7
20	video	5	3	0.1686	47.6672	60	1.7
20	recte	5	3	0.1686	47.8359	60	1.7
20	illos	5	3	0.1686	48.0045	60	1.7
20	agi	3	3	0.1686	48.1731	60	1.7
20	saepe	5	3	0.1686	48.3418	60	1.7
20	scilicet	8	3	0.1686	48.5104	60	1.7
21	unde	4	2	0.1124	48.6228	42	1.6
21	decet	5	2	0.1124	48.7352	42	1.6
21	fit	3	2	0.1124	48.8477	42	1.6
21	animum	6	2	0.1124	48.9601	42	1.6
21	foras	5	2	0.1124	49.0725	42	1.6
21	licet	5	2	0.1124	49.1849	42	1.6
21	meum	4	2	0.1124	49.2974	42	1.6
21	sapere	6	2	0.1124	49.4098	42	1.6
21	sat	3	2	0.1124	49.5222	42	1.6
21	homo	4	2	0.1124	49.6346	42	1.6
21	pater	5	2	0.1124	49.747	42	1.6
21	liberum	7	2	0.1124	49.8595	42	1.6
21	officium	8	2	0.1124	49.9719	42	1.6
21	iri	3	2	0.1124	50.0843	42	1.6
21	rursum	6	2	0.1124	50.1967	42	1.6
21	quidnam	7	2	0.1124	50.3092	42	1.6
21	optine	6	2	0.1124	50.4216	42	1.6
21	idem	4	2	0.1124	50.534	42	1.6
21	esset	5	2	0.1124	50.6464	42	1.6
21	homine	6	2	0.1124	50.7589	42	1.6
21	fecere	6	2	0.1124	50.8713	42	1.6
