rank	word	wordlength	count	frequenz(count*100/151)	sum frequenz	zipf(rank*count)	zipf(max/rank)
1	in	2	8	5.298	5.298	8	8
2	qui	3	4	2.649	7.947	8	4
3	eam	3	3	1.9868	9.9338	9	2.7
3	locum	5	3	1.9868	11.9205	9	2.7
3	partem	6	3	1.9868	13.9073	9	2.7
4	hic	3	2	1.3245	15.2318	8	2
4	eum	3	2	1.3245	16.5563	8	2
4	factum	6	2	1.3245	17.8808	8	2
4	an	2	2	1.3245	19.2053	8	2
4	de	2	2	1.3245	20.5298	8	2
4	acturi	6	2	1.3245	21.8543	8	2
4	quod	4	2	1.3245	23.1788	8	2
4	et	2	2	1.3245	24.5033	8	2
5	aperient	8	1	0.6623	25.1656	5	1.6
5	vehemens	8	1	0.6623	25.8278	5	1.6
5	placet	6	1	0.6623	26.4901	5	1.6
5	illis	5	1	0.6623	27.1523	5	1.6
5	quom	4	1	0.6623	27.8146	5	1.6
5	maxumam	7	1	0.6623	28.4768	5	1.6
5	ad	2	1	0.6623	29.1391	5	1.6
5	ducit	5	1	0.6623	29.8013	5	1.6
5	scribendum	10	1	0.6623	30.4636	5	1.6
5	laudem	6	1	0.6623	31.1258	5	1.6
5	existumant	10	1	0.6623	31.7881	5	1.6
5	augeat	6	1	0.6623	32.4503	5	1.6
5	esse	4	1	0.6623	33.1126	5	1.6
5	maledictum	10	1	0.6623	33.7748	5	1.6
5	poetae	6	1	0.6623	34.4371	5	1.6
5	illi	4	1	0.6623	35.0993	5	1.6
5	scribere	8	1	0.6623	35.7616	5	1.6
5	una	3	1	0.6623	36.4238	5	1.6
5	adsidueque	10	1	0.6623	37.0861	5	1.6
5	adiutare	8	1	0.6623	37.7483	5	1.6
5	hunc	4	1	0.6623	38.4106	5	1.6
5	nobilis	7	1	0.6623	39.0728	5	1.6
5	homines	7	1	0.6623	39.7351	5	1.6
5	malevoli	8	1	0.6623	40.3974	5	1.6
5	dicunt	6	1	0.6623	41.0596	5	1.6
5	isti	4	1	0.6623	41.7219	5	1.6
5	vobis	5	1	0.6623	42.3841	5	1.6
5	populo	6	1	0.6623	43.0464	5	1.6
5	univorsis	9	1	0.6623	43.7086	5	1.6
5	facite	6	1	0.6623	44.3709	5	1.6
5	i	1	1	0.6623	45.0331	5	1.6
5	ostendent	9	1	0.6623	45.6954	5	1.6
5	venient	7	1	0.6623	46.3576	5	1.6
5	primi	5	1	0.6623	47.0199	5	1.6
5	senes	5	1	0.6623	47.6821	5	1.6
5	fabulae	7	1	0.6623	48.3444	5	1.6
5	argumentum	10	1	0.6623	49.0066	5	1.6
5	exspectetis	11	1	0.6623	49.6689	5	1.6
5	ne	2	1	0.6623	50.3311	5	1.6
5	dehinc	6	1	0.6623	50.9934	5	1.6
5	superbia	8	1	0.6623	51.6556	5	1.6
5	sine	4	1	0.6623	52.3179	5	1.6
5	agendo	6	1	0.6623	52.9801	5	1.6
5	usust	5	1	0.6623	53.6424	5	1.6
5	aequanimitas	12	1	0.6623	54.3046	5	1.6
5	tempore	7	1	0.6623	54.9669	5	1.6
5	quisque	7	1	0.6623	55.6291	5	1.6
5	suo	3	1	0.6623	56.2914	5	1.6
5	negotio	7	1	0.6623	56.9536	5	1.6
5	nam	3	1	0.6623	57.6159	5	1.6
5	otio	4	1	0.6623	58.2781	5	1.6
5	bello	5	1	0.6623	58.9404	5	1.6
5	opera	5	1	0.6623	59.6026	5	1.6
5	quorum	6	1	0.6623	60.2649	5	1.6
5	placent	7	1	0.6623	60.9272	5	1.6
5	postquam	8	1	0.6623	61.5894	5	1.6
5	novam	5	1	0.6623	62.2517	5	1.6
5	neglegentiast	13	1	0.6623	62.9139	5	1.6
5	ipse	4	1	0.6623	63.5762	5	1.6
