rank	word	wordlength	count	frequenz(count*100/517)	sum frequenz	zipf(rank*count)	zipf(max/rank)
1	ego	3	10	1.9342	1.9342	10	10
2	me	2	9	1.7408	3.675	18	5
3	hoc	3	7	1.354	5.029	21	3.3
3	quid	4	7	1.354	6.383	21	3.3
4	mihi	4	5	0.9671	7.3501	20	2.5
4	te	2	5	0.9671	8.3172	20	2.5
4	esse	4	5	0.9671	9.2843	20	2.5
4	quam	4	5	0.9671	10.2515	20	2.5
4	ut	2	5	0.9671	11.2186	20	2.5
4	qui	3	5	0.9671	12.1857	20	2.5
5	haec	4	4	0.7737	12.9594	20	2
5	non	3	4	0.7737	13.7331	20	2
5	quod	4	4	0.7737	14.5068	20	2
5	tu	2	4	0.7737	15.2805	20	2
5	tibi	4	4	0.7737	16.0542	20	2
5	si	2	4	0.7737	16.8279	20	2
5	iniuria	7	4	0.7737	17.6015	20	2
5	nunc	4	4	0.7737	18.3752	20	2
5	in	2	4	0.7737	19.1489	20	2
5	est	3	4	0.7737	19.9226	20	2
6	hic	3	3	0.5803	20.5029	18	1.7
6	etiam	5	3	0.5803	21.0832	18	1.7
6	reddat	6	3	0.5803	21.6634	18	1.7
6	modo	4	3	0.5803	22.2437	18	1.7
6	aeschine	8	3	0.5803	22.824	18	1.7
6	o	1	3	0.5803	23.4043	18	1.7
6	verum	5	3	0.5803	23.9845	18	1.7
6	sum	3	3	0.5803	24.5648	18	1.7
6	id	2	3	0.5803	25.1451	18	1.7
6	ubi	3	3	0.5803	25.7253	18	1.7
6	syre	4	3	0.5803	26.3056	18	1.7
6	et	2	3	0.5803	26.8859	18	1.7
6	nil	3	3	0.5803	27.4662	18	1.7
7	sim	3	2	0.3868	27.853	14	1.4
7	hac	3	2	0.3868	28.2398	14	1.4
7	cupio	5	2	0.3868	28.6267	14	1.4
7	egomet	6	2	0.3868	29.0135	14	1.4
7	postulat	8	2	0.3868	29.4004	14	1.4
7	indignum	8	2	0.3868	29.7872	14	1.4
7	quando	6	2	0.3868	30.1741	14	1.4
7	venio	5	2	0.3868	30.5609	14	1.4
7	redi	4	2	0.3868	30.9478	14	1.4
7	quo	3	2	0.3868	31.3346	14	1.4
7	enim	4	2	0.3868	31.7215	14	1.4
7	istuc	5	2	0.3868	32.1083	14	1.4
7	quaeso	6	2	0.3868	32.4952	14	1.4
7	ei	2	2	0.3868	32.882	14	1.4
7	nusquam	7	2	0.3868	33.2689	14	1.4
7	illuc	5	2	0.3868	33.6557	14	1.4
7	hoccin	6	2	0.3868	34.0426	14	1.4
7	male	4	2	0.3868	34.4294	14	1.4
7	tam	3	2	0.3868	34.8162	14	1.4
7	meam	4	2	0.3868	35.2031	14	1.4
7	pro	3	2	0.3868	35.5899	14	1.4
7	hercle	6	2	0.3868	35.9768	14	1.4
7	argentum	8	2	0.3868	36.3636	14	1.4
7	fuit	4	2	0.3868	36.7505	14	1.4
7	meum	4	2	0.3868	37.1373	14	1.4
7	hodie	5	2	0.3868	37.5242	14	1.4
7	at	2	2	0.3868	37.911	14	1.4
7	leno	4	2	0.3868	38.2979	14	1.4
7	hanc	4	2	0.3868	38.6847	14	1.4
7	numquam	7	2	0.3868	39.0716	14	1.4
7	usque	5	2	0.3868	39.4584	14	1.4
7	mi	2	2	0.3868	39.8453	14	1.4
7	ne	2	2	0.3868	40.2321	14	1.4
7	de	2	2	0.3868	40.619	14	1.4
7	sed	3	2	0.3868	41.0058	14	1.4
7	omnibus	7	2	0.3868	41.3926	14	1.4
7	ius	3	2	0.3868	41.7795	14	1.4
7	misero	6	2	0.3868	42.1663	14	1.4
7	res	3	2	0.3868	42.5532	14	1.4
