rank	word	wordlength	count	frequenz(count*100/1128)	sum frequenz	zipf(rank*count)	zipf(max/rank)
1	est	3	22	1.9504	1.9504	22	22
2	quid	4	16	1.4184	3.3688	32	11
3	et	2	14	1.2411	4.6099	42	7.3
3	in	2	14	1.2411	5.8511	42	7.3
4	te	2	13	1.1525	7.0035	52	5.5
4	non	3	13	1.1525	8.156	52	5.5
5	tu	2	11	0.9752	9.1312	55	4.4
5	demea	5	11	0.9752	10.1064	55	4.4
5	ego	3	11	0.9752	11.0816	55	4.4
6	ut	2	10	0.8865	11.9681	60	3.7
6	hoc	3	10	0.8865	12.8546	60	3.7
7	ubi	3	9	0.7979	13.6525	63	3.1
8	haec	4	7	0.6206	14.273	56	2.8
8	ad	2	7	0.6206	14.8936	56	2.8
8	iam	3	7	0.6206	15.5142	56	2.8
8	quae	4	7	0.6206	16.1348	56	2.8
9	hac	3	6	0.5319	16.6667	54	2.4
9	modo	4	6	0.5319	17.1986	54	2.4
9	sane	4	6	0.5319	17.7305	54	2.4
9	atque	5	6	0.5319	18.2624	54	2.4
9	quam	4	6	0.5319	18.7943	54	2.4
9	o	1	6	0.5319	19.3262	54	2.4
9	ne	2	6	0.5319	19.8582	54	2.4
9	mihi	4	6	0.5319	20.3901	54	2.4
9	tibi	4	6	0.5319	20.922	54	2.4
10	hercle	6	5	0.4433	21.3652	50	2.2
10	me	2	5	0.4433	21.8085	50	2.2
10	nil	3	5	0.4433	22.2518	50	2.2
10	apud	4	5	0.4433	22.695	50	2.2
10	quod	4	5	0.4433	23.1383	50	2.2
10	verum	5	5	0.4433	23.5816	50	2.2
10	esse	4	5	0.4433	24.0248	50	2.2
10	etiam	5	5	0.4433	24.4681	50	2.2
10	hic	3	5	0.4433	24.9113	50	2.2
10	sed	3	5	0.4433	25.3546	50	2.2
11	autem	5	4	0.3546	25.7092	44	2
11	rem	3	4	0.3546	26.0638	44	2
11	es	2	4	0.3546	26.4184	44	2
11	facere	6	4	0.3546	26.773	44	2
11	hunc	4	4	0.3546	27.1277	44	2
11	de	2	4	0.3546	27.4823	44	2
