rank	word	wordlength	count	frequency(count*100/8025)	sum frequency	zipf(rank*count)	zipf(max/rank)
1	quid	4	126	1.5701	1.5701	126	126
2	est	3	106	1.3209	2.891	212	63
3	non	3	105	1.3084	4.1994	315	42
4	et	2	100	1.2461	5.4455	400	31.5
5	in	2	85	1.0592	6.5047	425	25.2
6	me	2	82	1.0218	7.5265	492	21
6	te	2	82	1.0218	8.5483	492	21
7	ego	3	78	0.972	9.5202	546	18
8	ut	2	74	0.9221	10.4424	592	15.8
9	si	2	73	0.9097	11.352	657	14
10	hoc	3	65	0.81	12.162	650	12.6
11	tu	2	56	0.6978	12.8598	616	11.5
12	quam	4	55	0.6854	13.5452	660	10.5
13	mihi	4	53	0.6604	14.2056	689	9.7
14	quod	4	52	0.648	14.8536	728	9
15	iam	3	49	0.6106	15.4642	735	8.4
16	esse	4	47	0.5857	16.0498	752	7.9
16	id	2	47	0.5857	16.6355	752	7.9
17	hic	3	46	0.5732	17.2087	782	7.4
17	nunc	4	46	0.5732	17.7819	782	7.4
17	haec	4	46	0.5732	18.3551	782	7.4
18	ad	2	45	0.5607	18.9159	810	7
19	atque	5	42	0.5234	19.4393	798	6.6
20	tibi	4	41	0.5109	19.9502	820	6.3
21	qui	3	39	0.486	20.4361	819	6
22	quae	4	37	0.4611	20.8972	814	5.7
23	sed	3	34	0.4237	21.3209	782	5.5
23	neque	5	34	0.4237	21.7445	782	5.5
24	ita	3	33	0.4112	22.1558	792	5.3
25	nil	3	30	0.3738	22.5296	750	5
25	nam	3	30	0.3738	22.9034	750	5
26	rem	3	29	0.3614	23.2648	754	4.8
26	demea	5	29	0.3614	23.6262	754	4.8
27	pater	5	28	0.3489	23.9751	756	4.7
27	ne	2	28	0.3489	24.324	756	4.7
27	o	1	28	0.3489	24.6729	756	4.7
27	ubi	3	28	0.3489	25.0218	756	4.7
27	de	2	28	0.3489	25.3707	756	4.7
28	aut	3	26	0.324	25.6947	728	4.5
29	hanc	4	25	0.3115	26.0062	725	4.3
30	mi	2	23	0.2866	26.2928	690	4.2
30	illum	5	23	0.2866	26.5794	690	4.2
30	hac	3	23	0.2866	26.866	690	4.2
31	modo	4	22	0.2741	27.1402	682	4.1
31	bene	4	22	0.2741	27.4143	682	4.1
31	ex	2	22	0.2741	27.6885	682	4.1
32	animo	5	21	0.2617	27.9502	672	3.9
32	illam	5	21	0.2617	28.2118	672	3.9
32	sit	3	21	0.2617	28.4735	672	3.9
33	a	1	20	0.2492	28.7227	660	3.8
33	quidem	6	20	0.2492	28.972	660	3.8
33	quom	4	20	0.2492	29.2212	660	3.8
34	hercle	6	19	0.2368	29.4579	646	3.7
34	istuc	5	19	0.2368	29.6947	646	3.7
34	scio	4	19	0.2368	29.9315	646	3.7
34	nobis	5	19	0.2368	30.1682	646	3.7
35	facere	6	18	0.2243	30.3925	630	3.6
35	verum	5	18	0.2243	30.6168	630	3.6
35	res	3	18	0.2243	30.8411	630	3.6
35	autem	5	18	0.2243	31.0654	630	3.6
35	syre	4	18	0.2243	31.2897	630	3.6
35	illi	4	18	0.2243	31.514	630	3.6
35	re	2	18	0.2243	31.7383	630	3.6
35	numquam	7	18	0.2243	31.9626	630	3.6
36	nos	3	17	0.2118	32.1745	612	3.5
36	sunt	4	17	0.2118	32.3863	612	3.5
36	ac	2	17	0.2118	32.5981	612	3.5
36	is	2	17	0.2118	32.81	612	3.5
36	omnia	5	17	0.2118	33.0218	612	3.5
37	es	2	16	0.1994	33.2212	592	3.4
37	an	2	16	0.1994	33.4206	592	3.4
37	etiam	5	16	0.1994	33.6199	592	3.4
37	sum	3	16	0.1994	33.8193	592	3.4
37	ille	4	16	0.1994	34.0187	592	3.4
38	sic	3	15	0.1869	34.2056	570	3.3
38	hodie	5	15	0.1869	34.3925	570	3.3
38	quor	4	15	0.1869	34.5794	570	3.3
38	dum	3	15	0.1869	34.7664	570	3.3
38	cum	3	15	0.1869	34.9533	570	3.3
38	huic	4	15	0.1869	35.1402	570	3.3
38	se	2	15	0.1869	35.3271	570	3.3
38	pro	3	15	0.1869	35.514	570	3.3
38	mea	3	15	0.1869	35.7009	570	3.3
39	quo	3	14	0.1745	35.8754	546	3.2
39	sibi	4	14	0.1745	36.0498	546	3.2
39	hunc	4	14	0.1745	36.2243	546	3.2
39	ob	2	14	0.1745	36.3988	546	3.2
39	huc	3	14	0.1745	36.5732	546	3.2
39	tam	3	14	0.1745	36.7477	546	3.2
39	micio	5	14	0.1745	36.9221	546	3.2
40	hinc	4	13	0.162	37.0841	520	3.2
40	hem	3	13	0.162	37.2461	520	3.2
40	fieri	5	13	0.162	37.4081	520	3.2
40	nisi	4	13	0.162	37.5701	520	3.2
40	potest	6	13	0.162	37.7321	520	3.2
40	factum	6	13	0.162	37.8941	520	3.2
40	aeschine	8	13	0.162	38.0561	520	3.2
41	homo	4	12	0.1495	38.2056	492	3.1
41	vero	4	12	0.1495	38.3551	492	3.1
41	abi	3	12	0.1495	38.5047	492	3.1
41	faciam	6	12	0.1495	38.6542	492	3.1
41	primum	6	12	0.1495	38.8037	492	3.1
41	obsecro	7	12	0.1495	38.9533	492	3.1
41	ipsum	5	12	0.1495	39.1028	492	3.1
41	ah	2	12	0.1495	39.2523	492	3.1
41	quem	4	12	0.1495	39.4019	492	3.1
42	eum	3	11	0.1371	39.5389	462	3
42	tamen	5	11	0.1371	39.676	462	3
42	age	3	11	0.1371	39.8131	462	3
42	quando	6	11	0.1371	39.9502	462	3
42	credo	5	11	0.1371	40.0872	462	3
42	usque	5	11	0.1371	40.2243	462	3
42	geta	4	11	0.1371	40.3614	462	3
42	uxorem	6	11	0.1371	40.4984	462	3
42	illa	4	11	0.1371	40.6355	462	3
42	una	3	11	0.1371	40.7726	462	3
42	quaeso	6	11	0.1371	40.9097	462	3
42	quin	4	11	0.1371	41.0467	462	3
42	video	5	11	0.1371	41.1838	462	3
42	vis	3	11	0.1371	41.3209	462	3
43	vos	3	10	0.1246	41.4455	430	2.9
43	meum	4	10	0.1246	41.5701	430	2.9
43	haud	4	10	0.1246	41.6947	430	2.9
43	fit	3	10	0.1246	41.8193	430	2.9
43	filium	6	10	0.1246	41.9439	430	2.9
43	recte	5	10	0.1246	42.0685	430	2.9
43	ipsa	4	10	0.1246	42.1931	430	2.9
43	hominem	7	10	0.1246	42.3178	430	2.9
43	vobis	5	10	0.1246	42.4424	430	2.9
44	aliquid	7	9	0.1121	42.5545	396	2.9
44	illud	5	9	0.1121	42.6667	396	2.9
44	ei	2	9	0.1121	42.7788	396	2.9
44	argentum	8	9	0.1121	42.891	396	2.9
44	egomet	6	9	0.1121	43.0031	396	2.9
44	omnes	5	9	0.1121	43.1153	396	2.9
44	vitam	5	9	0.1121	43.2274	396	2.9
44	eam	3	9	0.1121	43.3396	396	2.9
44	intro	5	9	0.1121	43.4517	396	2.9
44	em	2	9	0.1121	43.5639	396	2.9
44	postremo	8	9	0.1121	43.676	396	2.9
44	maxume	6	9	0.1121	43.7882	396	2.9
44	tua	3	9	0.1121	43.9003	396	2.9
44	tuom	4	9	0.1121	44.0125	396	2.9
44	apud	4	9	0.1121	44.1246	396	2.9
44	ctesipho	8	9	0.1121	44.2368	396	2.9
44	placet	6	9	0.1121	44.3489	396	2.9
44	dicam	5	9	0.1121	44.4611	396	2.9
44	tum	3	9	0.1121	44.5732	396	2.9
44	frater	6	9	0.1121	44.6854	396	2.9
