rank	word	wordlength	count	frequency(count*100/172)	sum frequency	zipf(rank*count)	zipf(max/rank)
1	id	2	6	3.4884	3.4884	6	6
2	quid	4	4	2.3256	5.814	8	3
2	ut	2	4	2.3256	8.1395	8	3
3	ego	3	3	1.7442	9.8837	9	2
3	quod	4	3	1.7442	11.6279	9	2
3	hic	3	3	1.7442	13.3721	9	2
3	quam	4	3	1.7442	15.1163	9	2
3	si	2	3	1.7442	16.8605	9	2
3	illam	5	3	1.7442	18.6047	9	2
4	esse	4	2	1.1628	19.7674	8	1.5
4	in	2	2	1.1628	20.9302	8	1.5
4	quo	3	2	1.1628	22.093	8	1.5
4	nil	3	2	1.1628	23.2558	8	1.5
4	sibi	4	2	1.1628	24.4186	8	1.5
4	te	2	2	1.1628	25.5814	8	1.5
4	nunc	4	2	1.1628	26.7442	8	1.5
4	age	3	2	1.1628	27.907	8	1.5
4	est	3	2	1.1628	29.0698	8	1.5
4	hoc	3	2	1.1628	30.2326	8	1.5
4	eru	3	2	1.1628	31.3953	8	1.5
4	davo	4	2	1.1628	32.5581	8	1.5
5	hunc	4	1	0.5814	33.1395	5	1.2
5	re	2	1	0.5814	33.7209	5	1.2
5	venientem	9	1	0.5814	34.3023	5	1.2
5	sequor	6	1	0.5814	34.8837	5	1.2
5	ipsum	5	1	0.5814	35.4651	5	1.2
5	nullane	7	1	0.5814	36.0465	5	1.2
5	adeo	4	1	0.5814	36.6279	5	1.2
5	praesto	7	1	0.5814	37.2093	5	1.2
5	excidit	7	1	0.5814	37.7907	5	1.2
5	agam	4	1	0.5814	38.3721	5	1.2
5	nostrae	7	1	0.5814	38.9535	5	1.2
5	audio	5	1	0.5814	39.5349	5	1.2
5	video	5	1	0.5814	40.1163	5	1.2
5	quantum	7	1	0.5814	40.6977	5	1.2
5	dixit	5	1	0.5814	41.2791	5	1.2
5	cum	3	1	0.5814	41.8605	5	1.2
5	hem	3	1	0.5814	42.4419	5	1.2
