rank	word	wordlength	count	frequenz(count*100/551)	sum frequenz	zipf(rank*count)	zipf(max/rank)
1	quid	4	10	1.8149	1.8149	10	10
2	me	2	9	1.6334	3.4483	18	5
2	ut	2	9	1.6334	5.0817	18	5
3	si	2	8	1.4519	6.5336	24	3.3
4	tibi	4	7	1.2704	7.804	28	2.5
4	est	3	7	1.2704	9.0744	28	2.5
5	atque	5	6	1.0889	10.1633	30	2
5	in	2	6	1.0889	11.2523	30	2
5	nil	3	6	1.0889	12.3412	30	2
5	et	2	6	1.0889	13.4301	30	2
6	te	2	5	0.9074	14.3376	30	1.7
6	hodie	5	5	0.9074	15.245	30	1.7
6	mihi	4	5	0.9074	16.1525	30	1.7
6	at	2	5	0.9074	17.0599	30	1.7
6	tu	2	5	0.9074	17.9673	30	1.7
7	scio	4	4	0.726	18.6933	28	1.4
7	huic	4	4	0.726	19.4192	28	1.4
7	quis	4	4	0.726	20.1452	28	1.4
7	ubi	3	4	0.726	20.8711	28	1.4
7	nisi	4	4	0.726	21.5971	28	1.4
7	ad	2	4	0.726	22.323	28	1.4
7	tamen	5	4	0.726	23.049	28	1.4
8	nunc	4	3	0.5445	23.5935	24	1.3
8	hoc	3	3	0.5445	24.1379	24	1.3
8	illam	5	3	0.5445	24.6824	24	1.3
8	quam	4	3	0.5445	25.2269	24	1.3
8	omnia	5	3	0.5445	25.7713	24	1.3
8	sum	3	3	0.5445	26.3158	24	1.3
8	sed	3	3	0.5445	26.8603	24	1.3
8	non	3	3	0.5445	27.4047	24	1.3
8	hic	3	3	0.5445	27.9492	24	1.3
8	dave	4	3	0.5445	28.4936	24	1.3
8	siquid	6	3	0.5445	29.0381	24	1.3
8	esse	4	3	0.5445	29.5826	24	1.3
8	sunt	4	3	0.5445	30.127	24	1.3
8	byrria	6	3	0.5445	30.6715	24	1.3
8	cum	3	3	0.5445	31.216	24	1.3
8	es	2	3	0.5445	31.7604	24	1.3
8	id	2	3	0.5445	32.3049	24	1.3
8	pamphile	8	3	0.5445	32.8494	24	1.3
8	sat	3	3	0.5445	33.3938	24	1.3
8	rem	3	3	0.5445	33.9383	24	1.3
8	quae	4	3	0.5445	34.4828	24	1.3
9	bene	4	2	0.363	34.8457	18	1.1
9	fiet	4	2	0.363	35.2087	18	1.1
9	saltem	6	2	0.363	35.5717	18	1.1
9	ais	3	2	0.363	35.9347	18	1.1
9	dic	3	2	0.363	36.2976	18	1.1
9	dies	4	2	0.363	36.6606	18	1.1
9	ei	2	2	0.363	37.0236	18	1.1
9	factum	6	2	0.363	37.3866	18	1.1
9	aliquot	7	2	0.363	37.7495	18	1.1
9	animo	5	2	0.363	38.1125	18	1.1
9	scelus	6	2	0.363	38.4755	18	1.1
9	hem	3	2	0.363	38.8385	18	1.1
9	iam	3	2	0.363	39.2015	18	1.1
9	qui	3	2	0.363	39.5644	18	1.1
9	hercle	6	2	0.363	39.9274	18	1.1
9	tua	3	2	0.363	40.2904	18	1.1
9	amorem	6	2	0.363	40.6534	18	1.1
9	eum	3	2	0.363	41.0163	18	1.1
