rank	word	wordlength	count	frequency(count*100/605)	sum frequency	zipf(rank*count)	zipf(max/rank)
1	quid	4	10	1.6529	1.6529	10	10
1	ut	2	10	1.6529	3.3058	10	10
1	me	2	10	1.6529	4.9587	10	10
2	est	3	9	1.4876	6.4463	18	5
3	si	2	8	1.3223	7.7686	24	3.3
3	tibi	4	8	1.3223	9.0909	24	3.3
4	mihi	4	7	1.157	10.2479	28	2.5
4	et	2	7	1.157	11.405	28	2.5
4	te	2	7	1.157	12.562	28	2.5
5	in	2	6	0.9917	13.5537	30	2
5	nil	3	6	0.9917	14.5455	30	2
5	atque	5	6	0.9917	15.5372	30	2
6	tu	2	5	0.8264	16.3636	30	1.7
6	at	2	5	0.8264	17.1901	30	1.7
6	hodie	5	5	0.8264	18.0165	30	1.7
7	scio	4	4	0.6612	18.6777	28	1.4
7	ubi	3	4	0.6612	19.3388	28	1.4
7	ad	2	4	0.6612	20	28	1.4
7	id	2	4	0.6612	20.6612	28	1.4
7	nisi	4	4	0.6612	21.3223	28	1.4
7	nunc	4	4	0.6612	21.9835	28	1.4
7	huic	4	4	0.6612	22.6446	28	1.4
7	non	3	4	0.6612	23.3058	28	1.4
7	quam	4	4	0.6612	23.9669	28	1.4
7	quod	4	4	0.6612	24.6281	28	1.4
7	quis	4	4	0.6612	25.2893	28	1.4
7	tamen	5	4	0.6612	25.9504	28	1.4
8	hic	3	3	0.4959	26.4463	24	1.3
8	rem	3	3	0.4959	26.9421	24	1.3
8	omnia	5	3	0.4959	27.438	24	1.3
8	sed	3	3	0.4959	27.9339	24	1.3
8	sat	3	3	0.4959	28.4298	24	1.3
8	pamphile	8	3	0.4959	28.9256	24	1.3
8	sunt	4	3	0.4959	29.4215	24	1.3
8	dave	4	3	0.4959	29.9174	24	1.3
8	byrria	6	3	0.4959	30.4132	24	1.3
8	cum	3	3	0.4959	30.9091	24	1.3
8	quae	4	3	0.4959	31.405	24	1.3
8	sum	3	3	0.4959	31.9008	24	1.3
8	illam	5	3	0.4959	32.3967	24	1.3
8	es	2	3	0.4959	32.8926	24	1.3
8	siquid	6	3	0.4959	33.3884	24	1.3
8	hem	3	3	0.4959	33.8843	24	1.3
8	hoc	3	3	0.4959	34.3802	24	1.3
8	esse	4	3	0.4959	34.876	24	1.3
8	ita	3	3	0.4959	35.3719	24	1.3
9	abs	3	2	0.3306	35.7025	18	1.1
9	haec	4	2	0.3306	36.0331	18	1.1
9	tua	3	2	0.3306	36.3636	18	1.1
9	eum	3	2	0.3306	36.6942	18	1.1
9	hinc	4	2	0.3306	37.0248	18	1.1
9	iam	3	2	0.3306	37.3554	18	1.1
9	factum	6	2	0.3306	37.686	18	1.1
9	scelus	6	2	0.3306	38.0165	18	1.1
9	o	1	2	0.3306	38.3471	18	1.1
9	perii	5	2	0.3306	38.6777	18	1.1
9	de	2	2	0.3306	39.0083	18	1.1
9	consilium	9	2	0.3306	39.3388	18	1.1
9	istuc	5	2	0.3306	39.6694	18	1.1
9	chremes	7	2	0.3306	40	18	1.1
9	ei	2	2	0.3306	40.3306	18	1.1
9	dic	3	2	0.3306	40.6612	18	1.1
9	meo	3	2	0.3306	40.9917	18	1.1
9	ah	2	2	0.3306	41.3223	18	1.1
9	res	3	2	0.3306	41.6529	18	1.1
9	ea	2	2	0.3306	41.9835	18	1.1
9	hercle	6	2	0.3306	42.314	18	1.1
9	ais	3	2	0.3306	42.6446	18	1.1
9	tum	3	2	0.3306	42.9752	18	1.1
9	habeo	5	2	0.3306	43.3058	18	1.1
9	daue	4	2	0.3306	43.6364	18	1.1
9	animum	6	2	0.3306	43.9669	18	1.1
9	per	3	2	0.3306	44.2975	18	1.1
9	ibi	3	2	0.3306	44.6281	18	1.1
9	aut	3	2	0.3306	44.9587	18	1.1
9	ex	2	2	0.3306	45.2893	18	1.1
9	adeon	5	2	0.3306	45.6198	18	1.1
9	ne	2	2	0.3306	45.9504	18	1.1
9	animo	5	2	0.3306	46.281	18	1.1
9	bene	4	2	0.3306	46.6116	18	1.1
9	verum	5	2	0.3306	46.9421	18	1.1
9	saltem	6	2	0.3306	47.2727	18	1.1
9	amorem	6	2	0.3306	47.6033	18	1.1
9	spe	3	2	0.3306	47.9339	18	1.1
9	aliquot	7	2	0.3306	48.2645	18	1.1
9	spes	4	2	0.3306	48.595	18	1.1
9	hunc	4	2	0.3306	48.9256	18	1.1
9	facile	6	2	0.3306	49.2562	18	1.1
9	omnes	5	2	0.3306	49.5868	18	1.1
9	volo	4	2	0.3306	49.9174	18	1.1
9	qui	3	2	0.3306	50.2479	18	1.1
9	dies	4	2	0.3306	50.5785	18	1.1
9	fiet	4	2	0.3306	50.9091	18	1.1
9	antehac	7	2	0.3306	51.2397	18	1.1
9	postquam	8	2	0.3306	51.5702	18	1.1
10	exemplum	8	1	0.1653	51.7355	10	1
10	capit	5	1	0.1653	51.9008	10	1
10	animus	6	1	0.1653	52.0661	10	1
10	videtur	7	1	0.1653	52.2314	10	1
10	mirumst	7	1	0.1653	52.3967	10	1
10	tam	3	1	0.1653	52.562	10	1
10	timore	6	1	0.1653	52.7273	10	1
10	habeas	6	1	0.1653	52.8926	10	1
10	produceres	10	1	0.1653	53.0579	10	1
10	falsa	5	1	0.1653	53.2231	10	1
10	amantem	7	1	0.1653	53.3884	10	1
10	patre	5	1	0.1653	53.5537	10	1
10	propterea	9	1	0.1653	53.719	10	1
10	altercasti	10	1	0.1653	53.8843	10	1
10	voluntate	9	1	0.1653	54.0496	10	1
10	misero	6	1	0.1653	54.2149	10	1
10	ob	2	1	0.1653	54.3802	10	1
10	davos	5	1	0.1653	54.5455	10	1
10	homo	4	1	0.1653	54.7107	10	1
10	ducturum	8	1	0.1653	54.876	10	1
10	equidem	7	1	0.1653	55.0413	10	1
10	coactu	6	1	0.1653	55.2066	10	1
10	dudum	5	1	0.1653	55.3719	10	1
10	duceres	7	1	0.1653	55.5372	10	1
10	cogere	6	1	0.1653	55.7025	10	1
10	quivit	6	1	0.1653	55.8678	10	1
10	nec	3	1	0.1653	56.0331	10	1
10	suscenset	9	1	0.1653	56.1983	10	1
10	gaudium	7	1	0.1653	56.3636	10	1
10	is	2	1	0.1653	56.5289	10	1
10	lactasses	9	1	0.1653	56.6942	10	1
10	attentus	8	1	0.1653	56.8595	10	1
10	visumst	7	1	0.1653	57.0248	10	1
10	certe	5	1	0.1653	57.1901	10	1
10	inprudens	9	1	0.1653	57.3554	10	1
10	itane	5	1	0.1653	57.5207	10	1
10	gessero	7	1	0.1653	57.686	10	1
10	morem	5	1	0.1653	57.8512	10	1
10	fuit	4	1	0.1653	58.0165	10	1
10	fuero	5	1	0.1653	58.1818	10	1
10	molestu	7	1	0.1653	58.3471	10	1
10	inventast	9	1	0.1653	58.5124	10	1
10	multum	6	1	0.1653	58.6777	10	1
10	promoveris	10	1	0.1653	58.843	10	1
10	dicat	5	1	0.1653	59.0083	10	1
10	aliqui	6	1	0.1653	59.1736	10	1
10	multa	5	1	0.1653	59.3388	10	1
10	mala	4	1	0.1653	59.5041	10	1
10	tandem	6	1	0.1653	59.6694	10	1
10	causa	5	1	0.1653	59.8347	10	1
10	solidum	7	1	0.1653	60	10	1
10	conplacitast	12	1	0.1653	60.1653	10	1
10	usque	5	1	0.1653	60.3306	10	1
10	di	2	1	0.1653	60.4959	10	1
10	spectavi	8	1	0.1653	60.6612	10	1
10	tuom	4	1	0.1653	60.8264	10	1
10	miserum	7	1	0.1653	60.9917	10	1
10	heu	3	1	0.1653	61.157	10	1
10	dixi	4	1	0.1653	61.3223	10	1
10	solvisti	8	1	0.1653	61.4876	10	1
10	amare	5	1	0.1653	61.6529	10	1
10	postulas	8	1	0.1653	61.8182	10	1
10	dictis	6	1	0.1653	61.9835	10	1
10	istis	5	1	0.1653	62.1488	10	1
10	ducere	6	1	0.1653	62.314	10	1
10	etiamnunc	9	1	0.1653	62.4793	10	1
10	fidem	5	1	0.1653	62.6446	10	1
10	vae	3	1	0.1653	62.8099	10	1
10	duint	5	1	0.1653	62.9752	10	1
10	dignum	6	1	0.1653	63.1405	10	1
10	nuptum	6	1	0.1653	63.3058	10	1
10	amore	5	1	0.1653	63.4711	10	1
10	illa	4	1	0.1653	63.6364	10	1
10	pamphilo	8	1	0.1653	63.8017	10	1
10	m	1	1	0.1653	63.9669	10	1
10	voles	5	1	0.1653	64.1322	10	1
10	facturum	8	1	0.1653	64.2975	10	1
10	tuos	4	1	0.1653	64.4628	10	1
10	uita	4	1	0.1653	64.6281	10	1
10	respice	7	1	0.1653	64.7934	10	1
10	secundis	8	1	0.1653	64.9587	10	1
10	tuis	4	1	0.1653	65.124	10	1
10	age	3	1	0.1653	65.2893	10	1
10	conloquar	9	1	0.1653	65.4545	10	1
10	vera	4	1	0.1653	65.6198	10	1
10	salvo	5	1	0.1653	65.7851	10	1
10	ac	2	1	0.1653	65.9504	10	1
10	sors	4	1	0.1653	66.1157	10	1
10	vigilans	8	1	0.1653	66.281	10	1
10	daturne	7	1	0.1653	66.4463	10	1
10	habitus	7	1	0.1653	66.6116	10	1
10	repperisse	10	1	0.1653	66.7769	10	1
10	expeto	6	1	0.1653	66.9421	10	1
10	studio	6	1	0.1653	67.1074	10	1
10	summo	5	1	0.1653	67.2727	10	1
10	expecto	7	1	0.1653	67.438	10	1
10	gaudio	6	1	0.1653	67.6033	10	1
10	tollitur	8	1	0.1653	67.7686	10	1
10	minus	5	1	0.1653	67.9339	10	1
10	agissime	8	1	0.1653	68.0992	10	1
10	omnium	6	1	0.1653	68.2645	10	1
10	meorum	6	1	0.1653	68.4298	10	1
10	amicorum	8	1	0.1653	68.595	10	1
10	salue	5	1	0.1653	68.7603	10	1
10	occidi	6	1	0.1653	68.9256	10	1
10	voluit	6	1	0.1653	69.0909	10	1
10	somniat	7	1	0.1653	69.2562	10	1
10	factis	6	1	0.1653	69.4215	10	1
10	scis	4	1	0.1653	69.5868	10	1
10	quiesset	8	1	0.1653	69.7521	10	1
10	quiesci	7	1	0.1653	69.9174	10	1
10	potuerat	8	1	0.1653	70.0826	10	1
10	quidem	6	1	0.1653	70.2479	10	1
10	quibu	5	1	0.1653	70.4132	10	1
10	darent	6	1	0.1653	70.5785	10	1
10	vellent	7	1	0.1653	70.7438	10	1
10	aeque	5	1	0.1653	70.9091	10	1
10	inimici	7	1	0.1653	71.0744	10	1
10	nuptias	7	1	0.1653	71.2397	10	1
10	coniectum	9	1	0.1653	71.405	10	1
10	mi	2	1	0.1653	71.5702	10	1
10	eho	3	1	0.1653	71.7355	10	1
10	expostulem	10	1	0.1653	71.9008	10	1
10	exitium	7	1	0.1653	72.0661	10	1
10	miser	5	1	0.1653	72.2314	10	1
10	ego	3	1	0.1653	72.3967	10	1
10	illic	5	1	0.1653	72.562	10	1
10	proviso	7	1	0.1653	72.7273	10	1
10	num	3	1	0.1653	72.8926	10	1
10	gaudist	7	1	0.1653	73.0579	10	1
10	illud	5	1	0.1653	73.2231	10	1
10	eccum	5	1	0.1653	73.3884	10	1
10	pamphilus	9	1	0.1653	73.5537	10	1
10	agat	4	1	0.1653	73.719	10	1
10	ero	3	1	0.1653	73.8843	10	1
10	vis	3	1	0.1653	74.0496	10	1
10	domi	4	1	0.1653	74.2149	10	1
10	poteris	7	1	0.1653	74.3802	10	1
10	venias	6	1	0.1653	74.5455	10	1
10	face	4	1	0.1653	74.7107	10	1
10	huc	3	1	0.1653	74.876	10	1
10	ducam	5	1	0.1653	75.0413	10	1
10	dicam	5	1	0.1653	75.2066	10	1
10	ingeram	7	1	0.1653	75.3719	10	1
10	illi	4	1	0.1653	75.5372	10	1
10	hanc	4	1	0.1653	75.7025	10	1
10	aliquo	6	1	0.1653	75.8678	10	1
10	sentias	7	1	0.1653	76.0331	10	1
10	pamphilum	9	1	0.1653	76.1983	10	1
10	video	5	1	0.1653	76.3636	10	1
10	experiri	8	1	0.1653	76.5289	10	1
10	reddidisti	10	1	0.1653	76.6942	10	1
10	videam	6	1	0.1653	76.8595	10	1
10	proficiscor	11	1	0.1653	77.0248	10	1
10	haud	4	1	0.1653	77.1901	10	1
10	dum	3	1	0.1653	77.3554	10	1
10	profer	6	1	0.1653	77.5207	10	1
10	cordi	5	1	0.1653	77.686	10	1
10	certumst	8	1	0.1653	77.8512	10	1
10	hae	3	1	0.1653	78.0165	10	1
10	nuptiae	7	1	0.1653	78.1818	10	1
10	aliter	6	1	0.1653	78.3471	10	1
10	quicquam	8	1	0.1653	78.5124	10	1
10	potest	6	1	0.1653	78.6777	10	1
10	cessas	6	1	0.1653	78.843	10	1
10	liberatu	8	1	0.1653	79.0083	10	1
10	dici	4	1	0.1653	79.1736	10	1
10	recte	5	1	0.1653	79.3388	10	1
10	tenes	5	1	0.1653	79.5041	10	1
10	interii	7	1	0.1653	79.6694	10	1
10	conloqui	8	1	0.1653	79.8347	10	1
10	illum	5	1	0.1653	80	10	1
10	sis	3	1	0.1653	80.1653	10	1
10	audin	5	1	0.1653	80.3306	10	1
10	nescioquid	10	1	0.1653	80.4959	10	1
10	laetus	6	1	0.1653	80.6612	10	1
10	fugin	5	1	0.1653	80.8264	10	1
10	scire	5	1	0.1653	80.9917	10	1
10	opu	3	1	0.1653	81.157	10	1
10	damus	5	1	0.1653	81.3223	10	1
10	priu	4	1	0.1653	81.4876	10	1
10	pereo	5	1	0.1653	81.6529	10	1
10	consilia	8	1	0.1653	81.8182	10	1
10	nuptiis	7	1	0.1653	81.9835	10	1
10	impetrabo	9	1	0.1653	82.1488	10	1
10	auxilium	8	1	0.1653	82.314	10	1
10	salutem	7	1	0.1653	82.4793	10	1
10	spem	4	1	0.1653	82.6446	10	1
10	advenio	7	1	0.1653	82.8099	10	1
10	salve	5	1	0.1653	82.9752	10	1
10	prodat	6	1	0.1653	83.1405	10	1
10	uxorem	6	1	0.1653	83.3058	10	1
10	istac	5	1	0.1653	83.4711	10	1
10	suspicione	10	1	0.1653	83.6364	10	1
10	interea	7	1	0.1653	83.8017	10	1
10	malam	5	1	0.1653	83.9669	10	1
10	abin	4	1	0.1653	84.1322	10	1
10	aliquid	7	1	0.1653	84.2975	10	1
10	expetens	8	1	0.1653	84.4628	10	1
10	ducis	5	1	0.1653	84.6281	10	1
10	ducas	5	1	0.1653	84.7934	10	1
10	aha	3	1	0.1653	84.9587	10	1
10	ipsum	5	1	0.1653	85.124	10	1
10	principio	9	1	0.1653	85.2893	10	1
10	obsecro	7	1	0.1653	85.4545	10	1
