rank	word	wordlength	count	frequenz(count*100/515)	sum frequenz	zipf(rank*count)	zipf(max/rank)
1	me	2	13	2.5243	2.5243	13	13
2	quid	4	11	2.1359	4.6602	22	6.5
3	in	2	10	1.9417	6.6019	30	4.3
4	est	3	9	1.7476	8.3495	36	3.3
5	ut	2	8	1.5534	9.9029	40	2.6
6	at	2	7	1.3592	11.2621	42	2.2
7	si	2	6	1.165	12.4272	42	1.9
7	non	3	6	1.165	13.5922	42	1.9
8	te	2	5	0.9709	14.5631	40	1.6
8	tibi	4	5	0.9709	15.534	40	1.6
9	neque	5	4	0.7767	16.3107	36	1.4
9	hic	3	4	0.7767	17.0874	36	1.4
9	ita	3	4	0.7767	17.8641	36	1.4
9	iam	3	4	0.7767	18.6408	36	1.4
9	id	2	4	0.7767	19.4175	36	1.4
9	nunc	4	4	0.7767	20.1942	36	1.4
9	esse	4	4	0.7767	20.9709	36	1.4
9	atque	5	4	0.7767	21.7476	36	1.4
9	ego	3	4	0.7767	22.5243	36	1.4
9	sit	3	4	0.7767	23.301	36	1.4
9	simo	4	4	0.7767	24.0777	36	1.4
10	dum	3	3	0.5825	24.6602	30	1.3
10	illam	5	3	0.5825	25.2427	30	1.3
10	hoc	3	3	0.5825	25.8252	30	1.3
10	sed	3	3	0.5825	26.4078	30	1.3
10	nuptias	7	3	0.5825	26.9903	30	1.3
10	ah	2	3	0.5825	27.5728	30	1.3
10	sati	4	3	0.5825	28.1553	30	1.3
10	tum	3	3	0.5825	28.7379	30	1.3
10	quod	4	3	0.5825	29.3204	30	1.3
10	filiam	6	3	0.5825	29.9029	30	1.3
10	qui	3	3	0.5825	30.4854	30	1.3
10	crito	5	3	0.5825	31.068	30	1.3
11	hunc	4	2	0.3883	31.4563	22	1.2
11	cum	3	2	0.3883	31.8447	22	1.2
11	puer	4	2	0.3883	32.233	22	1.2
11	satis	5	2	0.3883	32.6214	22	1.2
11	mihi	4	2	0.3883	33.0097	22	1.2
11	male	4	2	0.3883	33.3981	22	1.2
11	illa	4	2	0.3883	33.7864	22	1.2
11	pater	5	2	0.3883	34.1748	22	1.2
11	ad	2	2	0.3883	34.5631	22	1.2
11	mitte	5	2	0.3883	34.9515	22	1.2
11	certe	5	2	0.3883	35.3398	22	1.2
11	illum	5	2	0.3883	35.7282	22	1.2
11	audio	5	2	0.3883	36.1165	22	1.2
11	sic	3	2	0.3883	36.5049	22	1.2
11	eho	3	2	0.3883	36.8932	22	1.2
11	hercle	6	2	0.3883	37.2816	22	1.2
11	ab	2	2	0.3883	37.6699	22	1.2
11	dicam	5	2	0.3883	38.0583	22	1.2
11	dic	3	2	0.3883	38.4466	22	1.2
11	nomen	5	2	0.3883	38.835	22	1.2
11	audivi	6	2	0.3883	39.2233	22	1.2
11	istuc	5	2	0.3883	39.6117	22	1.2
11	paene	5	2	0.3883	40	22	1.2
11	quam	4	2	0.3883	40.3883	22	1.2
11	is	2	2	0.3883	40.7767	22	1.2
11	o	1	2	0.3883	41.165	22	1.2
11	rem	3	2	0.3883	41.5534	22	1.2
11	nam	3	2	0.3883	41.9417	22	1.2
11	gnato	5	2	0.3883	42.3301	22	1.2
11	credo	5	2	0.3883	42.7184	22	1.2
11	tuo	3	2	0.3883	43.1068	22	1.2
11	ne	2	2	0.3883	43.4951	22	1.2
