rank	word	wordlength	count	frequency(count*100/601)	sum frequency	zipf(rank*count)	zipf(max/rank)
1	me	2	14	2.3295	2.3295	14	14
2	est	3	11	1.8303	4.1597	22	7
2	quid	4	11	1.8303	5.99	22	7
3	ut	2	10	1.6639	7.6539	30	4.7
3	in	2	10	1.6639	9.3178	30	4.7
4	non	3	9	1.4975	10.8153	36	3.5
5	at	2	7	1.1647	11.98	35	2.8
5	si	2	7	1.1647	13.1448	35	2.8
6	tibi	4	6	0.9983	14.1431	36	2.3
6	id	2	6	0.9983	15.1414	36	2.3
6	te	2	6	0.9983	16.1398	36	2.3
7	ita	3	5	0.8319	16.9717	35	2
7	quod	4	5	0.8319	17.8037	35	2
7	nunc	4	5	0.8319	18.6356	35	2
7	esse	4	5	0.8319	19.4676	35	2
8	sed	3	4	0.6656	20.1331	32	1.8
8	simo	4	4	0.6656	20.7987	32	1.8
8	neque	5	4	0.6656	21.4642	32	1.8
8	atque	5	4	0.6656	22.1298	32	1.8
8	sit	3	4	0.6656	22.7953	32	1.8
8	hic	3	4	0.6656	23.4609	32	1.8
8	ego	3	4	0.6656	24.1265	32	1.8
8	mihi	4	4	0.6656	24.792	32	1.8
8	iam	3	4	0.6656	25.4576	32	1.8
9	filiam	6	3	0.4992	25.9567	27	1.6
9	dum	3	3	0.4992	26.4559	27	1.6
9	ex	2	3	0.4992	26.9551	27	1.6
9	a	1	3	0.4992	27.4542	27	1.6
9	ad	2	3	0.4992	27.9534	27	1.6
9	hoc	3	3	0.4992	28.4526	27	1.6
9	illam	5	3	0.4992	28.9517	27	1.6
9	nuptias	7	3	0.4992	29.4509	27	1.6
9	ah	2	3	0.4992	29.9501	27	1.6
9	qui	3	3	0.4992	30.4493	27	1.6
9	cum	3	3	0.4992	30.9484	27	1.6
9	sati	4	3	0.4992	31.4476	27	1.6
9	utrique	7	3	0.4992	31.9468	27	1.6
9	crito	5	3	0.4992	32.4459	27	1.6
9	tum	3	3	0.4992	32.9451	27	1.6
10	paene	5	2	0.3328	33.2779	20	1.4
10	satis	5	2	0.3328	33.6106	20	1.4
10	rem	3	2	0.3328	33.9434	20	1.4
10	eho	3	2	0.3328	34.2762	20	1.4
10	puer	4	2	0.3328	34.609	20	1.4
10	hunc	4	2	0.3328	34.9418	20	1.4
10	dicam	5	2	0.3328	35.2745	20	1.4
10	sic	3	2	0.3328	35.6073	20	1.4
10	ab	2	2	0.3328	35.9401	20	1.4
10	audio	5	2	0.3328	36.2729	20	1.4
10	pater	5	2	0.3328	36.6057	20	1.4
10	hercle	6	2	0.3328	36.9384	20	1.4
10	is	2	2	0.3328	37.2712	20	1.4
10	illum	5	2	0.3328	37.604	20	1.4
10	certe	5	2	0.3328	37.9368	20	1.4
10	audivi	6	2	0.3328	38.2696	20	1.4
10	istuc	5	2	0.3328	38.6023	20	1.4
10	quae	4	2	0.3328	38.9351	20	1.4
10	face	4	2	0.3328	39.2679	20	1.4
10	tu	2	2	0.3328	39.6007	20	1.4
10	animum	6	2	0.3328	39.9334	20	1.4
10	incepi	6	2	0.3328	40.2662	20	1.4
10	pamphile	8	2	0.3328	40.599	20	1.4
10	nomen	5	2	0.3328	40.9318	20	1.4
10	credo	5	2	0.3328	41.2646	20	1.4
10	talenta	7	2	0.3328	41.5973	20	1.4
10	o	1	2	0.3328	41.9301	20	1.4
10	eiu	3	2	0.3328	42.2629	20	1.4
10	tamen	5	2	0.3328	42.5957	20	1.4
10	gnato	5	2	0.3328	42.9285	20	1.4
10	ne	2	2	0.3328	43.2612	20	1.4
10	quasi	5	2	0.3328	43.594	20	1.4
10	tuo	3	2	0.3328	43.9268	20	1.4
10	meam	4	2	0.3328	44.2596	20	1.4
10	dic	3	2	0.3328	44.5923	20	1.4
10	censes	6	2	0.3328	44.9251	20	1.4
10	ac	2	2	0.3328	45.2579	20	1.4
10	quom	4	2	0.3328	45.5907	20	1.4
10	hinc	4	2	0.3328	45.9235	20	1.4
10	mitte	5	2	0.3328	46.2562	20	1.4
10	accersi	7	2	0.3328	46.589	20	1.4
10	male	4	2	0.3328	46.9218	20	1.4
10	illa	4	2	0.3328	47.2546	20	1.4
10	re	2	2	0.3328	47.5874	20	1.4
