rank	word	wordlength	count	frequenz(count*100/293)	sum frequenz	zipf(rank*count)	zipf(max/rank)
1	me	2	6	2.0478	2.0478	6	6
2	quae	4	5	1.7065	3.7543	10	3
3	quid	4	4	1.3652	5.1195	12	2
3	iam	3	4	1.3652	6.4846	12	2
3	esse	4	4	1.3652	7.8498	12	2
3	ad	2	4	1.3652	9.215	12	2
3	tum	3	4	1.3652	10.5802	12	2
3	non	3	4	1.3652	11.9454	12	2
4	tu	2	3	1.0239	12.9693	12	1.5
4	huc	3	3	1.0239	13.9932	12	1.5
4	nam	3	3	1.0239	15.0171	12	1.5
4	id	2	3	1.0239	16.041	12	1.5
4	mihi	4	3	1.0239	17.0648	12	1.5
4	hem	3	3	1.0239	18.0887	12	1.5
4	in	2	3	1.0239	19.1126	12	1.5
4	hic	3	3	1.0239	20.1365	12	1.5
4	vel	3	3	1.0239	21.1604	12	1.5
4	ego	3	3	1.0239	22.1843	12	1.5
5	haec	4	2	0.6826	22.8669	10	1.2
5	hercle	6	2	0.6826	23.5495	10	1.2
5	an	2	2	0.6826	24.2321	10	1.2
5	ibi	3	2	0.6826	24.9147	10	1.2
5	fuit	4	2	0.6826	25.5973	10	1.2
5	si	2	2	0.6826	26.2799	10	1.2
5	is	2	2	0.6826	26.9625	10	1.2
5	se	2	2	0.6826	27.6451	10	1.2
5	chreme	6	2	0.6826	28.3276	10	1.2
5	atque	5	2	0.6826	29.0102	10	1.2
5	quod	4	2	0.6826	29.6928	10	1.2
5	et	2	2	0.6826	30.3754	10	1.2
5	istaec	6	2	0.6826	31.058	10	1.2
5	volt	4	2	0.6826	31.7406	10	1.2
5	una	3	2	0.6826	32.4232	10	1.2
5	qui	3	2	0.6826	33.1058	10	1.2
5	simo	4	2	0.6826	33.7884	10	1.2
5	est	3	2	0.6826	34.471	10	1.2
5	ut	2	2	0.6826	35.1536	10	1.2
5	quam	4	2	0.6826	35.8362	10	1.2
5	sese	4	2	0.6826	36.5188	10	1.2
5	ea	2	2	0.6826	37.2014	10	1.2
5	sed	3	2	0.6826	37.884	10	1.2
6	olim	4	1	0.3413	38.2253	6	1
6	falsa	5	1	0.3413	38.5666	6	1
6	audierim	8	1	0.3413	38.9078	6	1
6	sciri	5	1	0.3413	39.2491	6	1
6	potest	6	1	0.3413	39.5904	6	1
6	atticus	7	1	0.3413	39.9317	6	1
6	quidam	6	1	0.3413	40.273	6	1
6	fracta	6	1	0.3413	40.6143	6	1
6	navi	4	1	0.3413	40.9556	6	1
6	dico	4	1	0.3413	41.2969	6	1
6	andrum	6	1	0.3413	41.6382	6	1
6	eiectus	7	1	0.3413	41.9795	6	1
6	inhoneste	9	1	0.3413	42.3208	6	1
6	parva	5	1	0.3413	42.6621	6	1
6	virgo	5	1	0.3413	43.0034	6	1
6	ille	4	1	0.3413	43.3447	6	1
6	egens	5	1	0.3413	43.686	6	1
6	forte	5	1	0.3413	44.0273	6	1
6	vera	4	1	0.3413	44.3686	6	1
6	feras	5	1	0.3413	44.7099	6	1
6	primum	6	1	0.3413	45.0512	6	1
6	ditias	6	1	0.3413	45.3925	6	1
6	negas	5	1	0.3413	45.7338	6	1
6	qua	3	1	0.3413	46.0751	6	1
6	re	2	1	0.3413	46.4164	6	1
6	sanun	5	1	0.3413	46.7577	6	1
6	es	2	1	0.3413	47.099	6	1
6	videat	6	1	0.3413	47.4403	6	1
6	potius	6	1	0.3413	47.7816	6	1
6	siet	4	1	0.3413	48.1229	6	1
6	perget	6	1	0.3413	48.4642	6	1
6	dicere	6	1	0.3413	48.8055	6	1
6	animo	5	1	0.3413	49.1468	6	1
6	audiet	6	1	0.3413	49.4881	6	1
6	parere	6	1	0.3413	49.8294	6	1
6	optavit	7	1	0.3413	50.1706	6	1
6	moveo	5	1	0.3413	50.5119	6	1
6	aut	3	1	0.3413	50.8532	6	1
6	curo	4	1	0.3413	51.1945	6	1
6	tuom	4	1	0.3413	51.5358	6	1
6	malum	5	1	0.3413	51.8771	6	1
6	aequo	5	1	0.3413	52.2184	6	1
6	adplicat	8	1	0.3413	52.5597	6	1
6	chrysis	7	1	0.3413	52.901	6	1
6	chrysidis	9	1	0.3413	53.2423	6	1
6	alii	4	1	0.3413	53.5836	6	1
6	phaniam	7	1	0.3413	53.9249	6	1
6	hoc	3	1	0.3413	54.2662	6	1
6	certo	5	1	0.3413	54.6075	6	1
6	scio	4	1	0.3413	54.9488	6	1
6	rhamnusium	10	1	0.3413	55.2901	6	1
6	aiebat	6	1	0.3413	55.6314	6	1
6	eadem	5	1	0.3413	55.9727	6	1
6	multi	5	1	0.3413	56.314	6	1
6	andro	5	1	0.3413	56.6553	6	1
6	opinor	6	1	0.3413	56.9966	6	1
6	audivere	8	1	0.3413	57.3379	6	1
6	fratri	6	1	0.3413	57.6792	6	1
6	filiam	6	1	0.3413	58.0205	6	1
6	ais	3	1	0.3413	58.3618	6	1
6	istuc	5	1	0.3413	58.7031	6	1
6	huic	4	1	0.3413	59.0444	6	1
6	aliud	5	1	0.3413	59.3857	6	1
6	parvae	6	1	0.3413	59.727	6	1
6	quaero	6	1	0.3413	60.0683	6	1
6	fuisse	6	1	0.3413	60.4096	6	1
6	habitasse	9	1	0.3413	60.7509	6	1
6	hicinest	8	1	0.3413	61.0922	6	1
6	platea	6	1	0.3413	61.4334	6	1
6	itane	5	1	0.3413	61.7747	6	1
6	vero	4	1	0.3413	62.116	6	1
6	obturbat	8	1	0.3413	62.4573	6	1
6	chrysidem	9	1	0.3413	62.7986	6	1
6	cognatus	8	1	0.3413	63.1399	6	1
6	dictumst	8	1	0.3413	63.4812	6	1
6	eum	3	1	0.3413	63.8225	6	1
6	recepit	7	1	0.3413	64.1638	6	1
6	audivi	6	1	0.3413	64.5051	6	1
6	verum	5	1	0.3413	64.8464	6	1
6	ex	2	1	0.3413	65.1877	6	1
6	illo	4	1	0.3413	65.529	6	1
6	atticum	7	1	0.3413	65.8703	6	1
6	mortuost	8	1	0.3413	66.2116	6	1
6	nomen	5	1	0.3413	66.5529	6	1
6	tam	3	1	0.3413	66.8942	6	1
6	cito	4	1	0.3413	67.2355	6	1
6	phania	6	1	0.3413	67.5768	6	1
6	perii	5	1	0.3413	67.9181	6	1
6	patrem	6	1	0.3413	68.2594	6	1
6	honeste	7	1	0.3413	68.6007	6	1
6	evenit	6	1	0.3413	68.942	6	1
6	soror	5	1	0.3413	69.2833	6	1
6	tetulissem	10	1	0.3413	69.6246	6	1
6	pedem	5	1	0.3413	69.9659	6	1
6	semper	6	1	0.3413	70.3072	6	1
6	eiu	3	1	0.3413	70.6485	6	1
6	dictast	7	1	0.3413	70.9898	6	1
6	quos	4	1	0.3413	71.3311	6	1
6	bona	4	1	0.3413	71.6724	6	1
6	habitast	8	1	0.3413	72.0137	6	1
6	illius	6	1	0.3413	72.3549	6	1
6	scissem	7	1	0.3413	72.6962	6	1
6	fuere	5	1	0.3413	73.0375	6	1
6	possidet	8	1	0.3413	73.3788	6	1
6	nunc	4	1	0.3413	73.7201	6	1
6	hospitem	8	1	0.3413	74.0614	6	1
6	litis	5	1	0.3413	74.4027	6	1
6	sequi	5	1	0.3413	74.744	6	1
6	redierunt	9	1	0.3413	75.0853	6	1
6	sit	3	1	0.3413	75.4266	6	1
6	facile	6	1	0.3413	75.7679	6	1
6	numquam	7	1	0.3413	76.1092	6	1
6	perconter	9	1	0.3413	76.4505	6	1
6	aliorum	7	1	0.3413	76.7918	6	1
6	parentis	8	1	0.3413	77.1331	6	1
6	vos	3	1	0.3413	77.4744	6	1
6	quo	3	1	0.3413	77.8157	6	1
6	pacto	5	1	0.3413	78.157	6	1
6	satine	6	1	0.3413	78.4983	6	1
6	recte	5	1	0.3413	78.8396	6	1
6	glycerium	9	1	0.3413	79.1809	6	1
6	salve	5	1	0.3413	79.5222	6	1
6	suos	4	1	0.3413	79.8635	6	1
6	repperit	8	1	0.3413	80.2048	6	1
6	video	5	1	0.3413	80.5461	6	1
6	mysis	5	1	0.3413	80.8874	6	1
6	nondum	6	1	0.3413	81.2287	6	1
6	etiam	5	1	0.3413	81.57	6	1
6	haud	4	1	0.3413	81.9113	6	1
6	auspicato	9	1	0.3413	82.2526	6	1
6	o	1	1	0.3413	82.5939	6	1
6	appuli	6	1	0.3413	82.9352	6	1
6	salvete	7	1	0.3413	83.2765	6	1
6	pol	3	1	0.3413	83.6177	6	1
6	utile	5	1	0.3413	83.959	6	1
6	exempla	7	1	0.3413	84.3003	6	1
6	itan	4	1	0.3413	84.6416	6	1
6	faciam	6	1	0.3413	84.9829	6	1
6	hac	3	1	0.3413	85.3242	6	1
6	videam	6	1	0.3413	85.6655	6	1
6	mitte	5	1	0.3413	86.0068	6	1
6	orare	5	1	0.3413	86.3481	6	1
6	eius	4	1	0.3413	86.6894	6	1
6	harum	5	1	0.3413	87.0307	6	1
6	quaevis	7	1	0.3413	87.372	6	1
6	causa	5	1	0.3413	87.7133	6	1
6	monet	5	1	0.3413	88.0546	6	1
6	quando	6	1	0.3413	88.3959	6	1
6	viveret	7	1	0.3413	88.7372	6	1
6	pauper	6	1	0.3413	89.0785	6	1
6	patria	6	1	0.3413	89.4198	6	1
6	verumst	7	1	0.3413	89.7611	6	1
6	ipsi	4	1	0.3413	90.1024	6	1
6	cupio	5	1	0.3413	90.4437	6	1
6	glycerio	8	1	0.3413	90.785	6	1
6	salvo	5	1	0.3413	91.1263	6	1
6	sis	3	1	0.3413	91.4676	6	1
6	veni	4	1	0.3413	91.8089	6	1
6	eam	3	1	0.3413	92.1502	6	1
6	commonent	9	1	0.3413	92.4915	6	1
6	profectast	10	1	0.3413	92.8328	6	1
6	simul	5	1	0.3413	93.1741	6	1
6	arbitror	8	1	0.3413	93.5154	6	1
6	aliquem	7	1	0.3413	93.8567	6	1
6	amicum	6	1	0.3413	94.198	6	1
6	lege	4	1	0.3413	94.5392	6	1
6	defensorem	10	1	0.3413	94.8805	6	1
6	ei	2	1	0.3413	95.2218	6	1
6	fere	4	1	0.3413	95.5631	6	1
6	grandiuscula	12	1	0.3413	95.9044	6	1
6	illinc	6	1	0.3413	96.2457	6	1
6	duc	3	1	0.3413	96.587	6	1
6	clamitent	9	1	0.3413	96.9283	6	1
6	sycophantam	11	1	0.3413	97.2696	6	1
6	hereditatem	11	1	0.3413	97.6109	6	1
6	persequi	8	1	0.3413	97.9522	6	1
