rank	word	wordlength	count	frequency(count*100/2026)	sum frequency	zipf(rank*count)	zipf(max/rank)
1	non	3	35	1.7275	1.7275	35	35
2	quid	4	33	1.6288	3.3564	66	17.5
3	me	2	25	1.234	4.5903	75	11.7
4	est	3	24	1.1846	5.7749	96	8.8
4	ut	2	24	1.1846	6.9595	96	8.8
5	nunc	4	23	1.1352	8.0948	115	7
6	iam	3	22	1.0859	9.1807	132	5.8
6	tibi	4	22	1.0859	10.2665	132	5.8
7	hic	3	21	1.0365	11.3031	147	5
7	tu	2	21	1.0365	12.3396	147	5
7	ego	3	21	1.0365	13.3761	147	5
7	si	2	21	1.0365	14.4126	147	5
8	ad	2	20	0.9872	15.3998	160	4.4
9	te	2	19	0.9378	16.3376	171	3.9
9	hoc	3	19	0.9378	17.2754	171	3.9
10	in	2	17	0.8391	18.1145	170	3.5
10	id	2	17	0.8391	18.9536	170	3.5
11	quod	4	16	0.7897	19.7433	176	3.2
11	nil	3	16	0.7897	20.5331	176	3.2
12	haec	4	14	0.691	21.2241	168	2.9
13	sed	3	13	0.6417	21.8657	169	2.7
13	esse	4	13	0.6417	22.5074	169	2.7
14	uxorem	6	11	0.5429	23.0503	154	2.5
14	ne	2	11	0.5429	23.5933	154	2.5
14	atque	5	11	0.5429	24.1362	154	2.5
14	et	2	11	0.5429	24.6792	154	2.5
15	mihi	4	10	0.4936	25.1728	150	2.3
16	hanc	4	9	0.4442	25.617	144	2.2
17	hinc	4	8	0.3949	26.0118	136	2.1
18	nisi	4	7	0.3455	26.3574	126	1.9
18	nuptias	7	7	0.3455	26.7029	126	1.9
18	hercle	6	7	0.3455	27.0484	126	1.9
18	puerum	6	7	0.3455	27.3939	126	1.9
18	qui	3	7	0.3455	27.7394	126	1.9
18	quam	4	7	0.3455	28.0849	126	1.9
18	aut	3	7	0.3455	28.4304	126	1.9
18	ex	2	7	0.3455	28.7759	126	1.9
18	de	2	7	0.3455	29.1214	126	1.9
18	scio	4	7	0.3455	29.4669	126	1.9
