rank	word	wordlength	count	frequenz(count*100/63)	sum frequenz	zipf(rank*count)	zipf(max/rank)
1	ut	2	2	3.1746	3.1746	2	2
1	huic	4	2	3.1746	6.3492	2	2
1	est	3	2	3.1746	9.5238	2	2
1	esse	4	2	3.1746	12.6984	2	2
2	bonum	5	1	1.5873	14.2857	2	1
2	mox	3	1	1.5873	15.873	2	1
2	ego	3	1	1.5873	17.4603	2	1
2	huc	3	1	1.5873	19.0476	2	1
2	revortor	8	1	1.5873	20.6349	2	1
2	per	3	1	1.5873	22.2222	2	1
2	ecastor	7	1	1.5873	23.8095	2	1
2	scitu	5	1	1.5873	25.3968	2	1
2	puer	4	1	1.5873	26.9841	2	1
2	natu	4	1	1.5873	28.5714	2	1
2	pamphilo	8	1	1.5873	30.1587	2	1
2	deos	4	1	1.5873	31.746	2	1
2	imperavi	8	1	1.5873	33.3333	2	1
2	quaeso	6	1	1.5873	34.9206	2	1
2	sit	3	1	1.5873	36.5079	2	1
2	superstes	9	1	1.5873	38.0952	2	1
2	quandoquidem	12	1	1.5873	39.6825	2	1
2	ipsest	6	1	1.5873	41.2698	2	1
2	ingenio	7	1	1.5873	42.8571	2	1
2	bono	4	1	1.5873	44.4444	2	1
2	quomque	7	1	1.5873	46.0317	2	1
2	veritus	7	1	1.5873	47.619	2	1
2	optumae	7	1	1.5873	49.2063	2	1
2	adulescenti	11	1	1.5873	50.7937	2	1
2	facere	6	1	1.5873	52.381	2	1
2	date	4	1	1.5873	53.9683	2	1
2	bibere	6	1	1.5873	55.5556	2	1
2	quantum	7	1	1.5873	57.1429	2	1
2	salutem	7	1	1.5873	58.7302	2	1
2	narras	6	1	1.5873	60.3175	2	1
2	adulescentis	12	1	1.5873	61.9048	2	1
2	sequor	6	1	1.5873	63.4921	2	1
2	adhuc	5	1	1.5873	65.0794	2	1
2	archylis	8	1	1.5873	66.6667	2	1
2	quae	4	1	1.5873	68.254	2	1
2	adsolent	8	1	1.5873	69.8413	2	1
2	quaeque	7	1	1.5873	71.4286	2	1
2	oportent	8	1	1.5873	73.0159	2	1
2	signa	5	1	1.5873	74.6032	2	1
2	ad	2	1	1.5873	76.1905	2	1
2	omnia	5	1	1.5873	77.7778	2	1
2	et	2	1	1.5873	79.3651	2	1
2	video	5	1	1.5873	80.9524	2	1
2	nunc	4	1	1.5873	82.5397	2	1
2	primum	6	1	1.5873	84.127	2	1
2	fac	3	1	1.5873	85.7143	2	1
2	istaec	6	1	1.5873	87.3016	2	1
2	lavet	5	1	1.5873	88.8889	2	1
2	poste	5	1	1.5873	90.4762	2	1
2	deinde	6	1	1.5873	92.0635	2	1
2	quod	4	1	1.5873	93.6508	2	1
2	iussi	5	1	1.5873	95.2381	2	1
2	dari	4	1	1.5873	96.8254	2	1
2	ingenium	8	1	1.5873	98.4127	2	1
2	iniuriam	8	1	1.5873	100	2	1
