rank	word	wordlength	count	frequency(count*100/481)	sum frequency	zipf(rank*count)	zipf(max/rank)
1	est	3	12	2.4948	2.4948	12	12
2	me	2	10	2.079	4.5738	20	6
3	quid	4	9	1.8711	6.4449	27	4
3	in	2	9	1.8711	8.316	27	4
4	pol	3	8	1.6632	9.9792	32	3
5	ut	2	7	1.4553	11.4345	35	2.4
5	sed	3	7	1.4553	12.8898	35	2.4
5	non	3	7	1.4553	14.3451	35	2.4
6	te	2	6	1.2474	15.5925	36	2
7	tu	2	5	1.0395	16.632	35	1.7
7	obsecro	7	5	1.0395	17.6715	35	1.7
8	hoc	3	4	0.8316	18.5031	32	1.5
8	misera	6	4	0.8316	19.3347	32	1.5
8	miseram	7	4	0.8316	20.1663	32	1.5
8	atque	5	4	0.8316	20.9979	32	1.5
8	hic	3	4	0.8316	21.8295	32	1.5
8	hunc	4	4	0.8316	22.6611	32	1.5
8	nunc	4	4	0.8316	23.4927	32	1.5
9	esse	4	3	0.6237	24.1164	27	1.3
9	quod	4	3	0.6237	24.7401	27	1.3
9	quidem	6	3	0.6237	25.3638	27	1.3
9	ita	3	3	0.6237	25.9875	27	1.3
9	haec	4	3	0.6237	26.6112	27	1.3
9	crito	5	3	0.6237	27.2349	27	1.3
9	aut	3	3	0.6237	27.8586	27	1.3
9	o	1	3	0.6237	28.4823	27	1.3
9	ne	2	3	0.6237	29.106	27	1.3
9	pamphilum	9	3	0.6237	29.7297	27	1.3
9	si	2	3	0.6237	30.3534	27	1.3
9	homo	4	3	0.6237	30.9771	27	1.3
9	ubi	3	3	0.6237	31.6008	27	1.3
9	di	2	3	0.6237	32.2245	27	1.3
9	mi	2	3	0.6237	32.8482	27	1.3
10	au	2	2	0.4158	33.264	20	1.2
10	haud	4	2	0.4158	33.6798	20	1.2
10	nam	3	2	0.4158	34.0956	20	1.2
10	sciam	5	2	0.4158	34.5114	20	1.2
10	se	2	2	0.4158	34.9272	20	1.2
10	illic	5	2	0.4158	35.343	20	1.2
10	intellego	9	2	0.4158	35.7588	20	1.2
10	virum	5	2	0.4158	36.1746	20	1.2
10	ex	2	2	0.4158	36.5904	20	1.2
10	sit	3	2	0.4158	37.0062	20	1.2
10	pamphile	8	2	0.4158	37.422	20	1.2
10	an	2	2	0.4158	37.8378	20	1.2
10	tute	4	2	0.4158	38.2536	20	1.2
10	id	2	2	0.4158	38.6694	20	1.2
10	res	3	2	0.4158	39.0852	20	1.2
10	quam	4	2	0.4158	39.501	20	1.2
10	qui	3	2	0.4158	39.9168	20	1.2
10	nil	3	2	0.4158	40.3326	20	1.2
10	fidem	5	2	0.4158	40.7484	20	1.2
10	iussit	6	2	0.4158	41.1642	20	1.2
10	quia	4	2	0.4158	41.58	20	1.2
10	illa	4	2	0.4158	41.9958	20	1.2
10	et	2	2	0.4158	42.4116	20	1.2
10	quem	4	2	0.4158	42.8274	20	1.2
10	iam	3	2	0.4158	43.2432	20	1.2
10	illi	4	2	0.4158	43.659	20	1.2
10	sis	3	2	0.4158	44.0748	20	1.2
10	mihi	4	2	0.4158	44.4906	20	1.2
10	optume	6	2	0.4158	44.9064	20	1.2
10	quidnam	7	2	0.4158	45.3222	20	1.2
10	plus	4	2	0.4158	45.738	20	1.2
10	video	5	2	0.4158	46.1538	20	1.2
11	quoiquam	8	1	0.2079	46.3617	11	1.1
11	vostram	7	1	0.2079	46.5696	11	1.1
11	facis	5	1	0.2079	46.7775	11	1.1
11	nova	4	1	0.2079	46.9854	11	1.1
11	proprium	8	1	0.2079	47.1933	11	1.1
11	religio	7	1	0.2079	47.4012	11	1.1
11	cedo	4	1	0.2079	47.6091	11	1.1
11	nilne	5	1	0.2079	47.817	11	1.1
11	istaec	6	1	0.2079	48.0249	11	1.1
11	incessit	8	1	0.2079	48.2328	11	1.1
11	ob	2	1	0.2079	48.4407	11	1.1
11	matura	6	1	0.2079	48.6486	11	1.1
11	quapropter	10	1	0.2079	48.8565	11	1.1
11	resipisco	9	1	0.2079	49.0644	11	1.1
11	nescio	6	1	0.2079	49.2723	11	1.1
11	maerorest	9	1	0.2079	49.4802	11	1.1
11	proptereaque	12	1	0.2079	49.6881	11	1.1
11	narres	6	1	0.2079	49.896	11	1.1
11	rem	3	1	0.2079	50.104	11	1.1
11	putabam	7	1	0.2079	50.3119	11	1.1
11	summum	6	1	0.2079	50.5198	11	1.1
11	obsecrost	9	1	0.2079	50.7277	11	1.1
11	facile	6	1	0.2079	50.9356	11	1.1
11	laborem	7	1	0.2079	51.1435	11	1.1
11	boni	4	1	0.2079	51.3514	11	1.1
11	capit	5	1	0.2079	51.5593	11	1.1
11	davos	5	1	0.2079	51.7672	11	1.1
11	eo	2	1	0.2079	51.9751	11	1.1
11	exit	4	1	0.2079	52.183	11	1.1
11	verum	5	1	0.2079	52.3909	11	1.1
11	istuc	5	1	0.2079	52.5988	11	1.1
11	paratum	7	1	0.2079	52.8067	11	1.1
11	quo	3	1	0.2079	53.0146	11	1.1
11	bonum	5	1	0.2079	53.2225	11	1.1
