rank	word	wordlength	count	frequency(count*100/1410)	sum frequency	zipf(rank*count)	zipf(max/rank)
1	me	2	45	3.1915	3.1915	45	45
2	quid	4	25	1.773	4.9645	50	22.5
3	ego	3	22	1.5603	6.5248	66	15
4	ut	2	21	1.4894	8.0142	84	11.3
5	hoc	3	17	1.2057	9.2199	85	9
5	te	2	17	1.2057	10.4255	85	9
5	mihi	4	17	1.2057	11.6312	85	9
6	id	2	14	0.9929	12.6241	84	7.5
6	mi	2	14	0.9929	13.617	84	7.5
7	est	3	13	0.922	14.539	91	6.4
7	in	2	13	0.922	15.461	91	6.4
7	qui	3	13	0.922	16.383	91	6.4
8	si	2	12	0.8511	17.234	96	5.6
8	nunc	4	12	0.8511	18.0851	96	5.6
8	non	3	12	0.8511	18.9362	96	5.6
8	pater	5	12	0.8511	19.7872	96	5.6
9	quod	4	11	0.7801	20.5674	99	5
9	atque	5	11	0.7801	21.3475	99	5
10	ne	2	10	0.7092	22.0567	100	4.5
10	tibi	4	10	0.7092	22.766	100	4.5
10	et	2	10	0.7092	23.4752	100	4.5
11	nam	3	9	0.6383	24.1135	99	4.1
11	esse	4	9	0.6383	24.7518	99	4.1
11	hanc	4	9	0.6383	25.3901	99	4.1
12	neque	5	8	0.5674	25.9574	96	3.8
12	dave	4	8	0.5674	26.5248	96	3.8
13	sum	3	7	0.4965	27.0213	91	3.5
13	aut	3	7	0.4965	27.5177	91	3.5
13	istuc	5	7	0.4965	28.0142	91	3.5
13	de	2	7	0.4965	28.5106	91	3.5
13	haec	4	7	0.4965	29.0071	91	3.5
13	illa	4	7	0.4965	29.5035	91	3.5
14	quam	4	6	0.4255	29.9291	84	3.2
14	sed	3	6	0.4255	30.3546	84	3.2
14	scio	4	6	0.4255	30.7801	84	3.2
14	tu	2	6	0.4255	31.2057	84	3.2
14	ad	2	6	0.4255	31.6312	84	3.2
15	tam	3	5	0.3546	31.9858	75	3
15	modo	4	5	0.3546	32.3404	75	3
15	per	3	5	0.3546	32.695	75	3
15	faciam	6	5	0.3546	33.0496	75	3
15	fidem	5	5	0.3546	33.4043	75	3
15	mysis	5	5	0.3546	33.7589	75	3
15	uxorem	6	5	0.3546	34.1135	75	3
16	animo	5	4	0.2837	34.3972	64	2.8
