rank	word	wordlength	count	frequency(count*100/162)	sum frequency	zipf(rank*count)	zipf(max/rank)
1	ut	2	4	2.4691	2.4691	4	4
1	qui	3	4	2.4691	4.9383	4	4
2	in	2	3	1.8519	6.7901	6	2
2	et	2	3	1.8519	8.642	6	2
2	non	3	3	1.8519	10.4938	6	2
3	dissimili	9	2	1.2346	11.7284	6	1.3
3	sunt	4	2	1.2346	12.963	6	1.3
3	rem	3	2	1.2346	14.1975	6	1.3
3	fabulas	7	2	1.2346	15.4321	6	1.3
3	accusant	8	2	1.2346	16.6667	6	1.3
3	quas	4	2	1.2346	17.9012	6	1.3
3	quam	4	2	1.2346	19.1358	6	1.3
3	andriam	7	2	1.2346	20.3704	6	1.3
3	quom	4	2	1.2346	21.6049	6	1.3
3	id	2	2	1.2346	22.8395	6	1.3
3	atque	5	2	1.2346	24.0741	6	1.3
3	animum	6	2	1.2346	25.3086	6	1.3
4	auctores	8	1	0.6173	25.9259	4	1
4	exoptat	7	1	0.6173	26.5432	4	1
4	quorum	6	1	0.6173	27.1605	4	1
4	neglegentiam	12	1	0.6173	27.7778	4	1
4	potius	6	1	0.6173	28.3951	4	1
4	istorum	7	1	0.6173	29.0123	4	1
4	obscuram	8	1	0.6173	29.6296	4	1
4	habet	5	1	0.6173	30.2469	4	1
4	aemulari	8	1	0.6173	30.8642	4	1
4	poeta	5	1	0.6173	31.4815	4	1
4	noster	6	1	0.6173	32.0988	4	1
4	hic	3	1	0.6173	32.716	4	1
4	quos	4	1	0.6173	33.3333	4	1
4	plautum	7	1	0.6173	33.9506	4	1
4	naevium	7	1	0.6173	34.5679	4	1
4	hunc	4	1	0.6173	35.1852	4	1
4	intellegant	11	1	0.6173	35.8025	4	1
4	nil	3	1	0.6173	36.4198	4	1
4	intellegendo	12	1	0.6173	37.037	4	1
4	faciuntne	9	1	0.6173	37.6543	4	1
4	decere	6	1	0.6173	38.2716	4	1
4	contaminari	11	1	0.6173	38.8889	4	1
4	disputant	9	1	0.6173	39.5062	4	1
4	eo	2	1	0.6173	40.1235	4	1
4	ennium	6	1	0.6173	40.7407	4	1
4	porro	5	1	0.6173	41.358	4	1
4	diligentiam	11	1	0.6173	41.9753	4	1
4	pernoscatis	11	1	0.6173	42.5926	4	1
4	vobis	5	1	0.6173	43.2099	4	1
4	sint	4	1	0.6173	43.8272	4	1
4	exigendae	9	1	0.6173	44.4444	4	1
4	an	2	1	0.6173	45.0617	4	1
4	spectandae	10	1	0.6173	45.679	4	1
4	comoedias	9	1	0.6173	46.2963	4	1
4	integro	7	1	0.6173	46.9136	4	1
4	de	2	1	0.6173	47.5309	4	1
4	faciet	6	1	0.6173	48.1481	4	1
4	posthac	7	1	0.6173	48.7654	4	1
4	relicuom	8	1	0.6173	49.3827	4	1
4	sit	3	1	0.6173	50	4	1
4	spei	4	1	0.6173	50.6173	4	1
4	ecquid	6	1	0.6173	51.2346	4	1
4	cognoscite	10	1	0.6173	51.8519	4	1
4	dehinc	6	1	0.6173	52.4691	4	1
4	animo	5	1	0.6173	53.0864	4	1
4	aequo	5	1	0.6173	53.7037	4	1
4	adeste	6	1	0.6173	54.321	4	1
4	favete	6	1	0.6173	54.9383	4	1
4	sua	3	1	0.6173	55.5556	4	1
4	noscant	7	1	0.6173	56.1728	4	1
4	ne	2	1	0.6173	56.7901	4	1
4	malefacta	9	1	0.6173	57.4074	4	1
4	dicere	6	1	0.6173	58.0247	4	1
4	male	4	1	0.6173	58.642	4	1
4	desinant	8	1	0.6173	59.2593	4	1
4	moneo	5	1	0.6173	59.8765	4	1
4	vituperant	10	1	0.6173	60.4938	4	1
4	quiescant	9	1	0.6173	61.1111	4	1
4	factum	6	1	0.6173	61.7284	4	1
4	ex	2	1	0.6173	62.3457	4	1
4	isti	4	1	0.6173	62.963	4	1
4	evenire	7	1	0.6173	63.5802	4	1
4	veteris	7	1	0.6173	64.1975	4	1
4	malevoli	8	1	0.6173	64.8148	4	1
4	sed	3	1	0.6173	65.4321	4	1
4	narret	6	1	0.6173	66.0494	4	1
4	argumentum	10	1	0.6173	66.6667	4	1
4	abutitur	8	1	0.6173	67.284	4	1
4	operam	6	1	0.6173	67.9012	4	1
4	scribundis	10	1	0.6173	68.5185	4	1
4	prologis	8	1	0.6173	69.1358	4	1
4	nam	3	1	0.6173	69.7531	4	1
4	intellegit	10	1	0.6173	70.3704	4	1
4	multo	5	1	0.6173	70.9877	4	1
4	aliter	6	1	0.6173	71.6049	4	1
4	maledictis	10	1	0.6173	72.2222	4	1
4	verum	5	1	0.6173	72.8395	4	1
4	fecisset	8	1	0.6173	73.4568	4	1
4	placerent	9	1	0.6173	74.0741	4	1
4	populo	6	1	0.6173	74.6914	4	1
4	dari	4	1	0.6173	75.3086	4	1
4	solum	5	1	0.6173	75.9259	4	1
4	credidit	8	1	0.6173	76.5432	4	1
4	negoti	6	1	0.6173	77.1605	4	1
4	sibi	4	1	0.6173	77.7778	4	1
4	adpulit	7	1	0.6173	78.3951	4	1
4	scribendum	10	1	0.6173	79.0123	4	1
4	ad	2	1	0.6173	79.6296	4	1
4	primum	6	1	0.6173	80.2469	4	1
4	poetae	6	1	0.6173	80.8642	4	1
4	respondeat	10	1	0.6173	81.4815	4	1
4	suis	4	1	0.6173	82.0988	4	1
4	set	3	1	0.6173	82.716	4	1
4	pro	3	1	0.6173	83.3333	4	1
4	usum	4	1	0.6173	83.9506	4	1
4	transtulisse	12	1	0.6173	84.5679	4	1
4	fatetur	7	1	0.6173	85.1852	4	1
4	perinthia	9	1	0.6173	85.8025	4	1
4	convenere	9	1	0.6173	86.4198	4	1
4	quae	4	1	0.6173	87.037	4	1
4	stilo	5	1	0.6173	87.6543	4	1
4	ac	2	1	0.6173	88.2716	4	1
4	factae	6	1	0.6173	88.8889	4	1
4	oratione	8	1	0.6173	89.5062	4	1
4	tamen	5	1	0.6173	90.1235	4	1
4	argumento	9	1	0.6173	90.7407	4	1
4	nunc	4	1	0.6173	91.358	4	1
4	ita	3	1	0.6173	91.9753	4	1
4	noverit	7	1	0.6173	92.5926	4	1
