rank	word	wordlength	count	frequenz(count*100/2266)	sum frequenz	zipf(rank*count)	zipf(max/rank)
1	quid	4	44	1.9417	1.9417	44	44
2	ut	2	40	1.7652	3.707	80	22
3	et	2	35	1.5446	5.2515	105	14.7
4	te	2	31	1.368	6.6196	124	11
5	in	2	25	1.1033	7.7229	125	8.8
6	est	3	22	0.9709	8.6937	132	7.3
7	ad	2	21	0.9267	9.6205	147	6.3
8	me	2	20	0.8826	10.5031	160	5.5
9	haec	4	19	0.8385	11.3416	171	4.9
9	ego	3	19	0.8385	12.1801	171	4.9
9	mihi	4	19	0.8385	13.0185	171	4.9
9	nunc	4	19	0.8385	13.857	171	4.9
10	tibi	4	17	0.7502	14.6072	170	4.4
11	id	2	16	0.7061	15.3133	176	4
12	si	2	15	0.662	15.9753	180	3.7
12	quod	4	15	0.662	16.6372	180	3.7
12	non	3	15	0.662	17.2992	180	3.7
12	hoc	3	15	0.662	17.9612	180	3.7
13	qui	3	14	0.6178	18.579	182	3.4
14	ita	3	13	0.5737	19.1527	182	3.1
15	hic	3	12	0.5296	19.6823	180	2.9
15	atque	5	12	0.5296	20.2118	180	2.9
16	quam	4	11	0.4854	20.6973	176	2.8
16	nil	3	11	0.4854	21.1827	176	2.8
16	esse	4	11	0.4854	21.6681	176	2.8
16	aut	3	11	0.4854	22.1536	176	2.8
17	quae	4	10	0.4413	22.5949	170	2.6
17	chreme	6	10	0.4413	23.0362	170	2.6
17	cum	3	10	0.4413	23.4775	170	2.6
17	tum	3	10	0.4413	23.9188	170	2.6
17	sed	3	10	0.4413	24.3601	170	2.6
18	ne	2	9	0.3972	24.7573	162	2.4
18	nam	3	9	0.3972	25.1545	162	2.4
19	quom	4	8	0.353	25.5075	152	2.3
19	tu	2	8	0.353	25.8605	152	2.3
19	re	2	8	0.353	26.2136	152	2.3
19	animum	6	8	0.353	26.5666	152	2.3
20	uxorem	6	7	0.3089	26.8756	140	2.2
20	intro	5	7	0.3089	27.1845	140	2.2
20	iam	3	7	0.3089	27.4934	140	2.2
20	sit	3	7	0.3089	27.8023	140	2.2
20	dave	4	7	0.3089	28.1112	140	2.2
20	num	3	7	0.3089	28.4201	140	2.2
20	oro	3	7	0.3089	28.729	140	2.2
20	dum	3	7	0.3089	29.038	140	2.2
20	quor	4	7	0.3089	29.3469	140	2.2
20	ea	2	7	0.3089	29.6558	140	2.2
20	sunt	4	7	0.3089	29.9647	140	2.2
21	adeo	4	6	0.2648	30.2295	126	2.1
21	nuptias	7	6	0.2648	30.4943	126	2.1
21	ab	2	6	0.2648	30.759	126	2.1
21	scio	4	6	0.2648	31.0238	126	2.1
21	omnia	5	6	0.2648	31.2886	126	2.1
21	ac	2	6	0.2648	31.5534	126	2.1
21	ex	2	6	0.2648	31.8182	126	2.1
21	hodie	5	6	0.2648	32.083	126	2.1
21	hem	3	6	0.2648	32.3477	126	2.1
22	age	3	5	0.2207	32.5684	110	2
22	hinc	4	5	0.2207	32.7891	110	2
22	gnatum	6	5	0.2207	33.0097	110	2
22	dudum	5	5	0.2207	33.2304	110	2
22	hac	3	5	0.2207	33.451	110	2
22	nuptiis	7	5	0.2207	33.6717	110	2
22	quia	4	5	0.2207	33.8923	110	2
22	causa	5	5	0.2207	34.113	110	2
22	huc	3	5	0.2207	34.3336	110	2
22	haud	4	5	0.2207	34.5543	110	2
22	hanc	4	5	0.2207	34.7749	110	2
22	ais	3	5	0.2207	34.9956	110	2
22	postquam	8	5	0.2207	35.2162	110	2
22	illis	5	5	0.2207	35.4369	110	2
22	abs	3	5	0.2207	35.6575	110	2
22	rem	3	5	0.2207	35.8782	110	2
22	filium	6	5	0.2207	36.0989	110	2
22	mi	2	5	0.2207	36.3195	110	2
22	immo	4	5	0.2207	36.5402	110	2
22	o	1	5	0.2207	36.7608	110	2
23	ibi	3	4	0.1765	36.9373	92	1.9
23	neque	5	4	0.1765	37.1139	92	1.9
23	pamphile	8	4	0.1765	37.2904	92	1.9
23	istuc	5	4	0.1765	37.4669	92	1.9
23	huius	5	4	0.1765	37.6434	92	1.9
23	tamen	5	4	0.1765	37.8199	92	1.9
23	volo	4	4	0.1765	37.9965	92	1.9
23	praeter	7	4	0.1765	38.173	92	1.9
23	eius	4	4	0.1765	38.3495	92	1.9
23	tandem	6	4	0.1765	38.526	92	1.9
23	postulo	7	4	0.1765	38.7026	92	1.9
23	an	2	4	0.1765	38.8791	92	1.9
23	ipsum	5	4	0.1765	39.0556	92	1.9
23	is	2	4	0.1765	39.2321	92	1.9
23	per	3	4	0.1765	39.4086	92	1.9
23	quicquam	8	4	0.1765	39.5852	92	1.9
23	interea	7	4	0.1765	39.7617	92	1.9
23	davo	4	4	0.1765	39.9382	92	1.9
23	quibus	6	4	0.1765	40.1147	92	1.9
23	una	3	4	0.1765	40.2913	92	1.9
23	sese	4	4	0.1765	40.4678	92	1.9
23	has	3	4	0.1765	40.6443	92	1.9
23	illi	4	4	0.1765	40.8208	92	1.9
23	quidem	6	4	0.1765	40.9974	92	1.9
23	nuptiae	7	4	0.1765	41.1739	92	1.9
23	davom	5	4	0.1765	41.3504	92	1.9
23	illud	5	4	0.1765	41.5269	92	1.9
