rank	word	wordlength	count	frequenz(count*100/157)	sum frequenz	zipf(rank*count)	zipf(max/rank)
1	quid	4	8	5.0955	5.0955	8	8
2	est	3	5	3.1847	8.2803	10	4
3	qui	3	4	2.5478	10.828	12	2.7
4	hoc	3	3	1.9108	12.7389	12	2
4	nam	3	3	1.9108	14.6497	12	2
4	id	2	3	1.9108	16.5605	12	2
4	non	3	3	1.9108	18.4713	12	2
4	quod	4	3	1.9108	20.3822	12	2
5	aut	3	2	1.2739	21.6561	10	1.6
5	si	2	2	1.2739	22.9299	10	1.6
5	quor	4	2	1.2739	24.2038	10	1.6
5	habeo	5	2	1.2739	25.4777	10	1.6
5	in	2	2	1.2739	26.7516	10	1.6
5	velis	5	2	1.2739	28.0255	10	1.6
5	igitur	6	2	1.2739	29.2994	10	1.6
5	tu	2	2	1.2739	30.5732	10	1.6
5	nequid	6	2	1.2739	31.8471	10	1.6
5	ei	2	2	1.2739	33.121	10	1.6
5	tibi	4	2	1.2739	34.3949	10	1.6
5	recte	5	2	1.2739	35.6688	10	1.6
5	ut	2	2	1.2739	36.9427	10	1.6
6	beasti	6	1	0.6369	37.5796	6	1.3
6	bene	4	1	0.6369	38.2166	6	1.3
6	factum	6	1	0.6369	38.8535	6	1.3
6	o	1	1	0.6369	39.4904	6	1.3
6	metui	5	1	0.6369	40.1274	6	1.3
6	a	1	1	0.6369	40.7643	6	1.3
6	dictum	6	1	0.6369	41.4013	6	1.3
6	teneo	5	1	0.6369	42.0382	6	1.3
6	fiant	5	1	0.6369	42.6752	6	1.3
6	verae	5	1	0.6369	43.3121	6	1.3
6	obstat	6	1	0.6369	43.949	6	1.3
6	hem	3	1	0.6369	44.586	6	1.3
6	mali	4	1	0.6369	45.2229	6	1.3
6	adportet	8	1	0.6369	45.8599	6	1.3
6	andria	6	1	0.6369	46.4968	6	1.3
6	vereor	6	1	0.6369	47.1338	6	1.3
6	parit	5	1	0.6369	47.7707	6	1.3
6	odium	5	1	0.6369	48.4076	6	1.3
6	veritas	7	1	0.6369	49.0446	6	1.3
6	chryside	8	1	0.6369	49.6815	6	1.3
6	putas	5	1	0.6369	50.3185	6	1.3
6	bona	4	1	0.6369	50.9554	6	1.3
6	illi	4	1	0.6369	51.5924	6	1.3
6	sat	3	1	0.6369	52.2293	6	1.3
6	quapropter	10	1	0.6369	52.8662	6	1.3
6	locus	5	1	0.6369	53.5032	6	1.3
6	obiurgandi	10	1	0.6369	54.1401	6	1.3
6	relictus	8	1	0.6369	54.7771	6	1.3
6	cedo	4	1	0.6369	55.414	6	1.3
6	gnatum	6	1	0.6369	56.051	6	1.3
6	ibi	3	1	0.6369	56.6879	6	1.3
6	malum	5	1	0.6369	57.3248	6	1.3
6	damnum	6	1	0.6369	57.9618	6	1.3
6	dederit	7	1	0.6369	58.5987	6	1.3
6	facias	6	1	0.6369	59.2357	6	1.3
6	fortasse	8	1	0.6369	59.8726	6	1.3
6	tulit	5	1	0.6369	60.5096	6	1.3
6	auxilium	8	1	0.6369	61.1465	6	1.3
6	vitae	5	1	0.6369	61.7834	6	1.3
6	obiurges	8	1	0.6369	62.4204	6	1.3
6	illum	5	1	0.6369	63.0573	6	1.3
6	obsequium	9	1	0.6369	63.6943	6	1.3
6	ais	3	1	0.6369	64.3312	6	1.3
6	evadas	6	1	0.6369	64.9682	6	1.3
6	quorsum	7	1	0.6369	65.6051	6	1.3
6	timeo	5	1	0.6369	66.242	6	1.3
