rank	word	wordlength	count	frequenz(count*100/8063)	sum frequenz	zipf(rank*count)	zipf(max/rank)
1	quid	4	149	1.8479	1.8479	149	149
2	me	2	129	1.5999	3.4478	258	74.5
3	ut	2	122	1.5131	4.9609	366	49.7
4	est	3	97	1.203	6.164	388	37.3
5	in	2	90	1.1162	7.2802	450	29.8
6	non	3	89	1.1038	8.384	534	24.8
7	te	2	85	1.0542	9.4382	595	21.3
8	ego	3	75	0.9302	10.3683	600	18.6
9	si	2	72	0.893	11.2613	648	16.6
10	et	2	71	0.8806	12.1419	710	14.9
11	id	2	70	0.8682	13.01	770	13.5
11	nunc	4	70	0.8682	13.8782	770	13.5
12	hoc	3	67	0.831	14.7092	804	12.4
13	tibi	4	63	0.7813	15.4905	819	11.5
14	ad	2	60	0.7441	16.2347	840	10.6
14	mihi	4	60	0.7441	16.9788	840	10.6
15	quod	4	57	0.7069	17.6857	855	9.9
16	hic	3	54	0.6697	18.3555	864	9.3
17	qui	3	52	0.6449	19.0004	884	8.8
18	esse	4	51	0.6325	19.6329	918	8.3
18	tu	2	51	0.6325	20.2654	918	8.3
19	atque	5	50	0.6201	20.8855	950	7.8
20	haec	4	49	0.6077	21.4932	980	7.5
21	sed	3	46	0.5705	22.0637	966	7.1
21	iam	3	46	0.5705	22.6343	966	7.1
22	nil	3	42	0.5209	23.1552	924	6.8
23	quam	4	39	0.4837	23.6388	897	6.5
24	ne	2	37	0.4589	24.0977	888	6.2
25	nam	3	35	0.4341	24.5318	875	6
26	aut	3	33	0.4093	24.9411	858	5.7
27	ita	3	32	0.3969	25.338	864	5.5
28	quae	4	30	0.3721	25.71	840	5.3
28	mi	2	30	0.3721	26.0821	840	5.3
29	tum	3	27	0.3349	26.417	783	5.1
30	hanc	4	26	0.3225	26.7394	780	5
30	ex	2	26	0.3225	27.0619	780	5
31	scio	4	25	0.3101	27.3719	775	4.8
32	uxorem	6	24	0.2977	27.6696	768	4.7
32	hem	3	24	0.2977	27.9673	768	4.7
33	at	2	23	0.2853	28.2525	759	4.5
33	rem	3	23	0.2853	28.5378	759	4.5
33	o	1	23	0.2853	28.823	759	4.5
34	sit	3	22	0.2729	29.0959	748	4.4
34	pater	5	22	0.2729	29.3687	748	4.4
35	istuc	5	21	0.2604	29.6292	735	4.3
35	nuptias	7	21	0.2604	29.8896	735	4.3
35	hodie	5	21	0.2604	30.1501	735	4.3
36	neque	5	20	0.248	30.3981	720	4.1
36	quom	4	20	0.248	30.6462	720	4.1
36	cum	3	20	0.248	30.8942	720	4.1
37	pamphile	8	19	0.2356	31.1299	703	4
37	re	2	19	0.2356	31.3655	703	4
37	sum	3	19	0.2356	31.6011	703	4
37	ea	2	19	0.2356	31.8368	703	4
37	haud	4	19	0.2356	32.0724	703	4
37	dave	4	19	0.2356	32.3081	703	4
37	dum	3	19	0.2356	32.5437	703	4
38	omnia	5	18	0.2232	32.767	684	3.9
38	de	2	18	0.2232	32.9902	684	3.9
38	animum	6	18	0.2232	33.2134	684	3.9
38	nisi	4	18	0.2232	33.4367	684	3.9
38	hinc	4	18	0.2232	33.6599	684	3.9
38	sunt	4	18	0.2232	33.8832	684	3.9
39	huic	4	17	0.2108	34.094	663	3.8
39	se	2	17	0.2108	34.3048	663	3.8
39	hunc	4	17	0.2108	34.5157	663	3.8
40	illam	5	16	0.1984	34.7141	640	3.7
40	quor	4	16	0.1984	34.9126	640	3.7
40	modo	4	16	0.1984	35.111	640	3.7
40	chreme	6	16	0.1984	35.3094	640	3.7
40	huc	3	16	0.1984	35.5079	640	3.7
40	quis	4	16	0.1984	35.7063	640	3.7
41	video	5	15	0.186	35.8923	615	3.6
41	illa	4	15	0.186	36.0784	615	3.6
41	quo	3	15	0.186	36.2644	615	3.6
41	an	2	15	0.186	36.4505	615	3.6
42	ubi	3	14	0.1736	36.6241	588	3.5
42	habeo	5	14	0.1736	36.7977	588	3.5
42	ibi	3	14	0.1736	36.9714	588	3.5
42	ab	2	14	0.1736	37.145	588	3.5
42	dicam	5	14	0.1736	37.3186	588	3.5
42	factum	6	14	0.1736	37.4922	588	3.5
42	hercle	6	14	0.1736	37.6659	588	3.5
42	sic	3	14	0.1736	37.8395	588	3.5
42	is	2	14	0.1736	38.0131	588	3.5
42	etiam	5	14	0.1736	38.1868	588	3.5
42	quidem	6	14	0.1736	38.3604	588	3.5
42	eho	3	14	0.1736	38.534	588	3.5
43	per	3	13	0.1612	38.6953	559	3.5
43	animo	5	13	0.1612	38.8565	559	3.5
43	quem	4	13	0.1612	39.0177	559	3.5
43	sibi	4	13	0.1612	39.179	559	3.5
43	dic	3	13	0.1612	39.3402	559	3.5
44	ais	3	12	0.1488	39.489	528	3.4
44	illum	5	12	0.1488	39.6379	528	3.4
44	a	1	12	0.1488	39.7867	528	3.4
44	obsecro	7	12	0.1488	39.9355	528	3.4
44	primum	6	12	0.1488	40.0843	528	3.4
44	pro	3	12	0.1488	40.2332	528	3.4
44	immo	4	12	0.1488	40.382	528	3.4
44	adeo	4	12	0.1488	40.5308	528	3.4
44	ac	2	12	0.1488	40.6796	528	3.4
44	tamen	5	12	0.1488	40.8285	528	3.4
45	nuptiae	7	11	0.1364	40.9649	495	3.3
45	quin	4	11	0.1364	41.1013	495	3.3
45	nuptiis	7	11	0.1364	41.2378	495	3.3
45	verum	5	11	0.1364	41.3742	495	3.3
45	tam	3	11	0.1364	41.5106	495	3.3
45	chremes	7	11	0.1364	41.647	495	3.3
45	ipsum	5	11	0.1364	41.7835	495	3.3
45	num	3	11	0.1364	41.9199	495	3.3
45	quia	4	11	0.1364	42.0563	495	3.3
45	fidem	5	11	0.1364	42.1927	495	3.3
45	pol	3	11	0.1364	42.3292	495	3.3
45	illi	4	11	0.1364	42.4656	495	3.3
46	credo	5	10	0.124	42.5896	460	3.2
46	intro	5	10	0.124	42.7136	460	3.2
46	davo	4	10	0.124	42.8377	460	3.2
46	postquam	8	10	0.124	42.9617	460	3.2
46	quasi	5	10	0.124	43.0857	460	3.2
46	es	2	10	0.124	43.2097	460	3.2
46	nec	3	10	0.124	43.3337	460	3.2
46	age	3	10	0.124	43.4578	460	3.2
46	volo	4	10	0.124	43.5818	460	3.2
46	certe	5	10	0.124	43.7058	460	3.2
46	mysis	5	10	0.124	43.8298	460	3.2
46	eam	3	10	0.124	43.9539	460	3.2
46	di	2	10	0.124	44.0779	460	3.2
46	sati	4	10	0.124	44.2019	460	3.2
46	causa	5	10	0.124	44.3259	460	3.2
46	numquam	7	10	0.124	44.45	460	3.2
46	res	3	10	0.124	44.574	460	3.2
46	recte	5	10	0.124	44.698	460	3.2
46	hac	3	10	0.124	44.822	460	3.2
46	faciam	6	10	0.124	44.946	460	3.2
47	agam	4	9	0.1116	45.0577	423	3.2
47	eius	4	9	0.1116	45.1693	423	3.2
47	puerum	6	9	0.1116	45.2809	423	3.2
47	pamphilum	9	9	0.1116	45.3925	423	3.2
47	em	2	9	0.1116	45.5042	423	3.2
47	siquid	6	9	0.1116	45.6158	423	3.2
47	ah	2	9	0.1116	45.7274	423	3.2
47	oro	3	9	0.1116	45.839	423	3.2
47	sine	4	9	0.1116	45.9506	423	3.2
47	aliquid	7	9	0.1116	46.0623	423	3.2
47	igitur	6	9	0.1116	46.1739	423	3.2
47	simo	4	9	0.1116	46.2855	423	3.2
47	sese	4	9	0.1116	46.3971	423	3.2
47	ei	2	9	0.1116	46.5087	423	3.2
48	apud	4	8	0.0992	46.608	384	3.1
48	fuit	4	8	0.0992	46.7072	384	3.1
48	facile	6	8	0.0992	46.8064	384	3.1
48	adeon	5	8	0.0992	46.9056	384	3.1
48	scis	4	8	0.0992	47.0048	384	3.1
48	verbum	6	8	0.0992	47.1041	384	3.1
48	interea	7	8	0.0992	47.2033	384	3.1
48	vide	4	8	0.0992	47.3025	384	3.1
48	eum	3	8	0.0992	47.4017	384	3.1
48	audio	5	8	0.0992	47.5009	384	3.1
48	ob	2	8	0.0992	47.6001	384	3.1
48	vero	4	8	0.0992	47.6994	384	3.1
48	sis	3	8	0.0992	47.7986	384	3.1
48	opus	4	8	0.0992	47.8978	384	3.1
48	patrem	6	8	0.0992	47.997	384	3.1
48	dicere	6	8	0.0992	48.0962	384	3.1
48	illud	5	8	0.0992	48.1955	384	3.1
48	istaec	6	8	0.0992	48.2947	384	3.1
48	pamphilo	8	8	0.0992	48.3939	384	3.1
48	bene	4	8	0.0992	48.4931	384	3.1
48	vel	3	8	0.0992	48.5923	384	3.1
48	vos	3	8	0.0992	48.6916	384	3.1
48	tandem	6	8	0.0992	48.7908	384	3.1
48	audivi	6	8	0.0992	48.89	384	3.1
48	davom	5	8	0.0992	48.9892	384	3.1
49	quantum	7	7	0.0868	49.076	343	3
49	nempe	5	7	0.0868	49.1628	343	3
49	nos	3	7	0.0868	49.2497	343	3
49	quicquam	8	7	0.0868	49.3365	343	3
49	ante	4	7	0.0868	49.4233	343	3
49	malum	5	7	0.0868	49.5101	343	3
49	opu	3	7	0.0868	49.5969	343	3
49	quidnam	7	7	0.0868	49.6837	343	3
49	vis	3	7	0.0868	49.7706	343	3
49	ipsu	4	7	0.0868	49.8574	343	3
49	una	3	7	0.0868	49.9442	343	3
49	glycerium	9	7	0.0868	50.031	343	3
49	amorem	6	7	0.0868	50.1178	343	3
49	eo	2	7	0.0868	50.2046	343	3
49	mea	3	7	0.0868	50.2915	343	3
49	ducere	6	7	0.0868	50.3783	343	3
49	semper	6	7	0.0868	50.4651	343	3
49	perii	5	7	0.0868	50.5519	343	3
49	spero	5	7	0.0868	50.6387	343	3
49	consilium	9	7	0.0868	50.7255	343	3
49	vitam	5	7	0.0868	50.8124	343	3
49	praeter	7	7	0.0868	50.8992	343	3
49	audi	4	7	0.0868	50.986	343	3
49	tua	3	7	0.0868	51.0728	343	3
49	meum	4	7	0.0868	51.1596	343	3
50	gnatum	6	6	0.0744	51.234	300	3
50	virum	5	6	0.0744	51.3084	300	3
50	omnis	5	6	0.0744	51.3829	300	3
50	bona	4	6	0.0744	51.4573	300	3
50	ipsa	4	6	0.0744	51.5317	300	3
50	gnatam	6	6	0.0744	51.6061	300	3
50	potest	6	6	0.0744	51.6805	300	3
50	evenit	6	6	0.0744	51.7549	300	3
50	has	3	6	0.0744	51.8293	300	3
50	tuom	4	6	0.0744	51.9038	300	3
50	inter	5	6	0.0744	51.9782	300	3
50	priu	4	6	0.0744	52.0526	300	3
50	dies	4	6	0.0744	52.127	300	3
50	facere	6	6	0.0744	52.2014	300	3
50	itane	5	6	0.0744	52.2758	300	3
50	patri	5	6	0.0744	52.3502	300	3
50	abs	3	6	0.0744	52.4247	300	3
50	huiu	4	6	0.0744	52.4991	300	3
50	crito	5	6	0.0744	52.5735	300	3
50	dare	4	6	0.0744	52.6479	300	3
50	volt	4	6	0.0744	52.7223	300	3
50	omnes	5	6	0.0744	52.7967	300	3
50	fit	3	6	0.0744	52.8711	300	3
50	filium	6	6	0.0744	52.9456	300	3
50	dudum	5	6	0.0744	53.02	300	3
50	sat	3	6	0.0744	53.0944	300	3
50	olim	4	6	0.0744	53.1688	300	3
50	esset	5	6	0.0744	53.2432	300	3
50	tute	4	6	0.0744	53.3176	300	3
50	cedo	4	6	0.0744	53.392	300	3
50	dixi	4	6	0.0744	53.4665	300	3
50	civem	5	6	0.0744	53.5409	300	3
50	illo	4	6	0.0744	53.6153	300	3
50	feci	4	6	0.0744	53.6897	300	3
50	puer	4	6	0.0744	53.7641	300	3
50	deos	4	6	0.0744	53.8385	300	3
50	charine	7	6	0.0744	53.9129	300	3
50	salve	5	6	0.0744	53.9873	300	3
50	satis	5	6	0.0744	54.0618	300	3
50	habet	5	6	0.0744	54.1362	300	3
50	aliud	5	6	0.0744	54.2106	300	3
50	simul	5	6	0.0744	54.285	300	3
50	tuo	3	6	0.0744	54.3594	300	3
50	ait	3	6	0.0744	54.4338	300	3
51	censes	6	5	0.062	54.4958	255	2.9
51	sim	3	5	0.062	54.5579	255	2.9
51	glycerio	8	5	0.062	54.6199	255	2.9
51	forum	5	5	0.062	54.6819	255	2.9
51	miserum	7	5	0.062	54.7439	255	2.9
51	forte	5	5	0.062	54.8059	255	2.9
51	hominum	7	5	0.062	54.8679	255	2.9
51	dat	3	5	0.062	54.9299	255	2.9
51	tuam	4	5	0.062	54.9919	255	2.9
51	eorum	5	5	0.062	55.054	255	2.9
51	fiant	5	5	0.062	55.116	255	2.9
51	miseram	7	5	0.062	55.178	255	2.9
51	mulier	6	5	0.062	55.24	255	2.9
51	unum	4	5	0.062	55.302	255	2.9
51	cave	4	5	0.062	55.364	255	2.9
51	tempore	7	5	0.062	55.426	255	2.9
51	lubet	5	5	0.062	55.488	255	2.9
51	e	1	5	0.062	55.55	255	2.9
51	pamphilus	9	5	0.062	55.6121	255	2.9
51	verbis	6	5	0.062	55.6741	255	2.9
51	intu	4	5	0.062	55.7361	255	2.9
51	illis	5	5	0.062	55.7981	255	2.9
51	huius	5	5	0.062	55.8601	255	2.9
51	continuo	8	5	0.062	55.9221	255	2.9
51	boni	4	5	0.062	55.9841	255	2.9
51	illic	5	5	0.062	56.0461	255	2.9
51	uxore	5	5	0.062	56.1081	255	2.9
51	aiunt	5	5	0.062	56.1702	255	2.9
51	chrysidis	9	5	0.062	56.2322	255	2.9
51	operam	6	5	0.062	56.2942	255	2.9
51	inquam	6	5	0.062	56.3562	255	2.9
51	fieri	5	5	0.062	56.4182	255	2.9
51	malo	4	5	0.062	56.4802	255	2.9
51	tulit	5	5	0.062	56.5422	255	2.9
51	propterea	9	5	0.062	56.6042	255	2.9
51	opinor	6	5	0.062	56.6663	255	2.9
51	filiam	6	5	0.062	56.7283	255	2.9
51	intellego	9	5	0.062	56.7903	255	2.9
51	facis	5	5	0.062	56.8523	255	2.9
51	meo	3	5	0.062	56.9143	255	2.9
51	nunciam	7	5	0.062	56.9763	255	2.9
51	dari	4	5	0.062	57.0383	255	2.9
51	vera	4	5	0.062	57.1003	255	2.9
51	consili	7	5	0.062	57.1623	255	2.9
51	ducas	5	5	0.062	57.2244	255	2.9
51	gnato	5	5	0.062	57.2864	255	2.9
51	rogas	5	5	0.062	57.3484	255	2.9
51	rogo	4	5	0.062	57.4104	255	2.9
51	egon	4	5	0.062	57.4724	255	2.9
51	pacto	5	5	0.062	57.5344	255	2.9
51	male	4	5	0.062	57.5964	255	2.9
51	mora	4	5	0.062	57.6584	255	2.9
51	dixti	5	5	0.062	57.7205	255	2.9
51	vidi	4	5	0.062	57.7825	255	2.9
51	nescio	6	5	0.062	57.8445	255	2.9
51	quaeso	6	5	0.062	57.9065	255	2.9
52	mane	4	4	0.0496	57.9561	208	2.9
52	mecum	5	4	0.0496	58.0057	208	2.9
52	quoiquam	8	4	0.0496	58.0553	208	2.9
52	sedulo	6	4	0.0496	58.1049	208	2.9
52	quoque	6	4	0.0496	58.1545	208	2.9
52	his	3	4	0.0496	58.2041	208	2.9
52	heus	4	4	0.0496	58.2538	208	2.9
52	dicas	5	4	0.0496	58.3034	208	2.9
52	eiu	3	4	0.0496	58.353	208	2.9
52	egomet	6	4	0.0496	58.4026	208	2.9
52	verba	5	4	0.0496	58.4522	208	2.9
52	quas	4	4	0.0496	58.5018	208	2.9
52	vir	3	4	0.0496	58.5514	208	2.9
52	loqui	5	4	0.0496	58.601	208	2.9
52	eccum	5	4	0.0496	58.6506	208	2.9
52	propter	7	4	0.0496	58.7002	208	2.9
52	velle	5	4	0.0496	58.7498	208	2.9
52	ipse	4	4	0.0496	58.7995	208	2.9
52	senex	5	4	0.0496	58.8491	208	2.9
52	audin	5	4	0.0496	58.8987	208	2.9
52	aliquot	7	4	0.0496	58.9483	208	2.9
52	usque	5	4	0.0496	58.9979	208	2.9
52	byrria	6	4	0.0496	59.0475	208	2.9
52	malist	6	4	0.0496	59.0971	208	2.9
52	nondum	6	4	0.0496	59.1467	208	2.9
52	facias	6	4	0.0496	59.1963	208	2.9
52	loco	4	4	0.0496	59.2459	208	2.9
52	nomen	5	4	0.0496	59.2955	208	2.9
52	postulo	7	4	0.0496	59.3452	208	2.9
52	venit	5	4	0.0496	59.3948	208	2.9
52	erum	4	4	0.0496	59.4444	208	2.9
52	probe	5	4	0.0496	59.494	208	2.9
52	narras	6	4	0.0496	59.5436	208	2.9
52	dicat	5	4	0.0496	59.5932	208	2.9
52	ergo	4	4	0.0496	59.6428	208	2.9
52	dromo	5	4	0.0496	59.6924	208	2.9
52	det	3	4	0.0496	59.742	208	2.9
52	timeo	5	4	0.0496	59.7916	208	2.9
52	advenis	7	4	0.0496	59.8413	208	2.9
52	sive	4	4	0.0496	59.8909	208	2.9
52	habere	6	4	0.0496	59.9405	208	2.9
52	posse	5	4	0.0496	59.9901	208	2.9
52	neminem	7	4	0.0496	60.0397	208	2.9
52	suam	4	4	0.0496	60.0893	208	2.9
52	vides	5	4	0.0496	60.1389	208	2.9
52	patris	6	4	0.0496	60.1885	208	2.9
52	ipsam	5	4	0.0496	60.2381	208	2.9
52	dixit	5	4	0.0496	60.2877	208	2.9
52	via	3	4	0.0496	60.3373	208	2.9
52	inquit	6	4	0.0496	60.387	208	2.9
52	gratia	6	4	0.0496	60.4366	208	2.9
52	ostium	6	4	0.0496	60.4862	208	2.9
52	possim	6	4	0.0496	60.5358	208	2.9
52	ducturum	8	4	0.0496	60.5854	208	2.9
52	metu	4	4	0.0496	60.635	208	2.9
52	uxor	4	4	0.0496	60.6846	208	2.9
52	gaudio	6	4	0.0496	60.7342	208	2.9
52	fecit	5	4	0.0496	60.7838	208	2.9
52	dabit	5	4	0.0496	60.8334	208	2.9
52	mala	4	4	0.0496	60.883	208	2.9
52	homo	4	4	0.0496	60.9327	208	2.9
52	videtur	7	4	0.0496	60.9823	208	2.9
52	locum	5	4	0.0496	61.0319	208	2.9
52	siet	4	4	0.0496	61.0815	208	2.9
52	face	4	4	0.0496	61.1311	208	2.9
52	quomque	7	4	0.0496	61.1807	208	2.9
52	quibus	6	4	0.0496	61.2303	208	2.9
52	quaero	6	4	0.0496	61.2799	208	2.9
52	erat	4	4	0.0496	61.3295	208	2.9
52	arbitror	8	4	0.0496	61.3791	208	2.9
52	ille	4	4	0.0496	61.4287	208	2.9
52	mihin	5	4	0.0496	61.4784	208	2.9
52	credas	6	4	0.0496	61.528	208	2.9
52	audies	6	4	0.0496	61.5776	208	2.9
52	mitte	5	4	0.0496	61.6272	208	2.9
52	principio	9	4	0.0496	61.6768	208	2.9
52	porro	5	4	0.0496	61.7264	208	2.9
52	optume	6	4	0.0496	61.776	208	2.9
52	dolis	5	4	0.0496	61.8256	208	2.9
52	faciet	6	4	0.0496	61.8752	208	2.9
52	pretium	7	4	0.0496	61.9248	208	2.9
52	abi	3	4	0.0496	61.9745	208	2.9
52	cito	4	4	0.0496	62.0241	208	2.9
52	saltem	6	4	0.0496	62.0737	208	2.9
52	facerem	7	4	0.0496	62.1233	208	2.9
52	velis	5	4	0.0496	62.1729	208	2.9
52	misera	6	4	0.0496	62.2225	208	2.9
52	etsi	4	4	0.0496	62.2721	208	2.9
52	dehinc	6	4	0.0496	62.3217	208	2.9
52	nescis	6	4	0.0496	62.3713	208	2.9
52	vereor	6	4	0.0496	62.4209	208	2.9
52	mali	4	4	0.0496	62.4705	208	2.9
52	utinam	6	4	0.0496	62.5202	208	2.9
52	forma	5	4	0.0496	62.5698	208	2.9
53	atticam	7	3	0.0372	62.607	159	2.8
53	spem	4	3	0.0372	62.6442	159	2.8
53	rape	4	3	0.0372	62.6814	159	2.8
53	sua	3	3	0.0372	62.7186	159	2.8
53	ehem	4	3	0.0372	62.7558	159	2.8
53	consilio	8	3	0.0372	62.793	159	2.8
53	quoius	6	3	0.0372	62.8302	159	2.8
53	ibo	3	3	0.0372	62.8674	159	2.8
53	aequo	5	3	0.0372	62.9046	159	2.8
53	salutem	7	3	0.0372	62.9418	159	2.8
53	istic	5	3	0.0372	62.979	159	2.8
53	paullum	7	3	0.0372	63.0162	159	2.8
53	ni	2	3	0.0372	63.0535	159	2.8
53	patre	5	3	0.0372	63.0907	159	2.8
53	aliam	5	3	0.0372	63.1279	159	2.8
53	amicum	6	3	0.0372	63.1651	159	2.8
53	tempus	6	3	0.0372	63.2023	159	2.8
53	antehac	7	3	0.0372	63.2395	159	2.8
53	iussi	5	3	0.0372	63.2767	159	2.8
53	gratiam	7	3	0.0372	63.3139	159	2.8
53	mage	4	3	0.0372	63.3511	159	2.8
53	aperte	6	3	0.0372	63.3883	159	2.8
53	voltu	5	3	0.0372	63.4255	159	2.8
53	orare	5	3	0.0372	63.4627	159	2.8
53	filius	6	3	0.0372	63.4999	159	2.8
53	hominem	7	3	0.0372	63.5371	159	2.8
53	opera	5	3	0.0372	63.5744	159	2.8
53	salvo	5	3	0.0372	63.6116	159	2.8
53	prorsus	7	3	0.0372	63.6488	159	2.8
53	ingenium	8	3	0.0372	63.686	159	2.8
53	scire	5	3	0.0372	63.7232	159	2.8
53	fert	4	3	0.0372	63.7604	159	2.8
53	pistrinum	9	3	0.0372	63.7976	159	2.8
53	ridiculum	9	3	0.0372	63.8348	159	2.8
53	quoniam	7	3	0.0372	63.872	159	2.8
53	conari	6	3	0.0372	63.9092	159	2.8
53	alia	4	3	0.0372	63.9464	159	2.8
53	sane	4	3	0.0372	63.9836	159	2.8
53	animu	5	3	0.0372	64.0208	159	2.8
53	scies	5	3	0.0372	64.058	159	2.8
53	omnem	5	3	0.0372	64.0952	159	2.8
53	omnium	6	3	0.0372	64.1325	159	2.8
53	scelus	6	3	0.0372	64.1697	159	2.8
53	fuisse	6	3	0.0372	64.2069	159	2.8
53	iussit	6	3	0.0372	64.2441	159	2.8
53	quidvis	7	3	0.0372	64.2813	159	2.8
53	periclo	7	3	0.0372	64.3185	159	2.8
53	tempu	5	3	0.0372	64.3557	159	2.8
53	ducam	5	3	0.0372	64.3929	159	2.8
53	veritus	7	3	0.0372	64.4301	159	2.8
53	sint	4	3	0.0372	64.4673	159	2.8
