rank	word	wordlength	count	frequency(count*100/8252)	sum frequency	zipf(rank*count)	zipf(max/rank)
1	quid	4	149	1.8056	1.8056	149	149
2	me	2	133	1.6117	3.4174	266	74.5
3	ut	2	126	1.5269	4.9443	378	49.7
4	est	3	102	1.2361	6.1803	408	37.3
5	non	3	93	1.127	7.3073	465	29.8
6	te	2	90	1.0906	8.398	540	24.8
6	in	2	90	1.0906	9.4886	540	24.8
7	ego	3	76	0.921	10.4096	532	21.3
8	id	2	73	0.8846	11.2942	584	18.6
8	et	2	73	0.8846	12.1789	584	18.6
8	si	2	73	0.8846	13.0635	584	18.6
9	nunc	4	72	0.8725	13.936	648	16.6
10	hoc	3	67	0.8119	14.7479	670	14.9
11	tibi	4	66	0.7998	15.5477	726	13.5
12	mihi	4	64	0.7756	16.3233	768	12.4
13	quod	4	63	0.7635	17.0868	819	11.5
14	ad	2	61	0.7392	17.826	854	10.6
15	hic	3	54	0.6544	18.4804	810	9.9
16	esse	4	53	0.6423	19.1226	848	9.3
17	atque	5	52	0.6302	19.7528	884	8.8
17	qui	3	52	0.6302	20.3829	884	8.8
17	tu	2	52	0.6302	21.0131	884	8.8
18	haec	4	49	0.5938	21.6069	882	8.3
19	sed	3	47	0.5696	22.1764	893	7.8
20	iam	3	46	0.5574	22.7339	920	7.5
21	nil	3	42	0.509	23.2429	882	7.1
22	quam	4	40	0.4847	23.7276	880	6.8
23	ne	2	38	0.4605	24.1881	874	6.5
24	nam	3	35	0.4241	24.6122	840	6.2
25	ita	3	34	0.412	25.0242	850	6
26	aut	3	33	0.3999	25.4241	858	5.7
27	quae	4	31	0.3757	25.7998	837	5.5
28	mi	2	30	0.3635	26.1634	840	5.3
29	tum	3	27	0.3272	26.4905	783	5.1
29	ex	2	27	0.3272	26.8177	783	5.1
30	hanc	4	26	0.3151	27.1328	780	5
31	uxorem	6	25	0.303	27.4358	775	4.8
31	hem	3	25	0.303	27.7387	775	4.8
31	scio	4	25	0.303	28.0417	775	4.8
32	o	1	24	0.2908	28.3325	768	4.7
33	rem	3	23	0.2787	28.6112	759	4.5
33	at	2	23	0.2787	28.89	759	4.5
34	sit	3	22	0.2666	29.1566	748	4.4
34	pater	5	22	0.2666	29.4232	748	4.4
35	istuc	5	21	0.2545	29.6777	735	4.3
35	cum	3	21	0.2545	29.9321	735	4.3
35	nuptias	7	21	0.2545	30.1866	735	4.3
35	hodie	5	21	0.2545	30.4411	735	4.3
36	de	2	20	0.2424	30.6835	720	4.1
36	neque	5	20	0.2424	30.9258	720	4.1
36	pamphile	8	20	0.2424	31.1682	720	4.1
36	quom	4	20	0.2424	31.4106	720	4.1
36	re	2	20	0.2424	31.6529	720	4.1
37	sum	3	19	0.2302	31.8832	703	4
37	haud	4	19	0.2302	32.1134	703	4
37	dum	3	19	0.2302	32.3437	703	4
37	dave	4	19	0.2302	32.5739	703	4
37	animum	6	19	0.2302	32.8042	703	4
37	ea	2	19	0.2302	33.0344	703	4
38	nisi	4	18	0.2181	33.2525	684	3.9
38	sunt	4	18	0.2181	33.4707	684	3.9
38	hinc	4	18	0.2181	33.6888	684	3.9
38	omnia	5	18	0.2181	33.9069	684	3.9
39	huic	4	17	0.206	34.1129	663	3.8
39	quis	4	17	0.206	34.319	663	3.8
39	se	2	17	0.206	34.525	663	3.8
39	huc	3	17	0.206	34.731	663	3.8
39	hunc	4	17	0.206	34.937	663	3.8
40	illam	5	16	0.1939	35.1309	640	3.7
40	illa	4	16	0.1939	35.3248	640	3.7
40	modo	4	16	0.1939	35.5187	640	3.7
40	quor	4	16	0.1939	35.7126	640	3.7
40	chreme	6	16	0.1939	35.9064	640	3.7
41	an	2	15	0.1818	36.0882	615	3.6
41	video	5	15	0.1818	36.27	615	3.6
41	quo	3	15	0.1818	36.4518	615	3.6
41	factum	6	15	0.1818	36.6335	615	3.6
42	quidem	6	14	0.1697	36.8032	588	3.5
42	ab	2	14	0.1697	36.9729	588	3.5
42	etiam	5	14	0.1697	37.1425	588	3.5
42	is	2	14	0.1697	37.3122	588	3.5
42	ibi	3	14	0.1697	37.4818	588	3.5
42	sic	3	14	0.1697	37.6515	588	3.5
42	hercle	6	14	0.1697	37.8211	588	3.5
42	ubi	3	14	0.1697	37.9908	588	3.5
42	dicam	5	14	0.1697	38.1604	588	3.5
42	ac	2	14	0.1697	38.3301	588	3.5
42	habeo	5	14	0.1697	38.4998	588	3.5
42	eho	3	14	0.1697	38.6694	588	3.5
43	per	3	13	0.1575	38.827	559	3.5
43	adeo	4	13	0.1575	38.9845	559	3.5
43	sibi	4	13	0.1575	39.142	559	3.5
43	a	1	13	0.1575	39.2996	559	3.5
43	quem	4	13	0.1575	39.4571	559	3.5
43	animo	5	13	0.1575	39.6146	559	3.5
43	tamen	5	13	0.1575	39.7722	559	3.5
43	dic	3	13	0.1575	39.9297	559	3.5
44	immo	4	12	0.1454	40.0751	528	3.4
44	obsecro	7	12	0.1454	40.2206	528	3.4
44	chremes	7	12	0.1454	40.366	528	3.4
44	pro	3	12	0.1454	40.5114	528	3.4
44	primum	6	12	0.1454	40.6568	528	3.4
44	illum	5	12	0.1454	40.8022	528	3.4
44	ais	3	12	0.1454	40.9476	528	3.4
45	quia	4	11	0.1333	41.081	495	3.3
45	quin	4	11	0.1333	41.2143	495	3.3
45	nuptiis	7	11	0.1333	41.3476	495	3.3
45	fidem	5	11	0.1333	41.4809	495	3.3
45	age	3	11	0.1333	41.6142	495	3.3
45	num	3	11	0.1333	41.7475	495	3.3
45	illi	4	11	0.1333	41.8808	495	3.3
45	nuptiae	7	11	0.1333	42.0141	495	3.3
45	volo	4	11	0.1333	42.1474	495	3.3
45	ipsum	5	11	0.1333	42.2807	495	3.3
45	tam	3	11	0.1333	42.414	495	3.3
45	res	3	11	0.1333	42.5473	495	3.3
45	verum	5	11	0.1333	42.6806	495	3.3
45	pol	3	11	0.1333	42.8139	495	3.3
46	causa	5	10	0.1212	42.935	460	3.2
46	es	2	10	0.1212	43.0562	460	3.2
46	eam	3	10	0.1212	43.1774	460	3.2
46	quasi	5	10	0.1212	43.2986	460	3.2
46	nec	3	10	0.1212	43.4198	460	3.2
46	intro	5	10	0.1212	43.541	460	3.2
46	recte	5	10	0.1212	43.6621	460	3.2
46	certe	5	10	0.1212	43.7833	460	3.2
46	hac	3	10	0.1212	43.9045	460	3.2
46	postquam	8	10	0.1212	44.0257	460	3.2
46	sati	4	10	0.1212	44.1469	460	3.2
46	davo	4	10	0.1212	44.2681	460	3.2
46	di	2	10	0.1212	44.3892	460	3.2
46	ah	2	10	0.1212	44.5104	460	3.2
46	faciam	6	10	0.1212	44.6316	460	3.2
46	numquam	7	10	0.1212	44.7528	460	3.2
46	credo	5	10	0.1212	44.874	460	3.2
46	mysis	5	10	0.1212	44.9952	460	3.2
47	ei	2	9	0.1091	45.1042	423	3.2
47	sese	4	9	0.1091	45.2133	423	3.2
47	oro	3	9	0.1091	45.3223	423	3.2
47	igitur	6	9	0.1091	45.4314	423	3.2
47	perii	5	9	0.1091	45.5405	423	3.2
47	aliquid	7	9	0.1091	45.6495	423	3.2
47	siquid	6	9	0.1091	45.7586	423	3.2
47	puerum	6	9	0.1091	45.8677	423	3.2
47	simo	4	9	0.1091	45.9767	423	3.2
47	bene	4	9	0.1091	46.0858	423	3.2
47	pamphilum	9	9	0.1091	46.1949	423	3.2
47	istaec	6	9	0.1091	46.3039	423	3.2
47	abs	3	9	0.1091	46.413	423	3.2
47	em	2	9	0.1091	46.5221	423	3.2
47	agam	4	9	0.1091	46.6311	423	3.2
47	eum	3	9	0.1091	46.7402	423	3.2
47	sine	4	9	0.1091	46.8492	423	3.2
47	eius	4	9	0.1091	46.9583	423	3.2
48	scis	4	8	0.0969	47.0553	384	3.1
48	ob	2	8	0.0969	47.1522	384	3.1
48	audio	5	8	0.0969	47.2492	384	3.1
48	opus	4	8	0.0969	47.3461	384	3.1
48	apud	4	8	0.0969	47.443	384	3.1
48	vel	3	8	0.0969	47.54	384	3.1
48	illud	5	8	0.0969	47.6369	384	3.1
48	adeon	5	8	0.0969	47.7339	384	3.1
48	patrem	6	8	0.0969	47.8308	384	3.1
48	verbum	6	8	0.0969	47.9278	384	3.1
48	facile	6	8	0.0969	48.0247	384	3.1
48	dicere	6	8	0.0969	48.1217	384	3.1
48	audivi	6	8	0.0969	48.2186	384	3.1
48	pamphilo	8	8	0.0969	48.3156	384	3.1
48	davom	5	8	0.0969	48.4125	384	3.1
48	tua	3	8	0.0969	48.5095	384	3.1
48	vos	3	8	0.0969	48.6064	384	3.1
48	interea	7	8	0.0969	48.7033	384	3.1
48	vide	4	8	0.0969	48.8003	384	3.1
48	sis	3	8	0.0969	48.8972	384	3.1
48	fuit	4	8	0.0969	48.9942	384	3.1
48	vero	4	8	0.0969	49.0911	384	3.1
48	tandem	6	8	0.0969	49.1881	384	3.1
49	amorem	6	7	0.0848	49.2729	343	3
49	mea	3	7	0.0848	49.3577	343	3
49	vis	3	7	0.0848	49.4426	343	3
49	eo	2	7	0.0848	49.5274	343	3
49	una	3	7	0.0848	49.6122	343	3
49	opu	3	7	0.0848	49.697	343	3
49	spero	5	7	0.0848	49.7819	343	3
49	quicquam	8	7	0.0848	49.8667	343	3
49	quantum	7	7	0.0848	49.9515	343	3
49	audi	4	7	0.0848	50.0364	343	3
49	nos	3	7	0.0848	50.1212	343	3
49	ante	4	7	0.0848	50.206	343	3
49	gnatam	6	7	0.0848	50.2908	343	3
49	glycerium	9	7	0.0848	50.3757	343	3
49	facere	6	7	0.0848	50.4605	343	3
49	meum	4	7	0.0848	50.5453	343	3
49	consilium	9	7	0.0848	50.6302	343	3
49	malum	5	7	0.0848	50.715	343	3
49	vitam	5	7	0.0848	50.7998	343	3
49	quidnam	7	7	0.0848	50.8846	343	3
49	ipsu	4	7	0.0848	50.9695	343	3
49	semper	6	7	0.0848	51.0543	343	3
49	nempe	5	7	0.0848	51.1391	343	3
49	tute	4	7	0.0848	51.2239	343	3
49	charine	7	7	0.0848	51.3088	343	3
49	praeter	7	7	0.0848	51.3936	343	3
49	ducere	6	7	0.0848	51.4784	343	3
50	tuom	4	6	0.0727	51.5511	300	3
50	filium	6	6	0.0727	51.6238	300	3
50	patri	5	6	0.0727	51.6966	300	3
50	esset	5	6	0.0727	51.7693	300	3
50	ipsa	4	6	0.0727	51.842	300	3
50	huiu	4	6	0.0727	51.9147	300	3
50	fit	3	6	0.0727	51.9874	300	3
50	has	3	6	0.0727	52.0601	300	3
50	salve	5	6	0.0727	52.1328	300	3
50	puer	4	6	0.0727	52.2055	300	3
50	inter	5	6	0.0727	52.2782	300	3
50	simul	5	6	0.0727	52.3509	300	3
50	satis	5	6	0.0727	52.4237	300	3
50	virum	5	6	0.0727	52.4964	300	3
50	omnes	5	6	0.0727	52.5691	300	3
50	dies	4	6	0.0727	52.6418	300	3
50	omnis	5	6	0.0727	52.7145	300	3
50	bona	4	6	0.0727	52.7872	300	3
50	gnatum	6	6	0.0727	52.8599	300	3
50	ait	3	6	0.0727	52.9326	300	3
50	habet	5	6	0.0727	53.0053	300	3
50	itane	5	6	0.0727	53.078	300	3
50	illo	4	6	0.0727	53.1508	300	3
50	olim	4	6	0.0727	53.2235	300	3
50	opinor	6	6	0.0727	53.2962	300	3
50	tuo	3	6	0.0727	53.3689	300	3
50	crito	5	6	0.0727	53.4416	300	3
50	dare	4	6	0.0727	53.5143	300	3
50	feci	4	6	0.0727	53.587	300	3
50	potest	6	6	0.0727	53.6597	300	3
50	cedo	4	6	0.0727	53.7324	300	3
50	dixi	4	6	0.0727	53.8051	300	3
50	sat	3	6	0.0727	53.8778	300	3
50	priu	4	6	0.0727	53.9506	300	3
50	operam	6	6	0.0727	54.0233	300	3
50	volt	4	6	0.0727	54.096	300	3
50	evenit	6	6	0.0727	54.1687	300	3
50	dudum	5	6	0.0727	54.2414	300	3
50	deos	4	6	0.0727	54.3141	300	3
50	meo	3	6	0.0727	54.3868	300	3
50	aliud	5	6	0.0727	54.4595	300	3
50	civem	5	6	0.0727	54.5322	300	3
51	facis	5	5	0.0606	54.5928	255	2.9
51	e	1	5	0.0606	54.6534	255	2.9
51	rogas	5	5	0.0606	54.714	255	2.9
51	rogo	4	5	0.0606	54.7746	255	2.9
51	gnato	5	5	0.0606	54.8352	255	2.9
51	senex	5	5	0.0606	54.8958	255	2.9
51	vidi	4	5	0.0606	54.9564	255	2.9
51	consili	7	5	0.0606	55.017	255	2.9
51	lubet	5	5	0.0606	55.0776	255	2.9
51	vera	4	5	0.0606	55.1381	255	2.9
51	intu	4	5	0.0606	55.1987	255	2.9
51	censes	6	5	0.0606	55.2593	255	2.9
51	ducas	5	5	0.0606	55.3199	255	2.9
51	eorum	5	5	0.0606	55.3805	255	2.9
51	mane	4	5	0.0606	55.4411	255	2.9
51	hominum	7	5	0.0606	55.5017	255	2.9
51	dari	4	5	0.0606	55.5623	255	2.9
51	intellego	9	5	0.0606	55.6229	255	2.9
51	forte	5	5	0.0606	55.6835	255	2.9
51	gaudio	6	5	0.0606	55.7441	255	2.9
51	continuo	8	5	0.0606	55.8047	255	2.9
51	mulier	6	5	0.0606	55.8652	255	2.9
51	malo	4	5	0.0606	55.9258	255	2.9
51	tempore	7	5	0.0606	55.9864	255	2.9
51	huius	5	5	0.0606	56.047	255	2.9
51	quaeso	6	5	0.0606	56.1076	255	2.9
51	sim	3	5	0.0606	56.1682	255	2.9
51	dicas	5	5	0.0606	56.2288	255	2.9
51	illis	5	5	0.0606	56.2894	255	2.9
51	cave	4	5	0.0606	56.35	255	2.9
51	nunciam	7	5	0.0606	56.4106	255	2.9
51	pamphilus	9	5	0.0606	56.4712	255	2.9
51	forum	5	5	0.0606	56.5317	255	2.9
51	verbis	6	5	0.0606	56.5923	255	2.9
51	boni	4	5	0.0606	56.6529	255	2.9
51	miserum	7	5	0.0606	56.7135	255	2.9
51	tulit	5	5	0.0606	56.7741	255	2.9
51	tuam	4	5	0.0606	56.8347	255	2.9
51	miseram	7	5	0.0606	56.8953	255	2.9
51	dat	3	5	0.0606	56.9559	255	2.9
51	uxore	5	5	0.0606	57.0165	255	2.9
51	mora	4	5	0.0606	57.0771	255	2.9
51	dixti	5	5	0.0606	57.1377	255	2.9
51	illic	5	5	0.0606	57.1983	255	2.9
51	male	4	5	0.0606	57.2588	255	2.9
51	inquam	6	5	0.0606	57.3194	255	2.9
51	glycerio	8	5	0.0606	57.38	255	2.9
51	filiam	6	5	0.0606	57.4406	255	2.9
51	propterea	9	5	0.0606	57.5012	255	2.9
51	nescio	6	5	0.0606	57.5618	255	2.9
51	chrysidis	9	5	0.0606	57.6224	255	2.9
51	fiant	5	5	0.0606	57.683	255	2.9
51	unum	4	5	0.0606	57.7436	255	2.9
51	fieri	5	5	0.0606	57.8042	255	2.9
51	aiunt	5	5	0.0606	57.8648	255	2.9
51	pacto	5	5	0.0606	57.9254	255	2.9
51	egon	4	5	0.0606	57.9859	255	2.9
52	mecum	5	4	0.0485	58.0344	208	2.9
52	ipsam	5	4	0.0485	58.0829	208	2.9
52	abi	3	4	0.0485	58.1314	208	2.9
52	cito	4	4	0.0485	58.1798	208	2.9
52	nondum	6	4	0.0485	58.2283	208	2.9
52	venit	5	4	0.0485	58.2768	208	2.9
52	usque	5	4	0.0485	58.3253	208	2.9
52	quaero	6	4	0.0485	58.3737	208	2.9
52	antehac	7	4	0.0485	58.4222	208	2.9
52	omnium	6	4	0.0485	58.4707	208	2.9
52	patris	6	4	0.0485	58.5191	208	2.9
52	misera	6	4	0.0485	58.5676	208	2.9
52	etsi	4	4	0.0485	58.6161	208	2.9
52	face	4	4	0.0485	58.6646	208	2.9
52	ergo	4	4	0.0485	58.713	208	2.9
52	mitte	5	4	0.0485	58.7615	208	2.9
52	loqui	5	4	0.0485	58.81	208	2.9
52	timeo	5	4	0.0485	58.8585	208	2.9
52	facerem	7	4	0.0485	58.9069	208	2.9
52	saltem	6	4	0.0485	58.9554	208	2.9
52	velle	5	4	0.0485	59.0039	208	2.9
52	postulo	7	4	0.0485	59.0524	208	2.9
52	egomet	6	4	0.0485	59.1008	208	2.9
52	metu	4	4	0.0485	59.1493	208	2.9
52	verba	5	4	0.0485	59.1978	208	2.9
52	inquit	6	4	0.0485	59.2462	208	2.9
52	siet	4	4	0.0485	59.2947	208	2.9
52	propter	7	4	0.0485	59.3432	208	2.9
52	dromo	5	4	0.0485	59.3917	208	2.9
52	suam	4	4	0.0485	59.4401	208	2.9
52	his	3	4	0.0485	59.4886	208	2.9
52	byrria	6	4	0.0485	59.5371	208	2.9
52	locum	5	4	0.0485	59.5856	208	2.9
52	videtur	7	4	0.0485	59.634	208	2.9
52	audin	5	4	0.0485	59.6825	208	2.9
52	habere	6	4	0.0485	59.731	208	2.9
52	posse	5	4	0.0485	59.7794	208	2.9
52	loco	4	4	0.0485	59.8279	208	2.9
52	sedulo	6	4	0.0485	59.8764	208	2.9
52	heus	4	4	0.0485	59.9249	208	2.9
52	mala	4	4	0.0485	59.9733	208	2.9
52	uxor	4	4	0.0485	60.0218	208	2.9
52	facias	6	4	0.0485	60.0703	208	2.9
52	dabit	5	4	0.0485	60.1188	208	2.9
52	ipse	4	4	0.0485	60.1672	208	2.9
52	vides	5	4	0.0485	60.2157	208	2.9
52	quoque	6	4	0.0485	60.2642	208	2.9
52	eiu	3	4	0.0485	60.3127	208	2.9
52	erum	4	4	0.0485	60.3611	208	2.9
52	nomen	5	4	0.0485	60.4096	208	2.9
52	quoiquam	8	4	0.0485	60.4581	208	2.9
52	optume	6	4	0.0485	60.5065	208	2.9
52	aliquot	7	4	0.0485	60.555	208	2.9
52	sive	4	4	0.0485	60.6035	208	2.9
52	faciet	6	4	0.0485	60.652	208	2.9
52	gratia	6	4	0.0485	60.7004	208	2.9
52	dicat	5	4	0.0485	60.7489	208	2.9
52	dolis	5	4	0.0485	60.7974	208	2.9
52	fecit	5	4	0.0485	60.8459	208	2.9
52	narras	6	4	0.0485	60.8943	208	2.9
52	velis	5	4	0.0485	60.9428	208	2.9
52	nescis	6	4	0.0485	60.9913	208	2.9
52	homo	4	4	0.0485	61.0397	208	2.9
52	ille	4	4	0.0485	61.0882	208	2.9
52	erat	4	4	0.0485	61.1367	208	2.9
52	dixit	5	4	0.0485	61.1852	208	2.9
52	quomque	7	4	0.0485	61.2336	208	2.9
52	porro	5	4	0.0485	61.2821	208	2.9
52	dehinc	6	4	0.0485	61.3306	208	2.9
52	via	3	4	0.0485	61.3791	208	2.9
52	det	3	4	0.0485	61.4275	208	2.9
52	arbitror	8	4	0.0485	61.476	208	2.9
52	credas	6	4	0.0485	61.5245	208	2.9
52	vir	3	4	0.0485	61.573	208	2.9
52	pretium	7	4	0.0485	61.6214	208	2.9
52	audies	6	4	0.0485	61.6699	208	2.9
52	principio	9	4	0.0485	61.7184	208	2.9
52	eccum	5	4	0.0485	61.7668	208	2.9
52	forma	5	4	0.0485	61.8153	208	2.9
52	possim	6	4	0.0485	61.8638	208	2.9
52	ducturum	8	4	0.0485	61.9123	208	2.9
52	quas	4	4	0.0485	61.9607	208	2.9
52	utinam	6	4	0.0485	62.0092	208	2.9
52	aliquam	7	4	0.0485	62.0577	208	2.9
52	ostium	6	4	0.0485	62.1062	208	2.9
52	quibus	6	4	0.0485	62.1546	208	2.9
