rank	word	wordlength	count	frequency(count*100/208)	sum frequency	zipf(rank*count)	zipf(max/rank)
1	quid	4	16	7.6923	7.6923	16	16
2	est	3	8	3.8462	11.5385	16	8
3	ut	2	4	1.9231	13.4615	12	5.3
4	in	2	3	1.4423	14.9038	12	4
5	ab	2	2	0.9615	15.8654	10	3.2
5	neque	5	2	0.9615	16.8269	10	3.2
5	hic	3	2	0.9615	17.7885	10	3.2
5	hinc	4	2	0.9615	18.75	10	3.2
5	hoc	3	2	0.9615	19.7115	10	3.2
5	sed	3	2	0.9615	20.6731	10	3.2
5	qui	3	2	0.9615	21.6346	10	3.2
5	sit	3	2	0.9615	22.5962	10	3.2
5	istuc	5	2	0.9615	23.5577	10	3.2
5	tempu	5	2	0.9615	24.5192	10	3.2
5	ubi	3	2	0.9615	25.4808	10	3.2
5	satis	5	2	0.9615	26.4423	10	3.2
5	quod	4	2	0.9615	27.4038	10	3.2
5	me	2	2	0.9615	28.3654	10	3.2
5	sic	3	2	0.9615	29.3269	10	3.2
5	tum	3	2	0.9615	30.2885	10	3.2
5	symbolis	8	2	0.9615	31.25	10	3.2
5	de	2	2	0.9615	32.2115	10	3.2
5	es	2	2	0.9615	33.1731	10	3.2
6	re	2	1	0.4808	33.6538	6	2.7
6	id	2	1	0.4808	34.1346	6	2.7
6	pro	3	1	0.4808	34.6154	6	2.7
6	eunuchon	8	1	0.4808	35.0962	6	2.7
6	commodi	7	1	0.4808	35.5769	6	2.7
6	quoi	4	1	0.4808	36.0577	6	2.7
6	ex	2	1	0.4808	36.5385	6	2.7
6	caperes	7	1	0.4808	37.0192	6	2.7
6	tandem	6	1	0.4808	37.5	6	2.7
6	ea	2	1	0.4808	37.9808	6	2.7
6	heri	4	1	0.4808	38.4615	6	2.7
6	tu	2	1	0.4808	38.9423	6	2.7
6	ain	3	1	0.4808	39.4231	6	2.7
6	commemineram	12	1	0.4808	39.9038	6	2.7
6	thaidem	7	1	0.4808	40.3846	6	2.7
6	opinor	6	1	0.4808	40.8654	6	2.7
6	novi	4	1	0.4808	41.3462	6	2.7
6	quaeso	6	1	0.4808	41.8269	6	2.7
6	narra	5	1	0.4808	42.3077	6	2.7
6	taces	5	1	0.4808	42.7885	6	2.7
6	adspectas	9	1	0.4808	43.2692	6	2.7
6	sanus	5	1	0.4808	43.75	6	2.7
6	satine	6	1	0.4808	44.2308	6	2.7
6	vis	3	1	0.4808	44.7115	6	2.7
6	tibi	4	1	0.4808	45.1923	6	2.7
6	laetus	6	1	0.4808	45.6731	6	2.7
6	nempe	5	1	0.4808	46.1538	6	2.7
6	os	2	1	0.4808	46.6346	6	2.7
6	tibine	6	1	0.4808	47.1154	6	2.7
6	ocius	5	1	0.4808	47.5962	6	2.7
6	interim	7	1	0.4808	48.0769	6	2.7
6	actumst	7	1	0.4808	48.5577	6	2.7
6	frugi	5	1	0.4808	49.0385	6	2.7
6	domin	5	1	0.4808	49.5192	6	2.7
6	perlongest	10	1	0.4808	50	6	2.7
6	tanto	5	1	0.4808	50.4808	6	2.7
6	properemu	9	1	0.4808	50.9615	6	2.7
6	hercle	6	1	0.4808	51.4423	6	2.7
6	muta	4	1	0.4808	51.9231	6	2.7
6	vestem	6	1	0.4808	52.4038	6	2.7
6	eamus	5	1	0.4808	52.8846	6	2.7
6	ad	2	1	0.4808	53.3654	6	2.7
6	ibi	3	1	0.4808	53.8462	6	2.7
6	proxumumst	10	1	0.4808	54.3269	6	2.7
6	mutes	5	1	0.4808	54.8077	6	2.7
6	dici	4	1	0.4808	55.2885	6	2.7
6	sane	4	1	0.4808	55.7692	6	2.7
6	tuto	4	1	0.4808	56.25	6	2.7
6	nimium	6	1	0.4808	56.7308	6	2.7
6	tamen	5	1	0.4808	57.2115	6	2.7
6	miser	5	1	0.4808	57.6923	6	2.7
6	equidem	7	1	0.4808	58.1731	6	2.7
6	vestitu	7	1	0.4808	58.6538	6	2.7
6	tuom	4	1	0.4808	59.1346	6	2.7
6	inpudens	8	1	0.4808	59.6154	6	2.7
6	videre	6	1	0.4808	60.0962	6	2.7
6	vellem	6	1	0.4808	60.5769	6	2.7
