rank	word	wordlength	count	frequenz(count*100/1452)	sum frequenz	zipf(rank*count)	zipf(max/rank)
1	in	2	25	1.7218	1.7218	25	25
1	me	2	25	1.7218	3.4435	25	25
2	quid	4	19	1.3085	4.7521	38	12.5
3	ego	3	18	1.2397	5.9917	54	8.3
4	ut	2	17	1.1708	7.1625	68	6.3
5	mihi	4	15	1.0331	8.1956	75	5
6	ubi	3	14	0.9642	9.1598	84	4.2
6	est	3	14	0.9642	10.124	84	4.2
7	et	2	13	0.8953	11.0193	91	3.6
7	non	3	13	0.8953	11.9146	91	3.6
8	nunc	4	12	0.8264	12.741	96	3.1
9	hoc	3	11	0.7576	13.4986	99	2.8
9	qui	3	11	0.7576	14.2562	99	2.8
10	te	2	10	0.6887	14.9449	100	2.5
10	haec	4	10	0.6887	15.6336	100	2.5
11	hanc	4	9	0.6198	16.2534	99	2.3
11	mi	2	9	0.6198	16.8733	99	2.3
12	ad	2	8	0.551	17.4242	96	2.1
12	hercle	6	8	0.551	17.9752	96	2.1
12	dum	3	8	0.551	18.5262	96	2.1
12	esse	4	8	0.551	19.0771	96	2.1
13	quam	4	7	0.4821	19.5592	91	1.9
13	si	2	7	0.4821	20.0413	91	1.9
13	cum	3	7	0.4821	20.5234	91	1.9
13	ita	3	7	0.4821	21.0055	91	1.9
13	parmeno	7	7	0.4821	21.4876	91	1.9
13	ne	2	7	0.4821	21.9697	91	1.9
13	o	1	7	0.4821	22.4518	91	1.9
13	tam	3	7	0.4821	22.9339	91	1.9
14	an	2	6	0.4132	23.3471	84	1.8
14	id	2	6	0.4132	23.7603	84	1.8
14	is	2	6	0.4132	24.1736	84	1.8
14	obsecro	7	6	0.4132	24.5868	84	1.8
14	eam	3	6	0.4132	25	84	1.8
14	quom	4	6	0.4132	25.4132	84	1.8
14	tum	3	6	0.4132	25.8264	84	1.8
14	quae	4	6	0.4132	26.2397	84	1.8
15	modo	4	5	0.3444	26.584	75	1.7
15	immo	4	5	0.3444	26.9284	75	1.7
15	sed	3	5	0.3444	27.2727	75	1.7
15	tu	2	5	0.3444	27.6171	75	1.7
15	neque	5	5	0.3444	27.9614	75	1.7
15	scis	4	5	0.3444	28.3058	75	1.7
15	una	3	5	0.3444	28.6501	75	1.7
15	aut	3	5	0.3444	28.9945	75	1.7
15	quem	4	5	0.3444	29.3388	75	1.7
16	patri	5	4	0.2755	29.6143	64	1.6
16	vero	4	4	0.2755	29.8898	64	1.6
16	fac	3	4	0.2755	30.1653	64	1.6
16	frater	6	4	0.2755	30.4408	64	1.6
16	inquit	6	4	0.2755	30.7163	64	1.6
16	nostin	6	4	0.2755	30.9917	64	1.6
16	atque	5	4	0.2755	31.2672	64	1.6
16	perii	5	4	0.2755	31.5427	64	1.6
16	se	2	4	0.2755	31.8182	64	1.6
16	autem	5	4	0.2755	32.0937	64	1.6
16	sim	3	4	0.2755	32.3691	64	1.6
16	sum	3	4	0.2755	32.6446	64	1.6
16	faciam	6	4	0.2755	32.9201	64	1.6
16	re	2	4	0.2755	33.1956	64	1.6
16	nos	3	4	0.2755	33.4711	64	1.6
16	quo	3	4	0.2755	33.7466	64	1.6
16	quod	4	4	0.2755	34.022	64	1.6
16	hac	3	4	0.2755	34.2975	64	1.6
17	omnem	5	3	0.2066	34.5041	51	1.5
17	thai	4	3	0.2066	34.7107	51	1.5
17	eho	3	3	0.2066	34.9174	51	1.5
17	heus	4	3	0.2066	35.124	51	1.5
17	di	2	3	0.2066	35.3306	51	1.5
17	nam	3	3	0.2066	35.5372	51	1.5
17	clanculum	9	3	0.2066	35.7438	51	1.5
17	virgo	5	3	0.2066	35.9504	51	1.5
17	nobis	5	3	0.2066	36.157	51	1.5
17	factum	6	3	0.2066	36.3636	51	1.5
17	domum	5	3	0.2066	36.5702	51	1.5
17	omnes	5	3	0.2066	36.7769	51	1.5
17	sic	3	3	0.2066	36.9835	51	1.5
17	hominem	7	3	0.2066	37.1901	51	1.5
17	pacto	5	3	0.2066	37.3967	51	1.5
17	thais	5	3	0.2066	37.6033	51	1.5
17	illam	5	3	0.2066	37.8099	51	1.5
17	nil	3	3	0.2066	38.0165	51	1.5
17	at	2	3	0.2066	38.2231	51	1.5
17	iam	3	3	0.2066	38.4298	51	1.5
17	tibi	4	3	0.2066	38.6364	51	1.5
17	illum	5	3	0.2066	38.843	51	1.5
17	vel	3	3	0.2066	39.0496	51	1.5
17	numquam	7	3	0.2066	39.2562	51	1.5
17	sit	3	3	0.2066	39.4628	51	1.5
17	simul	5	3	0.2066	39.6694	51	1.5
17	hodie	5	3	0.2066	39.876	51	1.5
17	consilium	9	3	0.2066	40.0826	51	1.5
17	interea	7	3	0.2066	40.2893	51	1.5
17	intro	5	3	0.2066	40.4959	51	1.5
17	huc	3	3	0.2066	40.7025	51	1.5
17	virginem	8	3	0.2066	40.9091	51	1.5
17	domi	4	3	0.2066	41.1157	51	1.5
17	dic	3	3	0.2066	41.3223	51	1.5
18	apud	4	2	0.1377	41.4601	36	1.4
18	hinc	4	2	0.1377	41.5978	36	1.4
18	porro	5	2	0.1377	41.7355	36	1.4
18	ipsam	5	2	0.1377	41.8733	36	1.4
18	eamus	5	2	0.1377	42.011	36	1.4
18	deum	4	2	0.1377	42.1488	36	1.4
18	unum	4	2	0.1377	42.2865	36	1.4
18	quoi	4	2	0.1377	42.4242	36	1.4
18	pater	5	2	0.1377	42.562	36	1.4
18	numquis	7	2	0.1377	42.6997	36	1.4
18	nostram	7	2	0.1377	42.8375	36	1.4
18	erat	4	2	0.1377	42.9752	36	1.4
18	nemost	6	2	0.1377	43.1129	36	1.4
18	mecum	5	2	0.1377	43.2507	36	1.4
18	patris	6	2	0.1377	43.3884	36	1.4
18	vidi	4	2	0.1377	43.5262	36	1.4
18	via	3	2	0.1377	43.6639	36	1.4
18	quidem	6	2	0.1377	43.8017	36	1.4
18	estne	5	2	0.1377	43.9394	36	1.4
18	forma	5	2	0.1377	44.0771	36	1.4
18	nemo	4	2	0.1377	44.2149	36	1.4
18	potiar	6	2	0.1377	44.3526	36	1.4
18	vestem	6	2	0.1377	44.4904	36	1.4
18	venit	5	2	0.1377	44.6281	36	1.4
18	mea	3	2	0.1377	44.7658	36	1.4
18	inde	4	2	0.1377	44.9036	36	1.4
18	res	3	2	0.1377	45.0413	36	1.4
18	foras	5	2	0.1377	45.1791	36	1.4
18	gaudium	7	2	0.1377	45.3168	36	1.4
18	rogas	5	2	0.1377	45.4545	36	1.4
18	sese	4	2	0.1377	45.5923	36	1.4
18	continuo	8	2	0.1377	45.73	36	1.4
18	recte	5	2	0.1377	45.8678	36	1.4
18	ah	2	2	0.1377	46.0055	36	1.4
18	profecto	8	2	0.1377	46.1433	36	1.4
18	istam	5	2	0.1377	46.281	36	1.4
18	flabellum	9	2	0.1377	46.4187	36	1.4
18	fuit	4	2	0.1377	46.5565	36	1.4
18	quantum	7	2	0.1377	46.6942	36	1.4
18	gratiam	7	2	0.1377	46.832	36	1.4
18	illumne	7	2	0.1377	46.9697	36	1.4
18	conservam	9	2	0.1377	47.1074	36	1.4
18	quin	4	2	0.1377	47.2452	36	1.4
18	quaeso	6	2	0.1377	47.3829	36	1.4
18	lavatum	7	2	0.1377	47.5207	36	1.4
18	vidisse	7	2	0.1377	47.6584	36	1.4
18	semper	6	2	0.1377	47.7961	36	1.4
18	iubeam	6	2	0.1377	47.9339	36	1.4
18	ac	2	2	0.1377	48.0716	36	1.4
18	facerem	7	2	0.1377	48.2094	36	1.4
18	fratri	6	2	0.1377	48.3471	36	1.4
18	alia	4	2	0.1377	48.4848	36	1.4
18	sto	3	2	0.1377	48.6226	36	1.4
18	illud	5	2	0.1377	48.7603	36	1.4
18	obviam	6	2	0.1377	48.8981	36	1.4
18	summa	5	2	0.1377	49.0358	36	1.4
18	fit	3	2	0.1377	49.1736	36	1.4
18	dono	4	2	0.1377	49.3113	36	1.4
18	video	5	2	0.1377	49.449	36	1.4
18	illa	4	2	0.1377	49.5868	36	1.4
18	per	3	2	0.1377	49.7245	36	1.4
18	aliud	5	2	0.1377	49.8623	36	1.4
18	causa	5	2	0.1377	50	36	1.4
18	pro	3	2	0.1377	50.1377	36	1.4
18	vir	3	2	0.1377	50.2755	36	1.4
18	scio	4	2	0.1377	50.4132	36	1.4
18	salve	5	2	0.1377	50.551	36	1.4
18	nescio	6	2	0.1377	50.6887	36	1.4
18	unde	4	2	0.1377	50.8264	36	1.4
18	mei	3	2	0.1377	50.9642	36	1.4
18	amo	3	2	0.1377	51.1019	36	1.4
18	sies	4	2	0.1377	51.2397	36	1.4
18	adeo	4	2	0.1377	51.3774	36	1.4
18	saepe	5	2	0.1377	51.5152	36	1.4
18	primum	6	2	0.1377	51.6529	36	1.4
18	chaerea	7	2	0.1377	51.7906	36	1.4
18	ea	2	2	0.1377	51.9284	36	1.4
18	ipsum	5	2	0.1377	52.0661	36	1.4
18	antipho	7	2	0.1377	52.2039	36	1.4
18	meam	4	2	0.1377	52.3416	36	1.4
18	ei	2	2	0.1377	52.4793	36	1.4
18	coepi	5	2	0.1377	52.6171	36	1.4
18	magis	5	2	0.1377	52.7548	36	1.4
18	mulieri	7	2	0.1377	52.8926	36	1.4
18	virgost	7	2	0.1377	53.0303	36	1.4
18	essem	5	2	0.1377	53.168	36	1.4
18	meo	3	2	0.1377	53.3058	36	1.4
18	quaeram	7	2	0.1377	53.4435	36	1.4
18	illoc	5	2	0.1377	53.5813	36	1.4
18	mutem	5	2	0.1377	53.719	36	1.4
18	illo	4	2	0.1377	53.8567	36	1.4
18	potest	6	2	0.1377	53.9945	36	1.4
18	quidam	6	2	0.1377	54.1322	36	1.4
18	faciem	6	2	0.1377	54.27	36	1.4
18	ibi	3	2	0.1377	54.4077	36	1.4
18	dehinc	6	2	0.1377	54.5455	36	1.4
18	ex	2	2	0.1377	54.6832	36	1.4
18	abducit	7	2	0.1377	54.8209	36	1.4
18	quisquam	8	2	0.1377	54.9587	36	1.4
18	formarum	8	2	0.1377	55.0964	36	1.4
18	laudem	6	2	0.1377	55.2342	36	1.4
18	dedit	5	2	0.1377	55.3719	36	1.4
18	demissis	8	2	0.1377	55.5096	36	1.4
18	quoque	6	2	0.1377	55.6474	36	1.4
18	siem	4	2	0.1377	55.7851	36	1.4
18	quoquo	6	2	0.1377	55.9229	36	1.4
18	sient	5	2	0.1377	56.0606	36	1.4
18	cibum	5	2	0.1377	56.1983	36	1.4
18	pythias	7	2	0.1377	56.3361	36	1.4
18	tot	3	2	0.1377	56.4738	36	1.4
18	aiunt	5	2	0.1377	56.6116	36	1.4
18	iuppiter	8	2	0.1377	56.7493	36	1.4
19	traditus	8	1	0.0689	56.8182	19	1.3
19	quondam	7	1	0.0689	56.8871	19	1.3
19	prava	5	1	0.0689	56.9559	19	1.3
19	adeat	5	1	0.0689	57.0248	19	1.3
19	animu	5	1	0.0689	57.0937	19	1.3
19	abscedam	8	1	0.0689	57.1625	19	1.3
19	proruont	8	1	0.0689	57.2314	19	1.3
19	olim	4	1	0.0689	57.3003	19	1.3
19	imperat	7	1	0.0689	57.3691	19	1.3
19	elocutast	9	1	0.0689	57.438	19	1.3
19	interiore	9	1	0.0689	57.5069	19	1.3
19	vix	3	1	0.0689	57.5758	19	1.3
19	misisse	7	1	0.0689	57.6446	19	1.3
19	gremium	7	1	0.0689	57.7135	19	1.3
19	tristis	7	1	0.0689	57.7824	19	1.3
19	danaae	6	1	0.0689	57.8512	19	1.3
19	accipio	7	1	0.0689	57.9201	19	1.3
19	parti	5	1	0.0689	57.989	19	1.3
19	lavato	6	1	0.0689	58.0579	19	1.3
19	maneam	6	1	0.0689	58.1267	19	1.3
19	solu	4	1	0.0689	58.1956	19	1.3
19	sola	4	1	0.0689	58.2645	19	1.3
19	gaudebat	8	1	0.0689	58.3333	19	1.3
19	iovem	5	1	0.0689	58.4022	19	1.3
19	adnuo	5	1	0.0689	58.4711	19	1.3
19	abeunt	6	1	0.0689	58.5399	19	1.3
19	perstrepunt	11	1	0.0689	58.6088	19	1.3
19	ludum	5	1	0.0689	58.6777	19	1.3
19	specto	6	1	0.0689	58.7466	19	1.3
19	consimilem	10	1	0.0689	58.8154	19	1.3
19	quia	4	1	0.0689	58.8843	19	1.3
19	inpendio	8	1	0.0689	58.9532	19	1.3
19	ilico	5	1	0.0689	59.022	19	1.3
19	accepit	7	1	0.0689	59.0909	19	1.3
19	laeta	5	1	0.0689	59.1598	19	1.3
19	sint	4	1	0.0689	59.2287	19	1.3
19	explorata	9	1	0.0689	59.2975	19	1.3
19	spectare	8	1	0.0689	59.3664	19	1.3
19	satin	5	1	0.0689	59.4353	19	1.3
19	circumspecto	12	1	0.0689	59.5041	19	1.3
19	ille	4	1	0.0689	59.573	19	1.3
19	domini	6	1	0.0689	59.6419	19	1.3
19	egomet	6	1	0.0689	59.7107	19	1.3
19	aureum	6	1	0.0689	59.7796	19	1.3
19	imbrem	6	1	0.0689	59.8485	19	1.3
19	limis	5	1	0.0689	59.9174	19	1.3
19	opprimit	8	1	0.0689	59.9862	19	1.3
19	somnu	5	1	0.0689	60.0551	19	1.3
19	luserat	7	1	0.0689	60.124	19	1.3
19	ratiost	7	1	0.0689	60.1928	19	1.3
19	pessulum	8	1	0.0689	60.2617	19	1.3
19	edicit	6	1	0.0689	60.3306	19	1.3
19	absunt	6	1	0.0689	60.3994	19	1.3
19	commendat	9	1	0.0689	60.4683	19	1.3
19	laverimu	8	1	0.0689	60.5372	19	1.3
19	voles	5	1	0.0689	60.6061	19	1.3
19	sonitu	6	1	0.0689	60.6749	19	1.3
19	iit	3	1	0.0689	60.7438	19	1.3
19	ancillas	8	1	0.0689	60.8127	19	1.3
19	paucae	6	1	0.0689	60.8815	19	1.3
19	accersitur	10	1	0.0689	60.9504	19	1.3
19	reputo	6	1	0.0689	61.0193	19	1.3
19	circum	6	1	0.0689	61.0882	19	1.3
19	lubens	6	1	0.0689	61.157	19	1.3
19	essent	6	1	0.0689	61.2259	19	1.3
19	feci	4	1	0.0689	61.2948	19	1.3
19	manent	6	1	0.0689	61.3636	19	1.3
19	homuncio	8	1	0.0689	61.4325	19	1.3
19	concutit	8	1	0.0689	61.5014	19	1.3
19	caeli	5	1	0.0689	61.5702	19	1.3
19	secum	5	1	0.0689	61.6391	19	1.3
19	templa	6	1	0.0689	61.708	19	1.3
19	noviciae	8	1	0.0689	61.7769	19	1.3
