rank	word	wordlength	count	frequency(count*100/496)	sum frequency	zipf(rank*count)	zipf(max/rank)
1	ego	3	10	2.0161	2.0161	10	10
2	tu	2	8	1.6129	3.629	16	5
3	et	2	7	1.4113	5.0403	21	3.3
3	quam	4	7	1.4113	6.4516	21	3.3
4	ut	2	6	1.2097	7.6613	24	2.5
4	me	2	6	1.2097	8.871	24	2.5
5	thais	5	5	1.0081	9.879	25	2
5	mihi	4	5	1.0081	10.8871	25	2
5	se	2	5	1.0081	11.8952	25	2
5	ad	2	5	1.0081	12.9032	25	2
5	hic	3	5	1.0081	13.9113	25	2
6	ubi	3	4	0.8065	14.7177	24	1.7
6	tibi	4	4	0.8065	15.5242	24	1.7
6	quid	4	4	0.8065	16.3306	24	1.7
6	sed	3	4	0.8065	17.1371	24	1.7
6	eam	3	4	0.8065	17.9435	24	1.7
6	rem	3	4	0.8065	18.75	24	1.7
6	haec	4	4	0.8065	19.5565	24	1.7
6	non	3	4	0.8065	20.3629	24	1.7
6	esse	4	4	0.8065	21.1694	24	1.7
6	nisi	4	4	0.8065	21.9758	24	1.7
7	ea	2	3	0.6048	22.5806	21	1.4
7	quod	4	3	0.6048	23.1855	21	1.4
7	illam	5	3	0.6048	23.7903	21	1.4
7	est	3	3	0.6048	24.3952	21	1.4
7	hinc	4	3	0.6048	25	21	1.4
7	ne	2	3	0.6048	25.6048	21	1.4
7	nil	3	3	0.6048	26.2097	21	1.4
7	thai	4	3	0.6048	26.8145	21	1.4
7	aut	3	3	0.6048	27.4194	21	1.4
7	hercle	6	3	0.6048	28.0242	21	1.4
7	si	2	3	0.6048	28.629	21	1.4
7	eo	2	3	0.6048	29.2339	21	1.4
7	dico	4	3	0.6048	29.8387	21	1.4
7	ecquis	6	3	0.6048	30.4435	21	1.4
7	mi	2	3	0.6048	31.0484	21	1.4
7	iam	3	3	0.6048	31.6532	21	1.4
8	hodie	5	2	0.4032	32.0565	16	1.3
8	te	2	2	0.4032	32.4597	16	1.3
8	dum	3	2	0.4032	32.8629	16	1.3
8	viden	5	2	0.4032	33.2661	16	1.3
8	abis	4	2	0.4032	33.6694	16	1.3
8	at	2	2	0.4032	34.0726	16	1.3
8	friget	6	2	0.4032	34.4758	16	1.3
8	in	2	2	0.4032	34.879	16	1.3
8	rus	3	2	0.4032	35.2823	16	1.3
8	sunt	4	2	0.4032	35.6855	16	1.3
8	a	1	2	0.4032	36.0887	16	1.3
8	attat	5	2	0.4032	36.4919	16	1.3
8	hoc	3	2	0.4032	36.8952	16	1.3
8	minus	5	2	0.4032	37.2984	16	1.3
8	quanto	6	2	0.4032	37.7016	16	1.3
8	inquam	6	2	0.4032	38.1048	16	1.3
8	soror	5	2	0.4032	38.5081	16	1.3
8	heus	4	2	0.4032	38.9113	16	1.3
8	verum	5	2	0.4032	39.3145	16	1.3
8	faciam	6	2	0.4032	39.7177	16	1.3
8	neque	5	2	0.4032	40.121	16	1.3
8	omnia	5	2	0.4032	40.5242	16	1.3
8	nunc	4	2	0.4032	40.9274	16	1.3
