rank	word	wordlength	count	frequenz(count*100/308)	sum frequenz	zipf(rank*count)	zipf(max/rank)
1	ut	2	5	1.6234	1.6234	5	5
1	quid	4	5	1.6234	3.2468	5	5
2	de	2	4	1.2987	4.5455	8	2.5
2	est	3	4	1.2987	5.8442	8	2.5
2	non	3	4	1.2987	7.1429	8	2.5
2	nil	3	4	1.2987	8.4416	8	2.5
2	illa	4	4	1.2987	9.7403	8	2.5
3	ad	2	3	0.974	10.7143	9	1.7
3	iam	3	3	0.974	11.6883	9	1.7
3	hoc	3	3	0.974	12.6623	9	1.7
3	ubi	3	3	0.974	13.6364	9	1.7
3	in	2	3	0.974	14.6104	9	1.7
3	neque	5	3	0.974	15.5844	9	1.7
3	quod	4	3	0.974	16.5584	9	1.7
3	si	2	3	0.974	17.5325	9	1.7
3	et	2	3	0.974	18.5065	9	1.7
3	vero	4	3	0.974	19.4805	9	1.7
4	quidem	6	2	0.6494	20.1299	8	1.3
4	sibi	4	2	0.6494	20.7792	8	1.3
4	thai	4	2	0.6494	21.4286	8	1.3
4	inde	4	2	0.6494	22.0779	8	1.3
4	miles	5	2	0.6494	22.7273	8	1.3
4	id	2	2	0.6494	23.3766	8	1.3
4	istuc	5	2	0.6494	24.026	8	1.3
4	rem	3	2	0.6494	24.6753	8	1.3
4	mea	3	2	0.6494	25.3247	8	1.3
4	quia	4	2	0.6494	25.974	8	1.3
4	tum	3	2	0.6494	26.6234	8	1.3
4	obsecro	7	2	0.6494	27.2727	8	1.3
4	hic	3	2	0.6494	27.9221	8	1.3
4	pol	3	2	0.6494	28.5714	8	1.3
4	pythias	7	2	0.6494	29.2208	8	1.3
4	sed	3	2	0.6494	29.8701	8	1.3
4	ita	3	2	0.6494	30.5195	8	1.3
4	tu	2	2	0.6494	31.1688	8	1.3
4	ne	2	2	0.6494	31.8182	8	1.3
4	illum	5	2	0.6494	32.4675	8	1.3
4	me	2	2	0.6494	33.1169	8	1.3
4	turba	5	2	0.6494	33.7662	8	1.3
4	nam	3	2	0.6494	34.4156	8	1.3
4	mecum	5	2	0.6494	35.0649	8	1.3
4	inter	5	2	0.6494	35.7143	8	1.3
4	villam	6	2	0.6494	36.3636	8	1.3
4	dum	3	2	0.6494	37.013	8	1.3
4	virginis	8	2	0.6494	37.6623	8	1.3
4	cogitare	8	2	0.6494	38.3117	8	1.3
4	quom	4	2	0.6494	38.961	8	1.3
5	ea	2	1	0.3247	39.2857	5	1
5	partem	6	1	0.3247	39.6104	5	1
5	tangendi	8	1	0.3247	39.9351	5	1
5	sine	4	1	0.3247	40.2597	5	1
5	copiast	7	1	0.3247	40.5844	5	1
5	soli	4	1	0.3247	40.9091	5	1
5	manendumst	10	1	0.3247	41.2338	5	1
5	eho	3	1	0.3247	41.5584	5	1
5	omnia	5	1	0.3247	41.8831	5	1
5	biduom	6	1	0.3247	42.2078	5	1
5	peiorem	7	1	0.3247	42.5325	5	1
5	postea	6	1	0.3247	42.8571	5	1
5	redeo	5	1	0.3247	43.1818	5	1
5	opust	5	1	0.3247	43.5065	5	1
5	veni	4	1	0.3247	43.8312	5	1
5	rursum	6	1	0.3247	44.1558	5	1
5	abieram	7	1	0.3247	44.4805	5	1
5	longe	5	1	0.3247	44.8052	5	1
5	male	4	1	0.3247	45.1299	5	1
5	habens	6	1	0.3247	45.4545	5	1
5	ipsum	5	1	0.3247	45.7792	5	1
5	devorticulum	12	1	0.3247	46.1039	5	1
5	hem	3	1	0.3247	46.4286	5	1
5	inprudens	9	1	0.3247	46.7532	5	1
5	praeterii	9	1	0.3247	47.0779	5	1
5	puto	4	1	0.3247	47.4026	5	1
5	haec	4	1	0.3247	47.7273	5	1
5	verbis	6	1	0.3247	48.0519	5	1
5	sensi	5	1	0.3247	48.3766	5	1
5	occepi	6	1	0.3247	48.7013	5	1
5	constiti	8	1	0.3247	49.026	5	1
5	haud	4	1	0.3247	49.3506	5	1
5	videndi	7	1	0.3247	49.6753	5	1
5	illi	4	1	0.3247	50	5	1
5	sapis	5	1	0.3247	50.3247	5	1
5	scis	4	1	0.3247	50.6494	5	1
5	nescis	6	1	0.3247	50.974	5	1
5	eunucho	7	1	0.3247	51.2987	5	1
5	vitio	5	1	0.3247	51.6234	5	1
5	hac	3	1	0.3247	51.9481	5	1
5	re	2	1	0.3247	52.2727	5	1
5	te	2	1	0.3247	52.5974	5	1
5	omni	4	1	0.3247	52.9221	5	1
5	evolves	7	1	0.3247	53.2468	5	1
5	gratum	6	1	0.3247	53.5714	5	1
5	rogas	5	1	0.3247	53.8961	5	1
5	feceris	7	1	0.3247	54.2208	5	1
5	modo	4	1	0.3247	54.5455	5	1
5	dic	3	1	0.3247	54.8701	5	1
5	abisse	6	1	0.3247	55.1948	5	1
5	dorum	5	1	0.3247	55.5195	5	1
5	videon	6	1	0.3247	55.8442	5	1
5	chremen	7	1	0.3247	56.1688	5	1
5	aderit	6	1	0.3247	56.4935	5	1
5	abeo	4	1	0.3247	56.8182	5	1
5	occeperat	9	1	0.3247	57.1429	5	1
5	virgine	7	1	0.3247	57.4675	5	1
5	istac	5	1	0.3247	57.7922	5	1
5	erit	4	1	0.3247	58.1169	5	1
5	sciens	6	1	0.3247	58.4416	5	1
5	illud	5	1	0.3247	58.7662	5	1
