rank	word	wordlength	count	frequenz(count*100/41)	sum frequenz	zipf(rank*count)	zipf(max/rank)
1	obsecro	7	2	4.878	4.878	2	2
1	ita	3	2	4.878	9.7561	2	2
1	factum	6	2	4.878	14.6341	2	2
1	non	3	2	4.878	19.5122	2	2
2	vero	4	1	2.439	21.9512	2	1
2	te	2	1	2.439	24.3902	2	1
2	phaedria	8	1	2.439	26.8293	2	1
2	foras	5	1	2.439	29.2683	2	1
2	abierunt	8	1	2.439	31.7073	2	1
2	is	2	1	2.439	34.1463	2	1
2	ambo	4	1	2.439	36.5854	2	1
2	una	3	1	2.439	39.0244	2	1
2	post	4	1	2.439	41.4634	2	1
2	induit	6	1	2.439	43.9024	2	1
2	ipse	4	1	2.439	46.3415	2	1
2	meam	4	1	2.439	48.7805	2	1
2	hanc	4	1	2.439	51.2195	2	1
2	mi	2	1	2.439	53.6585	2	1
2	dedit	5	1	2.439	56.0976	2	1
2	eum	3	1	2.439	58.5366	2	1
2	esse	4	1	2.439	60.9756	2	1
2	nec	3	1	2.439	63.4146	2	1
2	venit	5	1	2.439	65.8537	2	1
2	chaerea	7	1	2.439	68.2927	2	1
2	hodie	5	1	2.439	70.7317	2	1
2	modo	4	1	2.439	73.1707	2	1
2	cum	3	1	2.439	75.6098	2	1
2	parmenone	9	1	2.439	78.0488	2	1
2	quis	4	1	2.439	80.4878	2	1
2	emisti	6	1	2.439	82.9268	2	1
2	esset	5	1	2.439	85.3659	2	1
2	umquam	6	1	2.439	87.8049	2	1
2	audieram	8	1	2.439	90.2439	2	1
2	dicier	6	1	2.439	92.6829	2	1
2	parmeno	7	1	2.439	95.122	2	1
2	dicebat	7	1	2.439	97.561	2	1
2	oiei	4	1	2.439	100	2	1
