rank	word	wordlength	count	frequency(count*100/1049)	sum frequency	zipf(rank*count)	zipf(max/rank)
1	et	2	18	1.7159	1.7159	18	18
1	quid	4	18	1.7159	3.4318	18	18
2	ut	2	17	1.6206	5.0524	34	9
3	tu	2	14	1.3346	6.387	42	6
4	te	2	13	1.2393	7.6263	52	4.5
4	hoc	3	13	1.2393	8.8656	52	4.5
5	ego	3	11	1.0486	9.9142	55	3.6
5	quod	4	11	1.0486	10.9628	55	3.6
6	si	2	9	0.858	11.8208	54	3
6	in	2	9	0.858	12.6787	54	3
6	ad	2	9	0.858	13.5367	54	3
6	me	2	9	0.858	14.3947	54	3
7	est	3	8	0.7626	15.1573	56	2.6
7	qui	3	8	0.7626	15.9199	56	2.6
7	ubi	3	8	0.7626	16.6826	56	2.6
8	sed	3	7	0.6673	17.3499	56	2.3
8	hic	3	7	0.6673	18.0172	56	2.3
9	id	2	6	0.572	18.5891	54	2
9	esse	4	6	0.572	19.1611	54	2
9	ex	2	6	0.572	19.7331	54	2
9	tibi	4	6	0.572	20.3051	54	2
10	nunc	4	5	0.4766	20.7817	50	1.8
10	haec	4	5	0.4766	21.2583	50	1.8
10	neque	5	5	0.4766	21.735	50	1.8
11	hunc	4	4	0.3813	22.1163	44	1.6
11	ne	2	4	0.3813	22.4976	44	1.6
11	thraso	6	4	0.3813	22.8789	44	1.6
11	mihi	4	4	0.3813	23.2602	44	1.6
11	hominem	7	4	0.3813	23.6416	44	1.6
11	nil	3	4	0.3813	24.0229	44	1.6
11	dictum	6	4	0.3813	24.4042	44	1.6
11	homo	4	4	0.3813	24.7855	44	1.6
11	non	3	4	0.3813	25.1668	44	1.6
12	hercle	6	3	0.286	25.4528	36	1.5
12	vis	3	3	0.286	25.7388	36	1.5
12	se	2	3	0.286	26.0248	36	1.5
12	at	2	3	0.286	26.3108	36	1.5
12	quam	4	3	0.286	26.5968	36	1.5
12	facile	6	3	0.286	26.8827	36	1.5
12	omnia	5	3	0.286	27.1687	36	1.5
12	quom	4	3	0.286	27.4547	36	1.5
12	ille	4	3	0.286	27.7407	36	1.5
12	cenam	5	3	0.286	28.0267	36	1.5
12	saepe	5	3	0.286	28.3127	36	1.5
12	mi	2	3	0.286	28.5987	36	1.5
12	ultro	5	3	0.286	28.8847	36	1.5
12	illa	4	3	0.286	29.1706	36	1.5
12	immo	4	3	0.286	29.4566	36	1.5
12	iam	3	3	0.286	29.7426	36	1.5
12	atque	5	3	0.286	30.0286	36	1.5
12	vos	3	3	0.286	30.3146	36	1.5
12	re	2	3	0.286	30.6006	36	1.5
12	hinc	4	3	0.286	30.8866	36	1.5
12	video	5	3	0.286	31.1725	36	1.5
12	vobis	5	3	0.286	31.4585	36	1.5
12	istuc	5	3	0.286	31.7445	36	1.5
12	nemo	4	3	0.286	32.0305	36	1.5
12	tuo	3	3	0.286	32.3165	36	1.5
12	haud	4	3	0.286	32.6025	36	1.5
13	quin	4	2	0.1907	32.7931	26	1.4
13	salva	5	2	0.1907	32.9838	26	1.4
13	tantum	6	2	0.1907	33.1745	26	1.4
13	tam	3	2	0.1907	33.3651	26	1.4
13	agis	4	2	0.1907	33.5558	26	1.4
13	sapere	6	2	0.1907	33.7464	26	1.4
13	domi	4	2	0.1907	33.9371	26	1.4
13	audin	5	2	0.1907	34.1277	26	1.4
13	phaedriam	9	2	0.1907	34.3184	26	1.4
13	principio	9	2	0.1907	34.5091	26	1.4
13	velis	5	2	0.1907	34.6997	26	1.4
13	decet	5	2	0.1907	34.8904	26	1.4
13	sine	4	2	0.1907	35.081	26	1.4
13	de	2	2	0.1907	35.2717	26	1.4
13	facere	6	2	0.1907	35.4623	26	1.4
13	is	2	2	0.1907	35.653	26	1.4
13	ait	3	2	0.1907	35.8437	26	1.4
13	phaedria	8	2	0.1907	36.0343	26	1.4
13	laudo	5	2	0.1907	36.225	26	1.4
13	quidquid	8	2	0.1907	36.4156	26	1.4
13	lubenter	8	2	0.1907	36.6063	26	1.4
13	magis	5	2	0.1907	36.7969	26	1.4
13	etiam	5	2	0.1907	36.9876	26	1.4
13	hos	3	2	0.1907	37.1783	26	1.4
13	nec	3	2	0.1907	37.3689	26	1.4
13	sibi	4	2	0.1907	37.5596	26	1.4
13	parmenonem	10	2	0.1907	37.7502	26	1.4
13	ita	3	2	0.1907	37.9409	26	1.4
13	pro	3	2	0.1907	38.1316	26	1.4
13	ergo	4	2	0.1907	38.3222	26	1.4
13	scio	4	2	0.1907	38.5129	26	1.4
13	amat	4	2	0.1907	38.7035	26	1.4
13	illud	5	2	0.1907	38.8942	26	1.4
13	hanc	4	2	0.1907	39.0848	26	1.4
13	pulchre	7	2	0.1907	39.2755	26	1.4
13	numquam	7	2	0.1907	39.4662	26	1.4
13	vero	4	2	0.1907	39.6568	26	1.4
13	obsecro	7	2	0.1907	39.8475	26	1.4
13	hahahae	7	2	0.1907	40.0381	26	1.4
13	quando	6	2	0.1907	40.2288	26	1.4
13	huiu	4	2	0.1907	40.4194	26	1.4
13	aut	3	2	0.1907	40.6101	26	1.4
13	fiat	4	2	0.1907	40.8008	26	1.4
13	iamdudum	8	2	0.1907	40.9914	26	1.4
13	abs	3	2	0.1907	41.1821	26	1.4
13	thaidem	7	2	0.1907	41.3727	26	1.4
13	parmeno	7	2	0.1907	41.5634	26	1.4
13	pamphilam	9	2	0.1907	41.7541	26	1.4
13	recte	5	2	0.1907	41.9447	26	1.4
13	nam	3	2	0.1907	42.1354	26	1.4
13	nolis	5	2	0.1907	42.326	26	1.4
13	modo	4	2	0.1907	42.5167	26	1.4
13	sis	3	2	0.1907	42.7073	26	1.4
13	sic	3	2	0.1907	42.898	26	1.4
13	stas	4	2	0.1907	43.0887	26	1.4
13	alio	4	2	0.1907	43.2793	26	1.4
13	fac	3	2	0.1907	43.47	26	1.4
13	illam	5	2	0.1907	43.6606	26	1.4
13	meliu	5	2	0.1907	43.8513	26	1.4
13	idem	4	2	0.1907	44.0419	26	1.4
13	semper	6	2	0.1907	44.2326	26	1.4
13	di	2	2	0.1907	44.4233	26	1.4
13	habet	5	2	0.1907	44.6139	26	1.4
13	habeo	5	2	0.1907	44.8046	26	1.4
13	prius	5	2	0.1907	44.9952	26	1.4
13	cum	3	2	0.1907	45.1859	26	1.4
13	loco	4	2	0.1907	45.3765	26	1.4
13	mentem	6	2	0.1907	45.5672	26	1.4
13	quo	3	2	0.1907	45.7579	26	1.4
13	venit	5	2	0.1907	45.9485	26	1.4
13	adeo	4	2	0.1907	46.1392	26	1.4
13	miser	5	2	0.1907	46.3298	26	1.4
13	omnes	5	2	0.1907	46.5205	26	1.4
13	inquam	6	2	0.1907	46.7112	26	1.4
13	isti	4	2	0.1907	46.9018	26	1.4
13	simul	5	2	0.1907	47.0925	26	1.4
14	caederes	8	1	0.0953	47.1878	14	1.3
