rank	word	wordlength	count	frequency(count*100/1444)	sum frequency	zipf(rank*count)	zipf(max/rank)
1	quid	4	31	2.1468	2.1468	31	31
2	et	2	19	1.3158	3.4626	38	15.5
3	hoc	3	18	1.2465	4.7091	54	10.3
4	te	2	17	1.1773	5.8864	68	7.8
5	non	3	16	1.108	6.9945	80	6.2
5	tu	2	16	1.108	8.1025	80	6.2
6	est	3	15	1.0388	9.1413	90	5.2
6	me	2	15	1.0388	10.1801	90	5.2
7	quam	4	13	0.9003	11.0803	91	4.4
8	neque	5	12	0.831	11.9114	96	3.9
8	si	2	12	0.831	12.7424	96	3.9
8	quod	4	12	0.831	13.5734	96	3.9
8	ut	2	12	0.831	14.4044	96	3.9
8	quae	4	12	0.831	15.2355	96	3.9
9	in	2	11	0.7618	15.9972	99	3.4
9	haec	4	11	0.7618	16.759	99	3.4
9	qui	3	11	0.7618	17.5208	99	3.4
10	ubi	3	10	0.6925	18.2133	100	3.1
10	tibi	4	10	0.6925	18.9058	100	3.1
11	nunc	4	8	0.554	19.4598	88	2.8
11	huic	4	8	0.554	20.0139	88	2.8
11	hercle	6	8	0.554	20.5679	88	2.8
11	hic	3	8	0.554	21.1219	88	2.8
12	nam	3	7	0.4848	21.6066	84	2.6
12	ex	2	7	0.4848	22.0914	84	2.6
12	illum	5	7	0.4848	22.5762	84	2.6
12	atque	5	7	0.4848	23.0609	84	2.6
13	sed	3	6	0.4155	23.4765	78	2.4
13	ad	2	6	0.4155	23.892	78	2.4
13	modo	4	6	0.4155	24.3075	78	2.4
13	esse	4	6	0.4155	24.723	78	2.4
13	ne	2	6	0.4155	25.1385	78	2.4
13	di	2	6	0.4155	25.554	78	2.4
14	es	2	5	0.3463	25.9003	70	2.2
14	quo	3	5	0.3463	26.2465	70	2.2
14	iam	3	5	0.3463	26.5928	70	2.2
14	aut	3	5	0.3463	26.9391	70	2.2
14	id	2	5	0.3463	27.2853	70	2.2
14	huc	3	5	0.3463	27.6316	70	2.2
14	ego	3	5	0.3463	27.9778	70	2.2
14	dono	4	5	0.3463	28.3241	70	2.2
14	sine	4	5	0.3463	28.6704	70	2.2
14	ita	3	5	0.3463	29.0166	70	2.2
14	thaidem	7	5	0.3463	29.3629	70	2.2
14	pro	3	5	0.3463	29.7091	70	2.2
15	hunc	4	4	0.277	29.9861	60	2.1
15	factumst	8	4	0.277	30.2632	60	2.1
15	una	3	4	0.277	30.5402	60	2.1
15	facit	5	4	0.277	30.8172	60	2.1
15	cum	3	4	0.277	31.0942	60	2.1
15	dabo	4	4	0.277	31.3712	60	2.1
15	sit	3	4	0.277	31.6482	60	2.1
15	autem	5	4	0.277	31.9252	60	2.1
15	alterum	7	4	0.277	32.2022	60	2.1
15	amore	5	4	0.277	32.4792	60	2.1
15	at	2	4	0.277	32.7562	60	2.1
15	perii	5	4	0.277	33.0332	60	2.1
15	habet	5	4	0.277	33.3102	60	2.1
