rank	word	wordlength	count	frequenz(count*100/787)	sum frequenz	zipf(rank*count)	zipf(max/rank)
1	me	2	17	2.1601	2.1601	17	17
2	quid	4	16	2.033	4.1931	32	8.5
3	te	2	15	1.906	6.0991	45	5.7
4	ego	3	13	1.6518	7.751	52	4.3
5	et	2	10	1.2706	9.0216	50	3.4
5	non	3	10	1.2706	10.2922	50	3.4
6	est	3	9	1.1436	11.4358	54	2.8
6	ut	2	9	1.1436	12.5794	54	2.8
7	istuc	5	8	1.0165	13.5959	56	2.4
7	tibi	4	8	1.0165	14.6125	56	2.4
7	hoc	3	8	1.0165	15.629	56	2.4
8	tu	2	7	0.8895	16.5184	56	2.1
8	nunc	4	7	0.8895	17.4079	56	2.1
8	quod	4	7	0.8895	18.2973	56	2.1
8	si	2	7	0.8895	19.1868	56	2.1
9	haec	4	6	0.7624	19.9492	54	1.9
9	ne	2	6	0.7624	20.7116	54	1.9
9	aut	3	6	0.7624	21.474	54	1.9
10	in	2	5	0.6353	22.1093	50	1.7
10	mihi	4	5	0.6353	22.7446	50	1.7
10	quia	4	5	0.6353	23.3799	50	1.7
10	quam	4	5	0.6353	24.0152	50	1.7
10	parmeno	7	5	0.6353	24.6506	50	1.7
10	ita	3	5	0.6353	25.2859	50	1.7
11	quae	4	4	0.5083	25.7942	44	1.5
11	huc	3	4	0.5083	26.3024	44	1.5
11	illam	5	4	0.5083	26.8107	44	1.5
11	hac	3	4	0.5083	27.3189	44	1.5
11	o	1	4	0.5083	27.8272	44	1.5
12	modo	4	3	0.3812	28.2084	36	1.4
12	pro	3	3	0.3812	28.5896	36	1.4
12	hic	3	3	0.3812	28.9708	36	1.4
12	ille	4	3	0.3812	29.352	36	1.4
12	perpeti	7	3	0.3812	29.7332	36	1.4
12	ex	2	3	0.3812	30.1144	36	1.4
12	at	2	3	0.3812	30.4956	36	1.4
12	biduom	6	3	0.3812	30.8767	36	1.4
12	habui	5	3	0.3812	31.2579	36	1.4
12	nil	3	3	0.3812	31.6391	36	1.4
12	abs	3	3	0.3812	32.0203	36	1.4
12	etiam	5	3	0.3812	32.4015	36	1.4
12	thais	5	3	0.3812	32.7827	36	1.4
12	hem	3	3	0.3812	33.1639	36	1.4
12	fac	3	3	0.3812	33.5451	36	1.4
13	paullulum	9	2	0.2541	33.7992	26	1.3
13	illum	5	2	0.2541	34.0534	26	1.3
13	istam	5	2	0.2541	34.3075	26	1.3
13	atque	5	2	0.2541	34.5616	26	1.3
13	ergo	4	2	0.2541	34.8158	26	1.3
13	qui	3	2	0.2541	35.0699	26	1.3
13	sis	3	2	0.2541	35.324	26	1.3
13	nisi	4	2	0.2541	35.5781	26	1.3
13	rursum	6	2	0.2541	35.8323	26	1.3
13	sed	3	2	0.2541	36.0864	26	1.3
13	heus	4	2	0.2541	36.3405	26	1.3
13	pythias	7	2	0.2541	36.5947	26	1.3
13	quem	4	2	0.2541	36.8488	26	1.3
13	nescio	6	2	0.2541	37.1029	26	1.3
13	opu	3	2	0.2541	37.3571	26	1.3
13	domi	4	2	0.2541	37.6112	26	1.3
13	hinc	4	2	0.2541	37.8653	26	1.3
13	cum	3	2	0.2541	38.1194	26	1.3
13	dicat	5	2	0.2541	38.3736	26	1.3
13	mi	2	2	0.2541	38.6277	26	1.3
13	num	3	2	0.2541	38.8818	26	1.3
13	animo	5	2	0.2541	39.136	26	1.3
13	facere	6	2	0.2541	39.3901	26	1.3
13	ibi	3	2	0.2541	39.6442	26	1.3
13	ibo	3	2	0.2541	39.8983	26	1.3
13	rus	3	2	0.2541	40.1525	26	1.3
13	scilicet	8	2	0.2541	40.4066	26	1.3
13	dies	4	2	0.2541	40.6607	26	1.3
13	isti	4	2	0.2541	40.9149	26	1.3
13	verum	5	2	0.2541	41.169	26	1.3
13	siquidem	8	2	0.2541	41.4231	26	1.3
13	alium	5	2	0.2541	41.6773	26	1.3
13	dudum	5	2	0.2541	41.9314	26	1.3
13	facta	5	2	0.2541	42.1855	26	1.3
13	ubi	3	2	0.2541	42.4396	26	1.3
13	quando	6	2	0.2541	42.6938	26	1.3
13	viginti	7	2	0.2541	42.9479	26	1.3
13	habes	5	2	0.2541	43.202	26	1.3
13	unde	4	2	0.2541	43.4562	26	1.3
13	vestem	6	2	0.2541	43.7103	26	1.3
13	dixti	5	2	0.2541	43.9644	26	1.3
13	iam	3	2	0.2541	44.2186	26	1.3
13	ad	2	2	0.2541	44.4727	26	1.3
13	igitur	6	2	0.2541	44.7268	26	1.3
13	fratrem	7	2	0.2541	44.9809	26	1.3
13	poteris	7	2	0.2541	45.2351	26	1.3
13	habeam	6	2	0.2541	45.4892	26	1.3
13	sit	3	2	0.2541	45.7433	26	1.3
13	agam	4	2	0.2541	45.9975	26	1.3
13	quidem	6	2	0.2541	46.2516	26	1.3
13	sum	3	2	0.2541	46.5057	26	1.3
13	pereo	5	2	0.2541	46.7598	26	1.3
13	redeam	6	2	0.2541	47.014	26	1.3
13	faciam	6	2	0.2541	47.2681	26	1.3
13	utinam	6	2	0.2541	47.5222	26	1.3
13	potius	6	2	0.2541	47.7764	26	1.3
13	esse	4	2	0.2541	48.0305	26	1.3
13	ac	2	2	0.2541	48.2846	26	1.3
14	narras	6	1	0.1271	48.4117	14	1.2
14	mutatio	7	1	0.1271	48.5388	14	1.2
14	vestis	6	1	0.1271	48.6658	14	1.2
14	reditiost	9	1	0.1271	48.7929	14	1.2
14	carnufex	8	1	0.1271	48.9199	14	1.2
14	distorsit	9	1	0.1271	49.047	14	1.2
14	vide	4	1	0.1271	49.1741	14	1.2
14	sibi	4	1	0.1271	49.3011	14	1.2
14	os	2	1	0.1271	49.4282	14	1.2
14	cessassem	9	1	0.1271	49.5553	14	1.2
14	illud	5	1	0.1271	49.6823	14	1.2
14	oh	2	1	0.1271	49.8094	14	1.2
14	conciliate	10	1	0.1271	49.9365	14	1.2
14	male	4	1	0.1271	50.0635	14	1.2
14	prodi	5	1	0.1271	50.1906	14	1.2
14	fugitive	8	1	0.1271	50.3177	14	1.2
14	restitas	8	1	0.1271	50.4447	14	1.2
14	paullum	7	1	0.1271	50.5718	14	1.2
14	quaerebam	9	1	0.1271	50.6989	14	1.2
14	offendissem	11	1	0.1271	50.8259	14	1.2
14	offendero	9	1	0.1271	50.953	14	1.2
14	regionibus	10	1	0.1271	51.0801	14	1.2
14	scin	4	1	0.1271	51.2071	14	1.2
14	namque	6	1	0.1271	51.3342	14	1.2
14	fretu	5	1	0.1271	51.4612	14	1.2
14	miles	5	1	0.1271	51.5883	14	1.2
14	edico	5	1	0.1271	51.7154	14	1.2
14	vidit	5	1	0.1271	51.8424	14	1.2
14	platea	6	1	0.1271	51.9695	14	1.2
14	hodiest	7	1	0.1271	52.0966	14	1.2
14	deductus	8	1	0.1271	52.2236	14	1.2
14	ornarat	7	1	0.1271	52.3507	14	1.2
14	post	4	1	0.1271	52.4778	14	1.2
14	umquam	6	1	0.1271	52.6048	14	1.2
14	dicas	5	1	0.1271	52.7319	14	1.2
14	vos	3	1	0.1271	52.859	14	1.2
14	hunc	4	1	0.1271	52.986	14	1.2
14	vides	5	1	0.1271	53.1131	14	1.2
14	rogitas	7	1	0.1271	53.2402	14	1.2
14	quidni	6	1	0.1271	53.3672	14	1.2
14	periisti	8	1	0.1271	53.4943	14	1.2
14	fugam	5	1	0.1271	53.6213	14	1.2
14	iter	4	1	0.1271	53.7484	14	1.2
14	ait	3	1	0.1271	53.8755	14	1.2
14	sceleste	8	1	0.1271	54.0025	14	1.2
14	promissum	9	1	0.1271	54.1296	14	1.2
14	ais	3	1	0.1271	54.2567	14	1.2
14	arbitror	8	1	0.1271	54.3837	14	1.2
14	recipimus	9	1	0.1271	54.5108	14	1.2
14	rei	3	1	0.1271	54.6379	14	1.2
14	dignus	6	1	0.1271	54.7649	14	1.2
14	quaeri	6	1	0.1271	54.892	14	1.2
14	praeter	7	1	0.1271	55.0191	14	1.2
14	festinas	8	1	0.1271	55.1461	14	1.2
14	adibo	5	1	0.1271	55.2732	14	1.2
14	turbatumst	10	1	0.1271	55.4003	14	1.2
14	insanis	7	1	0.1271	55.5273	14	1.2
