rank	word	wordlength	count	frequenz(count*100/289)	sum frequenz	zipf(rank*count)	zipf(max/rank)
1	non	3	7	2.4221	2.4221	7	7
1	et	2	7	2.4221	4.8443	7	7
2	in	2	6	2.0761	6.9204	12	3.5
3	si	2	5	1.7301	8.6505	15	2.3
3	qui	3	5	1.7301	10.3806	15	2.3
4	se	2	4	1.3841	11.7647	16	1.8
4	esse	4	4	1.3841	13.1488	16	1.8
4	dictum	6	4	1.3841	14.5329	16	1.8
4	est	3	4	1.3841	15.917	16	1.8
5	quae	4	3	1.0381	16.955	15	1.4
5	nunc	4	3	1.0381	17.9931	15	1.4
5	prius	5	3	1.0381	19.0311	15	1.4
5	unde	4	3	1.0381	20.0692	15	1.4
5	sit	3	3	1.0381	21.1073	15	1.4
5	sibi	4	3	1.0381	22.1453	15	1.4
5	iam	3	3	1.0381	23.1834	15	1.4
5	quod	4	3	1.0381	24.2215	15	1.4
5	quam	4	3	1.0381	25.2595	15	1.4
5	ut	2	3	1.0381	26.2976	15	1.4
5	is	2	3	1.0381	27.3356	15	1.4
5	facere	6	3	1.0381	28.3737	15	1.4
5	id	2	3	1.0381	29.4118	15	1.4
6	ita	3	2	0.692	30.1038	12	1.2
6	menandri	8	2	0.692	30.7958	12	1.2
6	fabulam	7	2	0.692	31.4879	12	1.2
6	atque	5	2	0.692	32.1799	12	1.2
6	peccatum	8	2	0.692	32.872	12	1.2
6	servom	6	2	0.692	33.564	12	1.2
6	re	2	2	0.692	34.2561	12	1.2
6	licet	5	2	0.692	34.9481	12	1.2
6	vos	3	2	0.692	35.6401	12	1.2
6	eas	3	2	0.692	36.3322	12	1.2
6	eunuchum	8	2	0.692	37.0242	12	1.2
6	colax	5	2	0.692	37.7163	12	1.2
6	aut	3	2	0.692	38.4083	12	1.2
6	ne	2	2	0.692	39.1003	12	1.2
6	nil	3	2	0.692	39.7924	12	1.2
6	latinas	7	2	0.692	40.4844	12	1.2
6	bonas	5	2	0.692	41.1765	12	1.2
6	qua	3	2	0.692	41.8685	12	1.2
6	dedisse	7	2	0.692	42.5606	12	1.2
6	sic	3	2	0.692	43.2526	12	1.2
