rank	word	wordlength	count	frequenz(count*100/23)	sum frequenz	zipf(rank*count)	zipf(max/rank)
1	eccum	5	1	4.3478	4.3478	1	1
1	non	3	1	4.3478	8.6957	1	1
1	in	2	1	4.3478	13.0435	1	1
1	est	3	1	4.3478	17.3913	1	1
1	animus	6	1	4.3478	21.7391	1	1
1	iamdudum	8	1	4.3478	26.087	1	1
1	volnera	7	1	4.3478	30.4348	1	1
1	abstergerem	11	1	4.3478	34.7826	1	1
1	qui	3	1	4.3478	39.1304	1	1
1	fieri	5	1	4.3478	43.4783	1	1
1	posse	5	1	4.3478	47.8261	1	1
1	hoc	3	1	4.3478	52.1739	1	1
1	adest	5	1	4.3478	56.5217	1	1
1	sanguine	8	1	4.3478	60.8696	1	1
1	sine	4	1	4.3478	65.2174	1	1
1	militum	7	1	4.3478	69.5652	1	1
1	vim	3	1	4.3478	73.913	1	1
1	et	2	1	4.3478	78.2609	1	1
1	noveram	7	1	4.3478	82.6087	1	1
1	virtutem	8	1	4.3478	86.9565	1	1
1	imperatoris	11	1	4.3478	91.3043	1	1
1	egon	4	1	4.3478	95.6522	1	1
1	patinis	7	1	4.3478	100	1	1
