rank	word	wordlength	count	frequenz(count*100/103)	sum frequenz	zipf(rank*count)	zipf(max/rank)
1	quid	4	5	4.8544	4.8544	5	5
2	est	3	4	3.8835	8.7379	8	2.5
3	aliud	5	2	1.9417	10.6796	6	1.7
3	te	2	2	1.9417	12.6214	6	1.7
3	sed	3	2	1.9417	14.5631	6	1.7
3	quem	4	2	1.9417	16.5049	6	1.7
3	praestolare	11	2	1.9417	18.4466	6	1.7
3	hem	3	2	1.9417	20.3883	6	1.7
3	parmeno	7	2	1.9417	22.3301	6	1.7
3	ex	2	2	1.9417	24.2718	6	1.7
3	neque	5	2	1.9417	26.2136	6	1.7
3	an	2	2	1.9417	28.1553	6	1.7
4	venit	5	1	0.9709	29.1262	4	1.3
4	alio	4	1	0.9709	30.0971	4	1.3
4	astu	4	1	0.9709	31.068	4	1.3
4	malum	5	1	0.9709	32.0388	4	1.3
4	omitte	6	1	0.9709	33.0097	4	1.3
4	de	2	1	0.9709	33.9806	4	1.3
4	in	2	1	0.9709	34.9515	4	1.3
4	siet	4	1	0.9709	35.9223	4	1.3
4	meretrix	8	1	0.9709	36.8932	4	1.3
4	iam	3	1	0.9709	37.8641	4	1.3
4	ill	3	1	0.9709	38.835	4	1.3
4	dicere	6	1	0.9709	39.8058	4	1.3
4	furcifer	8	1	0.9709	40.7767	4	1.3
4	ego	3	1	0.9709	41.7476	4	1.3
4	mali	4	1	0.9709	42.7184	4	1.3
4	intro	5	1	0.9709	43.6893	4	1.3
4	huc	3	1	0.9709	44.6602	4	1.3
4	cesso	5	1	0.9709	45.6311	4	1.3
4	relicuom	8	1	0.9709	46.6019	4	1.3
4	dixeris	7	1	0.9709	47.5728	4	1.3
4	non	3	1	0.9709	48.5437	4	1.3
4	quod	4	1	0.9709	49.5146	4	1.3
4	damnive	7	1	0.9709	50.4854	4	1.3
4	numquid	7	1	0.9709	51.4563	4	1.3
4	si	2	1	0.9709	52.4272	4	1.3
4	occidi	6	1	0.9709	53.3981	4	1.3
4	eunuchon	8	1	0.9709	54.3689	4	1.3
4	pro	3	1	0.9709	55.3398	4	1.3
4	expedi	6	1	0.9709	56.3107	4	1.3
4	primum	6	1	0.9709	57.2816	4	1.3
4	quidquid	8	1	0.9709	58.2524	4	1.3
4	istuc	5	1	0.9709	59.2233	4	1.3
4	vivo	4	1	0.9709	60.1942	4	1.3
4	scit	4	1	0.9709	61.165	4	1.3
4	perii	5	1	0.9709	62.1359	4	1.3
4	amat	4	1	0.9709	63.1068	4	1.3
4	me	2	1	0.9709	64.0777	4	1.3
4	commuto	7	1	0.9709	65.0485	4	1.3
4	fieri	5	1	0.9709	66.0194	4	1.3
4	coepit	6	1	0.9709	66.9903	4	1.3
4	satias	6	1	0.9709	67.9612	4	1.3
4	ubi	3	1	0.9709	68.932	4	1.3
4	percipit	8	1	0.9709	69.9029	4	1.3
4	umquam	6	1	0.9709	70.8738	4	1.3
4	odium	5	1	0.9709	71.8447	4	1.3
4	estne	5	1	0.9709	72.8155	4	1.3
4	urbis	5	1	0.9709	73.7864	4	1.3
4	agri	4	1	0.9709	74.7573	4	1.3
4	commodi	7	1	0.9709	75.7282	4	1.3
4	capio	5	1	0.9709	76.699	4	1.3
4	hoc	3	1	0.9709	77.6699	4	1.3
4	rure	4	1	0.9709	78.6408	4	1.3
4	propinquo	9	1	0.9709	79.6117	4	1.3
4	locum	5	1	0.9709	80.5825	4	1.3
4	ille	4	1	0.9709	81.5534	4	1.3
4	actumst	7	1	0.9709	82.5243	4	1.3
4	salve	5	1	0.9709	83.4951	4	1.3
4	quanti	6	1	0.9709	84.466	4	1.3
4	hercle	6	1	0.9709	85.4369	4	1.3
4	meo	3	1	0.9709	86.4078	4	1.3
4	emit	4	1	0.9709	87.3786	4	1.3
4	quoi	4	1	0.9709	88.3495	4	1.3
4	mihi	4	1	0.9709	89.3204	4	1.3
4	dic	3	1	0.9709	90.2913	4	1.3
4	satine	6	1	0.9709	91.2621	4	1.3
4	noster	6	1	0.9709	92.233	4	1.3
4	trepidas	8	1	0.9709	93.2039	4	1.3
4	ostium	6	1	0.9709	94.1748	4	1.3
4	ante	4	1	0.9709	95.1456	4	1.3
4	hic	3	1	0.9709	96.1165	4	1.3
4	ipsus	5	1	0.9709	97.0874	4	1.3
4	certe	5	1	0.9709	98.0583	4	1.3
4	et	2	1	0.9709	99.0291	4	1.3
4	rumpere	7	1	0.9709	100	4	1.3
