rank	word	wordlength	count	frequency(count*100/1126)	sum frequency	zipf(rank*count)	zipf(max/rank)
1	me	2	20	1.7762	1.7762	20	20
1	quid	4	20	1.7762	3.5524	20	20
2	non	3	18	1.5986	5.151	36	10
3	te	2	15	1.3321	6.4831	45	6.7
4	ut	2	14	1.2433	7.7265	56	5
5	et	2	13	1.1545	8.881	65	4
6	quam	4	12	1.0657	9.9467	72	3.3
7	id	2	11	0.9769	10.9236	77	2.9
7	si	2	11	0.9769	11.9005	77	2.9
7	hic	3	11	0.9769	12.8774	77	2.9
7	est	3	11	0.9769	13.8544	77	2.9
7	hoc	3	11	0.9769	14.8313	77	2.9
7	mihi	4	11	0.9769	15.8082	77	2.9
8	ego	3	10	0.8881	16.6963	80	2.5
8	rem	3	10	0.8881	17.5844	80	2.5
9	ita	3	9	0.7993	18.3837	81	2.2
9	mi	2	9	0.7993	19.1829	81	2.2
9	neque	5	9	0.7993	19.9822	81	2.2
10	esse	4	8	0.7105	20.6927	80	2
10	tibi	4	8	0.7105	21.4032	80	2
10	tu	2	8	0.7105	22.1137	80	2
10	phaedria	8	8	0.7105	22.8242	80	2
11	nunc	4	7	0.6217	23.4458	77	1.8
11	atque	5	7	0.6217	24.0675	77	1.8
11	sum	3	7	0.6217	24.6892	77	1.8
11	ad	2	7	0.6217	25.3108	77	1.8
12	qui	3	6	0.5329	25.8437	72	1.7
12	ne	2	6	0.5329	26.3766	72	1.7
12	illam	5	6	0.5329	26.9094	72	1.7
13	nam	3	5	0.444	27.3535	65	1.5
13	ob	2	5	0.444	27.7975	65	1.5
13	is	2	5	0.444	28.2416	65	1.5
13	chaerea	7	5	0.444	28.6856	65	1.5
13	hanc	4	5	0.444	29.1297	65	1.5
13	haec	4	5	0.444	29.5737	65	1.5
13	intro	5	5	0.444	30.0178	65	1.5
13	in	2	5	0.444	30.4618	65	1.5
13	ubi	3	5	0.444	30.9059	65	1.5
14	sine	4	4	0.3552	31.2611	56	1.4
14	feci	4	4	0.3552	31.6163	56	1.4
14	hinc	4	4	0.3552	31.9716	56	1.4
14	dum	3	4	0.3552	32.3268	56	1.4
14	sed	3	4	0.3552	32.6821	56	1.4
14	quod	4	4	0.3552	33.0373	56	1.4
14	a	1	4	0.3552	33.3925	56	1.4
14	venit	5	4	0.3552	33.7478	56	1.4
14	adeo	4	4	0.3552	34.103	56	1.4
14	eam	3	4	0.3552	34.4583	56	1.4
14	virginem	8	4	0.3552	34.8135	56	1.4
14	pol	3	4	0.3552	35.1687	56	1.4
14	quae	4	4	0.3552	35.524	56	1.4
14	obsecro	7	4	0.3552	35.8792	56	1.4
14	scio	4	4	0.3552	36.2345	56	1.4
15	cum	3	3	0.2664	36.5009	45	1.3
15	tum	3	3	0.2664	36.7673	45	1.3
15	cupio	5	3	0.2664	37.0337	45	1.3
15	dono	4	3	0.2664	37.3002	45	1.3
15	interea	7	3	0.2664	37.5666	45	1.3
15	volo	4	3	0.2664	37.833	45	1.3
15	mater	5	3	0.2664	38.0995	45	1.3
15	ex	2	3	0.2664	38.3659	45	1.3
15	nil	3	3	0.2664	38.6323	45	1.3
15	verum	5	3	0.2664	38.8988	45	1.3
15	se	2	3	0.2664	39.1652	45	1.3
15	ac	2	3	0.2664	39.4316	45	1.3
15	sororem	7	3	0.2664	39.698	45	1.3
15	apud	4	3	0.2664	39.9645	45	1.3
15	omnia	5	3	0.2664	40.2309	45	1.3
15	frater	6	3	0.2664	40.4973	45	1.3
15	mane	4	3	0.2664	40.7638	45	1.3
15	domi	4	3	0.2664	41.0302	45	1.3
15	vis	3	3	0.2664	41.2966	45	1.3
15	ehem	4	3	0.2664	41.5631	45	1.3
15	chreme	6	3	0.2664	41.8295	45	1.3
15	modo	4	3	0.2664	42.0959	45	1.3
15	res	3	3	0.2664	42.3623	45	1.3
15	fuit	4	3	0.2664	42.6288	45	1.3
15	ipse	4	3	0.2664	42.8952	45	1.3
15	aut	3	3	0.2664	43.1616	45	1.3
15	num	3	3	0.2664	43.4281	45	1.3
15	verba	5	3	0.2664	43.6945	45	1.3
15	es	2	3	0.2664	43.9609	45	1.3
15	plus	4	3	0.2664	44.2274	45	1.3
15	pythias	7	3	0.2664	44.4938	45	1.3
15	tamen	5	3	0.2664	44.7602	45	1.3
15	iam	3	3	0.2664	45.0266	45	1.3
15	dic	3	3	0.2664	45.2931	45	1.3
15	primum	6	3	0.2664	45.5595	45	1.3
15	quo	3	3	0.2664	45.8259	45	1.3
16	hodie	5	2	0.1776	46.0036	32	1.3
16	amabo	5	2	0.1776	46.1812	32	1.3
16	eiu	3	2	0.1776	46.3588	32	1.3
16	quia	4	2	0.1776	46.5364	32	1.3
16	virginis	8	2	0.1776	46.714	32	1.3
