rank	word	wordlength	count	frequenz(count*100/560)	sum frequenz	zipf(rank*count)	zipf(max/rank)
1	quid	4	15	2.6786	2.6786	15	15
2	me	2	13	2.3214	5	26	7.5
3	tu	2	10	1.7857	6.7857	30	5
3	ego	3	10	1.7857	8.5714	30	5
3	in	2	10	1.7857	10.3571	30	5
4	mihi	4	8	1.4286	11.7857	32	3.8
5	hoc	3	6	1.0714	12.8571	30	3
5	non	3	6	1.0714	13.9286	30	3
6	te	2	5	0.8929	14.8214	30	2.5
6	ut	2	5	0.8929	15.7143	30	2.5
6	tibi	4	5	0.8929	16.6071	30	2.5
6	gnatho	6	5	0.8929	17.5	30	2.5
6	ubi	3	5	0.8929	18.3929	30	2.5
7	hic	3	4	0.7143	19.1071	28	2.1
7	est	3	4	0.7143	19.8214	28	2.1
7	omnes	5	4	0.7143	20.5357	28	2.1
7	et	2	4	0.7143	21.25	28	2.1
7	qui	3	4	0.7143	21.9643	28	2.1
8	tum	3	3	0.5357	22.5	24	1.9
8	es	2	3	0.5357	23.0357	24	1.9
8	cum	3	3	0.5357	23.5714	24	1.9
8	numquam	7	3	0.5357	24.1071	24	1.9
8	bene	4	3	0.5357	24.6429	24	1.9
8	quae	4	3	0.5357	25.1786	24	1.9
8	istuc	5	3	0.5357	25.7143	24	1.9
8	huc	3	3	0.5357	26.25	24	1.9
8	vis	3	3	0.5357	26.7857	24	1.9
9	ais	3	2	0.3571	27.1429	18	1.7
9	magis	5	2	0.3571	27.5	18	1.7
9	de	2	2	0.3571	27.8571	18	1.7
9	invidere	8	2	0.3571	28.2143	18	1.7
9	istac	5	2	0.3571	28.5714	18	1.7
9	thaidi	6	2	0.3571	28.9286	18	1.7
9	quod	4	2	0.3571	29.2857	18	1.7
9	iam	3	2	0.3571	29.6429	18	1.7
9	thaidem	7	2	0.3571	30	18	1.7
9	quin	4	2	0.3571	30.3571	18	1.7
9	nunc	4	2	0.3571	30.7143	18	1.7
9	quem	4	2	0.3571	31.0714	18	1.7
9	quam	4	2	0.3571	31.4286	18	1.7
9	etiam	5	2	0.3571	31.7857	18	1.7
9	inquam	6	2	0.3571	32.1429	18	1.7
9	sic	3	2	0.3571	32.5	18	1.7
9	perii	5	2	0.3571	32.8571	18	1.7
9	do	2	2	0.3571	33.2143	18	1.7
9	hinc	4	2	0.3571	33.5714	18	1.7
9	imus	4	2	0.3571	33.9286	18	1.7
9	minu	4	2	0.3571	34.2857	18	1.7
9	tangam	6	2	0.3571	34.6429	18	1.7
9	meam	4	2	0.3571	35	18	1.7
9	quor	4	2	0.3571	35.3571	18	1.7
9	vi	2	2	0.3571	35.7143	18	1.7
9	id	2	2	0.3571	36.0714	18	1.7
9	thai	4	2	0.3571	36.4286	18	1.7
9	convivio	8	2	0.3571	36.7857	18	1.7
9	obsecro	7	2	0.3571	37.1429	18	1.7
9	si	2	2	0.3571	37.5	18	1.7
9	hunc	4	2	0.3571	37.8571	18	1.7
9	sequimini	9	2	0.3571	38.2143	18	1.7
9	idem	4	2	0.3571	38.5714	18	1.7
9	tam	3	2	0.3571	38.9286	18	1.7
9	habes	5	2	0.3571	39.2857	18	1.7
9	simalio	7	2	0.3571	39.6429	18	1.7
9	donax	5	2	0.3571	40	18	1.7
9	syrisce	7	2	0.3571	40.3571	18	1.7
9	vel	3	2	0.3571	40.7143	18	1.7
9	aut	3	2	0.3571	41.0714	18	1.7
9	omnia	5	2	0.3571	41.4286	18	1.7
9	primum	6	2	0.3571	41.7857	18	1.7
9	sint	4	2	0.3571	42.1429	18	1.7
9	virginem	8	2	0.3571	42.5	18	1.7
9	thais	5	2	0.3571	42.8571	18	1.7
9	ipsam	5	2	0.3571	43.2143	18	1.7
9	hominum	7	2	0.3571	43.5714	18	1.7
9	sed	3	2	0.3571	43.9286	18	1.7
9	vero	4	2	0.3571	44.2857	18	1.7
9	domini	6	2	0.3571	44.6429	18	1.7
10	factitavit	10	1	0.1786	44.8214	10	1.5
