rank	word	wordlength	count	frequency(count*100/8848)	sum frequency	zipf(rank*count)	zipf(max/rank)
1	quid	4	168	1.8987	1.8987	168	168
2	me	2	116	1.311	3.2098	232	84
3	ut	2	104	1.1754	4.3852	312	56
3	et	2	104	1.1754	5.5606	312	56
4	non	3	94	1.0624	6.623	376	42
5	est	3	93	1.0511	7.6741	465	33.6
6	te	2	92	1.0398	8.7138	552	28
7	in	2	91	1.0285	9.7423	637	24
8	ego	3	88	0.9946	10.7369	704	21
9	hoc	3	83	0.9381	11.675	747	18.7
10	tu	2	82	0.9268	12.6017	820	16.8
11	si	2	67	0.7572	13.359	737	15.3
12	ubi	3	61	0.6894	14.0484	732	14
13	qui	3	60	0.6781	14.7265	780	12.9
14	quod	4	59	0.6668	15.3933	826	12
15	quam	4	57	0.6442	16.0375	855	11.2
15	mihi	4	57	0.6442	16.6817	855	11.2
16	tibi	4	53	0.599	17.2807	848	10.5
16	nunc	4	53	0.599	17.8797	848	10.5
17	esse	4	52	0.5877	18.4675	884	9.9
18	hic	3	50	0.5651	19.0325	900	9.3
19	ad	2	49	0.5538	19.5863	931	8.8
20	neque	5	46	0.5199	20.1062	920	8.4
20	id	2	46	0.5199	20.6261	920	8.4
21	ita	3	44	0.4973	21.1234	924	8
22	haec	4	42	0.4747	21.5981	924	7.6
22	ne	2	42	0.4747	22.0728	924	7.6
23	sed	3	41	0.4634	22.5362	943	7.3
24	quae	4	40	0.4521	22.9882	960	7
25	mi	2	35	0.3956	23.3838	875	6.7
26	iam	3	34	0.3843	23.7681	884	6.5
27	atque	5	31	0.3504	24.1184	837	6.2
27	aut	3	31	0.3504	24.4688	837	6.2
28	nil	3	30	0.3391	24.8079	840	6
29	ex	2	29	0.3278	25.1356	841	5.8
30	tum	3	28	0.3165	25.4521	840	5.6
30	istuc	5	28	0.3165	25.7685	840	5.6
31	cum	3	27	0.3052	26.0737	837	5.4
32	hercle	6	25	0.2825	26.3562	800	5.3
32	obsecro	7	25	0.2825	26.6388	800	5.3
32	illum	5	25	0.2825	26.9213	800	5.3
33	is	2	24	0.2712	27.1926	792	5.1
33	eam	3	24	0.2712	27.4638	792	5.1
33	nam	3	24	0.2712	27.7351	792	5.1
34	dum	3	23	0.2599	27.995	782	4.9
34	quem	4	23	0.2599	28.255	782	4.9
34	parmeno	7	23	0.2599	28.5149	782	4.9
34	modo	4	23	0.2599	28.7749	782	4.9
34	hanc	4	23	0.2599	29.0348	782	4.9
35	hunc	4	22	0.2486	29.2835	770	4.8
35	huc	3	22	0.2486	29.5321	770	4.8
35	se	2	22	0.2486	29.7807	770	4.8
35	quom	4	22	0.2486	30.0294	770	4.8
36	illam	5	21	0.2373	30.2667	756	4.7
