rank	word	wordlength	count	frequency(count*100/270)	sum frequency	zipf(rank*count)	zipf(max/rank)
1	me	2	7	2.5926	2.5926	7	7
2	esse	4	6	2.2222	4.8148	12	3.5
2	et	2	6	2.2222	7.037	12	3.5
3	quom	4	5	1.8519	8.8889	15	2.3
4	est	3	4	1.4815	10.3704	16	1.8
4	ut	2	4	1.4815	11.8519	16	1.8
4	nos	3	4	1.4815	13.3333	16	1.8
5	mihi	4	3	1.1111	14.4444	15	1.4
5	ego	3	3	1.1111	15.5556	15	1.4
5	quid	4	3	1.1111	16.6667	15	1.4
5	non	3	3	1.1111	17.7778	15	1.4
5	quam	4	3	1.1111	18.8889	15	1.4
5	hic	3	3	1.1111	20	15	1.4
6	ad	2	2	0.7407	20.7407	12	1.2
6	vobis	5	2	0.7407	21.4815	12	1.2
6	vos	3	2	0.7407	22.2222	12	1.2
6	se	2	2	0.7407	22.963	12	1.2
6	ab	2	2	0.7407	23.7037	12	1.2
6	venturam	8	2	0.7407	24.4444	12	1.2
6	in	2	2	0.7407	25.1852	12	1.2
6	nunc	4	2	0.7407	25.9259	12	1.2
6	res	3	2	0.7407	26.6667	12	1.2
6	ubi	3	2	0.7407	27.4074	12	1.2
6	nam	3	2	0.7407	28.1481	12	1.2
6	veniam	6	2	0.7407	28.8889	12	1.2
6	si	2	2	0.7407	29.6296	12	1.2
6	mea	3	2	0.7407	30.3704	12	1.2
6	antiphila	9	2	0.7407	31.1111	12	1.2
6	pol	3	2	0.7407	31.8519	12	1.2
6	te	2	2	0.7407	32.5926	12	1.2
7	quas	4	1	0.3704	32.963	7	1
7	vides	5	1	0.3704	33.3333	7	1
7	pendebit	8	1	0.3704	33.7037	7	1
7	proterve	8	1	0.3704	34.0741	7	1
7	animi	5	1	0.3704	34.4444	7	1
7	decipiam	8	1	0.3704	34.8148	7	1
7	sati	4	1	0.3704	35.1852	7	1
7	quem	4	1	0.3704	35.5556	7	1
7	ac	2	1	0.3704	35.9259	7	1
7	syrus	5	1	0.3704	36.2963	7	1
7	tergo	5	1	0.3704	36.6667	7	1
7	stupes	6	1	0.3704	37.037	7	1
7	poenas	6	1	0.3704	37.4074	7	1
7	tibist	6	1	0.3704	37.7778	7	1
7	pendet	6	1	0.3704	38.1481	7	1
7	syri	4	1	0.3704	38.5185	7	1
7	clitipho	8	1	0.3704	38.8889	7	1
7	spe	3	1	0.3704	39.2593	7	1
7	induxerunt	10	1	0.3704	39.6296	7	1
7	minas	5	1	0.3704	40	7	1
7	pollicitust	11	1	0.3704	40.3704	7	1
7	quodsi	6	1	0.3704	40.7407	7	1
7	deceperit	9	1	0.3704	41.1111	7	1
7	saepe	5	1	0.3704	41.4815	7	1
7	obsecrans	9	1	0.3704	41.8519	7	1
7	decem	5	1	0.3704	42.2222	7	1
7	frustra	7	1	0.3704	42.5926	7	1
7	veniet	6	1	0.3704	42.963	7	1
7	dare	4	1	0.3704	43.3333	7	1
7	huc	3	1	0.3704	43.7037	7	1
7	aut	3	1	0.3704	44.0741	7	1
7	promissa	8	1	0.3704	44.4444	7	1
7	dixero	6	1	0.3704	44.8148	7	1
7	constituero	11	1	0.3704	45.1852	7	1
7	is	2	1	0.3704	45.5556	7	1
7	certe	5	1	0.3704	45.9259	7	1
7	renuntiarit	11	1	0.3704	46.2963	7	1
7	dormiunt	8	1	0.3704	46.6667	7	1
7	edepol	6	1	0.3704	47.037	7	1
7	istos	5	1	0.3704	47.4074	7	1
7	num	3	1	0.3704	47.7778	7	1
7	aliquo	6	1	0.3704	48.1481	7	1
7	pacto	5	1	0.3704	48.5185	7	1
7	verba	5	1	0.3704	48.8889	7	1
7	his	3	1	0.3704	49.2593	7	1
7	daturam	7	1	0.3704	49.6296	7	1
