rank	word	wordlength	count	frequency(count*100/2905)	sum frequency	zipf(rank*count)	zipf(max/rank)
1	quid	4	63	2.1687	2.1687	63	63
2	ut	2	55	1.8933	4.062	110	31.5
3	te	2	44	1.5146	5.5766	132	21
4	non	3	43	1.4802	7.0568	172	15.8
5	me	2	40	1.3769	8.4337	200	12.6
6	est	3	39	1.3425	9.7762	234	10.5
7	in	2	32	1.1015	10.8778	224	9
8	et	2	31	1.0671	11.9449	248	7.9
9	quod	4	30	1.0327	12.9776	270	7
10	esse	4	27	0.9294	13.9071	270	6.3
10	tibi	4	27	0.9294	14.8365	270	6.3
11	si	2	26	0.895	15.7315	286	5.7
12	quam	4	25	0.8606	16.5921	300	5.3
13	ego	3	23	0.7917	17.3838	299	4.8
14	id	2	22	0.7573	18.1411	308	4.5
15	atque	5	21	0.7229	18.864	315	4.2
16	tu	2	20	0.6885	19.5525	320	3.9
16	nunc	4	20	0.6885	20.241	320	3.9
17	qui	3	19	0.654	20.895	323	3.7
17	hoc	3	19	0.654	21.5491	323	3.7
18	nam	3	18	0.6196	22.1687	324	3.5
19	ne	2	17	0.5852	22.7539	323	3.3
20	mihi	4	15	0.5164	23.2702	300	3.2
20	ad	2	15	0.5164	23.7866	300	3.2
21	aut	3	14	0.4819	24.2685	294	3
21	sed	3	14	0.4819	24.7504	294	3
22	istuc	5	13	0.4475	25.1979	286	2.9
22	neque	5	13	0.4475	25.6454	286	2.9
22	haec	4	13	0.4475	26.0929	286	2.9
22	ita	3	13	0.4475	26.5404	286	2.9
22	iam	3	13	0.4475	26.988	286	2.9
23	ex	2	12	0.4131	27.401	276	2.7
23	rem	3	12	0.4131	27.8141	276	2.7
23	nil	3	12	0.4131	28.2272	276	2.7
24	at	2	11	0.3787	28.6059	264	2.6
24	illum	5	11	0.3787	28.9845	264	2.6
24	faciam	6	11	0.3787	29.3632	264	2.6
25	facere	6	10	0.3442	29.7074	250	2.5
25	syre	4	10	0.3442	30.0516	250	2.5
25	quae	4	10	0.3442	30.3959	250	2.5
25	hic	3	10	0.3442	30.7401	250	2.5
25	siet	4	10	0.3442	31.0843	250	2.5
25	sit	3	10	0.3442	31.4286	250	2.5
25	menedeme	8	10	0.3442	31.7728	250	2.5
