rank	word	wordlength	count	frequency(count*100/525)	sum frequency	zipf(rank*count)	zipf(max/rank)
1	me	2	17	3.2381	3.2381	17	17
2	quid	4	10	1.9048	5.1429	20	8.5
2	mihi	4	10	1.9048	7.0476	20	8.5
3	et	2	9	1.7143	8.7619	27	5.7
4	mi	2	8	1.5238	10.2857	32	4.3
4	quam	4	8	1.5238	11.8095	32	4.3
5	syre	4	6	1.1429	12.9524	30	3.4
5	in	2	6	1.1429	14.0952	30	3.4
5	nam	3	6	1.1429	15.2381	30	3.4
5	nunc	4	6	1.1429	16.381	30	3.4
5	esse	4	6	1.1429	17.5238	30	3.4
6	te	2	5	0.9524	18.4762	30	2.8
6	ego	3	5	0.9524	19.4286	30	2.8
6	ut	2	5	0.9524	20.381	30	2.8
6	iam	3	5	0.9524	21.3333	30	2.8
6	dum	3	5	0.9524	22.2857	30	2.8
7	o	1	4	0.7619	23.0476	28	2.4
7	tu	2	4	0.7619	23.8095	28	2.4
7	antiphila	9	4	0.7619	24.5714	28	2.4
7	nil	3	4	0.7619	25.3333	28	2.4
7	obsecro	7	4	0.7619	26.0952	28	2.4
7	quod	4	4	0.7619	26.8571	28	2.4
7	hic	3	4	0.7619	27.619	28	2.4
7	meo	3	4	0.7619	28.381	28	2.4
8	si	2	3	0.5714	28.9524	24	2.1
8	res	3	3	0.5714	29.5238	24	2.1
8	non	3	3	0.5714	30.0952	24	2.1
8	ne	2	3	0.5714	30.6667	24	2.1
8	faciam	6	3	0.5714	31.2381	24	2.1
8	sit	3	3	0.5714	31.8095	24	2.1
8	hoc	3	3	0.5714	32.381	24	2.1
8	est	3	3	0.5714	32.9524	24	2.1
8	ita	3	3	0.5714	33.5238	24	2.1
9	maxume	6	2	0.381	33.9048	18	1.9
9	propter	7	2	0.381	34.2857	18	1.9
9	rem	3	2	0.381	34.6667	18	1.9
9	dicam	5	2	0.381	35.0476	18	1.9
9	iuppiter	8	2	0.381	35.4286	18	1.9
9	audisti	7	2	0.381	35.8095	18	1.9
9	posthac	7	2	0.381	36.1905	18	1.9
9	patrem	6	2	0.381	36.5714	18	1.9
9	tibi	4	2	0.381	36.9524	18	1.9
9	scilicet	8	2	0.381	37.3333	18	1.9
9	sati	4	2	0.381	37.7143	18	1.9
9	illi	4	2	0.381	38.0952	18	1.9
9	verum	5	2	0.381	38.4762	18	1.9
9	atque	5	2	0.381	38.8571	18	1.9
9	tum	3	2	0.381	39.2381	18	1.9
9	sim	3	2	0.381	39.619	18	1.9
9	ament	5	2	0.381	40	18	1.9
9	istoc	5	2	0.381	40.381	18	1.9
9	ubi	3	2	0.381	40.7619	18	1.9
9	enim	4	2	0.381	41.1429	18	1.9
9	at	2	2	0.381	41.5238	18	1.9
9	agam	4	2	0.381	41.9048	18	1.9
9	sum	3	2	0.381	42.2857	18	1.9
9	patri	5	2	0.381	42.6667	18	1.9
9	di	2	2	0.381	43.0476	18	1.9
9	qui	3	2	0.381	43.4286	18	1.9
9	frustra	7	2	0.381	43.8095	18	1.9
9	eum	3	2	0.381	44.1905	18	1.9
9	unde	4	2	0.381	44.5714	18	1.9
9	tanta	5	2	0.381	44.9524	18	1.9
9	mea	3	2	0.381	45.3333	18	1.9
9	quoi	4	2	0.381	45.7143	18	1.9
9	praeter	7	2	0.381	46.0952	18	1.9
9	age	3	2	0.381	46.4762	18	1.9
9	clitipho	8	2	0.381	46.8571	18	1.9
9	scio	4	2	0.381	47.2381	18	1.9
9	quae	4	2	0.381	47.619	18	1.9
9	mali	4	2	0.381	48	18	1.9
9	de	2	2	0.381	48.381	18	1.9
9	quoius	6	2	0.381	48.7619	18	1.9
9	audio	5	2	0.381	49.1429	18	1.9
9	sed	3	2	0.381	49.5238	18	1.9
9	ei	2	2	0.381	49.9048	18	1.9
9	misero	6	2	0.381	50.2857	18	1.9
10	sat	3	1	0.1905	50.4762	10	1.7
10	habes	5	1	0.1905	50.6667	10	1.7
10	nulla	5	1	0.1905	50.8571	10	1.7
10	teneone	7	1	0.1905	51.0476	10	1.7
10	animo	5	1	0.1905	51.2381	10	1.7
10	exspectatam	11	1	0.1905	51.4286	10	1.7
10	tantum	6	1	0.1905	51.619	10	1.7
10	sobrius	7	1	0.1905	51.8095	10	1.7
10	consulas	8	1	0.1905	52	10	1.7
10	potest	6	1	0.1905	52.1905	10	1.7
10	intervenire	11	1	0.1905	52.381	10	1.7
10	pater	5	1	0.1905	52.5714	10	1.7
10	aegritudinem	12	1	0.1905	52.7619	10	1.7
10	adferat	7	1	0.1905	52.9524	10	1.7
10	haec	4	1	0.1905	53.1429	10	1.7
10	laetitia	8	1	0.1905	53.3333	10	1.7
10	obortast	8	1	0.1905	53.5238	10	1.7
10	dedo	4	1	0.1905	53.7143	10	1.7
10	nunciam	7	1	0.1905	53.9048	10	1.7
10	pendi	5	1	0.1905	54.0952	10	1.7
10	frugalior	9	1	0.1905	54.2857	10	1.7
10	volt	4	1	0.1905	54.4762	10	1.7
10	parvi	5	1	0.1905	54.6667	10	1.7
10	fiat	4	1	0.1905	54.8571	10	1.7
10	quaeso	6	1	0.1905	55.0476	10	1.7
10	frui	4	1	0.1905	55.2381	10	1.7
10	vales	5	1	0.1905	55.4286	10	1.7
10	cepi	4	1	0.1905	55.619	10	1.7
10	sola	4	1	0.1905	55.8095	10	1.7
10	reducem	7	1	0.1905	56	10	1.7
10	patriam	7	1	0.1905	56.1905	10	1.7
10	scite	5	1	0.1905	56.381	10	1.7
10	facis	5	1	0.1905	56.5714	10	1.7
10	abs	3	1	0.1905	56.7619	10	1.7
10	absum	5	1	0.1905	56.9524	10	1.7
10	bacchis	7	1	0.1905	57.1429	10	1.7
10	omnes	5	1	0.1905	57.3333	10	1.7
10	labores	7	1	0.1905	57.5238	10	1.7
10	transducatur	12	1	0.1905	57.7143	10	1.7
10	fuere	5	1	0.1905	57.9048	10	1.7
10	quos	4	1	0.1905	58.0952	10	1.7
10	leves	5	1	0.1905	58.2857	10	1.7
10	anime	5	1	0.1905	58.4762	10	1.7
10	tui	3	1	0.1905	58.6667	10	1.7
10	carendum	8	1	0.1905	58.8571	10	1.7
10	erat	4	1	0.1905	59.0476	10	1.7
10	vix	3	1	0.1905	59.2381	10	1.7
10	suffero	7	1	0.1905	59.4286	10	1.7
10	hocin	5	1	0.1905	59.619	10	1.7
10	miserum	7	1	0.1905	59.8095	10	1.7
10	licere	6	1	0.1905	60	10	1.7
10	modo	4	1	0.1905	60.1905	10	1.7
10	metuo	5	1	0.1905	60.381	10	1.7
10	ingenium	8	1	0.1905	60.5714	10	1.7
10	filiam	6	1	0.1905	60.7619	10	1.7
10	resciverit	10	1	0.1905	60.9524	10	1.7
10	salve	5	1	0.1905	61.1429	10	1.7
10	fors	4	1	0.1905	61.3333	10	1.7
10	committet	9	1	0.1905	61.5238	10	1.7
10	aeque	5	1	0.1905	61.7143	10	1.7
10	oppido	6	1	0.1905	61.9048	10	1.7
10	appellabo	9	1	0.1905	62.0952	10	1.7
10	pacto	5	1	0.1905	62.2857	10	1.7
10	spem	4	1	0.1905	62.4762	10	1.7
10	dic	3	1	0.1905	62.6667	10	1.7
10	tenes	5	1	0.1905	62.8571	10	1.7
10	tuto	4	1	0.1905	63.0476	10	1.7
10	poterit	7	1	0.1905	63.2381	10	1.7
10	causam	6	1	0.1905	63.4286	10	1.7
10	ille	4	1	0.1905	63.619	10	1.7
10	adferam	7	1	0.1905	63.8095	10	1.7
10	ais	3	1	0.1905	64	10	1.7
10	bonam	5	1	0.1905	64.1905	10	1.7
10	iustam	6	1	0.1905	64.381	10	1.7
10	imperas	7	1	0.1905	64.5714	10	1.7
10	quo	3	1	0.1905	64.7619	10	1.7
10	factu	5	1	0.1905	64.9524	10	1.7
10	perdis	6	1	0.1905	65.1429	10	1.7
10	facilem	7	1	0.1905	65.3333	10	1.7
10	voles	5	1	0.1905	65.5238	10	1.7
10	plane	5	1	0.1905	65.7143	10	1.7
10	exorare	7	1	0.1905	65.9048	10	1.7
10	celet	5	1	0.1905	66.0952	10	1.7
10	senem	5	1	0.1905	66.2857	10	1.7
10	vostrum	7	1	0.1905	66.4762	10	1.7
10	hem	3	1	0.1905	66.6667	10	1.7
10	sanus	5	1	0.1905	66.8571	10	1.7
10	illum	5	1	0.1905	67.0476	10	1.7
10	tuquidem	8	1	0.1905	67.2381	10	1.7
10	ore	3	1	0.1905	67.4286	10	1.7
10	advorsum	8	1	0.1905	67.619	10	1.7
10	commode	7	1	0.1905	67.8095	10	1.7
10	hanc	4	1	0.1905	68	10	1.7
10	quicquam	8	1	0.1905	68.1905	10	1.7
10	evenisse	8	1	0.1905	68.381	10	1.7
10	es	2	1	0.1905	68.5714	10	1.7
10	tam	3	1	0.1905	68.7619	10	1.7
10	meapte	6	1	0.1905	68.9524	10	1.7
10	credet	6	1	0.1905	69.1429	10	1.7
10	causa	5	1	0.1905	69.3333	10	1.7
10	laetor	6	1	0.1905	69.5238	10	1.7
10	illiu	5	1	0.1905	69.7143	10	1.7
10	honore	6	1	0.1905	69.9048	10	1.7
10	quovis	6	1	0.1905	70.0952	10	1.7
10	meam	4	1	0.1905	70.2857	10	1.7
10	dignam	6	1	0.1905	70.4762	10	1.7
10	nubet	5	1	0.1905	70.6667	10	1.7
10	ergo	4	1	0.1905	70.8571	10	1.7
10	gaudeo	6	1	0.1905	71.0476	10	1.7
10	fer	3	1	0.1905	71.2381	10	1.7
10	deorum	6	1	0.1905	71.4286	10	1.7
10	vitam	5	1	0.1905	71.619	10	1.7
10	apti	4	1	0.1905	71.8095	10	1.7
10	sumus	5	1	0.1905	72	10	1.7
10	loquere	7	1	0.1905	72.1905	10	1.7
10	amicam	6	1	0.1905	72.381	10	1.7
10	eripis	6	1	0.1905	72.5714	10	1.7
10	omnem	5	1	0.1905	72.7619	10	1.7
10	mage	4	1	0.1905	72.9524	10	1.7
10	nuptiarum	9	1	0.1905	73.1429	10	1.7
10	rursum	6	1	0.1905	73.3333	10	1.7
10	miis	4	1	0.1905	73.5238	10	1.7
