rank	word	wordlength	count	frequenz(count*100/947)	sum frequenz	zipf(rank*count)	zipf(max/rank)
1	quid	4	24	2.5343	2.5343	24	24
2	pater	5	15	1.5839	4.1183	30	12
3	syre	4	14	1.4784	5.5966	42	8
3	nunc	4	14	1.4784	7.075	42	8
3	mihi	4	14	1.4784	8.5533	42	8
4	quam	4	13	1.3728	9.9261	52	6
4	me	2	13	1.3728	11.2988	52	6
4	est	3	13	1.3728	12.6716	52	6
5	et	2	12	1.2672	13.9388	60	4.8
6	non	3	11	1.1616	15.1003	66	4
7	te	2	10	1.056	16.1563	70	3.4
8	quae	4	9	0.9504	17.1067	72	3
8	ego	3	9	0.9504	18.057	72	3
8	tibi	4	9	0.9504	19.0074	72	3
9	ad	2	8	0.8448	19.8522	72	2.7
9	esse	4	8	0.8448	20.6969	72	2.7
10	ut	2	7	0.7392	21.4361	70	2.4
10	nil	3	7	0.7392	22.1753	70	2.4
10	clinia	6	7	0.7392	22.9145	70	2.4
10	quod	4	7	0.7392	23.6536	70	2.4
11	si	2	6	0.6336	24.2872	66	2.2
11	hoc	3	6	0.6336	24.9208	66	2.2
11	in	2	6	0.6336	25.5544	66	2.2
11	ne	2	6	0.6336	26.188	66	2.2
12	hic	3	5	0.528	26.7159	60	2
12	nam	3	5	0.528	27.2439	60	2
12	haec	4	5	0.528	27.7719	60	2
12	neque	5	5	0.528	28.2999	60	2
12	qui	3	5	0.528	28.8279	60	2
12	ubi	3	5	0.528	29.3559	60	2
12	istuc	5	5	0.528	29.8838	60	2
13	faciam	6	4	0.4224	30.3062	52	1.8
13	hinc	4	4	0.4224	30.7286	52	1.8
13	apud	4	4	0.4224	31.151	52	1.8
13	etiam	5	4	0.4224	31.5734	52	1.8
13	huiu	4	4	0.4224	31.9958	52	1.8
13	cum	3	4	0.4224	32.4182	52	1.8
13	tam	3	4	0.4224	32.8405	52	1.8
13	sunt	4	4	0.4224	33.2629	52	1.8
13	fuit	4	4	0.4224	33.6853	52	1.8
13	perii	5	4	0.4224	34.1077	52	1.8
13	a	1	4	0.4224	34.5301	52	1.8
13	at	2	4	0.4224	34.9525	52	1.8
14	eam	3	3	0.3168	35.2693	42	1.7
14	atque	5	3	0.3168	35.5861	42	1.7
14	quo	3	3	0.3168	35.9029	42	1.7
14	modo	4	3	0.3168	36.2196	42	1.7
14	se	2	3	0.3168	36.5364	42	1.7
14	res	3	3	0.3168	36.8532	42	1.7
14	una	3	3	0.3168	37.17	42	1.7
14	obsecro	7	3	0.3168	37.4868	42	1.7
14	ille	4	3	0.3168	37.8036	42	1.7
14	immo	4	3	0.3168	38.1204	42	1.7
14	ita	3	3	0.3168	38.4372	42	1.7
14	ex	2	3	0.3168	38.754	42	1.7
14	sua	3	3	0.3168	39.0707	42	1.7
14	is	2	3	0.3168	39.3875	42	1.7
14	mi	2	3	0.3168	39.7043	42	1.7
14	verum	5	3	0.3168	40.0211	42	1.7
14	hercle	6	3	0.3168	40.3379	42	1.7
14	siet	4	3	0.3168	40.6547	42	1.7
14	quoque	6	3	0.3168	40.9715	42	1.7
14	semper	6	3	0.3168	41.2883	42	1.7
14	ergo	4	3	0.3168	41.6051	42	1.7
14	scio	4	3	0.3168	41.9219	42	1.7
14	volo	4	3	0.3168	42.2386	42	1.7
14	illam	5	3	0.3168	42.5554	42	1.7
14	eo	2	3	0.3168	42.8722	42	1.7
14	tu	2	3	0.3168	43.189	42	1.7
14	nos	3	3	0.3168	43.5058	42	1.7
14	hunc	4	3	0.3168	43.8226	42	1.7
15	heus	4	2	0.2112	44.0338	30	1.6
15	scit	4	2	0.2112	44.245	30	1.6
15	scis	4	2	0.2112	44.4562	30	1.6
15	umquam	6	2	0.2112	44.6674	30	1.6
15	es	2	2	0.2112	44.8786	30	1.6
15	dicta	5	2	0.2112	45.0898	30	1.6
15	mage	4	2	0.2112	45.301	30	1.6
15	ob	2	2	0.2112	45.5121	30	1.6
15	rem	3	2	0.2112	45.7233	30	1.6
15	syro	4	2	0.2112	45.9345	30	1.6
15	nequid	6	2	0.2112	46.1457	30	1.6
15	vis	3	2	0.2112	46.3569	30	1.6
15	modi	4	2	0.2112	46.5681	30	1.6
15	plus	4	2	0.2112	46.7793	30	1.6
15	dum	3	2	0.2112	46.9905	30	1.6
15	periclum	8	2	0.2112	47.2017	30	1.6
15	quaeso	6	2	0.2112	47.4129	30	1.6
15	adest	5	2	0.2112	47.6241	30	1.6
15	quas	4	2	0.2112	47.8353	30	1.6
15	quom	4	2	0.2112	48.0465	30	1.6
15	credo	5	2	0.2112	48.2577	30	1.6
15	nostrum	7	2	0.2112	48.4688	30	1.6
15	patrem	6	2	0.2112	48.68	30	1.6
15	altera	6	2	0.2112	48.8912	30	1.6
15	veri	4	2	0.2112	49.1024	30	1.6
15	inquam	6	2	0.2112	49.3136	30	1.6
15	ignoscas	8	2	0.2112	49.5248	30	1.6
15	redi	4	2	0.2112	49.736	30	1.6
15	eius	4	2	0.2112	49.9472	30	1.6
15	facias	6	2	0.2112	50.1584	30	1.6
15	rerum	5	2	0.2112	50.3696	30	1.6
15	faciat	6	2	0.2112	50.5808	30	1.6
15	mea	3	2	0.2112	50.792	30	1.6
15	patris	6	2	0.2112	51.0032	30	1.6
15	omnia	5	2	0.2112	51.2144	30	1.6
15	ei	2	2	0.2112	51.4256	30	1.6
15	cedo	4	2	0.2112	51.6367	30	1.6
15	iam	3	2	0.2112	51.8479	30	1.6
15	age	3	2	0.2112	52.0591	30	1.6
15	dic	3	2	0.2112	52.2703	30	1.6
15	accedam	7	2	0.2112	52.4815	30	1.6
15	enim	4	2	0.2112	52.6927	30	1.6
15	patre	5	2	0.2112	52.9039	30	1.6
15	eccum	5	2	0.2112	53.1151	30	1.6
15	quos	4	2	0.2112	53.3263	30	1.6
15	di	2	2	0.2112	53.5375	30	1.6
15	animum	6	2	0.2112	53.7487	30	1.6
15	amicae	6	2	0.2112	53.9599	30	1.6
15	vide	4	2	0.2112	54.1711	30	1.6
15	facili	6	2	0.2112	54.3823	30	1.6
15	pudet	5	2	0.2112	54.5935	30	1.6
15	hem	3	2	0.2112	54.8046	30	1.6
15	bacchidem	9	2	0.2112	55.0158	30	1.6
15	habeo	5	2	0.2112	55.227	30	1.6
15	miser	5	2	0.2112	55.4382	30	1.6
15	sit	3	2	0.2112	55.6494	30	1.6
15	ilico	5	2	0.2112	55.8606	30	1.6
15	sum	3	2	0.2112	56.0718	30	1.6
15	o	1	2	0.2112	56.283	30	1.6
15	quicquam	8	2	0.2112	56.4942	30	1.6
15	id	2	2	0.2112	56.7054	30	1.6
15	recte	5	2	0.2112	56.9166	30	1.6
16	retines	7	1	0.1056	57.0222	16	1.5
16	tutemet	7	1	0.1056	57.1278	16	1.5
16	interim	7	1	0.1056	57.2334	16	1.5
16	sine	4	1	0.1056	57.339	16	1.5
16	quor	4	1	0.1056	57.4446	16	1.5
16	mirabere	8	1	0.1056	57.5502	16	1.5
16	mene	4	1	0.1056	57.6558	16	1.5
16	quandoquidem	12	1	0.1056	57.7614	16	1.5
16	tace	4	1	0.1056	57.8669	16	1.5
16	deambulatum	11	1	0.1056	57.9725	16	1.5
16	abeam	5	1	0.1056	58.0781	16	1.5
16	illos	5	1	0.1056	58.1837	16	1.5
16	nonne	5	1	0.1056	58.2893	16	1.5
16	perdis	6	1	0.1056	58.3949	16	1.5
16	possum	6	1	0.1056	58.5005	16	1.5
16	sodes	5	1	0.1056	58.6061	16	1.5
16	facturum	8	1	0.1056	58.7117	16	1.5
16	paullisper	10	1	0.1056	58.8173	16	1.5
16	istiu	5	1	0.1056	58.9229	16	1.5
16	fides	5	1	0.1056	59.0285	16	1.5
16	feci	4	1	0.1056	59.1341	16	1.5
16	felicem	7	1	0.1056	59.2397	16	1.5
16	hominem	7	1	0.1056	59.3453	16	1.5
16	istic	5	1	0.1056	59.4509	16	1.5
16	salutem	7	1	0.1056	59.5565	16	1.5
16	saltem	6	1	0.1056	59.6621	16	1.5
16	laudabi	7	1	0.1056	59.7677	16	1.5
16	permitto	8	1	0.1056	59.8733	16	1.5
16	spernere	8	1	0.1056	59.9789	16	1.5
16	causa	5	1	0.1056	60.0845	16	1.5
16	video	5	1	0.1056	60.1901	16	1.5
16	firmi	5	1	0.1056	60.2957	16	1.5
16	sati	4	1	0.1056	60.4013	16	1.5
16	fabulae	7	1	0.1056	60.5069	16	1.5
16	parum	5	1	0.1056	60.6125	16	1.5
16	filiam	6	1	0.1056	60.7181	16	1.5
16	dedecorist	10	1	0.1056	60.8237	16	1.5
16	restat	6	1	0.1056	60.9293	16	1.5
16	dicetur	7	1	0.1056	61.0348	16	1.5
16	ea	2	1	0.1056	61.1404	16	1.5
16	expediat	8	1	0.1056	61.246	16	1.5
16	an	2	1	0.1056	61.3516	16	1.5
16	pulchre	7	1	0.1056	61.4572	16	1.5
16	consilium	9	1	0.1056	61.5628	16	1.5
16	tuom	4	1	0.1056	61.6684	16	1.5
16	fit	3	1	0.1056	61.774	16	1.5
16	siquidem	8	1	0.1056	61.8796	16	1.5
16	occipit	7	1	0.1056	61.9852	16	1.5
16	narrare	7	1	0.1056	62.0908	16	1.5
16	ambages	7	1	0.1056	62.1964	16	1.5
16	accipere	8	1	0.1056	62.302	16	1.5
16	metum	5	1	0.1056	62.4076	16	1.5
16	solet	5	1	0.1056	62.5132	16	1.5
16	iudex	5	1	0.1056	62.6188	16	1.5
16	illi	4	1	0.1056	62.7244	16	1.5
16	persuadere	10	1	0.1056	62.83	16	1.5
16	potueris	8	1	0.1056	62.9356	16	1.5
16	facile	6	1	0.1056	63.0412	16	1.5
16	demiror	7	1	0.1056	63.1468	16	1.5
16	amo	3	1	0.1056	63.2524	16	1.5
16	merito	6	1	0.1056	63.358	16	1.5
16	sis	3	1	0.1056	63.4636	16	1.5
16	accusandu	9	1	0.1056	63.5692	16	1.5
16	extrudis	8	1	0.1056	63.6748	16	1.5
16	archonidi	9	1	0.1056	63.7804	16	1.5
16	famam	5	1	0.1056	63.886	16	1.5
16	amorem	6	1	0.1056	63.9916	16	1.5
16	meum	4	1	0.1056	64.0971	16	1.5
16	ducendast	9	1	0.1056	64.2027	16	1.5
16	egomet	6	1	0.1056	64.3083	16	1.5
16	ago	3	1	0.1056	64.4139	16	1.5
16	dixti	5	1	0.1056	64.5195	16	1.5
16	reperi	6	1	0.1056	64.6251	16	1.5
16	propemodum	10	1	0.1056	64.7307	16	1.5
16	aliquid	7	1	0.1056	64.8363	16	1.5
