rank	word	wordlength	count	frequenz(count*100/22)	sum frequenz	zipf(rank*count)	zipf(max/rank)
1	est	3	2	9.0909	9.0909	2	2
2	sic	3	1	4.5455	13.6364	2	1
2	mutum	5	1	4.5455	18.1818	2	1
2	rem	3	1	4.5455	22.7273	2	1
2	ob	2	1	4.5455	27.2727	2	1
2	quam	4	1	4.5455	31.8182	2	1
2	rei	3	1	4.5455	36.3636	2	1
2	quid	4	1	4.5455	40.9091	2	1
2	volt	4	1	4.5455	45.4545	2	1
2	me	2	1	4.5455	50	2	1
2	secum	5	1	4.5455	54.5455	2	1
2	quis	4	1	4.5455	59.0909	2	1
2	ducunt	6	1	4.5455	63.6364	2	1
2	gregem	6	1	4.5455	68.1818	2	1
2	ancillarum	10	1	4.5455	72.7273	2	1
2	sunt	4	1	4.5455	77.2727	2	1
2	inpeditae	9	1	4.5455	81.8182	2	1
2	adeo	4	1	4.5455	86.3636	2	1
2	mirum	5	1	4.5455	90.9091	2	1
2	minime	6	1	4.5455	95.4545	2	1
2	dices	5	1	4.5455	100	2	1
