rank	word	wordlength	count	frequency(count*100/1161)	sum frequency	zipf(rank*count)	zipf(max/rank)
1	me	2	26	2.2394	2.2394	26	26
2	te	2	23	1.9811	4.2205	46	13
3	chreme	6	16	1.3781	5.5986	48	8.7
3	quid	4	16	1.3781	6.9767	48	8.7
3	et	2	16	1.3781	8.3549	48	8.7
3	non	3	16	1.3781	9.733	48	8.7
3	ut	2	16	1.3781	11.1111	48	8.7
4	id	2	15	1.292	12.4031	60	6.5
5	est	3	14	1.2059	13.609	70	5.2
6	quod	4	13	1.1197	14.7287	78	4.3
6	in	2	13	1.1197	15.8484	78	4.3
7	mihi	4	11	0.9475	16.7959	77	3.7
8	esse	4	10	0.8613	17.6572	80	3.3
8	ita	3	10	0.8613	18.5185	80	3.3
8	ego	3	10	0.8613	19.3798	80	3.3
9	quam	4	8	0.6891	20.0689	72	2.9
10	ad	2	7	0.6029	20.6718	70	2.6
10	tibi	4	7	0.6029	21.2748	70	2.6
10	haec	4	7	0.6029	21.8777	70	2.6
10	rem	3	7	0.6029	22.4806	70	2.6
11	nil	3	6	0.5168	22.9974	66	2.4
11	sed	3	6	0.5168	23.5142	66	2.4
11	si	2	6	0.5168	24.031	66	2.4
11	nunc	4	6	0.5168	24.5478	66	2.4
11	istuc	5	6	0.5168	25.0646	66	2.4
11	ubi	3	6	0.5168	25.5814	66	2.4
11	qui	3	6	0.5168	26.0982	66	2.4
11	nisi	4	6	0.5168	26.615	66	2.4
11	atque	5	6	0.5168	27.1318	66	2.4
11	iam	3	6	0.5168	27.6486	66	2.4
12	facere	6	5	0.4307	28.0792	60	2.2
12	hic	3	5	0.4307	28.5099	60	2.2
12	mage	4	5	0.4307	28.9406	60	2.2
12	omnia	5	5	0.4307	29.3712	60	2.2
12	ille	4	5	0.4307	29.8019	60	2.2
12	aut	3	5	0.4307	30.2326	60	2.2
12	faciam	6	5	0.4307	30.6632	60	2.2
12	dum	3	5	0.4307	31.0939	60	2.2
12	hoc	3	5	0.4307	31.5245	60	2.2
13	nec	3	4	0.3445	31.8691	52	2
13	ex	2	4	0.3445	32.2136	52	2
13	cupio	5	4	0.3445	32.5581	52	2
13	ipsum	5	4	0.3445	32.9027	52	2
13	volo	4	4	0.3445	33.2472	52	2
13	sum	3	4	0.3445	33.5917	52	2
13	ac	2	4	0.3445	33.9363	52	2
13	res	3	4	0.3445	34.2808	52	2
13	illi	4	4	0.3445	34.6253	52	2
13	tu	2	4	0.3445	34.9699	52	2
13	quidem	6	4	0.3445	35.3144	52	2
13	ob	2	4	0.3445	35.6589	52	2
13	nam	3	4	0.3445	36.0034	52	2
13	de	2	4	0.3445	36.348	52	2
13	re	2	4	0.3445	36.6925	52	2
14	clinia	6	3	0.2584	36.9509	42	1.9
14	uti	3	3	0.2584	37.2093	42	1.9
14	sunt	4	3	0.2584	37.4677	42	1.9
