rank	word	wordlength	count	frequency(count*100/328)	sum frequency	zipf(rank*count)	zipf(max/rank)
1	in	2	5	1.5244	1.5244	5	5
1	quam	4	5	1.5244	3.0488	5	5
1	esse	4	5	1.5244	4.5732	5	5
1	qui	3	5	1.5244	6.0976	5	5
2	id	2	4	1.2195	7.3171	8	2.5
2	vostrum	7	4	1.2195	8.5366	8	2.5
2	et	2	4	1.2195	9.7561	8	2.5
2	me	2	4	1.2195	10.9756	8	2.5
2	quod	4	4	1.2195	12.1951	8	2.5
3	se	2	3	0.9146	13.1098	9	1.7
3	seni	4	3	0.9146	14.0244	9	1.7
3	est	3	3	0.9146	14.939	9	1.7
3	ne	2	3	0.9146	15.8537	9	1.7
3	ad	2	3	0.9146	16.7683	9	1.7
3	ut	2	3	0.9146	17.6829	9	1.7
3	nunc	4	3	0.9146	18.5976	9	1.7
3	quae	4	3	0.9146	19.5122	9	1.7
4	date	4	2	0.6098	20.122	8	1.3
4	hic	3	2	0.6098	20.7317	8	1.3
4	exemplum	8	2	0.6098	21.3415	8	1.3
4	animum	6	2	0.6098	21.9512	8	1.3
4	partem	6	2	0.6098	22.561	8	1.3
4	mihi	4	2	0.6098	23.1707	8	1.3
4	sibi	4	2	0.6098	23.7805	8	1.3
4	fecit	5	2	0.6098	24.3902	8	1.3
4	si	2	2	0.6098	25	8	1.3
4	novas	5	2	0.6098	25.6098	8	1.3
4	ille	4	2	0.6098	26.2195	8	1.3
4	copiam	6	2	0.6098	26.8293	8	1.3
4	sit	3	2	0.6098	27.439	8	1.3
4	ex	2	2	0.6098	28.0488	8	1.3
4	facit	5	2	0.6098	28.6585	8	1.3
4	quor	4	2	0.6098	29.2683	8	1.3
4	partis	6	2	0.6098	29.878	8	1.3
4	poeta	5	2	0.6098	30.4878	8	1.3
4	oratio	6	2	0.6098	31.0976	8	1.3
4	possit	6	2	0.6098	31.7073	8	1.3
4	nam	3	2	0.6098	32.3171	8	1.3
4	deinde	6	2	0.6098	32.9268	8	1.3
4	non	3	2	0.6098	33.5366	8	1.3
4	graeca	6	2	0.6098	34.1463	8	1.3
4	hanc	4	2	0.6098	34.7561	8	1.3
4	servo	5	2	0.6098	35.3659	8	1.3
4	sum	3	2	0.6098	35.9756	8	1.3
5	liceat	6	1	0.3049	36.2805	5	1
5	animo	5	1	0.3049	36.5854	5	1
5	potestatem	10	1	0.3049	36.8902	5	1
5	silentium	9	1	0.3049	37.1951	5	1
5	currens	7	1	0.3049	37.5	5	1
5	edax	4	1	0.3049	37.8049	5	1
5	agere	5	1	0.3049	38.1098	5	1
5	senex	5	1	0.3049	38.4146	5	1
5	statariam	9	1	0.3049	38.7195	5	1
5	per	3	1	0.3049	39.0244	5	1
5	iratus	6	1	0.3049	39.3293	5	1
5	semper	6	1	0.3049	39.6341	5	1
5	plura	5	1	0.3049	39.939	5	1
5	aequo	5	1	0.3049	40.2439	5	1
5	populum	7	1	0.3049	40.5488	5	1
5	novarum	7	1	0.3049	40.8537	5	1
5	spectandi	9	1	0.3049	41.1585	5	1
5	faciunt	7	1	0.3049	41.4634	5	1
5	sine	4	1	0.3049	41.7683	5	1
5	vitiis	6	1	0.3049	42.0732	5	1
5	pro	3	1	0.3049	42.378	5	1
5	dictum	6	1	0.3049	42.6829	5	1
5	existumet	9	1	0.3049	42.9878	5	1
5	nuper	5	1	0.3049	43.2927	5	1
5	currenti	8	1	0.3049	43.5976	5	1
5	via	3	1	0.3049	43.9024	5	1
5	decesse	7	1	0.3049	44.2073	5	1
5	insano	6	1	0.3049	44.5122	5	1
5	adeste	6	1	0.3049	44.8171	5	1
5	serviat	7	1	0.3049	45.122	5	1
5	de	2	1	0.3049	45.4268	5	1
5	illius	6	1	0.3049	45.7317	5	1
5	peccatis	8	1	0.3049	46.0366	5	1
5	sycophanta	10	1	0.3049	46.3415	5	1
5	dicet	5	1	0.3049	46.6463	5	1
5	quom	4	1	0.3049	46.9512	5	1
5	dabit	5	1	0.3049	47.2561	5	1
5	alias	5	1	0.3049	47.561	5	1
5	nisi	4	1	0.3049	47.8659	5	1
5	finem	5	1	0.3049	48.1707	5	1
5	maledictis	10	1	0.3049	48.4756	5	1
5	parasitu	8	1	0.3049	48.7805	5	1
5	nequoi	6	1	0.3049	49.0854	5	1
5	autem	5	1	0.3049	49.3902	5	1
5	meae	4	1	0.3049	49.6951	5	1
5	pura	4	1	0.3049	50	5	1
5	experimini	10	1	0.3049	50.3049	5	1
5	utramque	8	1	0.3049	50.6098	5	1
5	ingenium	8	1	0.3049	50.9146	5	1
5	quid	4	1	0.3049	51.2195	5	1
5	meum	4	1	0.3049	51.5244	5	1
5	numquam	7	1	0.3049	51.8293	5	1
5	avare	5	1	0.3049	52.1341	5	1
5	pretium	7	1	0.3049	52.439	5	1
5	statui	6	1	0.3049	52.7439	5	1
5	arti	4	1	0.3049	53.0488	5	1
5	eum	3	1	0.3049	53.3537	5	1
5	gregem	6	1	0.3049	53.6585	5	1
5	quaestum	8	1	0.3049	53.9634	5	1
5	induxi	6	1	0.3049	54.2683	5	1
5	maxumum	7	1	0.3049	54.5732	5	1
5	maxume	6	1	0.3049	54.878	5	1
5	servire	7	1	0.3049	55.1829	5	1
5	vostris	7	1	0.3049	55.4878	5	1
5	commodis	8	1	0.3049	55.7927	5	1
5	statuite	8	1	0.3049	56.0976	5	1
5	adulescentuli	13	1	0.3049	56.4024	5	1
5	vobis	5	1	0.3049	56.7073	5	1
5	placere	7	1	0.3049	57.0122	5	1
5	studeant	8	1	0.3049	57.3171	5	1
5	hac	3	1	0.3049	57.622	5	1
5	defertur	8	1	0.3049	57.9268	5	1
5	inpudens	8	1	0.3049	58.2317	5	1
5	causam	6	1	0.3049	58.5366	5	1
5	avaru	5	1	0.3049	58.8415	5	1
5	leno	4	1	0.3049	59.1463	5	1
5	adsidue	7	1	0.3049	59.4512	5	1
5	agendi	6	1	0.3049	59.7561	5	1
5	sint	4	1	0.3049	60.061	5	1
5	clamore	7	1	0.3049	60.3659	5	1
5	summo	5	1	0.3049	60.6707	5	1
5	cum	3	1	0.3049	60.9756	5	1
5	labore	6	1	0.3049	61.2805	5	1
5	mea	3	1	0.3049	61.5854	5	1
5	causa	5	1	0.3049	61.8902	5	1
5	iustam	6	1	0.3049	62.1951	5	1
5	alium	5	1	0.3049	62.5	5	1
5	inducite	8	1	0.3049	62.8049	5	1
5	aliqua	6	1	0.3049	63.1098	5	1
5	pars	4	1	0.3049	63.4146	5	1
5	labori	6	1	0.3049	63.7195	5	1
5	minuatur	8	1	0.3049	64.0244	5	1
5	scribunt	8	1	0.3049	64.3293	5	1
5	nil	3	1	0.3049	64.6341	5	1
5	parcunt	7	1	0.3049	64.939	5	1
5	siquae	6	1	0.3049	65.2439	5	1
5	laboriosast	11	1	0.3049	65.5488	5	1
5	curritur	8	1	0.3049	65.8537	5	1
5	lenis	5	1	0.3049	66.1585	5	1
5	maxumo	6	1	0.3049	66.4634	5	1
5	vostra	6	1	0.3049	66.7683	5	1
5	crescendi	9	1	0.3049	67.0732	5	1
5	iudicium	8	1	0.3049	67.378	5	1
5	dicerem	7	1	0.3049	67.6829	5	1
5	ob	2	1	0.3049	67.9878	5	1
5	rem	3	1	0.3049	68.2927	5	1
5	has	3	1	0.3049	68.5976	5	1
5	didicerim	9	1	0.3049	68.9024	5	1
5	paucis	6	1	0.3049	69.2073	5	1
5	dabo	4	1	0.3049	69.5122	5	1
5	oratorem	8	1	0.3049	69.8171	5	1
5	voluit	6	1	0.3049	70.122	5	1
5	prologum	8	1	0.3049	70.4268	5	1
5	actorem	7	1	0.3049	70.7317	5	1
5	existumarem	11	1	0.3049	71.0366	5	1
5	dedit	5	1	0.3049	71.3415	5	1
5	sed	3	1	0.3049	71.6463	5	1
5	actor	5	1	0.3049	71.9512	5	1
5	tantum	6	1	0.3049	72.2561	5	1
5	poterit	7	1	0.3049	72.561	5	1
5	a	1	1	0.3049	72.8659	5	1
5	facundia	8	1	0.3049	73.1707	5	1
5	quantum	7	1	0.3049	73.4756	5	1
5	potuit	6	1	0.3049	73.7805	5	1
5	cogitare	8	1	0.3049	74.0854	5	1
5	commode	7	1	0.3049	74.3902	5	1
5	scire	5	1	0.3049	74.6951	5	1
5	maxumam	7	1	0.3049	75	5	1
5	scripsit	8	1	0.3049	75.3049	5	1
5	hodie	5	1	0.3049	75.6098	5	1
5	mirum	5	1	0.3049	75.9146	5	1
5	dederit	7	1	0.3049	76.2195	5	1
5	sunt	4	1	0.3049	76.5244	5	1
5	adulescentium	13	1	0.3049	76.8293	5	1
5	primum	6	1	0.3049	77.1341	5	1
5	dicam	5	1	0.3049	77.439	5	1
5	veni	4	1	0.3049	77.7439	5	1
5	eloquar	7	1	0.3049	78.0488	5	1
5	integra	7	1	0.3049	78.3537	5	1
5	integram	8	1	0.3049	78.6585	5	1
5	comoediam	9	1	0.3049	78.9634	5	1
5	acturus	7	1	0.3049	79.2683	5	1
5	ni	2	1	0.3049	79.5732	5	1
5	heauton	7	1	0.3049	79.878	5	1
5	timorumenon	11	1	0.3049	80.1829	5	1
5	duplex	6	1	0.3049	80.4878	5	1
5	argumento	9	1	0.3049	80.7927	5	1
5	facta	5	1	0.3049	81.0976	5	1
5	simplici	8	1	0.3049	81.4024	5	1
5	novam	5	1	0.3049	81.7073	5	1
5	ostendi	7	1	0.3049	82.0122	5	1
5	esset	5	1	0.3049	82.3171	5	1
5	scripserit	10	1	0.3049	82.622	5	1
5	quoia	5	1	0.3049	82.9268	5	1
5	orationem	9	1	0.3049	83.2317	5	1
5	dicturu	7	1	0.3049	83.5366	5	1
5	siti	4	1	0.3049	83.8415	5	1
5	arbitrium	9	1	0.3049	84.1463	5	1
5	studium	7	1	0.3049	84.4512	5	1
5	hunc	4	1	0.3049	84.7561	5	1
5	adplicasse	10	1	0.3049	85.061	5	1
5	musicum	7	1	0.3049	85.3659	5	1
5	amicum	6	1	0.3049	85.6707	5	1
5	ingenio	7	1	0.3049	85.9756	5	1
5	fretum	6	1	0.3049	86.2805	5	1
5	haud	4	1	0.3049	86.5854	5	1
