rank	word	wordlength	count	frequency(count*100/371)	sum frequency	zipf(rank*count)	zipf(max/rank)
1	mi	2	9	2.4259	2.4259	9	9
1	te	2	9	2.4259	4.8518	9	9
2	me	2	8	2.1563	7.0081	16	4.5
3	ut	2	7	1.8868	8.8949	21	3
4	si	2	6	1.6173	10.5121	24	2.3
5	obsecro	7	5	1.3477	11.8598	25	1.8
5	est	3	5	1.3477	13.2075	25	1.8
5	ex	2	5	1.3477	14.5553	25	1.8
5	ego	3	5	1.3477	15.903	25	1.8
6	in	2	4	1.0782	16.9811	24	1.5
6	ne	2	4	1.0782	18.0593	24	1.5
6	et	2	4	1.0782	19.1375	24	1.5
6	esse	4	4	1.0782	20.2156	24	1.5
6	hic	3	4	1.0782	21.2938	24	1.5
6	vir	3	4	1.0782	22.372	24	1.5
6	mihi	4	4	1.0782	23.4501	24	1.5
6	chreme	6	4	1.0782	24.5283	24	1.5
7	de	2	3	0.8086	25.3369	21	1.3
7	atque	5	3	0.8086	26.1456	21	1.3
7	istuc	5	3	0.8086	26.9542	21	1.3
7	quam	4	3	0.8086	27.7628	21	1.3
7	hoc	3	3	0.8086	28.5714	21	1.3
7	non	3	3	0.8086	29.3801	21	1.3
7	nescio	6	3	0.8086	30.1887	21	1.3
7	nisi	4	3	0.8086	30.9973	21	1.3
7	tibi	4	3	0.8086	31.8059	21	1.3
8	mali	4	2	0.5391	32.345	16	1.1
8	ea	2	2	0.5391	32.8841	16	1.1
8	tuom	4	2	0.5391	33.4232	16	1.1
8	anulus	6	2	0.5391	33.9623	16	1.1
8	ita	3	2	0.5391	34.5013	16	1.1
8	gnate	5	2	0.5391	35.0404	16	1.1
8	tu	2	2	0.5391	35.5795	16	1.1
8	sed	3	2	0.5391	36.1186	16	1.1
8	is	2	2	0.5391	36.6577	16	1.1
8	primum	6	2	0.5391	37.1968	16	1.1
8	feci	4	2	0.5391	37.7358	16	1.1
8	peccavi	7	2	0.5391	38.2749	16	1.1
8	nunc	4	2	0.5391	38.814	16	1.1
8	aliquid	7	2	0.5391	39.3531	16	1.1
8	re	2	2	0.5391	39.8922	16	1.1
8	sit	3	2	0.5391	40.4313	16	1.1
8	qui	3	2	0.5391	40.9704	16	1.1
8	es	2	2	0.5391	41.5094	16	1.1
8	exponendam	10	2	0.5391	42.0485	16	1.1
8	quid	4	2	0.5391	42.5876	16	1.1
8	animum	6	2	0.5391	43.1267	16	1.1
8	dabo	4	2	0.5391	43.6658	16	1.1
8	faciet	6	2	0.5391	44.2049	16	1.1
8	animu	5	2	0.5391	44.7439	16	1.1
8	sis	3	2	0.5391	45.283	16	1.1
8	ad	2	2	0.5391	45.8221	16	1.1
8	quod	4	2	0.5391	46.3612	16	1.1
8	modo	4	2	0.5391	46.9003	16	1.1
9	quo	3	1	0.2695	47.1698	9	1
9	filiam	6	1	0.2695	47.4394	9	1
9	adeo	4	1	0.2695	47.7089	9	1
9	potis	5	1	0.2695	47.9784	9	1
9	miror	5	1	0.2695	48.248	9	1
9	habuerit	8	1	0.2695	48.5175	9	1
9	hunc	4	1	0.2695	48.7871	9	1
9	praeter	7	1	0.2695	49.0566	9	1
9	tam	3	1	0.2695	49.3261	9	1
9	ineptum	7	1	0.2695	49.5957	9	1
9	quicquam	8	1	0.2695	49.8652	9	1
9	reperiri	8	1	0.2695	50.1348	9	1
9	venire	6	1	0.2695	50.4043	9	1
9	mentem	6	1	0.2695	50.6739	9	1
9	potuerit	8	1	0.2695	50.9434	9	1
9	unde	4	1	0.2695	51.2129	9	1
9	idque	5	1	0.2695	51.4825	9	1
9	gnato	5	1	0.2695	51.752	9	1
9	conficies	9	1	0.2695	52.0216	9	1
9	oh	2	1	0.2695	52.2911	9	1
9	spem	4	1	0.2695	52.5606	9	1
9	evenit	6	1	0.2695	52.8302	9	1
9	timui	5	1	0.2695	53.0997	9	1
9	nostri	6	1	0.2695	53.3693	9	1
9	iusseram	8	1	0.2695	53.6388	9	1
9	male	4	1	0.2695	53.9084	9	1
9	animo	5	1	0.2695	54.1779	9	1
9	id	2	1	0.2695	54.4474	9	1
9	esses	5	1	0.2695	54.717	9	1
9	philterae	9	1	0.2695	54.9865	9	1
9	duro	4	1	0.2695	55.2561	9	1
9	phanocratae	11	1	0.2695	55.5256	9	1
9	olim	4	1	0.2695	55.7951	9	1
9	tollendo	8	1	0.2695	56.0647	9	1
9	profecto	8	1	0.2695	56.3342	9	1
9	caves	5	1	0.2695	56.6038	9	1
9	aliam	5	1	0.2695	56.8733	9	1
9	fecisse	7	1	0.2695	57.1429	9	1
9	homo	4	1	0.2695	57.4124	9	1
9	dubitas	7	1	0.2695	57.6819	9	1
9	ames	4	1	0.2695	57.9515	9	1
9	iniquos	7	1	0.2695	58.221	9	1
9	omnia	5	1	0.2695	58.4906	9	1
9	illam	5	1	0.2695	58.7601	9	1
9	miseram	7	1	0.2695	59.0296	9	1
9	hoccin	6	1	0.2695	59.2992	9	1
9	quaesisti	9	1	0.2695	59.5687	9	1
