rank	word	wordlength	count	frequenz(count*100/8720)	sum frequenz	zipf(rank*count)	zipf(max/rank)
1	quid	4	149	1.7087	1.7087	149	149
2	me	2	132	1.5138	3.2225	264	74.5
3	ut	2	125	1.4335	4.656	375	49.7
4	te	2	112	1.2844	5.9404	448	37.3
4	est	3	112	1.2844	7.2248	448	37.3
4	non	3	112	1.2844	8.5092	448	37.3
5	et	2	108	1.2385	9.7477	540	29.8
6	in	2	90	1.0321	10.7798	540	24.8
7	esse	4	89	1.0206	11.8005	623	21.3
8	quod	4	86	0.9862	12.7867	688	18.6
9	quam	4	80	0.9174	13.7041	720	16.6
10	si	2	74	0.8486	14.5528	740	14.9
11	ego	3	73	0.8372	15.3899	803	13.5
11	nunc	4	73	0.8372	16.2271	803	13.5
12	mihi	4	71	0.8142	17.0413	852	12.4
13	tibi	4	68	0.7798	17.8211	884	11.5
14	id	2	63	0.7225	18.5436	882	10.6
15	ad	2	56	0.6422	19.1858	840	9.9
16	hoc	3	49	0.5619	19.7477	784	9.3
17	tu	2	48	0.5505	20.2982	816	8.8
17	nam	3	48	0.5505	20.8486	816	8.8
17	qui	3	48	0.5505	21.3991	816	8.8
18	hic	3	45	0.5161	21.9151	810	8.3
19	ne	2	44	0.5046	22.4197	836	7.8
20	haec	4	43	0.4931	22.9128	860	7.5
21	iam	3	40	0.4587	23.3716	840	7.1
21	ita	3	40	0.4587	23.8303	840	7.1
22	atque	5	39	0.4472	24.2775	858	6.8
23	sed	3	38	0.4358	24.7133	874	6.5
23	nil	3	38	0.4358	25.1491	874	6.5
23	quae	4	38	0.4358	25.5849	874	6.5
24	istuc	5	35	0.4014	25.9862	840	6.2
25	ex	2	33	0.3784	26.3647	825	6
26	mi	2	32	0.367	26.7317	832	5.7
27	rem	3	31	0.3555	27.0872	837	5.5
27	syre	4	31	0.3555	27.4427	837	5.5
28	ubi	3	29	0.3326	27.7752	812	5.3
29	at	2	28	0.3211	28.0963	812	5.1
30	dum	3	27	0.3096	28.406	810	5
30	aut	3	27	0.3096	28.7156	810	5
30	sit	3	27	0.3096	29.0252	810	5
30	de	2	27	0.3096	29.3349	810	5
31	res	3	26	0.2982	29.633	806	4.8
31	chreme	6	26	0.2982	29.9312	806	4.8
31	neque	5	26	0.2982	30.2294	806	4.8
32	illi	4	25	0.2867	30.5161	800	4.7
33	faciam	6	24	0.2752	30.7913	792	4.5
34	quom	4	23	0.2638	31.055	782	4.4
34	quo	3	23	0.2638	31.3188	782	4.4
34	se	2	23	0.2638	31.5826	782	4.4
34	ea	2	23	0.2638	31.8463	782	4.4
35	tam	3	22	0.2523	32.0986	770	4.3
36	sunt	4	21	0.2408	32.3394	756	4.1
36	verum	5	21	0.2408	32.5803	756	4.1
37	re	2	20	0.2294	32.8096	740	4
37	pater	5	20	0.2294	33.039	740	4
37	nisi	4	20	0.2294	33.2683	740	4
38	mea	3	19	0.2179	33.4862	722	3.9
38	illum	5	19	0.2179	33.7041	722	3.9
38	immo	4	19	0.2179	33.922	722	3.9
39	facere	6	18	0.2064	34.1284	702	3.8
39	modo	4	18	0.2064	34.3349	702	3.8
39	nos	3	18	0.2064	34.5413	702	3.8
39	clinia	6	18	0.2064	34.7477	702	3.8
39	apud	4	18	0.2064	34.9541	702	3.8
40	clitipho	8	17	0.195	35.1491	680	3.7
40	hanc	4	17	0.195	35.344	680	3.7
40	omnia	5	17	0.195	35.539	680	3.7
40	ac	2	17	0.195	35.7339	680	3.7
40	ob	2	17	0.195	35.9289	680	3.7
40	scio	4	17	0.195	36.1239	680	3.7
41	hunc	4	16	0.1835	36.3073	656	3.6
41	sic	3	16	0.1835	36.4908	656	3.6
41	a	1	16	0.1835	36.6743	656	3.6
41	ei	2	16	0.1835	36.8578	656	3.6
41	nec	3	16	0.1835	37.0413	656	3.6
41	es	2	16	0.1835	37.2248	656	3.6
41	sum	3	16	0.1835	37.4083	656	3.6
42	ille	4	15	0.172	37.5803	630	3.5
42	eius	4	15	0.172	37.7523	630	3.5
42	vis	3	15	0.172	37.9243	630	3.5
42	siet	4	15	0.172	38.0963	630	3.5
42	hinc	4	15	0.172	38.2683	630	3.5
42	quidem	6	15	0.172	38.4404	630	3.5
42	animum	6	15	0.172	38.6124	630	3.5
42	hac	3	15	0.172	38.7844	630	3.5
42	quaeso	6	15	0.172	38.9564	630	3.5
42	cum	3	15	0.172	39.1284	630	3.5
42	hercle	6	15	0.172	39.3005	630	3.5
42	sibi	4	15	0.172	39.4725	630	3.5
43	quin	4	14	0.1606	39.633	602	3.5
43	tum	3	14	0.1606	39.7936	602	3.5
43	di	2	14	0.1606	39.9541	602	3.5
43	tamen	5	14	0.1606	40.1147	602	3.5
43	eum	3	14	0.1606	40.2752	602	3.5
43	tua	3	14	0.1606	40.4358	602	3.5
43	etiam	5	14	0.1606	40.5963	602	3.5
43	obsecro	7	14	0.1606	40.7569	602	3.5
43	argentum	8	14	0.1606	40.9174	602	3.5
43	dicam	5	14	0.1606	41.078	602	3.5
44	huic	4	13	0.1491	41.2271	572	3.4
44	an	2	13	0.1491	41.3761	572	3.4
44	filium	6	13	0.1491	41.5252	572	3.4
44	adeo	4	13	0.1491	41.6743	572	3.4
44	illa	4	13	0.1491	41.8234	572	3.4
45	perii	5	12	0.1376	41.961	540	3.3
45	haud	4	12	0.1376	42.0986	540	3.3
45	sine	4	12	0.1376	42.2362	540	3.3
45	volo	4	12	0.1376	42.3739	540	3.3
45	primum	6	12	0.1376	42.5115	540	3.3
45	uti	3	12	0.1376	42.6491	540	3.3
45	video	5	12	0.1376	42.7867	540	3.3
45	quoque	6	12	0.1376	42.9243	540	3.3
45	amicam	6	12	0.1376	43.0619	540	3.3
45	factum	6	12	0.1376	43.1995	540	3.3
46	fuit	4	11	0.1261	43.3257	506	3.2
46	tuom	4	11	0.1261	43.4518	506	3.2
46	ipsum	5	11	0.1261	43.578	506	3.2
46	una	3	11	0.1261	43.7041	506	3.2
46	menedeme	8	11	0.1261	43.8303	506	3.2
46	is	2	11	0.1261	43.9564	506	3.2
46	illam	5	11	0.1261	44.0826	506	3.2
46	causa	5	11	0.1261	44.2087	506	3.2
46	animo	5	11	0.1261	44.3349	506	3.2
46	recte	5	11	0.1261	44.461	506	3.2
47	esset	5	10	0.1147	44.5757	470	3.2
47	fieri	5	10	0.1147	44.6904	470	3.2
47	aequom	6	10	0.1147	44.805	470	3.2
47	mage	4	10	0.1147	44.9197	470	3.2
47	dic	3	10	0.1147	45.0344	470	3.2
47	nescio	6	10	0.1147	45.1491	470	3.2
47	sati	4	10	0.1147	45.2638	470	3.2
47	patrem	6	10	0.1147	45.3784	470	3.2
47	filiam	6	10	0.1147	45.4931	470	3.2
47	sis	3	10	0.1147	45.6078	470	3.2
47	dare	4	10	0.1147	45.7225	470	3.2
47	volt	4	10	0.1147	45.8372	470	3.2
48	erat	4	9	0.1032	45.9404	432	3.1
48	pro	3	9	0.1032	46.0436	432	3.1
48	hodie	5	9	0.1032	46.1468	432	3.1
48	vero	4	9	0.1032	46.25	432	3.1
48	hem	3	9	0.1032	46.3532	432	3.1
48	tuam	4	9	0.1032	46.4564	432	3.1
48	meum	4	9	0.1032	46.5596	432	3.1
48	quem	4	9	0.1032	46.6628	432	3.1
48	plus	4	9	0.1032	46.7661	432	3.1
48	aliquid	7	9	0.1032	46.8693	432	3.1
48	mane	4	9	0.1032	46.9725	432	3.1
48	senex	5	9	0.1032	47.0757	432	3.1
48	vide	4	9	0.1032	47.1789	432	3.1
48	maxume	6	9	0.1032	47.2821	432	3.1
48	equidem	7	9	0.1032	47.3853	432	3.1
48	ilico	5	9	0.1032	47.4885	432	3.1
48	age	3	9	0.1032	47.5917	432	3.1
48	huc	3	9	0.1032	47.695	432	3.1
48	intro	5	9	0.1032	47.7982	432	3.1
49	vah	3	8	0.0917	47.8899	392	3
49	credo	5	8	0.0917	47.9817	392	3
49	o	1	8	0.0917	48.0734	392	3
49	quasi	5	8	0.0917	48.1651	392	3
49	inquam	6	8	0.0917	48.2569	392	3
49	numquam	7	8	0.0917	48.3486	392	3
49	quoi	4	8	0.0917	48.4404	392	3
49	loquere	7	8	0.0917	48.5321	392	3
49	idem	4	8	0.0917	48.6239	392	3
49	vel	3	8	0.0917	48.7156	392	3
49	ah	2	8	0.0917	48.8073	392	3
49	quicquam	8	8	0.0917	48.8991	392	3
49	nequid	6	8	0.0917	48.9908	392	3
49	eo	2	8	0.0917	49.0826	392	3
49	uxorem	6	8	0.0917	49.1743	392	3
49	sane	4	8	0.0917	49.2661	392	3
49	quantum	7	8	0.0917	49.3578	392	3
49	huiu	4	8	0.0917	49.4495	392	3
49	per	3	8	0.0917	49.5413	392	3
49	dixi	4	8	0.0917	49.633	392	3
49	abs	3	8	0.0917	49.7248	392	3
50	animu	5	7	0.0803	49.805	350	3
50	fit	3	7	0.0803	49.8853	350	3
50	semper	6	7	0.0803	49.9656	350	3
50	meo	3	7	0.0803	50.0459	350	3
50	bona	4	7	0.0803	50.1261	350	3
50	porro	5	7	0.0803	50.2064	350	3
50	operam	6	7	0.0803	50.2867	350	3
50	magis	5	7	0.0803	50.367	350	3
50	eam	3	7	0.0803	50.4472	350	3
50	facias	6	7	0.0803	50.5275	350	3
50	istic	5	7	0.0803	50.6078	350	3
50	domi	4	7	0.0803	50.6881	350	3
50	vos	3	7	0.0803	50.7683	350	3
50	dico	4	7	0.0803	50.8486	350	3
50	erit	4	7	0.0803	50.9289	350	3
50	tantum	6	7	0.0803	51.0092	350	3
50	interea	7	7	0.0803	51.0894	350	3
50	ipsa	4	7	0.0803	51.1697	350	3
50	scilicet	8	7	0.0803	51.25	350	3
50	enim	4	7	0.0803	51.3303	350	3
50	fiat	4	7	0.0803	51.4106	350	3
50	ab	2	7	0.0803	51.4908	350	3
50	etsi	4	7	0.0803	51.5711	350	3
50	illo	4	7	0.0803	51.6514	350	3
50	illud	5	7	0.0803	51.7317	350	3
50	miror	5	7	0.0803	51.8119	350	3
50	rerum	5	7	0.0803	51.8922	350	3
50	ibo	3	7	0.0803	51.9725	350	3
51	possum	6	6	0.0688	52.0413	306	2.9
51	illis	5	6	0.0688	52.1101	306	2.9
51	abi	3	6	0.0688	52.1789	306	2.9
51	omnes	5	6	0.0688	52.2477	306	2.9
51	ergo	4	6	0.0688	52.3165	306	2.9
51	ancillas	8	6	0.0688	52.3853	306	2.9
51	miserum	7	6	0.0688	52.4541	306	2.9
51	num	3	6	0.0688	52.5229	306	2.9
51	facile	6	6	0.0688	52.5917	306	2.9
51	praeter	7	6	0.0688	52.6606	306	2.9
51	intellego	9	6	0.0688	52.7294	306	2.9
