rank	word	wordlength	count	frequency(count*100/549)	sum frequency	zipf(rank*count)	zipf(max/rank)
1	me	2	15	2.7322	2.7322	15	15
2	quod	4	9	1.6393	4.3716	18	7.5
2	est	3	9	1.6393	6.0109	18	7.5
3	ut	2	8	1.4572	7.4681	24	5
4	hoc	3	6	1.0929	8.561	24	3.8
4	nam	3	6	1.0929	9.6539	24	3.8
4	et	2	6	1.0929	10.7468	24	3.8
4	se	2	6	1.0929	11.8397	24	3.8
4	mi	2	6	1.0929	12.9326	24	3.8
5	id	2	5	0.9107	13.8434	25	3
5	pol	3	5	0.9107	14.7541	25	3
6	pamphile	8	4	0.7286	15.4827	24	2.5
6	te	2	4	0.7286	16.2113	24	2.5
6	ad	2	4	0.7286	16.9399	24	2.5
6	haec	4	4	0.7286	17.6685	24	2.5
6	qui	3	4	0.7286	18.3971	24	2.5
6	de	2	4	0.7286	19.1257	24	2.5
6	numquam	7	4	0.7286	19.8543	24	2.5
6	in	2	4	0.7286	20.5829	24	2.5
7	quam	4	3	0.5464	21.1293	21	2.1
7	ecastor	7	3	0.5464	21.6758	21	2.1
7	uxorem	6	3	0.5464	22.2222	21	2.1
7	sed	3	3	0.5464	22.7687	21	2.1
7	quid	4	3	0.5464	23.3151	21	2.1
7	si	2	3	0.5464	23.8616	21	2.1
7	ex	2	3	0.5464	24.408	21	2.1
7	anulum	6	3	0.5464	24.9545	21	2.1
7	ego	3	3	0.5464	25.5009	21	2.1
7	illi	4	3	0.5464	26.0474	21	2.1
7	res	3	3	0.5464	26.5938	21	2.1
7	esse	4	3	0.5464	27.1403	21	2.1
7	etiam	5	3	0.5464	27.6867	21	2.1
8	eum	3	2	0.3643	28.051	16	1.9
8	habuisse	8	2	0.3643	28.4153	16	1.9
8	facere	6	2	0.3643	28.7796	16	1.9
8	at	2	2	0.3643	29.1439	16	1.9
8	immo	4	2	0.3643	29.5082	16	1.9
8	fidem	5	2	0.3643	29.8725	16	1.9
8	philumenam	10	2	0.3643	30.2368	16	1.9
8	rem	3	2	0.3643	30.6011	16	1.9
8	dum	3	2	0.3643	30.9654	16	1.9
8	nil	3	2	0.3643	31.3297	16	1.9
8	fecisse	7	2	0.3643	31.694	16	1.9
8	eam	3	2	0.3643	32.0583	16	1.9
8	meretrices	10	2	0.3643	32.4226	16	1.9
8	myrrina	7	2	0.3643	32.7869	16	1.9
8	pamphilo	8	2	0.3643	33.1512	16	1.9
8	a	1	2	0.3643	33.5155	16	1.9
8	hic	3	2	0.3643	33.8798	16	1.9
8	factum	6	2	0.3643	34.2441	16	1.9
8	hodie	5	2	0.3643	34.6084	16	1.9
8	pamphilum	9	2	0.3643	34.9727	16	1.9
8	inde	4	2	0.3643	35.337	16	1.9
8	dic	3	2	0.3643	35.7013	16	1.9
8	eo	2	2	0.3643	36.0656	16	1.9
8	unde	4	2	0.3643	36.4299	16	1.9
