rank	word	wordlength	count	frequency(count*100/1634)	sum frequency	zipf(rank*count)	zipf(max/rank)
1	te	2	33	2.0196	2.0196	33	33
2	ut	2	24	1.4688	3.4884	48	16.5
3	est	3	23	1.4076	4.896	69	11
4	quam	4	19	1.1628	6.0588	76	8.3
4	et	2	19	1.1628	7.2215	76	8.3
5	quid	4	18	1.1016	8.3231	90	6.6
6	quod	4	17	1.0404	9.3635	102	5.5
7	esse	4	16	0.9792	10.3427	112	4.7
7	me	2	16	0.9792	11.3219	112	4.7
8	quae	4	15	0.918	12.2399	120	4.1
8	haec	4	15	0.918	13.1579	120	4.1
8	hoc	3	15	0.918	14.0759	120	4.1
8	mihi	4	15	0.918	14.9939	120	4.1
8	non	3	15	0.918	15.9119	120	4.1
9	si	2	14	0.8568	16.7687	126	3.7
9	nam	3	14	0.8568	17.6255	126	3.7
10	in	2	12	0.7344	18.3599	120	3.3
10	hanc	4	12	0.7344	19.0942	120	3.3
11	tu	2	11	0.6732	19.7674	121	3
11	ad	2	11	0.6732	20.4406	121	3
11	ego	3	11	0.6732	21.1138	121	3
12	id	2	10	0.612	21.7258	120	2.8
12	rem	3	10	0.612	22.3378	120	2.8
12	hic	3	10	0.612	22.9498	120	2.8
12	tibi	4	10	0.612	23.5618	120	2.8
13	uxorem	6	9	0.5508	24.1126	117	2.5
13	sit	3	9	0.5508	24.6634	117	2.5
13	iam	3	9	0.5508	25.2142	117	2.5
13	phidippe	8	9	0.5508	25.765	117	2.5
13	adeo	4	9	0.5508	26.3158	117	2.5
14	atque	5	8	0.4896	26.8054	112	2.4
14	nunc	4	8	0.4896	27.295	112	2.4
15	aut	3	7	0.4284	27.7234	105	2.2
15	se	2	7	0.4284	28.1518	105	2.2
16	pamphile	8	6	0.3672	28.519	96	2.1
16	eam	3	6	0.3672	28.8862	96	2.1
16	nil	3	6	0.3672	29.2534	96	2.1
16	quo	3	6	0.3672	29.6206	96	2.1
16	ob	2	6	0.3672	29.9878	96	2.1
16	es	2	6	0.3672	30.355	96	2.1
16	sed	3	6	0.3672	30.7222	96	2.1
17	video	5	5	0.306	31.0282	85	1.9
17	di	2	5	0.306	31.3341	85	1.9
17	animum	6	5	0.306	31.6401	85	1.9
17	ne	2	5	0.306	31.9461	85	1.9
17	hinc	4	5	0.306	32.2521	85	1.9
17	ex	2	5	0.306	32.5581	85	1.9
17	qui	3	5	0.306	32.8641	85	1.9
17	illam	5	5	0.306	33.1701	85	1.9
17	quia	4	5	0.306	33.4761	85	1.9
17	scio	4	5	0.306	33.7821	85	1.9
17	ita	3	5	0.306	34.0881	85	1.9
17	haud	4	5	0.306	34.3941	85	1.9
17	mi	2	5	0.306	34.7001	85	1.9
17	facere	6	5	0.306	35.0061	85	1.9
17	puerum	6	5	0.306	35.3121	85	1.9
17	quicquam	8	5	0.306	35.6181	85	1.9
17	neque	5	5	0.306	35.9241	85	1.9
18	culpa	5	4	0.2448	36.1689	72	1.8
18	at	2	4	0.2448	36.4137	72	1.8
18	tecum	5	4	0.2448	36.6585	72	1.8
18	facis	5	4	0.2448	36.9033	72	1.8
18	etiam	5	4	0.2448	37.1481	72	1.8
18	vis	3	4	0.2448	37.3929	72	1.8
18	ea	2	4	0.2448	37.6377	72	1.8
18	tua	3	4	0.2448	37.8825	72	1.8
18	iniuriam	8	4	0.2448	38.1273	72	1.8
18	huc	3	4	0.2448	38.3721	72	1.8
18	quom	4	4	0.2448	38.6169	72	1.8
18	quem	4	4	0.2448	38.8617	72	1.8
18	ubi	3	4	0.2448	39.1065	72	1.8
18	clam	4	4	0.2448	39.3513	72	1.8
18	eo	2	4	0.2448	39.5961	72	1.8
18	uxor	4	4	0.2448	39.8409	72	1.8
18	istuc	5	4	0.2448	40.0857	72	1.8
18	an	2	4	0.2448	40.3305	72	1.8
18	de	2	4	0.2448	40.5753	72	1.8
18	causa	5	4	0.2448	40.8201	72	1.8
18	res	3	4	0.2448	41.0649	72	1.8
19	vobis	5	3	0.1836	41.2485	57	1.7
19	sine	4	3	0.1836	41.4321	57	1.7
19	eadem	5	3	0.1836	41.6157	57	1.7
19	mulieres	8	3	0.1836	41.7993	57	1.7
19	ament	5	3	0.1836	41.9829	57	1.7
19	omnes	5	3	0.1836	42.1665	57	1.7
19	vos	3	3	0.1836	42.3501	57	1.7
19	aegre	5	3	0.1836	42.5337	57	1.7
19	is	2	3	0.1836	42.7173	57	1.7
19	esset	5	3	0.1836	42.9009	57	1.7
19	immo	4	3	0.1836	43.0845	57	1.7
19	omnis	5	3	0.1836	43.2681	57	1.7
19	cum	3	3	0.1836	43.4517	57	1.7
19	redeat	6	3	0.1836	43.6353	57	1.7
19	eho	3	3	0.1836	43.8188	57	1.7
19	faciam	6	3	0.1836	44.0024	57	1.7
19	aequom	6	3	0.1836	44.186	57	1.7
19	inpulsu	7	3	0.1836	44.3696	57	1.7
19	potiu	5	3	0.1836	44.5532	57	1.7
19	rus	3	3	0.1836	44.7368	57	1.7
19	sostrata	8	3	0.1836	44.9204	57	1.7
19	abs	3	3	0.1836	45.104	57	1.7
19	animo	5	3	0.1836	45.2876	57	1.7
19	ab	2	3	0.1836	45.4712	57	1.7
19	etsi	4	3	0.1836	45.6548	57	1.7
19	intro	5	3	0.1836	45.8384	57	1.7
19	porro	5	3	0.1836	46.022	57	1.7
19	domum	5	3	0.1836	46.2056	57	1.7
19	heri	4	3	0.1836	46.3892	57	1.7
19	sati	4	3	0.1836	46.5728	57	1.7
19	ullam	5	3	0.1836	46.7564	57	1.7
19	nostram	7	3	0.1836	46.94	57	1.7
19	mage	4	3	0.1836	47.1236	57	1.7
19	re	2	3	0.1836	47.3072	57	1.7
19	idem	4	3	0.1836	47.4908	57	1.7
19	pro	3	3	0.1836	47.6744	57	1.7
19	domi	4	3	0.1836	47.858	57	1.7
19	quoque	6	3	0.1836	48.0416	57	1.7
19	sola	4	3	0.1836	48.2252	57	1.7
19	ira	3	3	0.1836	48.4088	57	1.7
19	mane	4	3	0.1836	48.5924	57	1.7
19	verum	5	3	0.1836	48.776	57	1.7
19	ergo	4	3	0.1836	48.9596	57	1.7
19	dignum	6	3	0.1836	49.1432	57	1.7
19	mulier	6	3	0.1836	49.3268	57	1.7
19	dixi	4	3	0.1836	49.5104	57	1.7
19	hac	3	3	0.1836	49.694	57	1.7
19	post	4	3	0.1836	49.8776	57	1.7
19	ei	2	3	0.1836	50.0612	57	1.7
19	autem	5	3	0.1836	50.2448	57	1.7
19	gratiam	7	3	0.1836	50.4284	57	1.7
19	minu	4	3	0.1836	50.612	57	1.7
19	cedo	4	3	0.1836	50.7956	57	1.7
19	nobis	5	3	0.1836	50.9792	57	1.7
19	huic	4	3	0.1836	51.1628	57	1.7
19	tum	3	3	0.1836	51.3464	57	1.7
20	edepol	6	2	0.1224	51.4688	40	1.7
20	siet	4	2	0.1224	51.5912	40	1.7
20	dixti	5	2	0.1224	51.7136	40	1.7
20	bacchis	7	2	0.1224	51.836	40	1.7
20	vostro	6	2	0.1224	51.9584	40	1.7
20	sibi	4	2	0.1224	52.0808	40	1.7
20	opu	3	2	0.1224	52.2032	40	1.7
20	phidippum	9	2	0.1224	52.3256	40	1.7
20	aetate	6	2	0.1224	52.448	40	1.7
20	posse	5	2	0.1224	52.5704	40	1.7
20	tuos	4	2	0.1224	52.6928	40	1.7
20	merito	6	2	0.1224	52.8152	40	1.7
20	gnati	5	2	0.1224	52.9376	40	1.7
20	tempus	6	2	0.1224	53.06	40	1.7
20	factum	6	2	0.1224	53.1824	40	1.7
20	gaudeo	6	2	0.1224	53.3048	40	1.7
20	videtur	7	2	0.1224	53.4272	40	1.7
20	nos	3	2	0.1224	53.5496	40	1.7
20	hunc	4	2	0.1224	53.672	40	1.7
20	redduc	6	2	0.1224	53.7944	40	1.7
20	arbitror	8	2	0.1224	53.9168	40	1.7
20	quidem	6	2	0.1224	54.0392	40	1.7
