rank	word	wordlength	count	frequenz(count*100/241)	sum frequenz	zipf(rank*count)	zipf(max/rank)
1	me	2	7	2.9046	2.9046	7	7
2	ut	2	6	2.4896	5.3942	12	3.5
3	si	2	5	2.0747	7.4689	15	2.3
4	est	3	4	1.6598	9.1286	16	1.8
4	hoc	3	4	1.6598	10.7884	16	1.8
4	ex	2	4	1.6598	12.4481	16	1.8
4	non	3	4	1.6598	14.1079	16	1.8
5	qui	3	3	1.2448	15.3527	15	1.4
5	quom	4	3	1.2448	16.5975	15	1.4
5	nam	3	3	1.2448	17.8423	15	1.4
5	obsecro	7	3	1.2448	19.0871	15	1.4
6	clam	4	2	0.8299	19.917	12	1.2
6	qua	3	2	0.8299	20.7469	12	1.2
6	animo	5	2	0.8299	21.5768	12	1.2
6	puerum	6	2	0.8299	22.4066	12	1.2
6	sum	3	2	0.8299	23.2365	12	1.2
6	edepol	6	2	0.8299	24.0664	12	1.2
6	scio	4	2	0.8299	24.8963	12	1.2
6	quod	4	2	0.8299	25.7261	12	1.2
6	nosci	5	2	0.8299	26.556	12	1.2
6	ad	2	2	0.8299	27.3859	12	1.2
6	credo	5	2	0.8299	28.2158	12	1.2
6	in	2	2	0.8299	29.0456	12	1.2
6	quid	4	2	0.8299	29.8755	12	1.2
6	sit	3	2	0.8299	30.7054	12	1.2
6	quoi	4	2	0.8299	31.5353	12	1.2
6	gnata	5	2	0.8299	32.3651	12	1.2
6	ipsam	5	2	0.8299	33.195	12	1.2
6	misera	6	2	0.8299	34.0249	12	1.2
6	perii	5	2	0.8299	34.8548	12	1.2
6	censes	6	2	0.8299	35.6846	12	1.2
6	siet	4	2	0.8299	36.5145	12	1.2
6	quo	3	2	0.8299	37.3444	12	1.2
7	unum	4	1	0.4149	37.7593	7	1
7	possit	6	1	0.4149	38.1743	7	1
7	mi	2	1	0.4149	38.5892	7	1
7	fuerat	6	1	0.4149	39.0041	7	1
7	mutari	6	1	0.4149	39.4191	7	1
7	relicuom	8	1	0.4149	39.834	7	1
7	miseriis	8	1	0.4149	40.249	7	1
7	plurumis	8	1	0.4149	40.6639	7	1
7	tace	4	1	0.4149	41.0788	7	1
7	irato	5	1	0.4149	41.4938	7	1
7	eiu	3	1	0.4149	41.9087	7	1
7	vivere	6	1	0.4149	42.3237	7	1
7	ego	3	1	0.4149	42.7386	7	1
7	consului	8	1	0.4149	43.1535	7	1
7	meae	4	1	0.4149	43.5685	7	1
7	nullam	6	1	0.4149	43.9834	7	1
7	pol	3	1	0.4149	44.3983	7	1
7	mulierem	8	1	0.4149	44.8133	7	1
7	miseriorem	10	1	0.4149	45.2282	7	1
7	hic	3	1	0.4149	45.6432	7	1
7	sententia	9	1	0.4149	46.0581	7	1
7	laturus	7	1	0.4149	46.473	7	1
7	rem	3	1	0.4149	46.888	7	1
7	resciverit	10	1	0.4149	47.3029	7	1
7	leviust	7	1	0.4149	47.7178	7	1
7	tam	3	1	0.4149	48.1328	7	1
7	tulit	5	1	0.4149	48.5477	7	1
7	nec	3	1	0.4149	48.9627	7	1
7	via	3	1	0.4149	49.3776	7	1
7	malum	5	1	0.4149	49.7925	7	1
7	forma	5	1	0.4149	50.2075	7	1
7	tollam	6	1	0.4149	50.6224	7	1
7	orata	5	1	0.4149	51.0373	7	1
7	virgini	7	1	0.4149	51.4523	7	1
7	abiens	6	1	0.4149	51.8672	7	1
7	anulum	6	1	0.4149	52.2822	7	1
7	simul	5	1	0.4149	52.6971	7	1
7	vereor	6	1	0.4149	53.112	7	1
7	pamphilum	9	1	0.4149	53.527	7	1
7	ne	2	1	0.4149	53.9419	7	1
7	nostra	6	1	0.4149	54.3568	7	1
7	quem	4	1	0.4149	54.7718	7	1
7	nequeat	7	1	0.4149	55.1867	7	1
7	diutius	7	1	0.4149	55.6017	7	1
7	celare	6	1	0.4149	56.0166	7	1
7	sciet	5	1	0.4149	56.4315	7	1
7	alienum	7	1	0.4149	56.8465	7	1
7	tolli	5	1	0.4149	57.2614	7	1
7	pro	3	1	0.4149	57.6763	7	1
7	habuit	6	1	0.4149	58.0913	7	1
7	digito	6	1	0.4149	58.5062	7	1
7	cogit	5	1	0.4149	58.9212	7	1
7	quitast	7	1	0.4149	59.3361	7	1
7	quoius	6	1	0.4149	59.751	7	1
7	nos	3	1	0.4149	60.166	7	1
7	nescimus	8	1	0.4149	60.5809	7	1
7	pater	5	1	0.4149	60.9959	7	1
7	compressast	11	1	0.4149	61.4108	7	1
7	nolit	5	1	0.4149	61.8257	7	1
7	tenebris	8	1	0.4149	62.2407	7	1
7	neque	5	1	0.4149	62.6556	7	1
7	vi	2	1	0.4149	63.0705	7	1
7	detractum	9	1	0.4149	63.4855	7	1
7	ei	2	1	0.4149	63.9004	7	1
7	tum	3	1	0.4149	64.3154	7	1
7	quicquamst	10	1	0.4149	64.7303	7	1
7	posset	6	1	0.4149	65.1452	7	1
7	post	4	1	0.4149	65.5602	7	1
7	ipse	4	1	0.4149	65.9751	7	1
7	eripuit	7	1	0.4149	66.39	7	1
7	recte	5	1	0.4149	66.805	7	1
7	abi	3	1	0.4149	67.2199	7	1
7	autem	5	1	0.4149	67.6349	7	1
7	ipsum	5	1	0.4149	68.0498	7	1
7	id	2	1	0.4149	68.4647	7	1
7	causa	5	1	0.4149	68.8797	7	1
7	habuisse	8	1	0.4149	69.2946	7	1
7	dicam	5	1	0.4149	69.7095	7	1
7	sed	3	1	0.4149	70.1245	7	1
7	ostium	6	1	0.4149	70.5394	7	1
7	concrepuit	10	1	0.4149	70.9544	7	1
7	exire	5	1	0.4149	71.3693	7	1
7	peperisse	9	1	0.4149	71.7842	7	1
7	nulla	5	1	0.4149	72.1992	7	1
7	mihine	6	1	0.4149	72.6141	7	1
7	vir	3	1	0.4149	73.029	7	1
7	quibus	6	1	0.4149	73.444	7	1
7	istuc	5	1	0.4149	73.8589	7	1
7	patrem	6	1	0.4149	74.2739	7	1
7	rogare	6	1	0.4149	74.6888	7	1
7	eam	3	1	0.4149	75.1037	7	1
7	rescierit	9	1	0.4149	75.5187	7	1
7	nisi	4	1	0.4149	75.9336	7	1
