rank	word	wordlength	count	frequenz(count*100/1552)	sum frequenz	zipf(rank*count)	zipf(max/rank)
1	me	2	47	3.0284	3.0284	47	47
2	te	2	21	1.3531	4.3814	42	23.5
3	ut	2	20	1.2887	5.6701	60	15.7
4	in	2	18	1.1598	6.8299	72	11.8
4	est	3	18	1.1598	7.9897	72	11.8
5	et	2	17	1.0954	9.0851	85	9.4
6	quam	4	16	1.0309	10.116	96	7.8
7	quod	4	14	0.9021	11.018	98	6.7
7	non	3	14	0.9021	11.9201	98	6.7
8	nunc	4	13	0.8376	12.7577	104	5.9
8	nam	3	13	0.8376	13.5954	104	5.9
8	esse	4	13	0.8376	14.433	104	5.9
9	quae	4	12	0.7732	15.2062	108	5.2
9	quid	4	12	0.7732	15.9794	108	5.2
10	hoc	3	11	0.7088	16.6881	110	4.7
10	si	2	11	0.7088	17.3969	110	4.7
10	sum	3	11	0.7088	18.1057	110	4.7
11	ex	2	10	0.6443	18.75	110	4.3
12	id	2	9	0.5799	19.3299	108	3.9
12	mi	2	9	0.5799	19.9098	108	3.9
12	parmeno	7	9	0.5799	20.4897	108	3.9
13	mihi	4	8	0.5155	21.0052	104	3.6
13	qui	3	8	0.5155	21.5206	104	3.6
13	mea	3	8	0.5155	22.0361	104	3.6
13	pater	5	8	0.5155	22.5515	104	3.6
13	atque	5	8	0.5155	23.067	104	3.6
13	quom	4	8	0.5155	23.5825	104	3.6
13	neque	5	8	0.5155	24.0979	104	3.6
13	sed	3	8	0.5155	24.6134	104	3.6
14	rem	3	7	0.451	25.0644	98	3.4
14	scio	4	7	0.451	25.5155	98	3.4
14	hanc	4	7	0.451	25.9665	98	3.4
14	ne	2	7	0.451	26.4175	98	3.4
14	ego	3	7	0.451	26.8686	98	3.4
15	iam	3	6	0.3866	27.2552	90	3.1
15	ita	3	6	0.3866	27.6418	90	3.1
15	miser	5	6	0.3866	28.0284	90	3.1
15	eam	3	6	0.3866	28.4149	90	3.1
15	intro	5	6	0.3866	28.8015	90	3.1
15	a	1	6	0.3866	29.1881	90	3.1
15	mater	5	6	0.3866	29.5747	90	3.1
16	re	2	5	0.3222	29.8969	80	2.9
16	o	1	5	0.3222	30.2191	80	2.9
16	aut	3	5	0.3222	30.5412	80	2.9
16	tum	3	5	0.3222	30.8634	80	2.9
16	hic	3	5	0.3222	31.1856	80	2.9
16	ea	2	5	0.3222	31.5077	80	2.9
17	eius	4	4	0.2577	31.7655	68	2.8
17	uxorem	6	4	0.2577	32.0232	68	2.8
17	sit	3	4	0.2577	32.2809	68	2.8
17	de	2	4	0.2577	32.5387	68	2.8
17	numquam	7	4	0.2577	32.7964	68	2.8
17	credo	5	4	0.2577	33.0541	68	2.8
17	olim	4	4	0.2577	33.3119	68	2.8
17	hac	3	4	0.2577	33.5696	68	2.8
17	dum	3	4	0.2577	33.8273	68	2.8
17	nobis	5	4	0.2577	34.0851	68	2.8
17	hinc	4	4	0.2577	34.3428	68	2.8
17	postquam	8	4	0.2577	34.6005	68	2.8
17	res	3	4	0.2577	34.8582	68	2.8
17	pacto	5	4	0.2577	35.116	68	2.8
17	matri	5	4	0.2577	35.3737	68	2.8
17	nec	3	4	0.2577	35.6314	68	2.8
17	una	3	4	0.2577	35.8892	68	2.8
17	haec	4	4	0.2577	36.1469	68	2.8
17	haud	4	4	0.2577	36.4046	68	2.8
17	huc	3	4	0.2577	36.6624	68	2.8
17	redducam	8	4	0.2577	36.9201	68	2.8
17	adeo	4	4	0.2577	37.1778	68	2.8
17	tempu	5	4	0.2577	37.4356	68	2.8
17	illam	5	4	0.2577	37.6933	68	2.8
18	modo	4	3	0.1933	37.8866	54	2.6
18	eum	3	3	0.1933	38.0799	54	2.6
18	ob	2	3	0.1933	38.2732	54	2.6
18	ipsa	4	3	0.1933	38.4665	54	2.6
18	omnes	5	3	0.1933	38.6598	54	2.6
18	porro	5	3	0.1933	38.8531	54	2.6
18	faciam	6	3	0.1933	39.0464	54	2.6
18	venit	5	3	0.1933	39.2397	54	2.6
18	quin	4	3	0.1933	39.433	54	2.6
18	matrem	6	3	0.1933	39.6263	54	2.6
18	arbitror	8	3	0.1933	39.8196	54	2.6
18	fuerat	6	3	0.1933	40.0129	54	2.6
18	pamphile	8	3	0.1933	40.2062	54	2.6
18	inter	5	3	0.1933	40.3995	54	2.6
18	hodie	5	3	0.1933	40.5928	54	2.6
18	nescio	6	3	0.1933	40.7861	54	2.6
18	mecum	5	3	0.1933	40.9794	54	2.6
18	sese	4	3	0.1933	41.1727	54	2.6
18	resciscere	10	3	0.1933	41.366	54	2.6
18	sic	3	3	0.1933	41.5593	54	2.6
18	ad	2	3	0.1933	41.7526	54	2.6
18	istuc	5	3	0.1933	41.9459	54	2.6
18	ingenio	7	3	0.1933	42.1392	54	2.6
18	sodes	5	3	0.1933	42.3325	54	2.6
18	meum	4	3	0.1933	42.5258	54	2.6
18	opus	4	3	0.1933	42.7191	54	2.6
18	fieri	5	3	0.1933	42.9124	54	2.6
18	illa	4	3	0.1933	43.1057	54	2.6
18	vixit	5	3	0.1933	43.299	54	2.6
18	sibi	4	3	0.1933	43.4923	54	2.6
18	animum	6	3	0.1933	43.6856	54	2.6
18	pro	3	3	0.1933	43.8789	54	2.6
18	eo	2	3	0.1933	44.0722	54	2.6
18	philumena	9	3	0.1933	44.2655	54	2.6
18	ullum	5	3	0.1933	44.4588	54	2.6
18	quem	4	3	0.1933	44.6521	54	2.6
18	ac	2	3	0.1933	44.8454	54	2.6
18	erga	4	3	0.1933	45.0387	54	2.6
18	dicam	5	3	0.1933	45.232	54	2.6
19	partim	6	2	0.1289	45.3608	38	2.5
19	rerum	5	2	0.1289	45.4897	38	2.5
19	salve	5	2	0.1289	45.6186	38	2.5
19	eiu	3	2	0.1289	45.7474	38	2.5
19	factum	6	2	0.1289	45.8763	38	2.5
19	curre	5	2	0.1289	46.0052	38	2.5
19	sati	4	2	0.1289	46.134	38	2.5
19	quidquid	8	2	0.1289	46.2629	38	2.5
19	certo	5	2	0.1289	46.3918	38	2.5
19	fors	4	2	0.1289	46.5206	38	2.5
19	recte	5	2	0.1289	46.6495	38	2.5
19	ilico	5	2	0.1289	46.7784	38	2.5
19	hisce	5	2	0.1289	46.9072	38	2.5
19	quia	4	2	0.1289	47.0361	38	2.5
19	autem	5	2	0.1289	47.1649	38	2.5
19	adfectam	8	2	0.1289	47.2938	38	2.5
19	pueris	6	2	0.1289	47.4227	38	2.5
19	corripui	8	2	0.1289	47.5515	38	2.5
19	alio	4	2	0.1289	47.6804	38	2.5
19	abire	5	2	0.1289	47.8093	38	2.5
19	aiunt	5	2	0.1289	47.9381	38	2.5
19	ei	2	2	0.1289	48.067	38	2.5
19	continuo	8	2	0.1289	48.1959	38	2.5
19	tu	2	2	0.1289	48.3247	38	2.5
19	nequeo	6	2	0.1289	48.4536	38	2.5
19	etiam	5	2	0.1289	48.5825	38	2.5
19	cessas	6	2	0.1289	48.7113	38	2.5
19	nemini	6	2	0.1289	48.8402	38	2.5
19	posset	6	2	0.1289	48.9691	38	2.5
19	amor	4	2	0.1289	49.0979	38	2.5
19	clam	4	2	0.1289	49.2268	38	2.5
19	patrem	6	2	0.1289	49.3557	38	2.5
19	potest	6	2	0.1289	49.4845	38	2.5
19	velim	5	2	0.1289	49.6134	38	2.5
19	fore	4	2	0.1289	49.7423	38	2.5
19	tibi	4	2	0.1289	49.8711	38	2.5
19	nil	3	2	0.1289	50	38	2.5
19	quicquam	8	2	0.1289	50.1289	38	2.5
19	illi	4	2	0.1289	50.2577	38	2.5
19	vero	4	2	0.1289	50.3866	38	2.5
19	voluptati	9	2	0.1289	50.5155	38	2.5
19	maxume	6	2	0.1289	50.6443	38	2.5
19	posthac	7	2	0.1289	50.7732	38	2.5
19	patri	5	2	0.1289	50.9021	38	2.5
19	incertu	7	2	0.1289	51.0309	38	2.5
19	dabo	4	2	0.1289	51.1598	38	2.5
19	video	5	2	0.1289	51.2887	38	2.5
