rank	word	wordlength	count	frequenz(count*100/1197)	sum frequenz	zipf(rank*count)	zipf(max/rank)
1	non	3	18	1.5038	1.5038	18	18
2	ut	2	17	1.4202	2.924	34	9
2	quid	4	17	1.4202	4.3442	34	9
3	est	3	16	1.3367	5.6809	48	6
4	in	2	14	1.1696	6.8505	56	4.5
5	si	2	12	1.0025	7.853	60	3.6
5	ad	2	12	1.0025	8.8555	60	3.6
6	et	2	11	0.919	9.7744	66	3
6	hoc	3	11	0.919	10.6934	66	3
7	te	2	10	0.8354	11.5288	70	2.6
8	me	2	9	0.7519	12.2807	72	2.3
8	sed	3	9	0.7519	13.0326	72	2.3
8	esse	4	9	0.7519	13.7845	72	2.3
9	se	2	8	0.6683	14.4528	72	2
9	nam	3	8	0.6683	15.1211	72	2
10	tu	2	7	0.5848	15.7059	70	1.8
10	quod	4	7	0.5848	16.2907	70	1.8
10	neque	5	7	0.5848	16.8755	70	1.8
10	scio	4	7	0.5848	17.4603	70	1.8
10	atque	5	7	0.5848	18.0451	70	1.8
10	hunc	4	7	0.5848	18.6299	70	1.8
10	ego	3	7	0.5848	19.2147	70	1.8
11	nunc	4	6	0.5013	19.716	66	1.6
11	ubi	3	6	0.5013	20.2172	66	1.6
11	haec	4	6	0.5013	20.7185	66	1.6
11	rem	3	6	0.5013	21.2197	66	1.6
11	inter	5	6	0.5013	21.721	66	1.6
11	quam	4	6	0.5013	22.2222	66	1.6
11	ab	2	6	0.5013	22.7235	66	1.6
11	postquam	8	6	0.5013	23.2247	66	1.6
11	ita	3	6	0.5013	23.726	66	1.6
11	quae	4	6	0.5013	24.2272	66	1.6
12	uxorem	6	5	0.4177	24.6449	60	1.5
12	mihi	4	5	0.4177	25.0627	60	1.5
12	intro	5	5	0.4177	25.4804	60	1.5
12	hic	3	5	0.4177	25.8981	60	1.5
12	qui	3	5	0.4177	26.3158	60	1.5
12	eam	3	5	0.4177	26.7335	60	1.5
12	senex	5	5	0.4177	27.1512	60	1.5
12	tum	3	5	0.4177	27.5689	60	1.5
12	causa	5	5	0.4177	27.9866	60	1.5
12	dicam	5	5	0.4177	28.4043	60	1.5
13	sane	4	4	0.3342	28.7385	52	1.4
13	quidem	6	4	0.3342	29.0727	52	1.4
13	maxume	6	4	0.3342	29.4069	52	1.4
13	sunt	4	4	0.3342	29.741	52	1.4
13	hodie	5	4	0.3342	30.0752	52	1.4
13	denique	7	4	0.3342	30.4094	52	1.4
13	ne	2	4	0.3342	30.7435	52	1.4
13	parmeno	7	4	0.3342	31.0777	52	1.4
13	domum	5	4	0.3342	31.4119	52	1.4
13	nemo	4	4	0.3342	31.746	52	1.4
13	sit	3	4	0.3342	32.0802	52	1.4
13	ea	2	4	0.3342	32.4144	52	1.4
13	ilico	5	4	0.3342	32.7485	52	1.4
13	eas	3	4	0.3342	33.0827	52	1.4
14	nescio	6	3	0.2506	33.3333	42	1.3
14	iam	3	3	0.2506	33.584	42	1.3
14	bacchidem	9	3	0.2506	33.8346	42	1.3
14	quom	4	3	0.2506	34.0852	42	1.3
14	pater	5	3	0.2506	34.3358	42	1.3
14	multo	5	3	0.2506	34.5865	42	1.3
14	sese	4	3	0.2506	34.8371	42	1.3
14	quoi	4	3	0.2506	35.0877	42	1.3
14	illum	5	3	0.2506	35.3383	42	1.3
14	posse	5	3	0.2506	35.589	42	1.3
14	diem	4	3	0.2506	35.8396	42	1.3
14	ante	4	3	0.2506	36.0902	42	1.3
14	at	2	3	0.2506	36.3409	42	1.3
14	huc	3	3	0.2506	36.5915	42	1.3
14	bene	4	3	0.2506	36.8421	42	1.3
14	siet	4	3	0.2506	37.0927	42	1.3
14	perii	5	3	0.2506	37.3434	42	1.3
14	pamphilum	9	3	0.2506	37.594	42	1.3
14	edepol	6	3	0.2506	37.8446	42	1.3
14	eo	2	3	0.2506	38.0952	42	1.3
14	vero	4	3	0.2506	38.3459	42	1.3
14	tibi	4	3	0.2506	38.5965	42	1.3
14	irae	4	3	0.2506	38.8471	42	1.3
14	uti	3	3	0.2506	39.0977	42	1.3
14	venit	5	3	0.2506	39.3484	42	1.3
14	video	5	3	0.2506	39.599	42	1.3
14	illam	5	3	0.2506	39.8496	42	1.3
14	hanc	4	3	0.2506	40.1003	42	1.3
