rank	word	wordlength	count	frequency(count*100/866)	sum frequency	zipf(rank*count)	zipf(max/rank)
1	ut	2	14	1.6166	1.6166	14	14
2	non	3	13	1.5012	3.1178	26	7
3	est	3	12	1.3857	4.5035	36	4.7
3	nam	3	12	1.3857	5.8891	36	4.7
4	ego	3	11	1.2702	7.1594	44	3.5
4	esse	4	11	1.2702	8.4296	44	3.5
4	et	2	11	1.2702	9.6998	44	3.5
5	si	2	10	1.1547	10.8545	50	2.8
5	tibi	4	10	1.1547	12.0092	50	2.8
6	te	2	9	1.0393	13.0485	54	2.3
6	quid	4	9	1.0393	14.0878	54	2.3
7	sed	3	8	0.9238	15.0115	56	2
7	id	2	8	0.9238	15.9353	56	2
8	quod	4	7	0.8083	16.7436	56	1.8
8	haec	4	7	0.8083	17.552	56	1.8
8	me	2	7	0.8083	18.3603	56	1.8
8	nos	3	7	0.8083	19.1686	56	1.8
9	nunc	4	6	0.6928	19.8614	54	1.6
9	qui	3	6	0.6928	20.5543	54	1.6
9	sit	3	6	0.6928	21.2471	54	1.6
9	quam	4	6	0.6928	21.94	54	1.6
9	in	2	6	0.6928	22.6328	54	1.6
10	rem	3	5	0.5774	23.2102	50	1.4
10	neque	5	5	0.5774	23.7875	50	1.4
10	atque	5	5	0.5774	24.3649	50	1.4
10	hanc	4	5	0.5774	24.9423	50	1.4
10	tu	2	5	0.5774	25.5196	50	1.4
10	mihi	4	5	0.5774	26.097	50	1.4
11	lache	5	4	0.4619	26.5589	44	1.3
11	ea	2	4	0.4619	27.0208	44	1.3
11	animo	5	4	0.4619	27.4827	44	1.3
11	quae	4	4	0.4619	27.9446	44	1.3
11	ad	2	4	0.4619	28.4065	44	1.3
11	quom	4	4	0.4619	28.8684	44	1.3
11	de	2	4	0.4619	29.3303	44	1.3
11	myrrina	7	4	0.4619	29.7921	44	1.3
11	adeo	4	4	0.4619	30.254	44	1.3
11	fore	4	4	0.4619	30.7159	44	1.3
11	vobis	5	4	0.4619	31.1778	44	1.3
11	iam	3	4	0.4619	31.6397	44	1.3
11	a	1	4	0.4619	32.1016	44	1.3
11	factum	6	4	0.4619	32.5635	44	1.3
11	pamphile	8	4	0.4619	33.0254	44	1.3
11	re	2	4	0.4619	33.4873	44	1.3
12	huic	4	3	0.3464	33.8337	36	1.2
12	aut	3	3	0.3464	34.1801	36	1.2
12	filiam	6	3	0.3464	34.5266	36	1.2
12	sunt	4	3	0.3464	34.873	36	1.2
12	at	2	3	0.3464	35.2194	36	1.2
12	facere	6	3	0.3464	35.5658	36	1.2
12	ex	2	3	0.3464	35.9122	36	1.2
12	se	2	3	0.3464	36.2587	36	1.2
12	mea	3	3	0.3464	36.6051	36	1.2
12	quidem	6	3	0.3464	36.9515	36	1.2
12	uxor	4	3	0.3464	37.2979	36	1.2
12	hoc	3	3	0.3464	37.6443	36	1.2
12	inter	5	3	0.3464	37.9908	36	1.2
12	cum	3	3	0.3464	38.3372	36	1.2
12	eo	2	3	0.3464	38.6836	36	1.2
12	hac	3	3	0.3464	39.03	36	1.2
12	modo	4	3	0.3464	39.3764	36	1.2
12	animum	6	3	0.3464	39.7229	36	1.2
12	puerum	6	3	0.3464	40.0693	36	1.2
13	ubi	3	2	0.2309	40.3002	26	1.1
13	opu	3	2	0.2309	40.5312	26	1.1
13	scio	4	2	0.2309	40.7621	26	1.1
13	video	5	2	0.2309	40.9931	26	1.1
13	olim	4	2	0.2309	41.224	26	1.1
13	illum	5	2	0.2309	41.455	26	1.1
13	credidi	7	2	0.2309	41.6859	26	1.1
13	edepol	6	2	0.2309	41.9169	26	1.1
13	meretricem	10	2	0.2309	42.1478	26	1.1
13	fecit	5	2	0.2309	42.3788	26	1.1
13	ita	3	2	0.2309	42.6097	26	1.1
13	siet	4	2	0.2309	42.8406	26	1.1
13	is	2	2	0.2309	43.0716	26	1.1
13	an	2	2	0.2309	43.3025	26	1.1
13	fuerat	6	2	0.2309	43.5335	26	1.1
13	animi	5	2	0.2309	43.7644	26	1.1
13	scivi	5	2	0.2309	43.9954	26	1.1
13	quia	4	2	0.2309	44.2263	26	1.1
13	nobis	5	2	0.2309	44.4573	26	1.1
13	amicam	6	2	0.2309	44.6882	26	1.1
13	huc	3	2	0.2309	44.9192	26	1.1
13	sin	3	2	0.2309	45.1501	26	1.1
