rank	word	wordlength	count	frequenz(count*100/257)	sum frequenz	zipf(rank*count)	zipf(max/rank)
1	quid	4	6	2.3346	2.3346	6	6
2	non	3	5	1.9455	4.2802	10	3
2	ut	2	5	1.9455	6.2257	10	3
3	quam	4	4	1.5564	7.7821	12	2
3	quae	4	4	1.5564	9.3385	12	2
3	cum	3	4	1.5564	10.8949	12	2
4	ego	3	3	1.1673	12.0623	12	1.5
4	hic	3	3	1.1673	13.2296	12	1.5
4	me	2	3	1.1673	14.3969	12	1.5
4	esse	4	3	1.1673	15.5642	12	1.5
4	parmeno	7	3	1.1673	16.7315	12	1.5
4	sed	3	3	1.1673	17.8988	12	1.5
4	hoc	3	3	1.1673	19.0661	12	1.5
4	mihi	4	3	1.1673	20.2335	12	1.5
4	ita	3	3	1.1673	21.4008	12	1.5
4	di	2	3	1.1673	22.5681	12	1.5
5	te	2	2	0.7782	23.3463	10	1.2
5	nam	3	2	0.7782	24.1245	10	1.2
5	ad	2	2	0.7782	24.9027	10	1.2
5	ingenium	8	2	0.7782	25.6809	10	1.2
5	dici	4	2	0.7782	26.4591	10	1.2
5	pol	3	2	0.7782	27.2374	10	1.2
5	illum	5	2	0.7782	28.0156	10	1.2
5	sum	3	2	0.7782	28.7938	10	1.2
5	milite	6	2	0.7782	29.572	10	1.2
5	tu	2	2	0.7782	30.3502	10	1.2
5	haud	4	2	0.7782	31.1284	10	1.2
5	deaeque	7	2	0.7782	31.9066	10	1.2
5	uxorem	6	2	0.7782	32.6848	10	1.2
5	numquam	7	2	0.7782	33.463	10	1.2
5	uti	3	2	0.7782	34.2412	10	1.2
5	illa	4	2	0.7782	35.0195	10	1.2
5	viva	4	2	0.7782	35.7977	10	1.2
5	posset	6	2	0.7782	36.5759	10	1.2
6	pudicum	7	1	0.3891	36.965	6	1
6	et	2	1	0.3891	37.3541	6	1
6	igitur	6	1	0.3891	37.7432	6	1
6	nuptiae	7	1	0.3891	38.1323	6	1
6	propterea	9	1	0.3891	38.5214	6	1
6	infirmitatis	12	1	0.3891	38.9105	6	1
6	rogo	4	1	0.3891	39.2996	6	1
6	palam	5	1	0.3891	39.6887	6	1
6	proferam	8	1	0.3891	40.0778	6	1
6	tacita	6	1	0.3891	40.4669	6	1
6	mecum	5	1	0.3891	40.856	6	1
6	habent	6	1	0.3891	41.2451	6	1
6	gaudeam	7	1	0.3891	41.6342	6	1
6	adhuc	5	1	0.3891	42.0233	6	1
6	ah	2	1	0.3891	42.4125	6	1
6	noli	4	1	0.3891	42.8016	6	1
6	quasi	5	1	0.3891	43.1907	6	1
6	amabunt	7	1	0.3891	43.5798	6	1
6	id	2	1	0.3891	43.9689	6	1
6	fiat	4	1	0.3891	44.358	6	1
6	qui	3	1	0.3891	44.7471	6	1
6	conventuram	11	1	0.3891	45.1362	6	1
6	hospite	7	1	0.3891	45.5253	6	1
6	in	2	1	0.3891	45.9144	6	1
6	rem	3	1	0.3891	46.3035	6	1
6	quodam	6	1	0.3891	46.6926	6	1
6	est	3	1	0.3891	47.0817	6	1
6	bacchidis	9	1	0.3891	47.4708	6	1
6	istuc	5	1	0.3891	47.8599	6	1
6	quidem	6	1	0.3891	48.249	6	1
6	credam	6	1	0.3891	48.6381	6	1
6	dic	3	1	0.3891	49.0272	6	1
6	nempe	5	1	0.3891	49.4163	6	1
6	ea	2	1	0.3891	49.8054	6	1
6	constitui	9	1	0.3891	50.1946	6	1
6	causa	5	1	0.3891	50.5837	6	1
6	ne	2	1	0.3891	50.9728	6	1
6	malis	5	1	0.3891	51.3619	6	1
6	multo	5	1	0.3891	51.751	6	1
6	scire	5	1	0.3891	52.1401	6	1
6	narrare	7	1	0.3891	52.5292	6	1
6	veri	4	1	0.3891	52.9183	6	1
6	cubuerit	8	1	0.3891	53.3074	6	1
6	plus	4	1	0.3891	53.6965	6	1
6	pamphili	8	1	0.3891	54.0856	6	1
6	potu	4	1	0.3891	54.4747	6	1
6	sese	4	1	0.3891	54.8638	6	1
6	abstinere	9	1	0.3891	55.2529	6	1
6	potuerit	8	1	0.3891	55.642	6	1
6	narras	6	1	0.3891	56.0311	6	1
6	interea	7	1	0.3891	56.4202	6	1
6	simile	6	1	0.3891	56.8093	6	1
6	neque	5	1	0.3891	57.1984	6	1
6	verum	5	1	0.3891	57.5875	6	1
6	arbitror	8	1	0.3891	57.9767	6	1
6	deinde	6	1	0.3891	58.3658	6	1
6	fit	3	1	0.3891	58.7549	6	1
6	pium	4	1	0.3891	59.144	6	1
6	adulescens	10	1	0.3891	59.5331	6	1
6	una	3	1	0.3891	59.9222	6	1
6	mirum	5	1	0.3891	60.3113	6	1
6	istic	5	1	0.3891	60.7004	6	1
6	percontor	9	1	0.3891	61.0895	6	1
6	ac	2	1	0.3891	61.4786	6	1
6	edepol	6	1	0.3891	61.8677	6	1
6	redis	5	1	0.3891	62.2568	6	1
6	fidem	5	1	0.3891	62.6459	6	1
6	do	2	1	0.3891	63.035	6	1
6	loquere	7	1	0.3891	63.4241	6	1
6	at	2	1	0.3891	63.8132	6	1
6	virgine	7	1	0.3891	64.2023	6	1
6	bacchidem	9	1	0.3891	64.5914	6	1
6	ibatne	6	1	0.3891	64.9805	6	1
6	perduint	8	1	0.3891	65.3696	6	1
6	istoc	5	1	0.3891	65.7588	6	1
6	si	2	1	0.3891	66.1479	6	1
6	lache	5	1	0.3891	66.537	6	1
6	ais	3	1	0.3891	66.9261	6	1
6	odio	4	1	0.3891	67.3152	6	1
6	per	3	1	0.3891	67.7043	6	1
6	faxint	6	1	0.3891	68.0934	6	1
6	o	1	1	0.3891	68.4825	6	1
6	eximium	7	1	0.3891	68.8716	6	1
6	neminem	7	1	0.3891	69.2607	6	1
6	habeam	6	1	0.3891	69.6498	6	1
6	tamen	5	1	0.3891	70.0389	6	1
6	eandem	6	1	0.3891	70.428	6	1
6	iniuriumst	10	1	0.3891	70.8171	6	1
6	omnibus	7	1	0.3891	71.2062	6	1
6	salve	5	1	0.3891	71.5953	6	1
6	duxit	5	1	0.3891	71.9844	6	1
