rank	word	wordlength	count	frequenz(count*100/364)	sum frequenz	zipf(rank*count)	zipf(max/rank)
1	ut	2	12	3.2967	3.2967	12	12
1	in	2	12	3.2967	6.5934	12	12
2	et	2	7	1.9231	8.5165	14	6
3	eam	3	4	1.0989	9.6154	12	4
3	ne	2	4	1.0989	10.7143	12	4
3	novas	5	4	1.0989	11.8132	12	4
3	ab	2	4	1.0989	12.9121	12	4
4	ad	2	3	0.8242	13.7363	12	3
4	vos	3	3	0.8242	14.5604	12	3
4	ita	3	3	0.8242	15.3846	12	3
4	eodem	5	3	0.8242	16.2088	12	3
4	qui	3	3	0.8242	17.033	12	3
4	si	2	3	0.8242	17.8571	12	3
4	alias	5	3	0.8242	18.6813	12	3
4	quam	4	3	0.8242	19.5055	12	3
4	studio	6	3	0.8242	20.3297	12	3
4	nunc	4	3	0.8242	21.1538	12	3
4	agere	5	3	0.8242	21.978	12	3
4	nova	4	3	0.8242	22.8022	12	3
4	mihi	4	3	0.8242	23.6264	12	3
4	coepi	5	3	0.8242	24.4505	12	3
4	quom	4	3	0.8242	25.2747	12	3
5	sinite	6	2	0.5495	25.8242	10	2.4
5	est	3	2	0.5495	26.3736	10	2.4
5	esse	4	2	0.5495	26.9231	10	2.4
5	sunt	4	2	0.5495	27.4725	10	2.4
5	iterum	6	2	0.5495	28.022	10	2.4
5	interea	7	2	0.5495	28.5714	10	2.4
5	locum	5	2	0.5495	29.1209	10	2.4
5	iure	4	2	0.5495	29.6703	10	2.4
5	uti	3	2	0.5495	30.2198	10	2.4
5	primum	6	2	0.5495	30.7692	10	2.4
5	meae	4	2	0.5495	31.3187	10	2.4
5	atque	5	2	0.5495	31.8681	10	2.4
5	eum	3	2	0.5495	32.4176	10	2.4
5	sum	3	2	0.5495	32.967	10	2.4
5	partim	6	2	0.5495	33.5165	10	2.4
5	per	3	2	0.5495	34.0659	10	2.4
5	is	2	2	0.5495	34.6154	10	2.4
5	neque	5	2	0.5495	35.1648	10	2.4
5	silentium	9	2	0.5495	35.7143	10	2.4
5	refero	6	2	0.5495	36.2637	10	2.4
5	numquam	7	2	0.5495	36.8132	10	2.4
5	populu	6	2	0.5495	37.3626	10	2.4
5	animum	6	2	0.5495	37.9121	10	2.4
5	calamitas	9	2	0.5495	38.4615	10	2.4
5	mea	3	2	0.5495	39.011	10	2.4
5	causa	5	2	0.5495	39.5604	10	2.4
5	vostra	6	2	0.5495	40.1099	10	2.4
5	haec	4	2	0.5495	40.6593	10	2.4
5	hanc	4	2	0.5495	41.2088	10	2.4
6	potui	5	1	0.2747	41.4835	6	2
6	nulla	5	1	0.2747	41.7582	6	2
6	industriae	10	1	0.2747	42.033	6	2
6	convolat	8	1	0.2747	42.3077	6	2
6	tumultuantur	12	1	0.2747	42.5824	6	2
6	pugilum	7	1	0.2747	42.8571	6	2
6	funambuli	9	1	0.2747	43.1319	6	2
6	pugnant	7	1	0.2747	43.4066	6	2
6	clamant	7	1	0.2747	43.6813	6	2
6	tutari	6	1	0.2747	43.956	6	2
6	turba	5	1	0.2747	44.2308	6	2
6	de	2	1	0.2747	44.5055	6	2
6	loco	4	1	0.2747	44.7802	6	2
6	gloria	6	1	0.2747	45.0549	6	2
6	ego	3	1	0.2747	45.3297	6	2
6	meum	4	1	0.2747	45.6044	6	2
6	non	3	1	0.2747	45.8791	6	2
6	gladiatores	11	1	0.2747	46.1538	6	2
6	fecere	6	1	0.2747	46.4286	6	2
6	iri	3	1	0.2747	46.7033	6	2
6	essem	5	1	0.2747	46.978	6	2
6	ante	4	1	0.2747	47.2527	6	2
6	tempus	6	1	0.2747	47.5275	6	2
6	clamor	6	1	0.2747	47.8022	6	2
6	strepitu	8	1	0.2747	48.0769	6	2
6	exirem	6	1	0.2747	48.3516	6	2
6	foras	5	1	0.2747	48.6264	6	2
6	vetere	6	1	0.2747	48.9011	6	2
6	otium	5	1	0.2747	49.1758	6	2
6	experiundo	10	1	0.2747	49.4505	6	2
6	denuo	5	1	0.2747	49.7253	6	2
6	datum	5	1	0.2747	50	6	2
6	primo	5	1	0.2747	50.2747	6	2
6	actu	4	1	0.2747	50.5495	6	2
6	conventu	8	1	0.2747	50.8242	6	2
6	comitum	7	1	0.2747	51.0989	6	2
6	exspectatio	11	1	0.2747	51.3736	6	2
6	placeo	6	1	0.2747	51.6484	6	2
6	accessit	8	1	0.2747	51.9231	6	2
6	rumor	5	1	0.2747	52.1978	6	2
6	mulierum	8	1	0.2747	52.4725	6	2
6	venit	5	1	0.2747	52.7473	6	2
6	consuetudine	12	1	0.2747	53.022	6	2
6	hecyra	6	1	0.2747	53.2967	6	2
6	silentiumst	11	1	0.2747	53.5714	6	2
6	inique	6	1	0.2747	53.8462	6	2
6	commodis	8	1	0.2747	54.1209	6	2
6	impetrare	9	1	0.2747	54.3956	6	2
6	me	2	1	0.2747	54.6703	6	2
6	tutelam	7	1	0.2747	54.9451	6	2
6	meam	4	1	0.2747	55.2198	6	2
6	studium	7	1	0.2747	55.4945	6	2
6	suom	4	1	0.2747	55.7692	6	2
6	se	2	1	0.2747	56.044	6	2
6	vostram	7	1	0.2747	56.3187	6	2
6	commisit	8	1	0.2747	56.5934	6	2
6	fidem	5	1	0.2747	56.8681	6	2
6	circumventum	12	1	0.2747	57.1429	6	2
6	iniqui	6	1	0.2747	57.4176	6	2
6	servire	7	1	0.2747	57.6923	6	2
6	inrideant	9	1	0.2747	57.967	6	2
6	causam	6	1	0.2747	58.2418	6	2
6	accipite	8	1	0.2747	58.5165	6	2
6	date	4	1	0.2747	58.7912	6	2
6	lubeat	6	1	0.2747	59.0659	6	2
6	scribere	8	1	0.2747	59.3407	6	2
6	aliis	5	1	0.2747	59.6154	6	2
6	mihique	7	1	0.2747	59.8901	6	2
6	discere	7	1	0.2747	60.1648	6	2
6	expediat	8	1	0.2747	60.4396	6	2
6	posthac	7	1	0.2747	60.7143	6	2
6	pretio	6	1	0.2747	60.989	6	2
6	emptas	6	1	0.2747	61.2637	6	2
6	vostris	7	1	0.2747	61.5385	6	2
6	maxume	6	1	0.2747	61.8132	6	2
6	agendi	6	1	0.2747	62.0879	6	2
6	adiutrix	8	1	0.2747	62.3626	6	2
6	tempu	5	1	0.2747	62.6374	6	2
6	datumst	7	1	0.2747	62.9121	6	2
6	vobis	5	1	0.2747	63.1868	6	2
6	datur	5	1	0.2747	63.4615	6	2
6	potestas	8	1	0.2747	63.7363	6	2
6	condecorandi	12	1	0.2747	64.011	6	2
6	ludos	5	1	0.2747	64.2857	6	2
6	scaenicos	9	1	0.2747	64.5604	6	2
6	nolite	6	1	0.2747	64.8352	6	2
6	sinere	6	1	0.2747	65.1099	6	2
6	artem	5	1	0.2747	65.3846	6	2
6	musicam	7	1	0.2747	65.6593	6	2
6	recidere	8	1	0.2747	65.9341	6	2
6	maxumum	7	1	0.2747	66.2088	6	2
6	paucos	6	1	0.2747	66.4835	6	2
6	facite	6	1	0.2747	66.7582	6	2
6	auctoritas	10	1	0.2747	67.033	6	2
6	auctoritati	11	1	0.2747	67.3077	6	2
6	fautrix	7	1	0.2747	67.5824	6	2
6	adiutrixque	11	1	0.2747	67.8571	6	2
6	sit	3	1	0.2747	68.1319	6	2
6	avare	5	1	0.2747	68.4066	6	2
6	pretium	7	1	0.2747	68.6813	6	2
6	statui	6	1	0.2747	68.956	6	2
6	arti	4	1	0.2747	69.2308	6	2
6	quaestum	8	1	0.2747	69.5055	6	2
6	induxi	6	1	0.2747	69.7802	6	2
6	nostrae	7	1	0.2747	70.0549	6	2
6	potiu	5	1	0.2747	70.3297	6	2
6	erit	4	1	0.2747	70.6044	6	2
6	exactas	7	1	0.2747	70.8791	6	2
6	venio	5	1	0.2747	71.1538	6	2
6	ornatu	6	1	0.2747	71.4286	6	2
6	prologi	7	1	0.2747	71.7033	6	2
6	exorator	8	1	0.2747	71.978	6	2
6	sim	3	1	0.2747	72.2527	6	2
6	senem	5	1	0.2747	72.5275	6	2
6	liceat	6	1	0.2747	72.8022	6	2
6	quo	3	1	0.2747	73.0769	6	2
6	usus	4	1	0.2747	73.3516	6	2
6	adulescentior	13	1	0.2747	73.6264	6	2
6	feci	4	1	0.2747	73.9011	6	2
6	noscite	7	1	0.2747	74.1758	6	2
6	inveterascerent	15	1	0.2747	74.4505	6	2
6	cum	3	1	0.2747	74.7253	6	2
6	poeta	5	1	0.2747	75	6	2
6	scriptura	9	1	0.2747	75.2747	6	2
6	evanesceret	11	1	0.2747	75.5495	6	2
6	quas	4	1	0.2747	75.8242	6	2
6	caecili	7	1	0.2747	76.0989	6	2
6	didici	6	1	0.2747	76.3736	6	2
6	earum	5	1	0.2747	76.6484	6	2
6	exactu	6	1	0.2747	76.9231	6	2
6	vix	3	1	0.2747	77.1978	6	2
6	orator	6	1	0.2747	77.4725	6	2
6	quaeso	6	1	0.2747	77.7473	6	2
6	quia	4	1	0.2747	78.022	6	2
