rank	word	wordlength	count	frequenz(count*100/498)	sum frequenz	zipf(rank*count)	zipf(max/rank)
1	me	2	20	4.0161	4.0161	20	20
2	ut	2	11	2.2088	6.2249	22	10
2	mi	2	11	2.2088	8.4337	22	10
3	non	3	8	1.6064	10.0402	24	6.7
3	esse	4	8	1.6064	11.6466	24	6.7
4	et	2	7	1.4056	13.0522	28	5
4	mihi	4	7	1.4056	14.4578	28	5
4	ita	3	7	1.4056	15.8635	28	5
5	te	2	6	1.2048	17.0683	30	4
5	quid	4	6	1.2048	18.2731	30	4
6	pol	3	5	1.004	19.2771	30	3.3
6	nunc	4	5	1.004	20.2811	30	3.3
7	hic	3	4	0.8032	21.0843	28	2.9
7	gnate	5	4	0.8032	21.8876	28	2.9
7	illam	5	4	0.8032	22.6908	28	2.9
7	est	3	4	0.8032	23.494	28	2.9
7	quod	4	4	0.8032	24.2972	28	2.9
7	nam	3	4	0.8032	25.1004	28	2.9
7	di	2	4	0.8032	25.9036	28	2.9
8	an	2	3	0.6024	26.506	24	2.5
8	ex	2	3	0.6024	27.1084	24	2.5
8	quae	4	3	0.6024	27.7108	24	2.5
8	hoc	3	3	0.6024	28.3133	24	2.5
8	iam	3	3	0.6024	28.9157	24	2.5
8	mea	3	3	0.6024	29.5181	24	2.5
8	ne	2	3	0.6024	30.1205	24	2.5
8	sum	3	3	0.6024	30.7229	24	2.5
8	tuo	3	3	0.6024	31.3253	24	2.5
8	male	4	3	0.6024	31.9277	24	2.5
8	ego	3	3	0.6024	32.5301	24	2.5
8	ad	2	3	0.6024	33.1325	24	2.5
8	ament	5	3	0.6024	33.7349	24	2.5
8	itaque	6	3	0.6024	34.3373	24	2.5
9	obstet	6	2	0.4016	34.739	18	2.2
9	animum	6	2	0.4016	35.1406	18	2.2
9	miseram	7	2	0.4016	35.5422	18	2.2
9	tibi	4	2	0.4016	35.9438	18	2.2
9	gratiam	7	2	0.4016	36.3454	18	2.2
9	omnes	5	2	0.4016	36.747	18	2.2
9	propter	7	2	0.4016	37.1486	18	2.2
9	pamphile	8	2	0.4016	37.5502	18	2.2
9	in	2	2	0.4016	37.9518	18	2.2
9	omnis	5	2	0.4016	38.3534	18	2.2
9	haec	4	2	0.4016	38.755	18	2.2
9	misera	6	2	0.4016	39.1566	18	2.2
9	uxorem	6	2	0.4016	39.5582	18	2.2
9	si	2	2	0.4016	39.9598	18	2.2
9	faciam	6	2	0.4016	40.3614	18	2.2
9	hem	3	2	0.4016	40.7631	18	2.2
9	visam	5	2	0.4016	41.1647	18	2.2
9	res	3	2	0.4016	41.5663	18	2.2
9	sit	3	2	0.4016	41.9679	18	2.2
9	redeat	6	2	0.4016	42.3695	18	2.2
9	eam	3	2	0.4016	42.7711	18	2.2
9	numquam	7	2	0.4016	43.1727	18	2.2
9	obsecro	7	2	0.4016	43.5743	18	2.2
9	vir	3	2	0.4016	43.9759	18	2.2
9	quam	4	2	0.4016	44.3775	18	2.2
9	rem	3	2	0.4016	44.7791	18	2.2
9	lache	5	2	0.4016	45.1807	18	2.2
