rank	word	wordlength	count	frequency(count*100/7304)	sum frequency	zipf(rank*count)	zipf(max/rank)
1	me	2	127	1.7388	1.7388	127	127
2	ut	2	119	1.6292	3.368	238	63.5
3	est	3	91	1.2459	4.6139	273	42.3
4	te	2	89	1.2185	5.8324	356	31.8
5	non	3	83	1.1364	6.9688	415	25.4
5	et	2	83	1.1364	8.1051	415	25.4
6	quid	4	75	1.0268	9.132	450	21.2
7	in	2	72	0.9858	10.1177	504	18.1
8	esse	4	66	0.9036	11.0214	528	15.9
9	nam	3	64	0.8762	11.8976	576	14.1
10	quam	4	63	0.8625	12.7601	630	12.7
11	si	2	62	0.8488	13.609	682	11.5
11	quod	4	62	0.8488	14.4578	682	11.5
12	hoc	3	56	0.7667	15.2245	672	10.6
13	mihi	4	50	0.6846	15.9091	650	9.8
14	ego	3	47	0.6435	16.5526	658	9.1
15	quae	4	46	0.6298	17.1824	690	8.5
16	ad	2	45	0.6161	17.7985	720	7.9
17	nunc	4	42	0.575	18.3735	714	7.5
18	haec	4	41	0.5613	18.9348	738	7.1
19	sed	3	39	0.534	19.4688	741	6.7
20	qui	3	38	0.5203	19.989	760	6.4
21	ita	3	37	0.5066	20.4956	777	6
22	mi	2	36	0.4929	20.9885	792	5.8
23	id	2	35	0.4792	21.4677	805	5.5
23	rem	3	35	0.4792	21.9469	805	5.5
24	hic	3	31	0.4244	22.3713	744	5.3
24	atque	5	31	0.4244	22.7957	744	5.3
24	neque	5	31	0.4244	23.2202	744	5.3
24	hanc	4	31	0.4244	23.6446	744	5.3
25	tu	2	30	0.4107	24.0553	750	5.1
25	ne	2	30	0.4107	24.466	750	5.1
25	sit	3	30	0.4107	24.8768	750	5.1
25	tibi	4	30	0.4107	25.2875	750	5.1
26	ex	2	29	0.397	25.6846	754	4.9
27	quom	4	28	0.3834	26.0679	756	4.7
27	sum	3	28	0.3834	26.4513	756	4.7
28	uxorem	6	27	0.3697	26.8209	756	4.5
29	eam	3	26	0.356	27.1769	754	4.4
29	se	2	26	0.356	27.5329	754	4.4
29	iam	3	26	0.356	27.8888	754	4.4
29	scio	4	26	0.356	28.2448	754	4.4
30	aut	3	22	0.3012	28.546	660	4.2
31	parmeno	7	20	0.2738	28.8198	620	4.1
31	ea	2	20	0.2738	29.0936	620	4.1
31	pamphile	8	20	0.2738	29.3675	620	4.1
32	eo	2	19	0.2601	29.6276	608	4
32	mea	3	19	0.2601	29.8877	608	4
32	numquam	7	19	0.2601	30.1479	608	4
33	ab	2	18	0.2464	30.3943	594	3.8
33	adeo	4	18	0.2464	30.6407	594	3.8
33	de	2	18	0.2464	30.8872	594	3.8
33	haud	4	18	0.2464	31.1336	594	3.8
33	animum	6	18	0.2464	31.3801	594	3.8
33	causa	5	18	0.2464	31.6265	594	3.8
34	cum	3	17	0.2327	31.8593	578	3.7
34	intro	5	17	0.2327	32.092	578	3.7
34	illam	5	17	0.2327	32.3248	578	3.7
34	quo	3	17	0.2327	32.5575	578	3.7
35	pol	3	16	0.2191	32.7766	560	3.6
35	ubi	3	16	0.2191	32.9956	560	3.6
35	ob	2	16	0.2191	33.2147	560	3.6
35	tum	3	16	0.2191	33.4337	560	3.6
36	huc	3	15	0.2054	33.6391	540	3.5
36	di	2	15	0.2054	33.8445	540	3.5
36	hunc	4	15	0.2054	34.0498	540	3.5
36	nil	3	15	0.2054	34.2552	540	3.5
36	res	3	15	0.2054	34.4606	540	3.5
36	re	2	15	0.2054	34.6659	540	3.5
36	inter	5	15	0.2054	34.8713	540	3.5
36	a	1	15	0.2054	35.0767	540	3.5
36	nos	3	15	0.2054	35.282	540	3.5
37	istuc	5	14	0.1917	35.4737	518	3.4
37	video	5	14	0.1917	35.6654	518	3.4
37	pater	5	14	0.1917	35.8571	518	3.4
37	etiam	5	14	0.1917	36.0487	518	3.4
37	at	2	14	0.1917	36.2404	518	3.4
37	an	2	14	0.1917	36.4321	518	3.4
38	eum	3	13	0.178	36.6101	494	3.3
38	hac	3	13	0.178	36.7881	494	3.3
38	nec	3	13	0.178	36.966	494	3.3
38	modo	4	13	0.178	37.144	494	3.3
38	postquam	8	13	0.178	37.322	494	3.3
39	domum	5	12	0.1643	37.4863	468	3.3
39	sese	4	12	0.1643	37.6506	468	3.3
39	animo	5	12	0.1643	37.8149	468	3.3
39	una	3	12	0.1643	37.9792	468	3.3
39	facere	6	12	0.1643	38.1435	468	3.3
39	quia	4	12	0.1643	38.3078	468	3.3
39	sunt	4	12	0.1643	38.4721	468	3.3
39	venit	5	12	0.1643	38.6364	468	3.3
39	hinc	4	12	0.1643	38.8007	468	3.3
39	vos	3	12	0.1643	38.965	468	3.3
39	quidem	6	12	0.1643	39.1292	468	3.3
40	factum	6	11	0.1506	39.2798	440	3.2
40	arbitror	8	11	0.1506	39.4304	440	3.2
40	autem	5	11	0.1506	39.5811	440	3.2
40	illi	4	11	0.1506	39.7317	440	3.2
40	quin	4	11	0.1506	39.8823	440	3.2
40	illum	5	11	0.1506	40.0329	440	3.2
40	dum	3	11	0.1506	40.1835	440	3.2
40	edepol	6	11	0.1506	40.3341	440	3.2
40	vobis	5	11	0.1506	40.4847	440	3.2
40	puerum	6	11	0.1506	40.6353	440	3.2
41	clam	4	10	0.1369	40.7722	410	3.1
41	phidippe	8	10	0.1369	40.9091	410	3.1
41	esset	5	10	0.1369	41.046	410	3.1
41	es	2	10	0.1369	41.1829	410	3.1
41	credo	5	10	0.1369	41.3198	410	3.1
41	faciam	6	10	0.1369	41.4567	410	3.1
41	hodie	5	10	0.1369	41.5936	410	3.1
41	omnis	5	10	0.1369	41.7306	410	3.1
41	verum	5	10	0.1369	41.8675	410	3.1
41	dicam	5	10	0.1369	42.0044	410	3.1
41	siet	4	10	0.1369	42.1413	410	3.1
41	uti	3	10	0.1369	42.2782	410	3.1
42	fidem	5	9	0.1232	42.4014	378	3
42	maxume	6	9	0.1232	42.5246	378	3
42	mater	5	9	0.1232	42.6479	378	3
42	illa	4	9	0.1232	42.7711	378	3
42	salve	5	9	0.1232	42.8943	378	3
42	quem	4	9	0.1232	43.0175	378	3
42	dic	3	9	0.1232	43.1407	378	3
42	meo	3	9	0.1232	43.264	378	3
42	nobis	5	9	0.1232	43.3872	378	3
42	perii	5	9	0.1232	43.5104	378	3
42	lache	5	9	0.1232	43.6336	378	3
42	omnes	5	9	0.1232	43.7568	378	3
42	ei	2	9	0.1232	43.8801	378	3
42	etsi	4	9	0.1232	44.0033	378	3
42	vis	3	9	0.1232	44.1265	378	3
42	tua	3	9	0.1232	44.2497	378	3
42	is	2	9	0.1232	44.3729	378	3
42	pro	3	9	0.1232	44.4962	378	3
43	ac	2	8	0.1095	44.6057	344	3
43	olim	4	8	0.1095	44.7152	344	3
43	pacto	5	8	0.1095	44.8248	344	3
43	uxor	4	8	0.1095	44.9343	344	3
43	meum	4	8	0.1095	45.0438	344	3
43	miser	5	8	0.1095	45.1533	344	3
43	posse	5	8	0.1095	45.2629	344	3
43	apud	4	8	0.1095	45.3724	344	3
43	fore	4	8	0.1095	45.4819	344	3
43	post	4	8	0.1095	45.5915	344	3
43	eas	3	8	0.1095	45.701	344	3
43	o	1	8	0.1095	45.8105	344	3
43	ante	4	8	0.1095	45.92	344	3
43	pamphilum	9	8	0.1095	46.0296	344	3
43	huic	4	8	0.1095	46.1391	344	3
43	posset	6	8	0.1095	46.2486	344	3
43	bene	4	8	0.1095	46.3582	344	3
43	quicquam	8	8	0.1095	46.4677	344	3
43	vero	4	8	0.1095	46.5772	344	3
44	quoi	4	7	0.0958	46.6731	308	2.9
44	causam	6	7	0.0958	46.7689	308	2.9
44	ipsa	4	7	0.0958	46.8647	308	2.9
44	interea	7	7	0.0958	46.9606	308	2.9
44	nisi	4	7	0.0958	47.0564	308	2.9
44	ilico	5	7	0.0958	47.1522	308	2.9
44	immo	4	7	0.0958	47.2481	308	2.9
44	potest	6	7	0.0958	47.3439	308	2.9
44	gratiam	7	7	0.0958	47.4398	308	2.9
44	mage	4	7	0.0958	47.5356	308	2.9
44	tam	3	7	0.0958	47.6314	308	2.9
44	culpa	5	7	0.0958	47.7273	308	2.9
44	omnia	5	7	0.0958	47.8231	308	2.9
44	nescio	6	7	0.0958	47.9189	308	2.9
44	sati	4	7	0.0958	48.0148	308	2.9
44	tempu	5	7	0.0958	48.1106	308	2.9
44	myrrina	7	7	0.0958	48.2065	308	2.9
44	abs	3	7	0.0958	48.3023	308	2.9
44	hercle	6	7	0.0958	48.3981	308	2.9
44	ament	5	7	0.0958	48.494	308	2.9
44	mecum	5	7	0.0958	48.5898	308	2.9
44	ille	4	7	0.0958	48.6857	308	2.9
44	sine	4	7	0.0958	48.7815	308	2.9
44	sibi	4	7	0.0958	48.8773	308	2.9
44	tuam	4	7	0.0958	48.9732	308	2.9
44	per	3	7	0.0958	49.069	308	2.9
44	bacchidem	9	7	0.0958	49.1648	308	2.9
44	magis	5	7	0.0958	49.2607	308	2.9
44	habere	6	7	0.0958	49.3565	308	2.9
44	potiu	5	7	0.0958	49.4524	308	2.9
45	redeat	6	6	0.0821	49.5345	270	2.8
45	tamen	5	6	0.0821	49.6166	270	2.8
45	qua	3	6	0.0821	49.6988	270	2.8
45	hem	3	6	0.0821	49.7809	270	2.8
45	eadem	5	6	0.0821	49.8631	270	2.8
45	ah	2	6	0.0821	49.9452	270	2.8
45	sim	3	6	0.0821	50.0274	270	2.8
45	coepi	5	6	0.0821	50.1095	270	2.8
45	rus	3	6	0.0821	50.1917	270	2.8
45	unde	4	6	0.0821	50.2738	270	2.8
45	obsecro	7	6	0.0821	50.356	270	2.8
45	foras	5	6	0.0821	50.4381	270	2.8
45	nemo	4	6	0.0821	50.5203	270	2.8
45	facile	6	6	0.0821	50.6024	270	2.8
45	multo	5	6	0.0821	50.6846	270	2.8
45	alias	5	6	0.0821	50.7667	270	2.8
45	sententia	9	6	0.0821	50.8488	270	2.8
45	filiam	6	6	0.0821	50.931	270	2.8
45	senex	5	6	0.0821	51.0131	270	2.8
45	meae	4	6	0.0821	51.0953	270	2.8
45	philumena	9	6	0.0821	51.1774	270	2.8
45	equidem	7	6	0.0821	51.2596	270	2.8
45	credidi	7	6	0.0821	51.3417	270	2.8
45	umquam	6	6	0.0821	51.4239	270	2.8
45	diem	4	6	0.0821	51.506	270	2.8
45	sane	4	6	0.0821	51.5882	270	2.8
45	partim	6	6	0.0821	51.6703	270	2.8
45	sic	3	6	0.0821	51.7525	270	2.8
45	misera	6	6	0.0821	51.8346	270	2.8
45	propter	7	6	0.0821	51.9168	270	2.8
45	iniuriam	8	6	0.0821	51.9989	270	2.8
45	quoque	6	6	0.0821	52.0811	270	2.8
45	plus	4	6	0.0821	52.1632	270	2.8
