rank	word	wordlength	count	frequency(count*100/852)	sum frequency	zipf(rank*count)	zipf(max/rank)
1	quid	4	24	2.8169	2.8169	24	24
2	quod	4	15	1.7606	4.5775	30	12
3	est	3	12	1.4085	5.9859	36	8
3	quam	4	12	1.4085	7.3944	36	8
4	mihi	4	11	1.2911	8.6854	44	6
5	me	2	10	1.1737	9.8592	50	4.8
5	ut	2	10	1.1737	11.0329	50	4.8
5	geta	4	10	1.1737	12.2066	50	4.8
6	hic	3	9	1.0563	13.2629	54	4
6	in	2	9	1.0563	14.3192	54	4
6	nunc	4	9	1.0563	15.3756	54	4
7	ego	3	8	0.939	16.3146	56	3.4
7	non	3	8	0.939	17.2535	56	3.4
8	si	2	7	0.8216	18.0751	56	3
8	aut	3	7	0.8216	18.8967	56	3
9	id	2	6	0.7042	19.6009	54	2.7
9	rem	3	6	0.7042	20.3052	54	2.7
9	hoc	3	6	0.7042	21.0094	54	2.7
10	sed	3	5	0.5869	21.5962	50	2.4
10	qui	3	5	0.5869	22.1831	50	2.4
10	ei	2	5	0.5869	22.77	50	2.4
10	mi	2	5	0.5869	23.3568	50	2.4
11	tibi	4	4	0.4695	23.8263	44	2.2
11	neque	5	4	0.4695	24.2958	44	2.2
11	res	3	4	0.4695	24.7653	44	2.2
11	te	2	4	0.4695	25.2347	44	2.2
11	huic	4	4	0.4695	25.7042	44	2.2
11	nam	3	4	0.4695	26.1737	44	2.2
11	possum	6	4	0.4695	26.6432	44	2.2
11	quom	4	4	0.4695	27.1127	44	2.2
11	eius	4	4	0.4695	27.5822	44	2.2
11	obsecro	7	4	0.4695	28.0516	44	2.2
11	hunc	4	4	0.4695	28.5211	44	2.2
11	phaedria	8	4	0.4695	28.9906	44	2.2
11	et	2	4	0.4695	29.4601	44	2.2
11	ita	3	4	0.4695	29.9296	44	2.2
11	quo	3	4	0.4695	30.3991	44	2.2
12	exspecto	8	3	0.3521	30.7512	36	2
12	potes	5	3	0.3521	31.1033	36	2
12	ob	2	3	0.3521	31.4554	36	2
12	nil	3	3	0.3521	31.8075	36	2
12	quidnam	7	3	0.3521	32.1596	36	2
12	cedo	4	3	0.3521	32.5117	36	2
12	ah	2	3	0.3521	32.8638	36	2
12	velis	5	3	0.3521	33.216	36	2
12	meae	4	3	0.3521	33.5681	36	2
12	sese	4	3	0.3521	33.9202	36	2
12	patri	5	3	0.3521	34.2723	36	2
12	phormio	7	3	0.3521	34.6244	36	2
12	numquid	7	3	0.3521	34.9765	36	2
12	argentum	8	3	0.3521	35.3286	36	2
12	sunt	4	3	0.3521	35.6808	36	2
12	nequid	6	3	0.3521	36.0329	36	2
12	eum	3	3	0.3521	36.385	36	2
12	novi	4	3	0.3521	36.7371	36	2
12	sic	3	3	0.3521	37.0892	36	2
12	quidem	6	3	0.3521	37.4413	36	2
12	em	2	3	0.3521	37.7934	36	2
12	spes	4	3	0.3521	38.1455	36	2
12	quin	4	3	0.3521	38.4977	36	2
12	sum	3	3	0.3521	38.8498	36	2
12	tuam	4	3	0.3521	39.2019	36	2
13	timeo	5	2	0.2347	39.4366	26	1.8
13	illi	4	2	0.2347	39.6714	26	1.8
13	animo	5	2	0.2347	39.9061	26	1.8
13	quas	4	2	0.2347	40.1408	26	1.8
13	is	2	2	0.2347	40.3756	26	1.8
13	itane	5	2	0.2347	40.6103	26	1.8
13	miser	5	2	0.2347	40.8451	26	1.8
13	huc	3	2	0.2347	41.0798	26	1.8
13	certe	5	2	0.2347	41.3146	26	1.8
13	utut	4	2	0.2347	41.5493	26	1.8
13	getam	5	2	0.2347	41.784	26	1.8
13	cum	3	2	0.2347	42.0188	26	1.8
13	domist	6	2	0.2347	42.2535	26	1.8
13	opera	5	2	0.2347	42.4883	26	1.8
13	vobis	5	2	0.2347	42.723	26	1.8
13	patruom	7	2	0.2347	42.9577	26	1.8
13	di	2	2	0.2347	43.1925	26	1.8
13	domum	5	2	0.2347	43.4272	26	1.8
13	fiet	4	2	0.2347	43.662	26	1.8
13	phanium	7	2	0.2347	43.8967	26	1.8
13	satin	5	2	0.2347	44.1315	26	1.8
13	occidi	6	2	0.2347	44.3662	26	1.8
13	illam	5	2	0.2347	44.6009	26	1.8
13	omnes	5	2	0.2347	44.8357	26	1.8
13	vitam	5	2	0.2347	45.0704	26	1.8
13	atque	5	2	0.2347	45.3052	26	1.8
13	fecit	5	2	0.2347	45.5399	26	1.8
13	an	2	2	0.2347	45.7746	26	1.8
13	scio	4	2	0.2347	46.0094	26	1.8
13	fortunae	8	2	0.2347	46.2441	26	1.8
13	volt	4	2	0.2347	46.4789	26	1.8
13	ubinam	6	2	0.2347	46.7136	26	1.8
13	iam	3	2	0.2347	46.9484	26	1.8
13	verbero	7	2	0.2347	47.1831	26	1.8
13	cura	4	2	0.2347	47.4178	26	1.8
13	siquid	6	2	0.2347	47.6526	26	1.8
13	velim	5	2	0.2347	47.8873	26	1.8
13	ergo	4	2	0.2347	48.1221	26	1.8
13	vide	4	2	0.2347	48.3568	26	1.8
13	mox	3	2	0.2347	48.5915	26	1.8
13	fuit	4	2	0.2347	48.8263	26	1.8
13	animum	6	2	0.2347	49.061	26	1.8
13	heus	4	2	0.2347	49.2958	26	1.8
13	ni	2	2	0.2347	49.5305	26	1.8
13	at	2	2	0.2347	49.7653	26	1.8
13	dies	4	2	0.2347	50	26	1.8
13	ais	3	2	0.2347	50.2347	26	1.8
13	tum	3	2	0.2347	50.4695	26	1.8
13	ne	2	2	0.2347	50.7042	26	1.8
13	mali	4	2	0.2347	50.939	26	1.8
13	eo	2	2	0.2347	51.1737	26	1.8
13	videre	6	2	0.2347	51.4085	26	1.8
13	tu	2	2	0.2347	51.6432	26	1.8
13	patrem	6	2	0.2347	51.8779	26	1.8
13	venit	5	2	0.2347	52.1127	26	1.8
13	esse	4	2	0.2347	52.3474	26	1.8
13	pacto	5	2	0.2347	52.5822	26	1.8
13	istuc	5	2	0.2347	52.8169	26	1.8
13	ad	2	2	0.2347	53.0516	26	1.8
13	mentem	6	2	0.2347	53.2864	26	1.8
13	sit	3	2	0.2347	53.5211	26	1.8
14	incertu	7	1	0.1174	53.6385	14	1.7
14	sicin	5	1	0.1174	53.7559	14	1.7
14	opust	5	1	0.1174	53.8732	14	1.7
14	utrum	5	1	0.1174	53.9906	14	1.7
14	beneficium	10	1	0.1174	54.108	14	1.7
14	propitii	8	1	0.1174	54.2254	14	1.7
14	vanitati	8	1	0.1174	54.3427	14	1.7
14	egisti	6	1	0.1174	54.4601	14	1.7
14	rursum	6	1	0.1174	54.5775	14	1.7
14	experiemur	10	1	0.1174	54.6948	14	1.7
14	eho	3	1	0.1174	54.8122	14	1.7
14	reddere	7	1	0.1174	54.9296	14	1.7
14	stultitia	9	1	0.1174	55.0469	14	1.7
14	comiter	7	1	0.1174	55.1643	14	1.7
14	fallaciis	9	1	0.1174	55.2817	14	1.7
14	facere	6	1	0.1174	55.3991	14	1.7
14	fieri	5	1	0.1174	55.5164	14	1.7
14	tuis	4	1	0.1174	55.6338	14	1.7
14	adiuerit	8	1	0.1174	55.7512	14	1.7
14	dixti	5	1	0.1174	55.8685	14	1.7
14	decipis	7	1	0.1174	55.9859	14	1.7
14	malitia	7	1	0.1174	56.1033	14	1.7
14	dicam	5	1	0.1174	56.2207	14	1.7
14	occidisti	9	1	0.1174	56.338	14	1.7
14	patiemur	8	1	0.1174	56.4554	14	1.7
14	dudum	5	1	0.1174	56.5728	14	1.7
14	scientem	8	1	0.1174	56.6901	14	1.7
14	inprudentem	11	1	0.1174	56.8075	14	1.7
14	miserum	7	1	0.1174	56.9249	14	1.7
14	age	3	1	0.1174	57.0423	14	1.7
14	metuere	7	1	0.1174	57.1596	14	1.7
14	hodie	5	1	0.1174	57.277	14	1.7
