rank	word	wordlength	count	frequency(count*100/698)	sum frequency	zipf(rank*count)	zipf(max/rank)
1	me	2	15	2.149	2.149	15	15
2	quid	4	13	1.8625	4.0115	26	7.5
3	non	3	12	1.7192	5.7307	36	5
4	esse	4	10	1.4327	7.1633	40	3.8
4	est	3	10	1.4327	8.596	40	3.8
5	ne	2	9	1.2894	9.8854	45	3
6	ut	2	8	1.1461	11.0315	48	2.5
7	mihi	4	7	1.0029	12.0344	49	2.1
7	nos	3	7	1.0029	13.0372	49	2.1
8	hoc	3	6	0.8596	13.8968	48	1.9
8	sum	3	6	0.8596	14.7564	48	1.9
8	id	2	6	0.8596	15.616	48	1.9
8	quam	4	6	0.8596	16.4756	48	1.9
9	te	2	5	0.7163	17.192	45	1.7
9	atque	5	5	0.7163	17.9083	45	1.7
9	quae	4	5	0.7163	18.6246	45	1.7
9	cum	3	5	0.7163	19.341	45	1.7
9	ego	3	5	0.7163	20.0573	45	1.7
9	haec	4	5	0.7163	20.7736	45	1.7
10	hic	3	4	0.5731	21.3467	40	1.5
10	quod	4	4	0.5731	21.9198	40	1.5
10	si	2	4	0.5731	22.4928	40	1.5
10	dum	3	4	0.5731	23.0659	40	1.5
10	ita	3	4	0.5731	23.639	40	1.5
10	hanc	4	4	0.5731	24.212	40	1.5
10	nam	3	4	0.5731	24.7851	40	1.5
10	ad	2	4	0.5731	25.3582	40	1.5
11	iam	3	3	0.4298	25.788	33	1.4
11	uxorem	6	3	0.4298	26.2178	33	1.4
11	di	2	3	0.4298	26.6476	33	1.4
11	quo	3	3	0.4298	27.0774	33	1.4
11	aut	3	3	0.4298	27.5072	33	1.4
11	unde	4	3	0.4298	27.937	33	1.4
11	ubi	3	3	0.4298	28.3668	33	1.4
11	sit	3	3	0.4298	28.7966	33	1.4
11	mea	3	3	0.4298	29.2264	33	1.4
11	tu	2	3	0.4298	29.6562	33	1.4
11	a	1	3	0.4298	30.086	33	1.4
11	nil	3	3	0.4298	30.5158	33	1.4
11	argentum	8	3	0.4298	30.9456	33	1.4
11	opus	4	3	0.4298	31.3754	33	1.4
11	at	2	3	0.4298	31.8052	33	1.4
11	et	2	3	0.4298	32.235	33	1.4
11	video	5	3	0.4298	32.6648	33	1.4
11	meam	4	3	0.4298	33.0946	33	1.4
11	hem	3	3	0.4298	33.5244	33	1.4
11	qui	3	3	0.4298	33.9542	33	1.4
12	sophrona	8	2	0.2865	34.2407	24	1.3
12	volo	4	2	0.2865	34.5272	24	1.3
12	ducat	5	2	0.2865	34.8138	24	1.3
12	hinc	4	2	0.2865	35.1003	24	1.3
12	resciscat	9	2	0.2865	35.3868	24	1.3
12	demipho	7	2	0.2865	35.6734	24	1.3
12	aliqua	6	2	0.2865	35.9599	24	1.3
12	nostra	6	2	0.2865	36.2464	24	1.3
12	amittere	8	2	0.2865	36.533	24	1.3
12	autem	5	2	0.2865	36.8195	24	1.3
12	sic	3	2	0.2865	37.106	24	1.3
12	dic	3	2	0.2865	37.3926	24	1.3
12	uxor	4	2	0.2865	37.6791	24	1.3
12	familia	7	2	0.2865	37.9656	24	1.3
12	cura	4	2	0.2865	38.2521	24	1.3
12	plus	4	2	0.2865	38.5387	24	1.3
12	illam	5	2	0.2865	38.8252	24	1.3
12	solu	4	2	0.2865	39.1117	24	1.3
12	eam	3	2	0.2865	39.3983	24	1.3
12	istoc	5	2	0.2865	39.6848	24	1.3
12	geta	4	2	0.2865	39.9713	24	1.3
12	iuppiter	8	2	0.2865	40.2579	24	1.3
12	magni	5	2	0.2865	40.5444	24	1.3
12	ei	2	2	0.2865	40.8309	24	1.3
12	datum	5	2	0.2865	41.1175	24	1.3
12	quantum	7	2	0.2865	41.404	24	1.3
12	cave	4	2	0.2865	41.6905	24	1.3
12	illi	4	2	0.2865	41.9771	24	1.3
12	eo	2	2	0.2865	42.2636	24	1.3
12	nomine	6	2	0.2865	42.5501	24	1.3
12	recte	5	2	0.2865	42.8367	24	1.3
12	volumus	7	2	0.2865	43.1232	24	1.3
12	quidem	6	2	0.2865	43.4097	24	1.3
12	tibi	4	2	0.2865	43.6963	24	1.3
12	in	2	2	0.2865	43.9828	24	1.3
12	temere	6	2	0.2865	44.2693	24	1.3
12	fidem	5	2	0.2865	44.5559	24	1.3
12	magis	5	2	0.2865	44.8424	24	1.3
12	uxori	5	2	0.2865	45.1289	24	1.3
12	dixi	4	2	0.2865	45.4155	24	1.3
12	sed	3	2	0.2865	45.702	24	1.3
12	illas	5	2	0.2865	45.9885	24	1.3
12	pacto	5	2	0.2865	46.2751	24	1.3
12	mecum	5	2	0.2865	46.5616	24	1.3
12	volebam	7	2	0.2865	46.8481	24	1.3
12	factum	6	2	0.2865	47.1347	24	1.3
12	mage	4	2	0.2865	47.4212	24	1.3
12	nunc	4	2	0.2865	47.7077	24	1.3
12	forte	5	2	0.2865	47.9943	24	1.3
12	adeo	4	2	0.2865	48.2808	24	1.3
12	ais	3	2	0.2865	48.5673	24	1.3
13	ehem	4	1	0.1433	48.7106	13	1.2
13	audies	6	1	0.1433	48.8539	13	1.2
13	effuttiretis	12	1	0.1433	48.9971	13	1.2
13	datumst	7	1	0.1433	49.1404	13	1.2
13	nollem	6	1	0.1433	49.2837	13	1.2
13	vos	3	1	0.1433	49.4269	13	1.2
13	comperi	7	1	0.1433	49.5702	13	1.2
13	abduci	6	1	0.1433	49.7135	13	1.2
13	cognatam	8	1	0.1433	49.8567	13	1.2
13	foris	5	1	0.1433	50	13	1.2
13	transegi	8	1	0.1433	50.1433	13	1.2
13	praeterhac	10	1	0.1433	50.2865	13	1.2
13	cordi	5	1	0.1433	50.4298	13	1.2
13	utrique	7	1	0.1433	50.5731	13	1.2
13	sat	3	1	0.1433	50.7163	13	1.2
13	uterque	7	1	0.1433	50.8596	13	1.2
13	quia	4	1	0.1433	51.0029	13	1.2
13	potest	6	1	0.1433	51.1461	13	1.2
13	erat	4	1	0.1433	51.2894	13	1.2
13	inprudentes	11	1	0.1433	51.4327	13	1.2
13	paene	5	1	0.1433	51.5759	13	1.2
13	dicitur	7	1	0.1433	51.7192	13	1.2
13	cetera	6	1	0.1433	51.8625	13	1.2
13	male	4	1	0.1433	52.0057	13	1.2
13	opere	5	1	0.1433	52.149	13	1.2
13	ambo	4	1	0.1433	52.2923	13	1.2
13	amari	5	1	0.1433	52.4355	13	1.2
13	conlocatam	10	1	0.1433	52.5788	13	1.2
13	quicum	6	1	0.1433	52.7221	13	1.2
13	vivontne	8	1	0.1433	52.8653	13	1.2
13	adveniens	9	1	0.1433	53.0086	13	1.2
13	offendi	7	1	0.1433	53.1519	13	1.2
13	optare	6	1	0.1433	53.2951	13	1.2
13	sunt	4	1	0.1433	53.4384	13	1.2
13	audeas	6	1	0.1433	53.5817	13	1.2
13	antiphonin	10	1	0.1433	53.7249	13	1.2
13	eveniunt	8	1	0.1433	53.8682	13	1.2
13	duasne	6	1	0.1433	54.0115	13	1.2
13	uxores	6	1	0.1433	54.1547	13	1.2
13	habet	5	1	0.1433	54.298	13	1.2
13	saepe	5	1	0.1433	54.4413	13	1.2
13	vostram	7	1	0.1433	54.5845	13	1.2
13	alteram	7	1	0.1433	54.7278	13	1.2
13	maxumo	6	1	0.1433	54.8711	13	1.2
13	illae	5	1	0.1433	55.0143	13	1.2
13	intus	5	1	0.1433	55.1576	13	1.2
13	periclist	9	1	0.1433	55.3009	13	1.2
13	sequere	7	1	0.1433	55.4441	13	1.2
13	quisquam	8	1	0.1433	55.5874	13	1.2
13	porro	5	1	0.1433	55.7307	13	1.2
13	homines	7	1	0.1433	55.8739	13	1.2
13	rescisceret	11	1	0.1433	56.0172	13	1.2
13	deos	4	1	0.1433	56.1605	13	1.2
13	per	3	1	0.1433	56.3037	13	1.2
13	cognata	7	1	0.1433	56.447	13	1.2
13	fecit	5	1	0.1433	56.5903	13	1.2
13	exis	4	1	0.1433	56.7335	13	1.2
13	sua	3	1	0.1433	56.8768	13	1.2
13	eho	3	1	0.1433	57.0201	13	1.2
13	maxuma	6	1	0.1433	57.1633	13	1.2
13	rei	3	1	0.1433	57.3066	13	1.2
13	sine	4	1	0.1433	57.4499	13	1.2
13	tibist	6	1	0.1433	57.5931	13	1.2
13	hac	3	1	0.1433	57.7364	13	1.2
13	fieret	6	1	0.1433	57.8797	13	1.2
13	operam	6	1	0.1433	58.0229	13	1.2
13	dabamus	7	1	0.1433	58.1662	13	1.2
13	scire	5	1	0.1433	58.3095	13	1.2
13	nobis	5	1	0.1433	58.4527	13	1.2
13	habes	5	1	0.1433	58.596	13	1.2
13	redactu	7	1	0.1433	58.7393	13	1.2
13	possit	6	1	0.1433	58.8825	13	1.2
13	placari	7	1	0.1433	59.0258	13	1.2
13	vereor	6	1	0.1433	59.1691	13	1.2
13	simile	6	1	0.1433	59.3123	13	1.2
13	ament	5	1	0.1433	59.4556	13	1.2
13	monstri	7	1	0.1433	59.5989	13	1.2
13	rescivit	8	1	0.1433	59.7421	13	1.2
13	condonamu	9	1	0.1433	59.8854	13	1.2
13	vis	3	1	0.1433	60.0287	13	1.2
13	agam	4	1	0.1433	60.1719	13	1.2
13	facimu	6	1	0.1433	60.3152	13	1.2
13	missum	6	1	0.1433	60.4585	13	1.2
13	facias	6	1	0.1433	60.6017	13	1.2
13	obsecro	7	1	0.1433	60.745	13	1.2
13	sepultu	7	1	0.1433	60.8883	13	1.2
13	nullu	5	1	0.1433	61.0315	13	1.2
13	inque	5	1	0.1433	61.1748	13	1.2
13	invitum	7	1	0.1433	61.3181	13	1.2
13	sese	4	1	0.1433	61.4613	13	1.2
13	ab	2	1	0.1433	61.6046	13	1.2
13	loci	4	1	0.1433	61.7479	13	1.2
13	illo	4	1	0.1433	61.8911	13	1.2
13	tum	3	1	0.1433	62.0344	13	1.2
13	vide	4	1	0.1433	62.1777	13	1.2
13	taces	5	1	0.1433	62.3209	13	1.2
13	dicto	5	1	0.1433	62.4642	13	1.2
13	timeo	5	1	0.1433	62.6074	13	1.2
13	egon	4	1	0.1433	62.7507	13	1.2
13	credere	7	1	0.1433	62.894	13	1.2
13	pergin	6	1	0.1433	63.0372	13	1.2
13	creduas	7	1	0.1433	63.1805	13	1.2
13	quicquam	8	1	0.1433	63.3238	13	1.2
13	isti	4	1	0.1433	63.467	13	1.2
13	valet	5	1	0.1433	63.6103	13	1.2
13	inpurum	7	1	0.1433	63.7536	13	1.2
13	nesciam	7	1	0.1433	63.8968	13	1.2
13	opprime	7	1	0.1433	64.0401	13	1.2
13	os	2	1	0.1433	64.1834	13	1.2
13	hunc	4	1	0.1433	64.3266	13	1.2
13	rape	4	1	0.1433	64.4699	13	1.2
13	evoco	5	1	0.1433	64.6132	13	1.2
13	servos	6	1	0.1433	64.7564	13	1.2
13	huc	3	1	0.1433	64.8997	13	1.2
13	retine	6	1	0.1433	65.043	13	1.2
13	adsequere	9	1	0.1433	65.1862	13	1.2
13	prorsum	7	1	0.1433	65.3295	13	1.2
13	antiphonem	10	1	0.1433	65.4728	13	1.2
13	liberalis	9	1	0.1433	65.616	13	1.2
13	erit	4	1	0.1433	65.7593	13	1.2
13	hodie	5	1	0.1433	65.9026	13	1.2
13	ac	2	1	0.1433	66.0458	13	1.2
13	propior	7	1	0.1433	66.1891	13	1.2
13	servet	6	1	0.1433	66.3324	13	1.2
13	perperam	8	1	0.1433	66.4756	13	1.2
13	vin	3	1	0.1433	66.6189	13	1.2
13	perdi	5	1	0.1433	66.7622	13	1.2
13	intelleges	10	1	0.1433	66.9054	13	1.2
13	neque	5	1	0.1433	67.0487	13	1.2
13	concedes	8	1	0.1433	67.192	13	1.2
13	numquamne	9	1	0.1433	67.3352	13	1.2
13	nemost	6	1	0.1433	67.4785	13	1.2
13	norat	5	1	0.1433	67.6218	13	1.2
13	errasti	7	1	0.1433	67.765	13	1.2
13	dictum	6	1	0.1433	67.9083	13	1.2
13	aliud	5	1	0.1433	68.0516	13	1.2
13	nomen	5	1	0.1433	68.1948	13	1.2
13	patri	5	1	0.1433	68.3381	13	1.2
13	nega	4	1	0.1433	68.4814	13	1.2
13	memoriam	8	1	0.1433	68.6246	13	1.2
13	redii	5	1	0.1433	68.7679	13	1.2
13	dico	4	1	0.1433	68.9112	13	1.2
13	homo	4	1	0.1433	69.0544	13	1.2
13	ah	2	1	0.1433	69.1977	13	1.2
13	uti	3	1	0.1433	69.341	13	1.2
13	tuo	3	1	0.1433	69.4842	13	1.2
13	estne	5	1	0.1433	69.6275	13	1.2
13	resciscant	10	1	0.1433	69.7708	13	1.2
13	nostri	6	1	0.1433	69.914	13	1.2
13	filii	5	1	0.1433	70.0573	13	1.2
13	heus	4	1	0.1433	70.2006	13	1.2
13	locus	5	1	0.1433	70.3438	13	1.2
13	narrandum	9	1	0.1433	70.4871	13	1.2
13	tutus	5	1	0.1433	70.6304	13	1.2
13	sati	4	1	0.1433	70.7736	13	1.2
13	filio	5	1	0.1433	70.9169	13	1.2
13	nuptam	6	1	0.1433	71.0602	13	1.2
13	itan	4	1	0.1433	71.2034	13	1.2
13	inveni	6	1	0.1433	71.3467	13	1.2
13	gnatam	6	1	0.1433	71.49	13	1.2
13	respiciunt	10	1	0.1433	71.6332	13	1.2
13	o	1	1	0.1433	71.7765	13	1.2
13	ostium	6	1	0.1433	71.9198	13	1.2
13	operuit	7	1	0.1433	72.063	13	1.2
13	iamne	5	1	0.1433	72.2063	13	1.2
13	quidni	6	1	0.1433	72.3496	13	1.2
13	apud	4	1	0.1433	72.4928	13	1.2
13	parvam	6	1	0.1433	72.6361	13	1.2
13	olim	4	1	0.1433	72.7794	13	1.2
13	anus	4	1	0.1433	72.9226	13	1.2
13	de	2	1	0.1433	73.0659	13	1.2
13	meus	4	1	0.1433	73.2092	13	1.2
13	scio	4	1	0.1433	73.3524	13	1.2
13	phormio	7	1	0.1433	73.4957	13	1.2
13	commodum	8	1	0.1433	73.639	13	1.2
13	agebam	6	1	0.1433	73.7822	13	1.2
13	omnia	5	1	0.1433	73.9255	13	1.2
13	compluria	9	1	0.1433	74.0688	13	1.2
13	credo	5	1	0.1433	74.212	13	1.2
13	salve	5	1	0.1433	74.3553	13	1.2
13	meorum	6	1	0.1433	74.4986	13	1.2
13	potuit	6	1	0.1433	74.6418	13	1.2
13	restat	6	1	0.1433	74.7851	13	1.2
13	domo	4	1	0.1433	74.9284	13	1.2
13	egrediar	8	1	0.1433	75.0716	13	1.2
13	excutiam	8	1	0.1433	75.2149	13	1.2
13	fit	3	1	0.1433	75.3582	13	1.2
13	vereorque	9	1	0.1433	75.5014	13	1.2
13	sciet	5	1	0.1433	75.6447	13	1.2
13	scito	5	1	0.1433	75.788	13	1.2
13	spreverit	9	1	0.1433	75.9312	13	1.2
13	immo	4	1	0.1433	76.0745	13	1.2
13	meliu	5	1	0.1433	76.2178	13	1.2
13	familiaritas	12	1	0.1433	76.361	13	1.2
13	filium	6	1	0.1433	76.5043	13	1.2
13	opportune	9	1	0.1433	76.6476	13	1.2
13	renuntiet	9	1	0.1433	76.7908	13	1.2
13	repudium	8	1	0.1433	76.9341	13	1.2
13	illis	5	1	0.1433	77.0774	13	1.2
13	accipiat	8	1	0.1433	77.2206	13	1.2
13	aequom	6	1	0.1433	77.3639	13	1.2
13	eicitur	7	1	0.1433	77.5072	13	1.2
13	causa	5	1	0.1433	77.6504	13	1.2
13	fac	3	1	0.1433	77.7937	13	1.2
13	modo	4	1	0.1433	77.937	13	1.2
13	pervenirier	11	1	0.1433	78.0802	13	1.2
13	quiesce	7	1	0.1433	78.2235	13	1.2
13	dabo	4	1	0.1433	78.3668	13	1.2
13	quaeso	6	1	0.1433	78.51	13	1.2
13	decem	5	1	0.1433	78.6533	13	1.2
13	hasce	5	1	0.1433	78.7966	13	1.2
13	repetito	8	1	0.1433	78.9398	13	1.2
13	clama	5	1	0.1433	79.0831	13	1.2
13	postulat	8	1	0.1433	79.2264	13	1.2
13	cedo	4	1	0.1433	79.3696	13	1.2
13	sin	3	1	0.1433	79.5129	13	1.2
13	intercedet	10	1	0.1433	79.6562	13	1.2
13	fructum	7	1	0.1433	79.7994	13	1.2
13	omni	4	1	0.1433	79.9427	13	1.2
13	morbu	5	1	0.1433	80.086	13	1.2
13	ipsast	6	1	0.1433	80.2292	13	1.2
13	senectus	8	1	0.1433	80.3725	13	1.2
13	rogas	5	1	0.1433	80.5158	13	1.2
13	morbus	6	1	0.1433	80.659	13	1.2
13	detinuit	8	1	0.1433	80.8023	13	1.2
13	pol	3	1	0.1433	80.9456	13	1.2
13	aibant	6	1	0.1433	81.0888	13	1.2
13	profectam	9	1	0.1433	81.2321	13	1.2
13	ipsam	5	1	0.1433	81.3754	13	1.2
13	eas	3	1	0.1433	81.5186	13	1.2
13	neglegentiam	12	1	0.1433	81.6619	13	1.2
13	virginis	8	1	0.1433	81.8052	13	1.2
13	aetas	5	1	0.1433	81.9484	13	1.2
13	manebat	7	1	0.1433	82.0917	13	1.2
13	simul	5	1	0.1433	82.235	13	1.2
13	diutius	7	1	0.1433	82.3782	13	1.2
13	mater	5	1	0.1433	82.5215	13	1.2
13	eius	4	1	0.1433	82.6648	13	1.2
13	videt	5	1	0.1433	82.808	13	1.2
13	venisse	7	1	0.1433	82.9513	13	1.2
13	salvas	6	1	0.1433	83.0946	13	1.2
13	tacebit	7	1	0.1433	83.2378	13	1.2
13	dicundum	8	1	0.1433	83.3811	13	1.2
13	volet	5	1	0.1433	83.5244	13	1.2
13	adfinem	7	1	0.1433	83.6676	13	1.2
13	alienus	7	1	0.1433	83.8109	13	1.2
13	ille	4	1	0.1433	83.9542	13	1.2
13	scibam	6	1	0.1433	84.0974	13	1.2
13	egomet	6	1	0.1433	84.2407	13	1.2
13	aeque	5	1	0.1433	84.384	13	1.2
13	fidelem	7	1	0.1433	84.5272	13	1.2
13	ordinest	8	1	0.1433	84.6705	13	1.2
13	extrario	8	1	0.1433	84.8138	13	1.2
13	audivi	6	1	0.1433	84.957	13	1.2
13	tulero	6	1	0.1433	85.1003	13	1.2
13	siquoi	6	1	0.1433	85.2436	13	1.2
13	condicionem	11	1	0.1433	85.3868	13	1.2
13	facit	5	1	0.1433	85.5301	13	1.2
13	incertum	8	1	0.1433	85.6734	13	1.2
13	consili	7	1	0.1433	85.8166	13	1.2
13	vexerat	7	1	0.1433	85.9599	13	1.2
13	nauta	5	1	0.1433	86.1032	13	1.2
13	ex	2	1	0.1433	86.2464	13	1.2
13	attuli	6	1	0.1433	86.3897	13	1.2
13	quem	4	1	0.1433	86.533	13	1.2
13	verum	5	1	0.1433	86.6762	13	1.2
13	fratre	6	1	0.1433	86.8195	13	1.2
13	parum	5	1	0.1433	86.9628	13	1.2
13	fallit	6	1	0.1433	87.106	13	1.2
13	animu	5	1	0.1433	87.2493	13	1.2
13	nisi	4	1	0.1433	87.3926	13	1.2
13	edepol	6	1	0.1433	87.5358	13	1.2
13	certe	5	1	0.1433	87.6791	13	1.2
13	meo	3	1	0.1433	87.8223	13	1.2
13	egressast	9	1	0.1433	87.9656	13	1.2
13	exanimata	9	1	0.1433	88.1089	13	1.2
13	oculi	5	1	0.1433	88.2521	13	1.2
13	postquam	8	1	0.1433	88.3954	13	1.2
13	cogito	6	1	0.1433	88.5387	13	1.2
13	possim	6	1	0.1433	88.6819	13	1.2
13	reperire	8	1	0.1433	88.8252	13	1.2
13	convenit	8	1	0.1433	88.9685	13	1.2
13	mulieri	7	1	0.1433	89.1117	13	1.2
13	mulier	6	1	0.1433	89.255	13	1.2
13	praedicet	9	1	0.1433	89.3983	13	1.2
13	eiectam	7	1	0.1433	89.5415	13	1.2
13	prospiciunt	11	1	0.1433	89.6848	13	1.2
13	meae	4	1	0.1433	89.8281	13	1.2
13	fieri	5	1	0.1433	89.9713	13	1.2
13	foribu	6	1	0.1433	90.1146	13	1.2
13	saevam	6	1	0.1433	90.2579	13	1.2
13	habeo	5	1	0.1433	90.4011	13	1.2
13	conclusam	9	1	0.1433	90.5444	13	1.2
13	st	2	1	0.1433	90.6877	13	1.2
13	appellassis	11	1	0.1433	90.8309	13	1.2
13	posthac	7	1	0.1433	90.9742	13	1.2
13	sodes	5	1	0.1433	91.1175	13	1.2
13	istorsum	8	1	0.1433	91.2607	13	1.2
13	paullum	7	1	0.1433	91.404	13	1.2
