rank	word	wordlength	count	frequency(count*100/34)	sum frequency	zipf(rank*count)	zipf(max/rank)
1	et	2	2	5.8824	5.8824	2	2
1	in	2	2	5.8824	11.7647	2	2
1	vis	3	2	5.8824	17.6471	2	2
2	mene	4	1	2.9412	20.5882	2	1
2	absente	7	1	2.9412	23.5294	2	1
2	numquid	7	1	2.9412	26.4706	2	1
2	dixi	4	1	2.9412	29.4118	2	1
2	impetrabi	9	1	2.9412	32.3529	2	1
2	id	2	1	2.9412	35.2941	2	1
2	bonum	5	1	2.9412	38.2353	2	1
2	aequomst	8	1	2.9412	41.1765	2	1
2	integrum	8	1	2.9412	44.1176	2	1
2	restitui	8	1	2.9412	47.0588	2	1
2	egit	4	1	2.9412	50	2	1
2	filius	6	1	2.9412	52.9412	2	1
2	hic	3	1	2.9412	55.8824	2	1
2	quod	4	1	2.9412	58.8235	2	1
2	te	2	1	2.9412	61.7647	2	1
2	videtur	7	1	2.9412	64.7059	2	1
2	hoc	3	1	2.9412	67.6471	2	1
2	sic	3	1	2.9412	70.5882	2	1
2	mihi	4	1	2.9412	73.5294	2	1
2	facias	6	1	2.9412	76.4706	2	1
2	velim	5	1	2.9412	79.4118	2	1
2	ea	2	1	2.9412	82.3529	2	1
2	sint	4	1	2.9412	85.2941	2	1
2	tuam	4	1	2.9412	88.2353	2	1
2	rem	3	1	2.9412	91.1765	2	1
2	quae	4	1	2.9412	94.1176	2	1
2	ego	3	1	2.9412	97.0588	2	1
2	nos	3	1	2.9412	100	2	1
