rank	word	wordlength	count	frequency(count*100/1440)	sum frequency	zipf(rank*count)	zipf(max/rank)
1	ut	2	30	2.0833	2.0833	30	30
2	quid	4	28	1.9444	4.0278	56	15
3	non	3	19	1.3194	5.3472	57	10
4	me	2	17	1.1806	6.5278	68	7.5
4	mihi	4	17	1.1806	7.7083	68	7.5
5	qui	3	16	1.1111	8.8194	80	6
5	est	3	16	1.1111	9.9306	80	6
6	in	2	15	1.0417	10.9722	90	5
6	id	2	15	1.0417	12.0139	90	5
7	ego	3	14	0.9722	12.9861	98	4.3
7	hoc	3	14	0.9722	13.9583	98	4.3
7	aut	3	14	0.9722	14.9306	98	4.3
8	te	2	12	0.8333	15.7639	96	3.8
9	esse	4	11	0.7639	16.5278	99	3.3
9	quam	4	11	0.7639	17.2917	99	3.3
10	ita	3	10	0.6944	17.9861	100	3
10	quod	4	10	0.6944	18.6806	100	3
10	nunc	4	10	0.6944	19.375	100	3
11	si	2	9	0.625	20	99	2.7
11	ad	2	9	0.625	20.625	99	2.7
11	tu	2	9	0.625	21.25	99	2.7
11	tibi	4	9	0.625	21.875	99	2.7
12	cum	3	8	0.5556	22.4306	96	2.5
12	haec	4	8	0.5556	22.9861	96	2.5
12	rem	3	8	0.5556	23.5417	96	2.5
13	neque	5	7	0.4861	24.0278	91	2.3
13	quom	4	7	0.4861	24.5139	91	2.3
13	mi	2	7	0.4861	25	91	2.3
13	iam	3	7	0.4861	25.4861	91	2.3
14	hanc	4	6	0.4167	25.9028	84	2.1
14	hinc	4	6	0.4167	26.3194	84	2.1
14	quidem	6	6	0.4167	26.7361	84	2.1
14	et	2	6	0.4167	27.1528	84	2.1
14	sit	3	6	0.4167	27.5694	84	2.1
14	omnia	5	6	0.4167	27.9861	84	2.1
14	ne	2	6	0.4167	28.4028	84	2.1
15	chreme	6	5	0.3472	28.75	75	2
15	ob	2	5	0.3472	29.0972	75	2
15	tum	3	5	0.3472	29.4444	75	2
15	illa	4	5	0.3472	29.7917	75	2
15	atque	5	5	0.3472	30.1389	75	2
15	istuc	5	5	0.3472	30.4861	75	2
15	hac	3	5	0.3472	30.8333	75	2
15	potest	6	5	0.3472	31.1806	75	2
15	re	2	5	0.3472	31.5278	75	2
15	hem	3	5	0.3472	31.875	75	2
15	phormio	7	5	0.3472	32.2222	75	2
15	es	2	5	0.3472	32.5694	75	2
15	dic	3	5	0.3472	32.9167	75	2
15	autem	5	5	0.3472	33.2639	75	2
15	tua	3	5	0.3472	33.6111	75	2
16	quo	3	4	0.2778	33.8889	64	1.9
16	cognata	7	4	0.2778	34.1667	64	1.9
16	res	3	4	0.2778	34.4444	64	1.9
16	abi	3	4	0.2778	34.7222	64	1.9
16	fuit	4	4	0.2778	35	64	1.9
16	ius	3	4	0.2778	35.2778	64	1.9
16	ais	3	4	0.2778	35.5556	64	1.9
16	unde	4	4	0.2778	35.8333	64	1.9
16	nil	3	4	0.2778	36.1111	64	1.9
16	age	3	4	0.2778	36.3889	64	1.9
16	hercle	6	4	0.2778	36.6667	64	1.9
16	nos	3	4	0.2778	36.9444	64	1.9
16	at	2	4	0.2778	37.2222	64	1.9
16	animo	5	4	0.2778	37.5	64	1.9
16	geta	4	4	0.2778	37.7778	64	1.9
16	ubi	3	4	0.2778	38.0556	64	1.9
16	sed	3	4	0.2778	38.3333	64	1.9
16	filium	6	4	0.2778	38.6111	64	1.9
16	verum	5	4	0.2778	38.8889	64	1.9
16	an	2	4	0.2778	39.1667	64	1.9
16	illi	4	4	0.2778	39.4444	64	1.9
16	igitur	6	4	0.2778	39.7222	64	1.9
16	scio	4	4	0.2778	40	64	1.9
16	hic	3	4	0.2778	40.2778	64	1.9
16	de	2	4	0.2778	40.5556	64	1.9
16	lex	3	4	0.2778	40.8333	64	1.9
17	domum	5	3	0.2083	41.0417	51	1.8
17	adulescens	10	3	0.2083	41.25	51	1.8
17	nam	3	3	0.2083	41.4583	51	1.8
17	nobis	5	3	0.2083	41.6667	51	1.8
17	egon	4	3	0.2083	41.875	51	1.8
17	phaedria	8	3	0.2083	42.0833	51	1.8
17	nausistrata	11	3	0.2083	42.2917	51	1.8
17	illo	4	3	0.2083	42.5	51	1.8
17	quae	4	3	0.2083	42.7083	51	1.8
17	illum	5	3	0.2083	42.9167	51	1.8
17	ipsum	5	3	0.2083	43.125	51	1.8
17	se	2	3	0.2083	43.3333	51	1.8
17	nisi	4	3	0.2083	43.5417	51	1.8
17	pacto	5	3	0.2083	43.75	51	1.8
17	quaeso	6	3	0.2083	43.9583	51	1.8
17	eamus	5	3	0.2083	44.1667	51	1.8
17	facta	5	3	0.2083	44.375	51	1.8
17	o	1	3	0.2083	44.5833	51	1.8
17	omnis	5	3	0.2083	44.7917	51	1.8
17	maxume	6	3	0.2083	45	51	1.8
17	praeter	7	3	0.2083	45.2083	51	1.8
17	etiam	5	3	0.2083	45.4167	51	1.8
17	di	2	3	0.2083	45.625	51	1.8
17	sum	3	3	0.2083	45.8333	51	1.8
17	ille	4	3	0.2083	46.0417	51	1.8
17	ea	2	3	0.2083	46.25	51	1.8
17	istum	5	3	0.2083	46.4583	51	1.8
17	malum	5	3	0.2083	46.6667	51	1.8
17	antipho	7	3	0.2083	46.875	51	1.8
17	is	2	3	0.2083	47.0833	51	1.8
17	uxorem	6	3	0.2083	47.2917	51	1.8
17	frater	6	3	0.2083	47.5	51	1.8
17	dudum	5	3	0.2083	47.7083	51	1.8
17	illam	5	3	0.2083	47.9167	51	1.8
17	causam	6	3	0.2083	48.125	51	1.8
18	respondeas	10	2	0.1389	48.2639	36	1.7
18	quando	6	2	0.1389	48.4028	36	1.7
18	tuam	4	2	0.1389	48.5417	36	1.7
18	ultro	5	2	0.1389	48.6806	36	1.7
18	tute	4	2	0.1389	48.8194	36	1.7
18	futurumst	9	2	0.1389	48.9583	36	1.7
18	intro	5	2	0.1389	49.0972	36	1.7
18	potuit	6	2	0.1389	49.2361	36	1.7
18	nescio	6	2	0.1389	49.375	36	1.7
18	fecit	5	2	0.1389	49.5139	36	1.7
18	taces	5	2	0.1389	49.6528	36	1.7
18	tandem	6	2	0.1389	49.7917	36	1.7
18	haud	4	2	0.1389	49.9306	36	1.7
18	quem	4	2	0.1389	50.0694	36	1.7
18	tuom	4	2	0.1389	50.2083	36	1.7
18	vin	3	2	0.1389	50.3472	36	1.7
18	sati	4	2	0.1389	50.4861	36	1.7
18	quisquam	8	2	0.1389	50.625	36	1.7
18	cedo	4	2	0.1389	50.7639	36	1.7
18	facere	6	2	0.1389	50.9028	36	1.7
18	sodes	5	2	0.1389	51.0417	36	1.7
18	minas	5	2	0.1389	51.1806	36	1.7
18	hominem	7	2	0.1389	51.3194	36	1.7
18	qua	3	2	0.1389	51.4583	36	1.7
18	certo	5	2	0.1389	51.5972	36	1.7
18	volo	4	2	0.1389	51.7361	36	1.7
18	immo	4	2	0.1389	51.875	36	1.7
18	donec	5	2	0.1389	52.0139	36	1.7
18	habitet	7	2	0.1389	52.1528	36	1.7
18	iubet	5	2	0.1389	52.2917	36	1.7
18	eam	3	2	0.1389	52.4306	36	1.7
18	modo	4	2	0.1389	52.5694	36	1.7
18	iniuriam	8	2	0.1389	52.7083	36	1.7
18	eum	3	2	0.1389	52.8472	36	1.7
18	huc	3	2	0.1389	52.9861	36	1.7
18	quor	4	2	0.1389	53.125	36	1.7
18	ibo	3	2	0.1389	53.2639	36	1.7
18	forum	5	2	0.1389	53.4028	36	1.7
18	dici	4	2	0.1389	53.5417	36	1.7
18	do	2	2	0.1389	53.6806	36	1.7
18	narras	6	2	0.1389	53.8194	36	1.7
18	argentum	8	2	0.1389	53.9583	36	1.7
18	itidem	6	2	0.1389	54.0972	36	1.7
18	istac	5	2	0.1389	54.2361	36	1.7
18	nego	4	2	0.1389	54.375	36	1.7
18	omnes	5	2	0.1389	54.5139	36	1.7
18	mulierem	8	2	0.1389	54.6528	36	1.7
18	dum	3	2	0.1389	54.7917	36	1.7
18	e	1	2	0.1389	54.9306	36	1.7
18	medio	5	2	0.1389	55.0694	36	1.7
18	coegit	6	2	0.1389	55.2083	36	1.7
18	ire	3	2	0.1389	55.3472	36	1.7
18	video	5	2	0.1389	55.4861	36	1.7
18	istaec	6	2	0.1389	55.625	36	1.7
18	ago	3	2	0.1389	55.7639	36	1.7
18	scelus	6	2	0.1389	55.9028	36	1.7
18	hegio	5	2	0.1389	56.0417	36	1.7
18	posse	5	2	0.1389	56.1806	36	1.7
18	fieri	5	2	0.1389	56.3194	36	1.7
18	etiamne	7	2	0.1389	56.4583	36	1.7
18	absente	7	2	0.1389	56.5972	36	1.7
18	agam	4	2	0.1389	56.7361	36	1.7
18	mortem	6	2	0.1389	56.875	36	1.7
18	spem	4	2	0.1389	57.0139	36	1.7
18	tam	3	2	0.1389	57.1528	36	1.7
18	peccatum	8	2	0.1389	57.2917	36	1.7
18	tecum	5	2	0.1389	57.4306	36	1.7
18	a	1	2	0.1389	57.5694	36	1.7
18	quin	4	2	0.1389	57.7083	36	1.7
18	consilium	9	2	0.1389	57.8472	36	1.7
18	ergo	4	2	0.1389	57.9861	36	1.7
18	sunt	4	2	0.1389	58.125	36	1.7
18	adeo	4	2	0.1389	58.2639	36	1.7
18	salve	5	2	0.1389	58.4028	36	1.7
18	dem	3	2	0.1389	58.5417	36	1.7
18	ac	2	2	0.1389	58.6806	36	1.7
