rank	word	wordlength	count	frequency(count*100/2348)	sum frequency	zipf(rank*count)	zipf(max/rank)
1	ut	2	37	1.5758	1.5758	37	37
2	est	3	32	1.3629	2.9387	64	18.5
2	in	2	32	1.3629	4.3015	64	18.5
3	quid	4	28	1.1925	5.494	84	12.3
4	me	2	27	1.1499	6.644	108	9.3
5	ad	2	23	0.9796	7.6235	115	7.4
6	et	2	22	0.937	8.5605	132	6.2
7	si	2	21	0.8944	9.4549	147	5.3
7	te	2	21	0.8944	10.3492	147	5.3
8	sed	3	19	0.8092	11.1584	152	4.6
8	esse	4	19	0.8092	11.9676	152	4.6
8	non	3	19	0.8092	12.7768	152	4.6
9	mihi	4	18	0.7666	13.5434	162	4.1
9	nunc	4	18	0.7666	14.3101	162	4.1
9	tibi	4	18	0.7666	15.0767	162	4.1
10	quod	4	17	0.724	15.8007	170	3.7
10	ego	3	17	0.724	16.5247	170	3.7
11	nil	3	16	0.6814	17.2061	176	3.4
12	hic	3	14	0.5963	17.8024	168	3.1
12	modo	4	14	0.5963	18.3986	168	3.1
13	quae	4	13	0.5537	18.9523	169	2.8
14	hoc	3	12	0.5111	19.4634	168	2.6
14	qui	3	12	0.5111	19.9744	168	2.6
15	nam	3	11	0.4685	20.4429	165	2.5
15	tu	2	11	0.4685	20.9114	165	2.5
16	quam	4	10	0.4259	21.3373	160	2.3
16	iam	3	10	0.4259	21.7632	160	2.3
16	hinc	4	10	0.4259	22.1891	160	2.3
16	haec	4	10	0.4259	22.615	160	2.3
17	scio	4	9	0.3833	22.9983	153	2.2
17	hominem	7	9	0.3833	23.3816	153	2.2
17	id	2	9	0.3833	23.7649	153	2.2
18	eius	4	8	0.3407	24.1056	144	2.1
18	antipho	7	8	0.3407	24.4463	144	2.1
18	hanc	4	8	0.3407	24.7871	144	2.1
18	neque	5	8	0.3407	25.1278	144	2.1
18	opus	4	8	0.3407	25.4685	144	2.1
18	nos	3	8	0.3407	25.8092	144	2.1
18	hercle	6	8	0.3407	26.1499	144	2.1
18	quo	3	8	0.3407	26.4906	144	2.1
19	sic	3	7	0.2981	26.7888	133	1.9
19	inquit	6	7	0.2981	27.0869	133	1.9
19	tum	3	7	0.2981	27.385	133	1.9
19	phaedria	8	7	0.2981	27.6831	133	1.9
19	pater	5	7	0.2981	27.9813	133	1.9
19	illam	5	7	0.2981	28.2794	133	1.9
19	atque	5	7	0.2981	28.5775	133	1.9
19	hunc	4	7	0.2981	28.8756	133	1.9
19	phormio	7	7	0.2981	29.1738	133	1.9
20	quom	4	6	0.2555	29.4293	120	1.9
20	dari	4	6	0.2555	29.6848	120	1.9
20	verum	5	6	0.2555	29.9404	120	1.9
20	argentum	8	6	0.2555	30.1959	120	1.9
20	facere	6	6	0.2555	30.4514	120	1.9
20	rem	3	6	0.2555	30.707	120	1.9
20	o	1	6	0.2555	30.9625	120	1.9
20	sunt	4	6	0.2555	31.2181	120	1.9
20	ubi	3	6	0.2555	31.4736	120	1.9
20	ab	2	6	0.2555	31.7291	120	1.9
20	eo	2	6	0.2555	31.9847	120	1.9
20	cum	3	6	0.2555	32.2402	120	1.9
20	nisi	4	6	0.2555	32.4957	120	1.9
21	senem	5	5	0.2129	32.7087	105	1.8
21	negat	5	5	0.2129	32.9216	105	1.8
21	eiu	3	5	0.2129	33.1346	105	1.8
21	quidem	6	5	0.2129	33.3475	105	1.8
21	noster	6	5	0.2129	33.5605	105	1.8
21	illi	4	5	0.2129	33.7734	105	1.8
21	domum	5	5	0.2129	33.9864	105	1.8
21	ne	2	5	0.2129	34.1993	105	1.8
21	quantum	7	5	0.2129	34.4123	105	1.8
21	ea	2	5	0.2129	34.6252	105	1.8
21	ita	3	5	0.2129	34.8382	105	1.8
21	aut	3	5	0.2129	35.0511	105	1.8
21	is	2	5	0.2129	35.2641	105	1.8
21	phaedriae	9	5	0.2129	35.477	105	1.8
22	uxorem	6	4	0.1704	35.6474	88	1.7
22	an	2	4	0.1704	35.8177	88	1.7
22	omnia	5	4	0.1704	35.9881	88	1.7
22	sese	4	4	0.1704	36.1584	88	1.7
22	ducere	6	4	0.1704	36.3288	88	1.7
22	quis	4	4	0.1704	36.4991	88	1.7
22	inde	4	4	0.1704	36.6695	88	1.7
22	numquam	7	4	0.1704	36.8399	88	1.7
22	quicquam	8	4	0.1704	37.0102	88	1.7
22	dum	3	4	0.1704	37.1806	88	1.7
22	em	2	4	0.1704	37.3509	88	1.7
22	dicam	5	4	0.1704	37.5213	88	1.7
22	interea	7	4	0.1704	37.6917	88	1.7
22	tandem	6	4	0.1704	37.862	88	1.7
22	senex	5	4	0.1704	38.0324	88	1.7
22	haud	4	4	0.1704	38.2027	88	1.7
22	potest	6	4	0.1704	38.3731	88	1.7
22	etiam	5	4	0.1704	38.5434	88	1.7
22	ire	3	4	0.1704	38.7138	88	1.7
22	mage	4	4	0.1704	38.8842	88	1.7
22	ergo	4	4	0.1704	39.0545	88	1.7
22	huc	3	4	0.1704	39.2249	88	1.7
22	phormionem	10	4	0.1704	39.3952	88	1.7
22	ni	2	4	0.1704	39.5656	88	1.7
22	pro	3	4	0.1704	39.7359	88	1.7
22	verbis	6	4	0.1704	39.9063	88	1.7
22	de	2	4	0.1704	40.0767	88	1.7
22	primo	5	4	0.1704	40.247	88	1.7
22	nescio	6	4	0.1704	40.4174	88	1.7
23	decem	5	3	0.1278	40.5451	69	1.6
23	erum	4	3	0.1278	40.6729	69	1.6
23	homo	4	3	0.1278	40.8007	69	1.6
23	ob	2	3	0.1278	40.9284	69	1.6
23	horum	5	3	0.1278	41.0562	69	1.6
23	amici	5	3	0.1278	41.184	69	1.6
23	inter	5	3	0.1278	41.3118	69	1.6
23	bene	4	3	0.1278	41.4395	69	1.6
23	audivi	6	3	0.1278	41.5673	69	1.6
23	erat	4	3	0.1278	41.6951	69	1.6
23	inquam	6	3	0.1278	41.8228	69	1.6
23	istuc	5	3	0.1278	41.9506	69	1.6
23	adest	5	3	0.1278	42.0784	69	1.6
23	enim	4	3	0.1278	42.2061	69	1.6
23	aequom	6	3	0.1278	42.3339	69	1.6
23	ac	2	3	0.1278	42.4617	69	1.6
23	fortuna	7	3	0.1278	42.5894	69	1.6
23	quem	4	3	0.1278	42.7172	69	1.6
23	antiphonem	10	3	0.1278	42.845	69	1.6
23	ait	3	3	0.1278	42.9727	69	1.6
23	intro	5	3	0.1278	43.1005	69	1.6
23	sit	3	3	0.1278	43.2283	69	1.6
23	se	2	3	0.1278	43.356	69	1.6
23	his	3	3	0.1278	43.4838	69	1.6
23	pone	4	3	0.1278	43.6116	69	1.6
23	sat	3	3	0.1278	43.7394	69	1.6
23	ipsa	4	3	0.1278	43.8671	69	1.6
23	ibi	3	3	0.1278	43.9949	69	1.6
23	eum	3	3	0.1278	44.1227	69	1.6
23	atqui	5	3	0.1278	44.2504	69	1.6
23	vide	4	3	0.1278	44.3782	69	1.6
23	daret	5	3	0.1278	44.506	69	1.6
23	intu	4	3	0.1278	44.6337	69	1.6
23	eccum	5	3	0.1278	44.7615	69	1.6
23	metu	4	3	0.1278	44.8893	69	1.6
23	sum	3	3	0.1278	45.017	69	1.6
23	a	1	3	0.1278	45.1448	69	1.6
23	opust	5	3	0.1278	45.2726	69	1.6
23	opinor	6	3	0.1278	45.4003	69	1.6
23	eru	3	3	0.1278	45.5281	69	1.6
23	coepi	5	3	0.1278	45.6559	69	1.6
23	male	4	3	0.1278	45.7836	69	1.6
23	hac	3	3	0.1278	45.9114	69	1.6
23	obviam	6	3	0.1278	46.0392	69	1.6
23	ero	3	3	0.1278	46.167	69	1.6
23	aliud	5	3	0.1278	46.2947	69	1.6
23	at	2	3	0.1278	46.4225	69	1.6
23	siquid	6	3	0.1278	46.5503	69	1.6
23	malum	5	3	0.1278	46.678	69	1.6
23	denique	7	3	0.1278	46.8058	69	1.6
23	causam	6	3	0.1278	46.9336	69	1.6
23	res	3	3	0.1278	47.0613	69	1.6
23	re	2	3	0.1278	47.1891	69	1.6
24	absenti	7	2	0.0852	47.2743	48	1.5
24	immo	4	2	0.0852	47.3595	48	1.5
24	spes	4	2	0.0852	47.4446	48	1.5
24	nuptias	7	2	0.0852	47.5298	48	1.5
24	ain	3	2	0.0852	47.615	48	1.5
24	quaeso	6	2	0.0852	47.7002	48	1.5
24	iratus	6	2	0.0852	47.7853	48	1.5
24	narras	6	2	0.0852	47.8705	48	1.5
24	spem	4	2	0.0852	47.9557	48	1.5
24	gratia	6	2	0.0852	48.0409	48	1.5
24	postilla	8	2	0.0852	48.1261	48	1.5
24	tamen	5	2	0.0852	48.2112	48	1.5
24	quaero	6	2	0.0852	48.2964	48	1.5
24	agas	4	2	0.0852	48.3816	48	1.5
24	animo	5	2	0.0852	48.4668	48	1.5
24	minas	5	2	0.0852	48.552	48	1.5
24	petam	5	2	0.0852	48.6371	48	1.5
24	illo	4	2	0.0852	48.7223	48	1.5
24	puer	4	2	0.0852	48.8075	48	1.5
24	heus	4	2	0.0852	48.8927	48	1.5
24	es	2	2	0.0852	48.9779	48	1.5
24	geta	4	2	0.0852	49.063	48	1.5
24	vereor	6	2	0.0852	49.1482	48	1.5
24	homost	6	2	0.0852	49.2334	48	1.5
24	aderit	6	2	0.0852	49.3186	48	1.5
24	etiamnunc	9	2	0.0852	49.4037	48	1.5
24	erit	4	2	0.0852	49.4889	48	1.5
24	dico	4	2	0.0852	49.5741	48	1.5
24	illum	5	2	0.0852	49.6593	48	1.5
24	di	2	2	0.0852	49.7445	48	1.5
24	omnes	5	2	0.0852	49.8296	48	1.5
24	consilium	9	2	0.0852	49.9148	48	1.5
24	lex	3	2	0.0852	50	48	1.5
24	sint	4	2	0.0852	50.0852	48	1.5
24	porro	5	2	0.0852	50.1704	48	1.5
24	exit	4	2	0.0852	50.2555	48	1.5
24	amicum	6	2	0.0852	50.3407	48	1.5
24	fuerit	6	2	0.0852	50.4259	48	1.5
24	foras	5	2	0.0852	50.5111	48	1.5
24	idem	4	2	0.0852	50.5963	48	1.5
24	fors	4	2	0.0852	50.6814	48	1.5
24	nihilo	6	2	0.0852	50.7666	48	1.5
24	causa	5	2	0.0852	50.8518	48	1.5
24	ipsum	5	2	0.0852	50.937	48	1.5
24	sciat	5	2	0.0852	51.0221	48	1.5
